Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Leiden;KD38;Kiesgerechtigden;;2643
Leiden;KD38;Opkomst;;1377
Leiden;KD38;AantalStembriefjes;;1377
Leiden;KD38;AantalGeldigeStemmen;;1340
Leiden;KD38;AantalBlancoStemmen;;22
Leiden;KD38;;mr. G. Groen van Prinsterer;793
Leiden;KD38;;jhr.mr. W.T. Gevers Deynoot;495
Zwolle;KD12;Kiesgerechtigden;;2701
Zwolle;KD12;AantalStembriefjes;;1785
Zwolle;KD12;Opkomst;;1784
Zwolle;KD12;AantalGeldigeStemmen;;1766
Zwolle;KD12;AantalBlancoStemmen;;10
Zwolle;KD12;;T.J. Stieltjes;615
Zwolle;KD12;;jhr.mr. H.A. Wttewael van Stoetwegen;577
Zwolle;KD12;;mr. C.T.graaf van Lynden van Sandenburg;522
