Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;4760
Alkmaar;KD34;Opkomst;;3161
Alkmaar;KD34;AantalStembriefjes;;3161
Alkmaar;KD34;AantalGeldigeStemmen;;3134
Alkmaar;KD34;AantalBlancoStemmen;;23
Alkmaar;KD34;;mr. W.van der Kaay;1427
Alkmaar;KD34;;mr. M.W.F. Treub;1205
Alkmaar;KD34;;mr. J.A.van Gilse;483
Almelo;KD15;Kiesgerechtigden;;2443
Almelo;KD15;Opkomst;;1413
Almelo;KD15;AantalStembriefjes;;1413
Almelo;KD15;AantalGeldigeStemmen;;1362
Almelo;KD15;AantalBlancoStemmen;;50
Almelo;KD15;;dr. H.J.A.M. Schaepman;1228
Almelo;KD15;;mr. W.H.de Beaufort;50
Amersfoort;KD26;Kiesgerechtigden;;3152
Amersfoort;KD26;AantalStembriefjes;;2192
Amersfoort;KD26;Opkomst;;2190
Amersfoort;KD26;AantalGeldigeStemmen;;2167
Amersfoort;KD26;AantalBlancoStemmen;;21
Amersfoort;KD26;;mr. F.D.graaf van Schimmelpenninck;1379
Amersfoort;KD26;;J.H.de Waal Malefijt;773
Amsterdam;KD72;AantalGeldigeStemmen;;82016
Amsterdam;KD72;Kiesgerechtigden;;23112
Amsterdam;KD72;Opkomst;;9391
Amsterdam;KD72;AantalStembriefjes;;9390
Amsterdam;KD72;AantalBlancoStemmen;;2251
Amsterdam;KD72;;B.H. Heldt;6147
Amsterdam;KD72;;mr. A.F.K. Hartogh;5784
Amsterdam;KD72;;mr. A. Kerdijk;5748
Amsterdam;KD72;;mr. J.P.R. Tak van Poortvliet;5506
Amsterdam;KD72;;J.T. Cremer;5260
Amsterdam;KD72;;W.K.M. Vrolik;4201
Amsterdam;KD72;;mr. M.W.F. Treub;4139
Amsterdam;KD72;;mr. J.G. Gleichman;3518
Amsterdam;KD72;;jhr.mr. J.W.H. Rutgers van Rozenburg;3456
Amsterdam;KD72;;mr. W.H.de Beaufort;3421
Amsterdam;KD72;;mr. I.A. Levy;2883
Amsterdam;KD72;;mr. M.J. Pijnappel;2841
Amsterdam;KD72;;mr. W.van der Kaay;2571
Amsterdam;KD72;;mr. H. Goeman Borgesius;2562
