Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;2969
Alkmaar;KD34;AantalStembriefjes;;1261
Alkmaar;KD34;Opkomst;;1260
Alkmaar;KD34;AantalGeldigeStemmen;;1223
Alkmaar;KD34;AantalBlancoStemmen;;7
Alkmaar;KD34;;jhr.mr. C.van Foreest;643
Alkmaar;KD34;;mr. M.J.de Lange;249
Alkmaar;KD34;;J.L. Kikkert;188
Alkmaar;KD34;;R.C. Sloos;80
Almelo;KD15;Kiesgerechtigden;;1771
Almelo;KD15;AantalStembriefjes;;1243
Almelo;KD15;Opkomst;;1242
Almelo;KD15;AantalGeldigeStemmen;;1234
Almelo;KD15;AantalBlancoStemmen;;5
Almelo;KD15;;mr. P.A.S.van Limburg Brouwer;743
Almelo;KD15;;mr. G.A. Vos de Wael;471
Amersfoort;KD26;Kiesgerechtigden;;2838
Amersfoort;KD26;Opkomst;;1185
Amersfoort;KD26;AantalStembriefjes;;1185
Amersfoort;KD26;AantalGeldigeStemmen;;1122
Amersfoort;KD26;AantalBlancoStemmen;;14
Amersfoort;KD26;;mr. J.K.baron van Goltstein;683
Amersfoort;KD26;;mr. J.P.J.A.graaf van Zuylen van Nijevelt;308
Amersfoort;KD26;;mr. H. Verloren van Themaat;82
Amsterdam;KD72;AantalGeldigeStemmen;;5240
Amsterdam;KD72;Kiesgerechtigden;;4441
Amsterdam;KD72;Opkomst;;1762
Amsterdam;KD72;AantalStembriefjes;;1762
Amsterdam;KD72;AantalBlancoStemmen;;22
Amsterdam;KD72;;S. Cool;1118
Amsterdam;KD72;;J.van Swieten;842
Amsterdam;KD72;;mr. C.van Heukelom;828
Amsterdam;KD72;;mr. J. Heemskerk Azn.;789
Amsterdam;KD72;;J.J.A. Santhagens;695
Amsterdam;KD72;;J.J. Hasselman;663
Amsterdam;KD72;;mr.dr. J.J. Teding van Berkhout;126
Amsterdam;KD72;;J.van Eik;125
Appingedam;KD3;Kiesgerechtigden;;3014
Appingedam;KD3;Opkomst;;1132
Appingedam;KD3;AantalStembriefjes;;1132
Appingedam;KD3;AantalGeldigeStemmen;;1122
Appingedam;KD3;AantalBlancoStemmen;;3
Appingedam;KD3;;dr. R. Westerhoff;809
Appingedam;KD3;;jhr.mr. O.Q.J.J.van Swinderen;272
Arnhem;KD17;Kiesgerechtigden;;2794
Arnhem;KD17;Opkomst;;1805
Arnhem;KD17;AantalStembriefjes;;1805
Arnhem;KD17;AantalGeldigeStemmen;;1781
Arnhem;KD17;AantalBlancoStemmen;;19
Arnhem;KD17;;mr. W.baron van Lynden;1022
Arnhem;KD17;;mr. J.F. Pringle;738
Assen;KD5;Kiesgerechtigden;;2283
Assen;KD5;Opkomst;;932
Assen;KD5;AantalStembriefjes;;932
Assen;KD5;AantalGeldigeStemmen;;921
Assen;KD5;AantalBlancoStemmen;;3
Assen;KD5;;mr. L.graaf van Heiden Reinestein;517
Assen;KD5;;mr. L. Oldenhuis Gratama;332
Boxmeer;KD75;Kiesgerechtigden;;1162
Boxmeer;KD75;Opkomst;;726
Boxmeer;KD75;AantalStembriefjes;;726
Boxmeer;KD75;AantalGeldigeStemmen;;710
Boxmeer;KD75;AantalBlancoStemmen;;15
Boxmeer;KD75;;H.C.F. Kerstens;700
Breda;KD61;Kiesgerechtigden;;3729
Breda;KD61;Opkomst;;2030
