Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;2962
Alkmaar;KD34;Opkomst;;1095
Alkmaar;KD34;AantalStembriefjes;;1095
Alkmaar;KD34;AantalGeldigeStemmen;;1076
Alkmaar;KD34;AantalBlancoStemmen;;7
Alkmaar;KD34;;mr. K.A. Poortman;700
Alkmaar;KD34;;mr. W.L.F.C. ridder van Rappard;318
Alkmaar;KD34;;F. Sieuwerts;31
Almelo;KD15;Kiesgerechtigden;;1835
Almelo;KD15;Opkomst;;758
Almelo;KD15;AantalStembriefjes;;758
Almelo;KD15;AantalGeldigeStemmen;;743
Almelo;KD15;AantalBlancoStemmen;;15
Almelo;KD15;;mr. G.M.van der Linden;586
Almelo;KD15;;S.A.van Hoogstraten;111
Amersfoort;KD26;Kiesgerechtigden;;3082
Amersfoort;KD26;Opkomst;;1499
Amersfoort;KD26;AantalStembriefjes;;1499
Amersfoort;KD26;AantalGeldigeStemmen;;1462
Amersfoort;KD26;AantalBlancoStemmen;;12
Amersfoort;KD26;;jhr.mr. H.A.M.van Asch van Wijck;865
Amersfoort;KD26;;mr. A.W. Engelen;541
Amsterdam;KD72;Kiesgerechtigden;;4033
Amsterdam;KD72;AantalGeldigeStemmen;;3638
Amsterdam;KD72;AantalStembriefjes;;1218
Amsterdam;KD72;Opkomst;;1218
Amsterdam;KD72;AantalBlancoStemmen;;10
Amsterdam;KD72;;mr. A.J. Duymaer van Twist;1169
Amsterdam;KD72;;jhr.mr. G.C.J.van Reenen;1156
Amsterdam;KD72;;S.R.van Franck;706
Amsterdam;KD72;;mr. J.L.de Bruyn Kops;468
Amsterdam;KD72;;jhr.mr. F.van Hogendorp;57
Appingedam;KD3;Kiesgerechtigden;;3088
Appingedam;KD3;Opkomst;;1104
Appingedam;KD3;AantalStembriefjes;;1104
Appingedam;KD3;AantalGeldigeStemmen;;1093
Appingedam;KD3;AantalBlancoStemmen;;10
Appingedam;KD3;;J.F. Zijlker;894
Appingedam;KD3;;mr. E.van Loon;107
Appingedam;KD3;;jhr.mr. J.D. Lewe Quintus;65
Arnhem;KD17;Kiesgerechtigden;;2912
Arnhem;KD17;Opkomst;;1180
Arnhem;KD17;AantalStembriefjes;;1180
Arnhem;KD17;AantalGeldigeStemmen;;1096
Arnhem;KD17;AantalBlancoStemmen;;62
Arnhem;KD17;;mr. Æ.baron van Mackay;987
Assen;KD5;Kiesgerechtigden;;2517
Assen;KD5;AantalStembriefjes;;703
Assen;KD5;Opkomst;;702
Assen;KD5;AantalGeldigeStemmen;;694
Assen;KD5;AantalBlancoStemmen;;7
Assen;KD5;;mr. P.van der Veen;540
Assen;KD5;;mr. H. Pelinck;69
Breda;KD61;Kiesgerechtigden;;3545
Breda;KD61;Opkomst;;1313
Breda;KD61;AantalStembriefjes;;1313
Breda;KD61;AantalGeldigeStemmen;;1289
Breda;KD61;AantalBlancoStemmen;;12
Breda;KD61;;mr. K.A. Meeussen;1223
Delft;KD45;Kiesgerechtigden;;2717
Delft;KD45;Opkomst;;1062
Delft;KD45;AantalStembriefjes;;1062
Delft;KD45;AantalGeldigeStemmen;;1039
Delft;KD45;AantalBlancoStemmen;;23
Delft;KD45;;mr. W. Wintgens;907
Dokkum;KD8;Kiesgerechtigden;;1601
Dokkum;KD8;Opkomst;;599
Dokkum;KD8;AantalStembriefjes;;599
Dokkum;KD8;AantalGeldigeStemmen;;597
Dokkum;KD8;AantalBlancoStemmen;;2
Dokkum;KD8;;I.T.ter Brugghen Hugenholtz;469
Dokkum;KD8;;J. Andreae;81
Dokkum;KD8;;D.J.V.baron van Sytzama;34
Dordrecht;KD42;Kiesgerechtigden;;2277
Dordrecht;KD42;Opkomst;;943
Dordrecht;KD42;AantalStembriefjes;;943
Dordrecht;KD42;AantalGeldigeStemmen;;926
Dordrecht;KD42;AantalBlancoStemmen;;5
Dordrecht;KD42;;mr. P.A. Sander;635
Dordrecht;KD42;;mr. A.J. Duymaer van Twist;220
Eindhoven;KD60;Kiesgerechtigden;;2057
Eindhoven;KD60;Opkomst;;1008
Eindhoven;KD60;AantalStembriefjes;;1008
Eindhoven;KD60;AantalGeldigeStemmen;;994
Eindhoven;KD60;AantalBlancoStemmen;;5
Eindhoven;KD60;;mr. A.A.J. Meylink;955
Eindhoven;KD60;;jhr.mr. C.F. Wesselman;24
Gouda;KD40;Kiesgerechtigden;;3227
Gouda;KD40;AantalStembriefjes;;1677
Gouda;KD40;Opkomst;;1675
Gouda;KD40;AantalGeldigeStemmen;;1665
Gouda;KD40;AantalBlancoStemmen;;6
Gouda;KD40;;M.A.F.H. Hoffman;989
Gouda;KD40;;mr. L. Metman;648
Haarlem;KD33;Kiesgerechtigden;;1566
Haarlem;KD33;AantalStembriefjes;;765
Haarlem;KD33;AantalGeldigeStemmen;;762
Haarlem;KD33;Opkomst;;762
Haarlem;KD33;AantalBlancoStemmen;;2
Haarlem;KD33;;mr. J. Heemskerk Bzn.;467
Haarlem;KD33;;G.L.J.van der Hucht;229
Haarlem;KD33;;mr. C. Diemont;46
Hoorn;KD35;Kiesgerechtigden;;3679
Hoorn;KD35;Opkomst;;884
Hoorn;KD35;AantalStembriefjes;;884
Hoorn;KD35;AantalGeldigeStemmen;;857
Hoorn;KD35;AantalBlancoStemmen;;11
Hoorn;KD35;;jhr.mr. D.van Akerlaken;762
Hoorn;KD35;;J.B.S. Sutherland;39
Leeuwarden;KD7;Kiesgerechtigden;;3152
Leeuwarden;KD7;Opkomst;;1499
Leeuwarden;KD7;AantalStembriefjes;;1499
Leeuwarden;KD7;AantalGeldigeStemmen;;1488
Leeuwarden;KD7;AantalBlancoStemmen;;6
Leeuwarden;KD7;;dr. W.H. Idzerda;826
Leeuwarden;KD7;;jhr. W.H. Lycklama à Nijeholt;700
Leeuwarden;KD7;;J. Andreae;598
Leiden;KD38;Kiesgerechtigden;;2848
Leiden;KD38;Opkomst;;1132
Leiden;KD38;AantalStembriefjes;;1132
Leiden;KD38;AantalGeldigeStemmen;;1085
Leiden;KD38;AantalBlancoStemmen;;9
Leiden;KD38;;P.H.baron van Taets van Amerongen;571
Leiden;KD38;;mr.dr. J.J. Teding van Berkhout;236
Leiden;KD38;;mr. A.J. Duymaer van Twist;232
Maastricht;KD64;Kiesgerechtigden;;1946
Maastricht;KD64;AantalStembriefjes;;983
Maastricht;KD64;Opkomst;;981
Maastricht;KD64;AantalGeldigeStemmen;;856
Maastricht;KD64;AantalBlancoStemmen;;115
Maastricht;KD64;;C.A.baron van Bieberstein Rogalla Zawadsky;820
Middelburg;KD51;Kiesgerechtigden;;2465
Middelburg;KD51;Opkomst;;929
Middelburg;KD51;AantalStembriefjes;;929
Middelburg;KD51;AantalGeldigeStemmen;;890
Middelburg;KD51;AantalBlancoStemmen;;15
Middelburg;KD51;;mr. J.J. Slicher van Domburg;556
Middelburg;KD51;;B.P.G.van Diggelen;259
Nijmegen;KD23;Kiesgerechtigden;;2601
Nijmegen;KD23;Opkomst;;1205
Nijmegen;KD23;AantalStembriefjes;;1205
Nijmegen;KD23;AantalGeldigeStemmen;;1126
Nijmegen;KD23;AantalBlancoStemmen;;75
Nijmegen;KD23;;jhr. J.A.C.A.van Nispen van Sevenaer;1049
Roermond;KD65;Kiesgerechtigden;;1569
Roermond;KD65;AantalStembriefjes;;1254
Roermond;KD65;Opkomst;;1252
Roermond;KD65;AantalGeldigeStemmen;;1235
Roermond;KD65;AantalBlancoStemmen;;10
Roermond;KD65;;mr. P.L.de Lom de Berg;766
Roermond;KD65;;mr. K.L.J. Cornelis;467
Rotterdam;KD73;Kiesgerechtigden;;1906
Rotterdam;KD73;Opkomst;;669
Rotterdam;KD73;AantalStembriefjes;;669
Rotterdam;KD73;AantalGeldigeStemmen;;647
Rotterdam;KD73;AantalBlancoStemmen;;14
Rotterdam;KD73;;mr. A. Hoynck van Papendrecht;489
Rotterdam;KD73;;jhr.mr. F.van Hogendorp;146
's-Gravenhage;KD74;Kiesgerechtigden;;2245
's-Gravenhage;KD74;Opkomst;;1148
's-Gravenhage;KD74;AantalStembriefjes;;1148
's-Gravenhage;KD74;AantalGeldigeStemmen;;1139
's-Gravenhage;KD74;AantalBlancoStemmen;;6
's-Gravenhage;KD74;;dr. I.P. Delprat;631
's-Gravenhage;KD74;;mr. L. Metman;466
's-Hertogenbosch;KD55;Kiesgerechtigden;;2776
's-Hertogenbosch;KD55;Opkomst;;1081
's-Hertogenbosch;KD55;AantalStembriefjes;;1081
's-Hertogenbosch;KD55;AantalGeldigeStemmen;;1058
's-Hertogenbosch;KD55;AantalBlancoStemmen;;21
's-Hertogenbosch;KD55;;mr. J.L.A. Luyben;1029
Sneek;KD10;Kiesgerechtigden;;2842
Sneek;KD10;AantalStembriefjes;;1343
Sneek;KD10;Opkomst;;1342
Sneek;KD10;AantalGeldigeStemmen;;1323
Sneek;KD10;AantalBlancoStemmen;;7
Sneek;KD10;;jhr. W.H. Lycklama à Nijeholt;700
Sneek;KD10;;mr. A.F. Jongstra;558
Tiel;KD71;Kiesgerechtigden;;1454
Tiel;KD71;AantalStembriefjes;;948
Tiel;KD71;Opkomst;;943
Tiel;KD71;AantalGeldigeStemmen;;941
Tiel;KD71;AantalBlancoStemmen;;5
Tiel;KD71;;mr. J.M.de Kempenaer;539
Tiel;KD71;;jhr. B.van Merlen;360
Tiel;KD71;;jhr. P.A. Reuchlin;17
Tilburg;KD57;Kiesgerechtigden;;3077
Tilburg;KD57;Opkomst;;950
Tilburg;KD57;AantalStembriefjes;;950
Tilburg;KD57;AantalGeldigeStemmen;;935
Tilburg;KD57;AantalBlancoStemmen;;8
Tilburg;KD57;;mr. F.J. Jespers;850
Utrecht;KD25;Kiesgerechtigden;;2788
Utrecht;KD25;Opkomst;;1305
Utrecht;KD25;AantalStembriefjes;;1305
Utrecht;KD25;AantalGeldigeStemmen;;1294
Utrecht;KD25;AantalBlancoStemmen;;7
Utrecht;KD25;;mr. N.P.J. Kien;572
Utrecht;KD25;;jhr.mr. J.L.B.de Muralt;376
Utrecht;KD25;;mr. B.J.L.baron van Geer van Jutphaas;298
Zierikzee;KD52;Kiesgerechtigden;;1325
Zierikzee;KD52;Opkomst;;852
Zierikzee;KD52;AantalStembriefjes;;852
Zierikzee;KD52;AantalGeldigeStemmen;;818
Zierikzee;KD52;AantalBlancoStemmen;;12
Zierikzee;KD52;;mr. S.H. Anemaet;668
Zierikzee;KD52;;jhr.mr. J.F. Schuurbeque Boeye;113
Zuidhorn;KD69;Kiesgerechtigden;;1567
Zuidhorn;KD69;Opkomst;;565
Zuidhorn;KD69;AantalStembriefjes;;565
Zuidhorn;KD69;AantalGeldigeStemmen;;561
Zuidhorn;KD69;AantalBlancoStemmen;;1
Zuidhorn;KD69;;G. Reinders;391
Zuidhorn;KD69;;jhr.mr. O.Q.J.J.van Swinderen;126
Zuidhorn;KD69;;H.W. Willemsen;20
Zutphen;KD19;Kiesgerechtigden;;2484
Zutphen;KD19;Opkomst;;1255
Zutphen;KD19;AantalStembriefjes;;1255
Zutphen;KD19;AantalGeldigeStemmen;;1235
Zutphen;KD19;AantalBlancoStemmen;;7
Zutphen;KD19;;mr. W.H. Dullert;985
Zutphen;KD19;;mr. H.A. ridder van Rappard;146
Zutphen;KD19;;J.E.H.baron van Nagell;69
Zwolle;KD12;Kiesgerechtigden;;2948
Zwolle;KD12;Opkomst;;1101
Zwolle;KD12;AantalStembriefjes;;1101
Zwolle;KD12;AantalGeldigeStemmen;;1086
Zwolle;KD12;AantalBlancoStemmen;;12
Zwolle;KD12;;mr. J.P.P.baron van Zuylen van Nijevelt;679
Zwolle;KD12;;jhr.mr. F.van Hogendorp;373
