Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;3940
Alkmaar;KD34;Opkomst;;2013
Alkmaar;KD34;AantalStembriefjes;;2013
Alkmaar;KD34;AantalGeldigeStemmen;;2004
Alkmaar;KD34;AantalBlancoStemmen;;7
Alkmaar;KD34;;mr. J.L.de Bruyn Kops;1157
Alkmaar;KD34;;mr. J. Heemskerk Azn.;759
Alkmaar;KD34;;H.W.van Marle;79
Almelo;KD15;Kiesgerechtigden;;2285
Almelo;KD15;Opkomst;;1786
Almelo;KD15;AantalStembriefjes;;1786
Almelo;KD15;AantalGeldigeStemmen;;1773
Almelo;KD15;AantalBlancoStemmen;;11
Almelo;KD15;;mr. J.R. Corver Hooft;898
Almelo;KD15;;H.P. Gelderman;747
Almelo;KD15;;I. Esser;117
Amersfoort;KD26;Kiesgerechtigden;;3116
Amersfoort;KD26;Opkomst;;1828
Amersfoort;KD26;AantalStembriefjes;;1828
Amersfoort;KD26;AantalGeldigeStemmen;;1816
Amersfoort;KD26;AantalBlancoStemmen;;3
Amersfoort;KD26;;jhr.mr. M.M.van Asch van Wijck;1190
Amersfoort;KD26;;mr. W.baron van Goltstein;617
Amsterdam;KD72;AantalGeldigeStemmen;;5243
Amsterdam;KD72;Kiesgerechtigden;;4760
Amsterdam;KD72;Opkomst;;1768
Amsterdam;KD72;AantalStembriefjes;;1768
Amsterdam;KD72;AantalBlancoStemmen;;55
Amsterdam;KD72;;mr. M.H. Godefroi;1092
Amsterdam;KD72;;mr. C.van Heukelom;1070
Amsterdam;KD72;;mr. S.A. Vening Meinesz;1041
Amsterdam;KD72;;mr. J.A.N. Travaglino;461
Amsterdam;KD72;;mr. A.H.M.van Berckel;460
Amsterdam;KD72;;mr. J.R. Corver Hooft;441
Amsterdam;KD72;;W. Hovy;198
Amsterdam;KD72;;mr. L.W.C. Keuchenius;177
Amsterdam;KD72;;H.W.van Marle;176
Appingedam;KD3;Kiesgerechtigden;;3376
Appingedam;KD3;Opkomst;;965
Appingedam;KD3;AantalStembriefjes;;965
Appingedam;KD3;AantalGeldigeStemmen;;952
Appingedam;KD3;AantalBlancoStemmen;;8
Appingedam;KD3;;mr. D.de Ruiter Zijlker;661
Appingedam;KD3;;mr. A.J. Thomassen à Thuessink van der Hoop;263
Arnhem;KD17;Kiesgerechtigden;;3230
Arnhem;KD17;Opkomst;;1808
Arnhem;KD17;AantalStembriefjes;;1808
