RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);Anti-Revolutionaire Partij;Communistische Partij van Nederland;Christelijk-Historische Unie;Partij van de Vrijheid;Staatkundig Gereformeerde Partij (SGP)
Voerendaal;G0986;11341;Limburg;P31;0;2124;0;;2124;1882;159;7;63;4;5;4
Vogelwaarde;G0719;10100;Zeeland;P29;0;2059;0;;2059;1917;38;24;6;43;20;7
Vollenhove;G0185;11088;Overijssel;P23;0;2607;0;;2607;214;613;952;44;621;56;42
Voorburg;G0624;11103;Zuid-Holland;P28;0;18882;0;;18882;5569;5140;2782;836;887;3230;76
Voorhout;G0625;10017;Zuid-Holland;P28;0;1674;0;;1674;1398;52;51;4;151;9;5
Voorschoten;G0626;10537;Zuid-Holland;P28;0;4353;0;;4353;1453;953;811;76;570;375;83
Voorst;G0285;10912;Gelderland;P25;0;8379;0;;8379;2161;2669;442;783;1254;909;100
Vorden;G0286;10957;Gelderland;P25;0;2838;0;;2838;430;937;617;82;436;303;14
Vreeland;G1213;10898;Utrecht;P26;0;495;0;;495;58;114;109;22;112;46;30
Vreeswijk;G0348;10441;Utrecht;P26;0;1610;0;;1610;627;410;229;31;246;8;53
Vries;G0133;10630;Drenthe;P22;0;3095;0;;3095;18;1281;293;540;112;843;2
Vriezenveen;G0186;10643;Overijssel;P23;0;4877;0;;4877;320;1137;637;156;2027;130;320
Vrouwenpolder;G1214;10635;Zeeland;P29;0;491;0;;491;3;21;321;4;104;5;31
Vught;G0865;11224;Noord-Brabant;P30;0;7525;0;;7525;5801;1074;130;185;66;252;9
Vuren;G0287;11376;Gelderland;P25;0;973;0;;973;7;437;238;3;235;28;25
Waalre;G0866;10959;Noord-Brabant;P30;0;2778;0;;2778;2229;343;26;85;32;61;2
Waalwijk;G0867;11359;Noord-Brabant;P30;0;6113;0;;6113;4719;549;214;37;479;67;44
Waarde;G0721;10082;Zeeland;P29;0;536;0;;536;13;50;69;6;147;31;210
Waardenburg;G0288;10238;Gelderland;P25;0;985;0;;985;24;391;78;22;178;60;232
Waarder;G1217;10830;Zuid-Holland;P28;0;471;0;;471;20;36;207;;103;6;99
Waddinxveen;G0627;10081;Zuid-Holland;P28;0;4043;0;;4043;536;999;830;101;533;227;780
Wadenoijen;G1218;10201;Gelderland;P25;0;1205;0;;1205;159;458;120;9;173;227;59
