RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);Anti-Revolutionaire Partij;Communistische Partij van Nederland;Christelijk-Historische Unie;Partij van de Vrijheid;Staatkundig Gereformeerde Partij (SGP)
Barradeel;G0062;10156;Fryslân;P21;0;4222;0;;4222;25;1394;1318;168;1209;81;2
Barsingerhorn;G0369;10973;Noord-Holland;P27;0;1187;0;;1187;50;441;76;326;47;235;1
Barwoutswaarder;G1017;10447;Zuid-Holland;P28;0;393;0;;393;74;29;109;1;145;2;32
Batenburg;G0204;10921;Gelderland;P25;0;278;0;;278;213;18;6;2;35;4;
Bathmen;G0144;11030;Overijssel;P23;0;1167;0;;1167;37;501;100;26;174;304;6
Bedum;G0005;10425;Groningen;P20;0;3556;0;;3556;147;902;1972;31;100;385;2
Beegden;G0887;11089;Limburg;P31;0;495;0;;495;481;14;;;;;
Beek;G0888;11374;Limburg;P31;0;3310;0;;3310;2679;532;15;45;18;20;1
Beek;G1247;11354;Noord-Brabant;P30;0;1867;0;;1867;1722;104;28;2;5;2;3
Beek en Donk;G0746;10173;Noord-Brabant;P30;0;1708;0;;1708;1638;44;4;8;8;2;3
Beemster;G0370;10816;Noord-Holland;P27;0;3189;0;;3189;847;1381;176;340;53;366;5
Beers;G0747;11410;Noord-Brabant;P30;0;1025;0;;1025;1018;4;1;1;;;
Beerta;G0006;11043;Groningen;P20;0;2022;0;;2022;17;515;59;1057;59;289;3
Beesd;G0205;10259;Gelderland;P25;0;1429;0;;1429;594;301;145;17;193;100;79
Beesel;G0889;10195;Limburg;P31;0;2445;0;;2445;2335;77;4;22;2;4;1
Beets;G0371;10536;Noord-Holland;P27;0;291;0;;291;4;182;16;17;6;61;
Beilen;G0107;10520;Drenthe;P22;0;4659;0;;4659;30;1733;1264;120;952;536;11
Belfeld;G0890;10292;Limburg;P31;0;1094;0;;1094;1043;36;3;8;1;3;
Bellingwolde;G1019;10340;Groningen;P20;0;3358;0;;3358;26;1714;238;767;188;386;3
Bemelen;G0891;10878;Limburg;P31;0;151;0;;151;140;7;;;;4;
Bemmel;G0206;10744;Gelderland;P25;0;3796;0;;3796;3302;187;34;31;197;37;8
Bennebroek;G0372;10734;Noord-Holland;P27;0;1387;0;;1387;604;270;243;29;81;143;5
Benschop;G0309;11330;Utrecht;P26;0;1046;0;;1046;306;117;288;1;151;64;112
Benthuizen;G0490;10398;Zuid-Holland;P28;0;586;0;;586;10;76;104;2;60;32;295
Berg en Terblijt;G0892;10796;Limburg;P31;0;963;0;;963;909;40;2;6;2;4;
Bergambacht;G0491;10962;Zuid-Holland;P28;0;1912;0;;1912;12;599;548;98;69;241;336
Bergen;G0373;11424;Noord-Holland;P27;0;3977;0;;3977;1523;1378;205;302;84;414;3
Bergen;G0893;11281;Limburg;P31;0;3660;0;;3660;3503;107;11;27;6;1;5
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;0;13609;0;;13609;10032;1931;697;325;286;219;66
Bergeyk;G0749;11160;Noord-Brabant;P30;0;1726;0;;1726;1609;54;15;17;26;4;1
Bergh;G0207;10350;Gelderland;P25;0;5868;0;;5868;5099;598;53;24;43;39;12
Bergharen;G0208;10883;Gelderland;P25;0;933;0;;933;783;31;1;1;102;11;4
Berghem;G0750;10733;Noord-Brabant;P30;0;1268;0;;1268;1110;139;6;4;1;5;1
Bergschenhoek;G0492;10445;Zuid-Holland;P28;0;1577;0;;1577;377;232;293;48;449;75;75
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;0;2541;0;;2541;1196;122;578;6;566;26;30
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;0;1377;0;;1377;1335;21;9;5;3;4;
Berkenwoude;G0494;10797;Zuid-Holland;P28;0;483;0;;483;3;78;111;7;4;181;98
Berkhout;G0374;10354;Noord-Holland;P27;0;1692;0;;1692;849;636;25;49;26;80;4
Berlicum;G0752;10362;Noord-Brabant;P30;0;1923;0;;1923;1762;111;17;10;10;7;3
Best;G0753;10442;Noord-Brabant;P30;0;2762;0;;2762;2527;200;10;12;10;;2
Beuningen;G0209;10417;Gelderland;P25;0;1773;0;;1773;1560;96;9;10;68;28;2
Beusichem;G0210;11182;Gelderland;P25;0;911;0;;911;57;389;148;32;65;163;57
Beverwijk;G0375;10272;Noord-Holland;P27;0;13026;0;;13026;5479;3074;696;2854;321;443;17
Bierum;G0008;11294;Groningen;P20;0;2350;0;;2350;6;461;939;73;665;165;
Biervliet;G0652;10257;Zeeland;P29;0;1154;0;;1154;362;374;52;83;143;73;42
Biggekerke;G1022;11364;Zeeland;P29;0;421;0;;421;4;51;153;11;124;7;65
Bingelrade;G0894;10967;Limburg;P31;0;307;0;;307;295;6;;4;;1;1
Bladel en Netersel;G0754;11006;Noord-Brabant;P30;0;1448;0;;1448;1384;14;7;;41;;2
Blankenham;G0145;10320;Overijssel;P23;0;282;0;;282;23;113;10;6;80;48;
Blaricum;G0376;10493;Noord-Holland;P27;0;2345;0;;2345;828;619;121;243;86;407;4
Bleiswijk;G0495;10994;Zuid-Holland;P28;0;1336;0;;1336;418;173;250;7;270;123;91
Bleskensgraaf en Hofwegen;G0496;10451;Zuid-Holland;P28;0;602;0;;602;;98;224;1;14;46;218
Bloemendaal;G0377;10850;Noord-Holland;P27;0;9962;0;;9962;2390;2737;1267;434;472;2485;22
Blokker;G0378;10804;Noord-Holland;P27;0;1309;0;;1309;903;282;21;24;10;58;3
Blokzijl;G0146;10689;Overijssel;P23;0;831;0;;831;23;422;191;31;86;42;20
Bocholtz;G0895;10986;Limburg;P31;0;1437;0;;1437;1196;150;11;63;8;3;6
Bodegraven;G0497;11091;Zuid-Holland;P28;0;3561;0;;3561;744;514;1320;21;594;151;209
Boekel;G0755;10432;Noord-Brabant;P30;0;2038;0;;2038;2005;25;4;1;1;;
Bolsward;G0064;10865;Fryslân;P21;0;3672;0;;3672;1245;1016;561;209;507;97;3
Borculo;G0211;11307;Gelderland;P25;0;3264;0;;3264;331;1301;412;65;284;861;
Borger;G0108;10448;Drenthe;P22;0;5155;0;;5155;76;2523;765;311;674;798;2
Borgharen;G0896;11334;Limburg;P31;0;547;0;;547;447;87;3;5;4;1;
Born;G0897;10927;Limburg;P31;0;1667;0;;1667;1466;164;10;12;5;10;
Borne;G0147;10326;Overijssel;P23;0;5784;0;;5784;3324;1334;278;425;243;98;20
Borsele;G0654;10043;Zeeland;P29;0;812;0;;812;133;113;99;6;206;26;215
Boskoop;G0499;10419;Zuid-Holland;P28;0;4291;0;;4291;911;769;1154;130;537;567;207
Bovenkarspel;G0379;10945;Noord-Holland;P27;0;1534;0;;1534;1154;280;18;31;13;33;
Boxmeer;G0756;11227;Noord-Brabant;P30;0;3356;0;;3356;3143;133;4;34;29;10;2
Boxtel;G0757;10083;Noord-Brabant;P30;0;5841;0;;5841;5082;573;48;63;33;29;3
Brakel;G0212;11125;Gelderland;P25;0;959;0;;959;7;273;84;8;119;24;444
Brandwijk;G0500;10169;Zuid-Holland;P28;0;493;0;;493;;53;285;2;24;54;73
Breda;G0758;10154;Noord-Brabant;P30;0;41190;0;;41190;26098;10516;1219;1010;757;1370;106
Breskens;G0655;10233;Zeeland;P29;0;1211;0;;1211;88;501;113;88;230;135;11
Breukelen-Nijenrode;G1028;10807;Utrecht;P26;0;1846;0;;1846;462;275;407;32;490;49;114
Breukelen-Sint Pieters;G1029;11149;Utrecht;P26;0;570;0;;570;111;110;131;16;135;38;20
Brielle;G0501;10232;Zuid-Holland;P28;0;2038;0;;2038;138;805;267;149;345;321;5
Broek in Waterland;G0380;10289;Noord-Holland;P27;0;926;0;;926;33;425;115;48;193;103;1
Broekhuizen;G0898;10856;Limburg;P31;0;500;0;;500;482;16;1;;1;;
Brouwershaven;G0656;10030;Zeeland;P29;0;697;0;;697;2;370;159;8;19;115;21
Bruinisse;G0657;11291;Zeeland;P29;0;1113;0;;1113;3;278;185;9;155;197;253
Brummen;G0213;10798;Gelderland;P25;0;5871;0;;5871;412;3062;473;261;874;719;15
Brunssum;G0899;10533;Limburg;P31;0;7476;0;;7476;4454;1359;284;1160;184;29;6
Budel;G0759;10219;Noord-Brabant;P30;0;2429;0;;2429;2311;91;10;8;6;2;
Bunde;G0900;10831;Limburg;P31;0;828;0;;828;722;80;3;14;3;5;1
Bunnik;G0312;10820;Utrecht;P26;0;1237;0;;1237;610;208;160;29;127;52;38
Bunschoten;G0313;11343;Utrecht;P26;0;3004;0;;3004;10;49;2854;3;64;4;17
Buren;G0214;11286;Gelderland;P25;0;1080;0;;1080;48;479;67;8;243;154;81
Burgh;G1035;11000;Zeeland;P29;0;423;0;;423;8;150;52;1;109;78;21
Bussum;G0381;10281;Noord-Holland;P27;0;17020;0;;17020;4809;4889;2096;1311;1018;2410;129
Buurmalsen;G0215;10460;Gelderland;P25;0;1143;0;;1143;51;407;127;9;322;101;126
Cadier en Keer;G0901;11447;Limburg;P31;0;558;0;;558;524;27;;4;;3;
Cadzand;G0658;11002;Zeeland;P29;0;569;0;;569;13;275;24;36;125;83;4
Callantsoog;G0382;10559;Noord-Holland;P27;0;553;0;;553;59;251;25;159;4;52;2
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;0;3590;0;;3590;50;1410;596;78;441;307;682
Castricum;G0383;11287;Noord-Holland;P27;0;3676;0;;3676;2142;837;154;348;64;116;1
Chaam;G0760;11433;Noord-Brabant;P30;0;1119;0;;1119;988;49;38;;28;4;
Clinge;G0659;10965;Zeeland;P29;0;1484;0;;1484;1340;94;13;22;6;2;4
Coevorden;G0109;10383;Drenthe;P22;0;3758;0;;3758;880;1477;518;88;397;372;8
Cothen;G0314;11316;Utrecht;P26;0;558;0;;558;433;27;10;2;57;2;24
Cuijk en Sint Agatha;G0761;10023;Noord-Brabant;P30;0;2503;0;;2503;2350;91;5;26;24;5;1
Culemborg;G0216;10342;Gelderland;P25;0;5741;0;;5741;2212;1901;341;486;273;424;104
Dalen;G0110;11004;Drenthe;P22;0;2118;0;;2118;209;830;143;19;115;794;3
Dalfsen;G0148;11007;Overijssel;P23;0;4320;0;;4320;1271;597;639;24;1642;92;32
Dantumadeel;G0065;10650;Fryslân;P21;0;7655;0;;7655;78;1719;2926;359;1684;396;462
De Bilt;G0310;10168;Utrecht;P26;0;9445;0;;9445;1676;3009;1864;380;666;1463;264
De Lier;G0552;10241;Zuid-Holland;P28;0;1766;0;;1766;235;144;674;4;590;93;23
De Rijp;G0440;11417;Noord-Holland;P27;0;752;0;;752;294;273;15;137;7;13;9
De Werken en Sleeuwijk;G1222;10116;Noord-Brabant;P30;0;2044;0;;2044;23;460;1033;36;324;17;132
De Wijk;G0135;10753;Drenthe;P22;0;1935;0;;1935;6;784;434;31;234;433;8
Deil;G0217;10057;Gelderland;P25;0;1239;0;;1239;238;382;113;9;262;180;55
Delft;G0503;10928;Zuid-Holland;P28;0;31151;0;;31151;9033;10144;3853;3454;1668;1832;1042
Delfzijl;G0010;10976;Groningen;P20;0;5656;0;;5656;160;1564;979;1676;573;635;10
Den Bommel;G1024;10293;Zuid-Holland;P28;0;937;0;;937;240;194;252;2;17;69;155
Den Dungen;G0768;10491;Noord-Brabant;P30;0;1108;0;;1108;1059;39;5;2;;3;
Den Ham;G0159;10395;Overijssel;P23;0;3919;0;;3919;267;568;1206;211;965;140;9
Den Helder;G0400;10285;Noord-Holland;P27;0;15004;0;;15004;1895;7961;2305;1275;457;971;71
Denekamp;G0149;10245;Overijssel;P23;0;3358;0;;3358;2839;243;81;59;110;13;1
Deurne;G0762;10379;Noord-Brabant;P30;0;6257;0;;6257;5890;179;50;18;67;7;2
Deventer;G0150;10899;Overijssel;P23;0;23581;0;;23581;4269;9026;1477;5671;908;2078;45
Didam;G0218;10153;Gelderland;P25;0;3533;0;;3533;3298;142;14;10;56;9;4
Diemen;G0384;11039;Noord-Holland;P27;0;2102;0;;2102;604;571;272;218;365;57;5
Diepenheim;G0151;10311;Overijssel;P23;0;1128;0;;1128;112;630;87;23;123;142;4
Diepenveen;G0152;10933;Overijssel;P23;0;4044;0;;4044;1205;1277;286;162;405;672;8
Diessen;G0763;11185;Noord-Brabant;P30;0;894;0;;894;854;33;2;;4;;1
Diever;G0111;10418;Drenthe;P22;0;1553;0;;1553;38;724;385;30;73;292;3
Dinteloord en Prinsenland;G0764;11193;Noord-Brabant;P30;0;2117;0;;2117;805;262;335;27;434;49;187
Dinther;G1044;10690;Noord-Brabant;P30;0;1104;0;;1104;1068;14;;1;2;1;
Dinxperlo;G0219;11154;Gelderland;P25;0;1929;0;;1929;338;393;427;20;690;56;5
Dirksland;G0504;11344;Zuid-Holland;P28;0;1739;0;;1739;18;389;731;15;30;211;340
Dodewaard;G0220;10647;Gelderland;P25;0;1164;0;;1164;23;478;278;13;128;81;163
Doesburg;G0221;10327;Gelderland;P25;0;2802;0;;2802;1143;1011;159;52;346;79;12
Doetinchem;G0222;10396;Gelderland;P25;0;9512;0;;9512;2951;3615;673;442;1057;653;121
Dokkum;G0066;10198;Fryslân;P21;0;2999;0;;2999;136;1027;1260;74;360;122;18
Domburg;G0660;10236;Zeeland;P29;0;807;0;;807;27;252;115;40;156;61;133
Dongen;G0766;11412;Noord-Brabant;P30;0;5228;0;;5228;4853;183;66;10;89;16;9
Doniawerstal;G0067;10086;Fryslân;P21;0;3151;0;;3151;785;922;496;61;731;113;9
Doorn;G0315;10213;Utrecht;P26;0;3243;0;;3243;148;1104;686;80;591;487;122
Doornspijk;G0223;10069;Gelderland;P25;0;2788;0;;2788;43;359;880;27;444;54;967
Dordrecht;G0505;11157;Zuid-Holland;P28;0;35937;0;;35937;3863;14523;7066;5065;2058;2403;810
Dreischor;G1047;10885;Zeeland;P29;0;617;0;;617;8;363;32;4;51;134;10
Dreumel;G0224;11232;Gelderland;P25;0;1337;0;;1337;1149;102;7;21;41;17;
Driebergen-Rijsenburg;G0316;10777;Utrecht;P26;0;6002;0;;6002;889;1692;1413;150;801;676;331
Driewegen;G0661;11115;Zeeland;P29;0;378;0;;378;43;86;76;1;112;39;15
Drunen;G0767;10428;Noord-Brabant;P30;0;2484;0;;2484;2390;54;10;5;15;3;7
Druten;G0225;10068;Gelderland;P25;0;3297;0;;3297;2927;191;12;13;133;17;4
Dubbeldam;G0507;10781;Zuid-Holland;P28;0;2900;0;;2900;50;886;843;91;470;385;154
Duiven;G0226;11028;Gelderland;P25;0;2119;0;;2119;1972;67;24;9;33;10;4
Duivendijke;G1050;10335;Zeeland;P29;0;241;0;;241;2;49;127;2;24;27;9
Dussen;G0769;10261;Noord-Brabant;P30;0;1823;0;;1823;1106;91;307;20;193;18;81
Dwingeloo;G0112;10331;Drenthe;P22;0;1760;0;;1760;6;904;280;34;71;456;1
Echt;G0902;10941;Limburg;P31;0;5114;0;;5114;4484;519;24;52;23;10;2
Echteld;G0227;10832;Gelderland;P25;0;1747;0;;1747;36;817;319;28;183;132;232
Edam-Volendam;G0385;10884;Noord-Holland;P27;0;4910;0;;4910;3235;849;183;203;217;194;5
Ede;G0228;10743;Gelderland;P25;0;20966;0;;20966;1169;5054;4476;514;4630;1006;3731
Eelde;G0113;10622;Drenthe;P22;0;2263;0;;2263;30;1142;158;226;56;647;2
Eemnes;G0317;10248;Utrecht;P26;0;1066;0;;1066;511;106;258;86;42;23;34
Eenrum;G0011;10904;Groningen;P20;0;1496;0;;1496;49;697;329;74;25;291;
Eersel;G0770;10741;Noord-Brabant;P30;0;1648;0;;1648;1595;28;9;;9;2;
Eethen;G0771;10010;Noord-Brabant;P30;0;1286;0;;1286;53;171;535;;237;29;204
Egmond aan Zee;G0386;10421;Noord-Holland;P27;0;1514;0;;1514;194;968;93;158;41;51;3
Egmond-Binnen;G0387;10989;Noord-Holland;P27;0;1298;0;;1298;1105;147;14;12;6;13;
Eibergen;G0229;10436;Gelderland;P25;0;5362;0;;5362;2342;1596;449;27;684;243;2
Eijgelshoven;G0904;10960;Limburg;P31;0;1797;0;;1797;1258;250;3;254;17;12;3
Eijsden;G0905;10314;Limburg;P31;0;2026;0;;2026;1818;154;21;20;8;3;2
Eindhoven;G0772;11298;Noord-Brabant;P30;0;61579;0;;61579;37757;16364;2200;3045;826;1190;117
Elburg;G0230;11113;Gelderland;P25;0;1445;0;;1445;8;153;467;2;517;24;256
Elkerzee;G1053;10184;Zeeland;P29;0;309;0;;309;1;69;98;2;69;36;33
Ellemeet;G1054;10102;Zeeland;P29;0;254;0;;254;2;111;28;4;44;36;19
Ellewoutsdijk;G0663;11300;Zeeland;P29;0;323;0;;323;5;129;24;4;74;59;21
Elsloo;G0903;11187;Limburg;P31;0;1456;0;;1456;1259;162;6;18;10;1;
Elst;G0231;11188;Gelderland;P25;0;4949;0;;4949;2889;977;425;47;341;191;79
Emmen;G0114;11180;Drenthe;P22;0;22313;0;;22313;3766;6522;3799;2474;2779;2739;37
Empel en Meerwijk;G0773;10295;Noord-Brabant;P30;0;351;0;;351;334;11;2;;1;;
Engelen;G0774;10322;Noord-Brabant;P30;0;319;0;;319;275;29;5;2;5;1;
Enkhuizen;G0388;10729;Noord-Holland;P27;0;5496;0;;5496;742;2183;1127;355;638;271;162
Enschede;G0153;10364;Overijssel;P23;0;52004;0;;52004;11397;17560;5303;12067;2326;2914;135
Epe;G0232;10940;Gelderland;P25;0;9029;0;;9029;950;3704;1284;275;1408;973;370
Ermelo;G0233;10732;Gelderland;P25;0;9797;0;;9797;256;1325;2794;184;3324;453;1377
Erp;G0775;10385;Noord-Brabant;P30;0;1612;0;;1612;1595;15;1;;1;;
Esch;G0776;10709;Noord-Brabant;P30;0;431;0;;431;411;15;;;4;1;
Est en Opijnen;G0234;11092;Gelderland;P25;0;529;0;;529;3;214;84;9;105;54;60
Etten-Leur;G0777;10750;Noord-Brabant;P30;0;5441;0;;5441;4779;368;90;12;144;27;8
Everdingen;G0508;10638;Zuid-Holland;P28;0;528;0;;528;89;75;108;6;66;69;102
Ewijk;G0235;10471;Gelderland;P25;0;1553;0;;1553;1372;112;5;9;46;7;2
Ezinge;G0012;10136;Groningen;P20;0;1065;0;;1065;2;354;425;25;32;226;1
Ferwerderadeel;G0068;11284;Fryslân;P21;0;4702;0;;4702;7;1220;2410;76;758;154;17
Fijnaart en Heijningen;G0778;10206;Noord-Brabant;P30;0;2443;0;;2443;955;145;324;2;767;38;39
Finsterwolde;G0013;10212;Groningen;P20;0;1762;0;;1762;15;416;62;987;62;190;2
Franeker;G0069;11226;Fryslân;P21;0;4531;0;;4531;559;1625;1150;501;436;220;11
Franekeradeel;G0070;10404;Fryslân;P21;0;2656;0;;2656;113;1160;578;144;503;105;4
Gaasterland;G0071;10036;Fryslân;P21;0;3350;0;;3350;730;457;676;32;1202;75;157
Gameren;G1058;10037;Gelderland;P25;0;1025;0;;1025;14;193;507;3;42;20;246
Gasselte;G0115;11099;Drenthe;P22;0;1899;0;;1899;16;790;254;329;231;272;5
Geertruidenberg;G0779;10101;Noord-Brabant;P30;0;1535;0;;1535;1190;195;46;6;43;27;15
Geervliet;G0509;10842;Zuid-Holland;P28;0;612;0;;612;1;224;110;53;86;91;42
Geffen;G0780;10370;Noord-Brabant;P30;0;957;0;;957;915;33;4;2;;1;1
Geldermalsen;G0236;10881;Gelderland;P25;0;2711;0;;2711;49;1190;325;85;483;277;302
Geldrop;G0781;10529;Noord-Brabant;P30;0;5354;0;;5354;4009;1041;95;101;65;37;5
Geleen;G0906;10048;Limburg;P31;0;7821;0;;7821;5304;1692;210;511;61;36;7
Gemert;G0782;10277;Noord-Brabant;P30;0;3972;0;;3972;3781;147;17;9;9;6;1
Gendringen;G0237;10260;Gelderland;P25;0;5446;0;;5446;4313;488;273;15;326;24;7
Gendt;G0238;10440;Gelderland;P25;0;1879;0;;1879;1678;65;33;28;55;13;7
Genemuiden;G0154;10746;Overijssel;P23;0;1774;0;;1774;4;288;676;25;154;35;563
Gennep;G0907;10542;Limburg;P31;0;1936;0;;1936;1460;297;32;101;25;11;10
Geulle;G0908;10530;Limburg;P31;0;874;0;;874;726;119;8;13;;7;1
Giessen;G0783;10193;Noord-Brabant;P30;0;275;0;;275;;46;101;;101;8;15
Giessendam;G1063;10606;Zuid-Holland;P28;0;2185;0;;2185;6;333;750;95;167;207;607
Giessen-Nieuwkerk;G1062;10255;Zuid-Holland;P28;0;585;0;;585;4;75;309;1;43;85;66
Gieten;G0116;10506;Drenthe;P22;0;2013;0;;2013;13;1095;116;90;220;473;2
Giethoorn;G0155;10708;Overijssel;P23;0;1379;0;;1379;21;722;107;278;168;73;3
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;0;4921;0;;4921;4482;250;91;51;24;14;5
Goedereede;G0511;10981;Zuid-Holland;P28;0;650;0;;650;4;184;282;4;23;60;91
Goes;G0664;10674;Zeeland;P29;0;7030;0;;7030;1068;2191;1024;135;1636;644;273
Goirle;G0785;10971;Noord-Brabant;P30;0;3010;0;;3010;2720;174;45;35;17;14;2
Goor;G0156;10076;Overijssel;P23;0;2847;0;;2847;662;1484;135;367;92;94;2
Gorinchem;G0512;10942;Zuid-Holland;P28;0;8550;0;;8550;941;3911;1657;666;303;923;125
Gorssel;G0239;10085;Gelderland;P25;0;5692;0;;5692;376;2009;1009;354;1037;842;11
Gouda;G0513;10302;Zuid-Holland;P28;0;19370;0;;19370;4141;7008;3098;2110;723;1444;746
Gouderak;G0514;11258;Zuid-Holland;P28;0;1031;0;;1031;18;363;314;14;21;130;171
Goudriaan;G0515;10450;Zuid-Holland;P28;0;330;0;;330;1;23;181;8;13;72;31
Goudswaard;G0516;10914;Zuid-Holland;P28;0;738;0;;738;;129;183;1;40;73;311
Graauw en Langendam;G0665;10312;Zeeland;P29;0;878;0;;878;822;22;15;6;1;8;2
Graft;G0389;10484;Noord-Holland;P27;0;645;0;;645;180;268;8;146;18;23;
Gramsbergen;G0157;11339;Overijssel;P23;0;2406;0;;2406;57;654;754;21;760;145;5
Grathem;G0909;11008;Limburg;P31;0;796;0;;796;782;11;3;;;;
Grave;G0786;10165;Noord-Brabant;P30;0;2173;0;;2173;1891;161;29;53;21;15;2
Grevenbicht;G0910;10624;Limburg;P31;0;940;0;;940;758;144;6;13;18;;1
Grijpskerk;G0016;10244;Groningen;P20;0;2013;0;;2013;9;361;1249;7;167;215;1
Grijpskerke;G1067;10801;Zeeland;P29;0;425;0;;425;8;18;257;8;98;3;33
Groede;G0667;11312;Zeeland;P29;0;1463;0;;1463;223;555;97;33;203;314;9
Groenlo;G0240;11094;Gelderland;P25;0;2398;0;;2398;1945;331;28;7;48;29;4
Groesbeek;G0241;10616;Gelderland;P25;0;4714;0;;4714;3909;518;51;97;89;45;5
Groningen;G0014;10426;Groningen;P20;0;69895;0;;69895;5846;26593;11780;12052;5405;7016;130
Gronsveld;G0911;10323;Limburg;P31;0;1073;0;;1073;1034;35;1;;;3;
Groot-Ammers;G0520;11205;Zuid-Holland;P28;0;851;0;;851;5;152;387;2;31;107;161
Grootebroek;G0391;11337;Noord-Holland;P27;0;2137;0;;2137;1843;207;13;55;5;12;
Grootegast;G0015;11080;Groningen;P20;0;4048;0;;4048;17;810;2500;110;460;137;3
Grubbenvorst;G0912;10176;Limburg;P31;0;1427;0;;1427;1389;26;;11;1;;
Gulpen;G0913;11032;Limburg;P31;0;1613;0;;1613;1464;93;2;38;9;7;
Haaften;G0242;10125;Gelderland;P25;0;1458;0;;1458;4;606;263;8;274;57;246
Haaksbergen;G0158;11435;Overijssel;P23;0;5202;0;;5202;3561;1050;105;90;41;334;11
Haamstede;G1068;10701;Zeeland;P29;0;944;0;;944;21;210;233;7;226;174;70
Haaren;G0788;11155;Noord-Brabant;P30;0;1226;0;;1226;1174;36;7;4;2;1;1
Haarlem;G0392;10357;Noord-Holland;P27;0;82879;0;;82879;23186;30500;7470;12320;2501;5630;254
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;0;1796;0;;1796;973;258;185;154;67;134;14
Haarlemmermeer;G0394;11387;Noord-Holland;P27;0;17189;0;;17189;4006;4036;3999;1627;2418;571;291
Haarzuilens;G1069;10737;Utrecht;P26;0;238;0;;238;211;3;7;;13;;2
Haastrecht;G0521;11049;Zuid-Holland;P28;0;1270;0;;1270;505;312;235;19;53;87;50
Haelen;G0914;10321;Limburg;P31;0;1370;0;;1370;1287;53;4;15;7;4;
Hagestein;G0522;10297;Zuid-Holland;P28;0;440;0;;440;146;34;64;1;83;35;66
Halsteren;G0789;10387;Noord-Brabant;P30;0;3401;0;;3401;2852;248;131;52;55;44;10
Haps;G0790;11283;Noord-Brabant;P30;0;824;0;;824;807;15;;2;;;
Hardenberg;G0160;10174;Overijssel;P23;0;9055;0;;9055;965;2095;3534;114;1709;520;17
Harderwijk;G0243;10786;Gelderland;P25;0;5473;0;;5473;224;946;1516;106;2000;183;469
Hardinxveld;G1070;10167;Zuid-Holland;P28;0;3677;0;;3677;13;1146;810;261;95;245;1089
Haren;G0017;11058;Groningen;P20;0;6087;0;;6087;135;1721;1370;435;928;1419;1
Harenkarspel;G0395;10963;Noord-Holland;P27;0;1773;0;;1773;1133;372;105;115;5;36;2
Harlingen;G0072;10909;Fryslân;P21;0;5808;0;;5808;788;2235;843;808;945;176;11
Harmelen;G0318;10183;Utrecht;P26;0;1268;0;;1268;581;104;293;1;229;13;45
Haskerland;G0073;10022;Fryslân;P21;0;5265;0;;5265;545;2168;747;319;1136;200;11
Hasselt;G0161;10115;Overijssel;P23;0;1167;0;;1167;60;271;596;10;145;36;37
Hattem;G0244;10673;Gelderland;P25;0;2900;0;;2900;53;1057;641;279;559;239;15
Havelte;G0117;10186;Drenthe;P22;0;2026;0;;2026;30;1232;121;30;104;502;4
Hazerswoude;G0524;11257;Zuid-Holland;P28;0;2503;0;;2503;952;120;798;22;429;59;114
Hedel;G0245;10982;Gelderland;P25;0;834;0;;834;339;91;193;13;67;7;124
Heel en Panheel;G0915;11208;Limburg;P31;0;1303;0;;1303;1262;28;2;9;;2;
Heemskerk;G0396;10679;Noord-Holland;P27;0;2550;0;;2550;1948;295;36;154;73;28;6
Heemstede;G0397;11288;Noord-Holland;P27;0;11899;0;;11899;3986;2767;1377;549;516;2523;40
Heenvliet;G0525;10823;Zuid-Holland;P28;0;644;0;;644;1;159;102;198;18;152;11
Heer;G0916;11407;Limburg;P31;0;2866;0;;2866;1940;735;20;118;18;26;9
Heerde;G0246;10291;Gelderland;P25;0;5428;0;;5428;45;1974;1212;51;1525;513;57
Heerenveen;G0074;10680;Fryslân;P21;0;12249;0;;12249;436;5222;1619;3080;933;874;19
Heerewaarden;G0247;10067;Gelderland;P25;0;507;0;;507;10;363;8;6;20;99;1
Heerhugowaard;G0398;10752;Noord-Holland;P27;0;2715;0;;2715;1791;538;195;89;39;42;5
Heerjansdam;G0526;10540;Zuid-Holland;P28;0;703;0;;703;;221;194;37;178;33;36
Heerlen;G0917;10902;Limburg;P31;0;24429;0;;24429;16045;4437;422;2896;323;260;46
Heesch;G0791;10149;Noord-Brabant;P30;0;1675;0;;1675;1600;41;8;6;10;;
Heeswijk;G1072;11229;Noord-Brabant;P30;0;937;0;;937;931;5;;1;;;
Heeze;G0793;10462;Noord-Brabant;P30;0;1817;0;;1817;1650;96;14;1;41;14;
Hei- en Boeicop;G0527;11024;Zuid-Holland;P28;0;399;0;;399;2;33;159;3;9;28;162
Heiloo;G0399;10793;Noord-Holland;P27;0;4860;0;;4860;2120;1651;218;343;112;336;12
Heinenoord;G0528;10821;Zuid-Holland;P28;0;1118;0;;1118;14;296;350;11;205;113;124
Heinkenszand;G0672;10413;Zeeland;P29;0;1150;0;;1150;551;100;158;3;253;32;43
