Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;3330
Alkmaar;KD34;Opkomst;;2472
Alkmaar;KD34;AantalStembriefjes;;2472
Alkmaar;KD34;AantalGeldigeStemmen;;2463
Alkmaar;KD34;AantalBlancoStemmen;;3
Alkmaar;KD34;;jhr.mr. C.van Foreest;1270
Alkmaar;KD34;;mr. W.van der Kaay;1162
Almelo;KD15;Kiesgerechtigden;;2201
Almelo;KD15;Opkomst;;1882
Almelo;KD15;AantalStembriefjes;;1882
Almelo;KD15;AantalGeldigeStemmen;;1869
Almelo;KD15;AantalBlancoStemmen;;9
Almelo;KD15;;mr. G.M.van der Linden;854
Almelo;KD15;;H.A. Insinger;757
Almelo;KD15;;A.baron van Schimmelpenninck van der Oye;252
Amersfoort;KD26;Kiesgerechtigden;;2974
Amersfoort;KD26;Opkomst;;2177
Amersfoort;KD26;AantalStembriefjes;;2177
Amersfoort;KD26;AantalGeldigeStemmen;;2170
Amersfoort;KD26;AantalBlancoStemmen;;5
Amersfoort;KD26;;jhr.mr. J.W.van Loon;1149
Amersfoort;KD26;;mr. J.K.baron van Goltstein;759
Amersfoort;KD26;;L. Mulder;190
Amersfoort;KD26;;J.A. Alberdingk Thijm;68
Amsterdam;KD72;AantalGeldigeStemmen;;4635
Amsterdam;KD72;Kiesgerechtigden;;4019
Amsterdam;KD72;Opkomst;;1691
Amsterdam;KD72;AantalStembriefjes;;1691
Amsterdam;KD72;AantalBlancoStemmen;;435
Amsterdam;KD72;;T.J. Stieltjes;1241
Amsterdam;KD72;;mr. M.J.de Lange;860
Amsterdam;KD72;;mr.dr. J.A. Jolles;834
Amsterdam;KD72;;G. Fabius;729
Amsterdam;KD72;;A.J.H.van der Toorn;378
Amsterdam;KD72;;mr.dr. J.J. Teding van Berkhout;216
Amsterdam;KD72;;mr. L.W.C. Keuchenius;186
Amsterdam;KD72;;W.von Wrangel auf Lindenberg;166
Appingedam;KD3;Kiesgerechtigden;;2968
Appingedam;KD3;Opkomst;;1245
Appingedam;KD3;AantalStembriefjes;;1245
Appingedam;KD3;AantalGeldigeStemmen;;1232
Appingedam;KD3;AantalBlancoStemmen;;3
Appingedam;KD3;;dr. R. Westerhoff;939
Appingedam;KD3;;dr. A. Kuyper;275
Arnhem;KD17;Kiesgerechtigden;;2980
Arnhem;KD17;Opkomst;;2250
Arnhem;KD17;AantalStembriefjes;;2250
Arnhem;KD17;AantalGeldigeStemmen;;2224
Arnhem;KD17;AantalBlancoStemmen;;9
Arnhem;KD17;;mr. W.H. Dullert;1185
Arnhem;KD17;;mr. H.A. ridder van Rappard;626
Arnhem;KD17;;mr. L.W.C. Keuchenius;409
Assen;KD5;Kiesgerechtigden;;2287
Assen;KD5;Opkomst;;1015
Assen;KD5;AantalStembriefjes;;1015
Assen;KD5;AantalGeldigeStemmen;;996
Assen;KD5;AantalBlancoStemmen;;12
Assen;KD5;;mr. L. Oldenhuis Gratama;775
Assen;KD5;;dr. A. Kuyper;120
Assen;KD5;;jhr.mr. M.M.van Asch van Wijck;34
Boxmeer;KD75;Kiesgerechtigden;;2493
Boxmeer;KD75;Opkomst;;1761
Boxmeer;KD75;AantalStembriefjes;;1761
Boxmeer;KD75;AantalGeldigeStemmen;;1676
Boxmeer;KD75;AantalBlancoStemmen;;77
Boxmeer;KD75;;mr. J.H.L. Haffmans;1603
Breda;KD61;Kiesgerechtigden;;4036
Breda;KD61;Opkomst;;2806
Breda;KD61;AantalStembriefjes;;2806
Breda;KD61;AantalGeldigeStemmen;;2793
Breda;KD61;AantalBlancoStemmen;;7
Breda;KD61;;mr. A.F.X. Luyben;1866
Breda;KD61;;N.R.H. Guljé;812
Breda;KD61;;jhr.mr. M.M.van Asch van Wijck;100
Delft;KD45;Kiesgerechtigden;;2874
Delft;KD45;AantalStembriefjes;;1959
Delft;KD45;Opkomst;;1958
Delft;KD45;AantalGeldigeStemmen;;1942
Delft;KD45;AantalBlancoStemmen;;12
Delft;KD45;;J.L. Nierstrasz;900
Delft;KD45;;C.J. Vaillant;690
Delft;KD45;;mr. L.W.C. Keuchenius;327
Deventer;KD14;Kiesgerechtigden;;2937
Deventer;KD14;Opkomst;;1611
Deventer;KD14;AantalStembriefjes;;1611
Deventer;KD14;AantalGeldigeStemmen;;1596
Deventer;KD14;AantalBlancoStemmen;;5
Deventer;KD14;;mr. W.H. Dullert;903
Deventer;KD14;;A.baron van Schimmelpenninck van der Oye;673
Dokkum;KD8;Kiesgerechtigden;;2542
Dokkum;KD8;Opkomst;;1784
Dokkum;KD8;AantalStembriefjes;;1784
