Year,OuderRegioNaam,Unnamed: 0,Kiesgerechtigden,Opkomst,OngeldigeStemmen,BlancoStemmen,GeldigeStemmen,VVD,PVV (Partij voor de Vrijheid),CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,Volt,JA21,BBB,BIJ1,Piratenpartij,Rooms-Katholieke Staatspartij (RKSP),Sociaal-Democratische Arbeiderspartij (SDAP),Anti-Revolutionaire Partij,Liberale Unie,CHU 1,Vrijzinnig-Democratische Bond (VDB),CHU 2,Vrijheidsbond 1,Vrijheidsbond 2,Communistische Partij van Nederland,HGSP,Christelijk-Historische Unie,Liberale Staatspartij (LSP),Rooms-Katholieke Volkspartij (RKVP),Plattelandersbond,Christelijk-Democratische Unie,Nationaal-Socialistische Beweging (NSB),Katholieke Volkspartij (KVP),Partij van de Vrijheid,Overig,Lijst Welter,Katholieke Nationale Partij,Gereformeerd Politiek Verbond (GPV),Pacifistisch-Socialistische Partij (PSP),Boeren Partij,Democratisch Socialisten '70,Politieke Partij Radikalen (PPR),Nederlandse Middenstands Partij,Rooms Katholieke Partij Nederland (RKPN),Reformatorische Politieke Federatie (RPF),Evangelische Volkspartij,CP,Centrumdemocraten,GL,De Groenen,Algemeen Ouderen Verbond (AOV),Ouderen Unie 55+,Lijst Pim Fortuyn,LN,Verenigde Senioren Partij,ETnNL,TROTS op Nederland Lijst Rita Verdonk
1922,Groningen,13815,126111,101209,1406,51,99741,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,6962,23764,18578,0,400,10516,9517,703,6147,4088,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Limburg,51672,185224,168728,911,357,167560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137106,16694,865,0,223,1539,1297,537,786,1574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Noord-Brabant,60531,254726,230303,1165,251,228932,0,0,0,0,0,0,0,0,0,0,753,0,0,0,0,0,0,0,184963,10412,8221,0,455,1864,5834,542,2958,758,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Noord-Holland,33591,525980,450048,30488,365,418277,0,0,0,0,0,0,0,0,0,0,711,0,0,0,0,0,0,0,91217,117238,36950,0,2068,38298,30485,28424,6397,24631,2505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Overijssel,24604,199903,196403,3949,100,192354,0,0,0,0,0,0,0,0,0,0,1667,0,0,0,0,0,0,0,49722,38425,28732,0,1062,9995,28554,1790,11514,3138,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Total,854,2856448,2385548,49946,1812,2318918,0,0,0,0,0,0,0,0,0,0,17934,0,0,0,0,0,0,0,754423,499198,340703,0,43878,111946,211651,137916,61427,49662,18643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Utrecht,32898,167724,14431,271,72,0,0,0,0,0,0,0,0,0,0,0,1940,0,0,0,0,0,0,0,41699,28703,30690,0,1364,5195,10692,8239,363,887,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,Zuid-Holland,73740,787401,663170,3273,185,659712,0,0,0,0,0,0,0,0,0,0,9823,0,0,0,0,0,0,0,127129,156076,121297,0,2871,16916,80243,59314,6412,10993,10666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,Drenthe,16362,92410,86021,2117,73,83831,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,3570,24572,15023,0,0,9411,0,0,0,368,152,10539,5532,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,Fryslân,19613,202567,186114,5445,0,180669,0,0,0,0,0,0,0,0,0,0,775,0,0,0,0,0,0,0,11329,50167,41167,0,0,12714,0,0,0,1316,1297,32788,13060,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,Gelderland,46722,354326,339879,9597,359,329920,0,0,0,0,0,0,0,0,0,0,8273,0,0,0,0,0,0,0,98508,58425,38522,0,0,19851,0,0,0,765,3410,43714,31855,4777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,Groningen,19589,150047,131232,2165,97,128777,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,7516,44798,22855,0,0,15752,0,0,0,3430,1258,12888,9392,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,Limburg,55239,193567,151283,700,338,149866,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,140053,23436,698,0,0,1744,0,0,0,452,135,984,953,3418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,Noord-Brabant,74711,355229,328694,4375,408,323911,0,0,0,0,0,0,0,0,0,0,1904,0,0,0,0,0,0,0,249852,21348,9127,0,0,4271,0,0,0,243,794,9432,4100,14563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,Noord-Holland,41826,569447,498348,3767,703,493865,0,0,0,0,0,0,0,0,0,0,2393,0,0,0,0,0,0,0,98464,159024,40333,0,0,49517,0,0,0,16618,5031,34742,40943,3426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,Overijssel,27135,209736,204826,388,346,204099,0,0,0,0,0,0,0,0,0,0,4350,0,0,0,0,0,0,0,48406,45050,27451,0,0,13454,0,0,0,2958,2020,29670,12173,3896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,Total,957,2928371,2779547,37959,3275,2737722,0,0,0,0,0,0,0,0,0,0,53149,0,0,0,0,0,0,0,833988,645446,330915,0,0,167053,0,0,0,34256,27753,273978,204940,38390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,Utrecht,36645,181136,163517,1112,11,162394,0,0,0,0,0,0,0,0,0,0,6537,0,0,0,0,0,0,0,38849,34673,27489,0,0,8353,0,0,0,553,1596,20622,10712,4056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,Zeeland,56242,76026,110406,4338,353,105705,0,0,0,0,0,0,0,0,0,0,8941,0,0,0,0,0,0,0,18817,12180,20410,0,0,7492,0,0,0,328,466,16555,10597,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,Zuid-Holland,63362,543880,579227,3955,587,574685,0,0,0,0,0,0,0,0,0,0,19397,0,0,0,0,0,0,0,118624,171773,87840,0,0,24494,0,0,0,7225,11594,62044,65623,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,Drenthe,18326,100999,91090,3143,100,87847,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,3843,26631,15685,0,0,12078,0,0,0,0,320,12530,5517,209,6341,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,Fryslân,22869,210363,195138,5539,0,189599,0,0,0,0,0,0,0,0,0,0,1062,0,0,0,0,0,0,0,12112,54541,42901,0,0,17994,0,0,0,0,1589,35309,11705,438,4014,1846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,Gelderland,52268,376066,363415,5408,743,357261,0,0,0,0,0,0,0,0,0,0,11676,0,0,0,0,0,0,0,112581,64516,37993,0,0,21050,0,0,0,0,4101,51657,34110,1857,3778,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,Groningen,32656,198449,179364,5083,135,174146,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,8566,60495,36427,0,0,19808,0,0,0,0,1722,17835,13966,356,4188,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,Limburg,64032,214453,175005,1514,1022,175562,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,142373,19452,1167,0,0,1306,0,0,0,0,111,1593,1214,987,282,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
