Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;2848
Alkmaar;KD34;Opkomst;;1213
Alkmaar;KD34;AantalStembriefjes;;1213
Alkmaar;KD34;AantalGeldigeStemmen;;1204
Alkmaar;KD34;AantalBlancoStemmen;;9
Alkmaar;KD34;;J.J. Rochussen;889
Alkmaar;KD34;;S.A.de Moraaz;280
Almelo;KD15;Kiesgerechtigden;;1651
Almelo;KD15;AantalStembriefjes;;1201
Almelo;KD15;Opkomst;;1199
Almelo;KD15;AantalGeldigeStemmen;;1194
Almelo;KD15;AantalBlancoStemmen;;6
Almelo;KD15;;mr. M.J.de Man;664
Almelo;KD15;;S.A.van Hoogstraten;472
Almelo;KD15;;jhr. J.W.van Thye Hannes;28
Amersfoort;KD26;Kiesgerechtigden;;3016
Amersfoort;KD26;AantalStembriefjes;;1653
Amersfoort;KD26;Opkomst;;1652
Amersfoort;KD26;AantalGeldigeStemmen;;1635
Amersfoort;KD26;AantalBlancoStemmen;;17
Amersfoort;KD26;;mr. W.L.F.C. ridder van Rappard;879
Amersfoort;KD26;;mr. A.W. Engelen;379
Amersfoort;KD26;;mr. W.J.C.van Hasselt;303
Amsterdam;KD72;AantalGeldigeStemmen;;4757
Amsterdam;KD72;Kiesgerechtigden;;3873
Amsterdam;KD72;AantalStembriefjes;;1601
Amsterdam;KD72;Opkomst;;1595
Amsterdam;KD72;AantalBlancoStemmen;;28
Amsterdam;KD72;;S.R.van Franck;974
Amsterdam;KD72;;dr. J. Bosscha;874
Amsterdam;KD72;;J.C. Baud;766
Amsterdam;KD72;;jhr. J.P. Cornets de Groot van Kraayenburg;600
Amsterdam;KD72;;mr. P. Blussé van Oud-Alblas;558
Amsterdam;KD72;;S. Cool;370
Amsterdam;KD72;;dr. E.C. Büchner;259
Amsterdam;KD72;;mr.dr. J.J. Teding van Berkhout;163
Amsterdam;KD72;;mr. G. Groen van Prinsterer;150
Appingedam;KD3;Kiesgerechtigden;;2937
Appingedam;KD3;Opkomst;;1333
Appingedam;KD3;AantalStembriefjes;;1333
Appingedam;KD3;AantalGeldigeStemmen;;1322
Appingedam;KD3;AantalBlancoStemmen;;10
Appingedam;KD3;;J.F. Zijlker;922
Appingedam;KD3;;mr. G. Diephuis;237
