Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;7236
Alkmaar;KD34;Opkomst;;6464
Alkmaar;KD34;AantalStembriefjes;;6464
Alkmaar;KD34;AantalGeldigeStemmen;;6405
Alkmaar;KD34;AantalBlancoStemmen;;59
Alkmaar;KD34;;jhr.mr. T.A.J.van Asch van Wijck;2719
Alkmaar;KD34;;mr. E. Fokker;2158
Alkmaar;KD34;;mr. W.van der Kaay;1413
Alkmaar;KD34;;J.G.van Kuykhof;115
Almelo;KD15;Kiesgerechtigden;;7567
Almelo;KD15;Opkomst;;6710
Almelo;KD15;AantalStembriefjes;;6710
Almelo;KD15;AantalGeldigeStemmen;;6591
Almelo;KD15;AantalBlancoStemmen;;119
Almelo;KD15;;dr. H.J.A.M. Schaepman;3504
Almelo;KD15;;P.van Vliet;1295
Almelo;KD15;;mr. H. Goeman Borgesius;771
Almelo;KD15;;W.P. Zeilmaker;467
Almelo;KD15;;W.P.G. Helsdingen;435
Amersfoort;KD26;Kiesgerechtigden;;6994
Amersfoort;KD26;Opkomst;;5728
Amersfoort;KD26;AantalStembriefjes;;5728
Amersfoort;KD26;AantalGeldigeStemmen;;5670
Amersfoort;KD26;AantalBlancoStemmen;;58
Amersfoort;KD26;;mr. F.D.graaf van Schimmelpenninck;2682
Amersfoort;KD26;;jhr.mr. T.A.J.van Asch van Wijck;1353
Amersfoort;KD26;;mr. W.H.de Beaufort;1283
Amersfoort;KD26;;C.A. Zelvelder;352
Amsterdam I;KD28;Kiesgerechtigden;;4760
Amsterdam I;KD28;Opkomst;;2840
Amsterdam I;KD28;AantalStembriefjes;;2840
Amsterdam I;KD28;AantalGeldigeStemmen;;2783
Amsterdam I;KD28;AantalBlancoStemmen;;57
Amsterdam I;KD28;;dr. H.J.A.M. Schaepman;832
Amsterdam I;KD28;;mr. M.J. Pijnappel;747
Amsterdam I;KD28;;mr. A. Kerdijk;421
Amsterdam I;KD28;;J. Bosch;230
Amsterdam I;KD28;;A.L.van Hasselt;228
Amsterdam I;KD28;;C.H. Kouw;220
Amsterdam I;KD28;;W.H. Vliegen;105
Amsterdam II;KD29;Kiesgerechtigden;;2250
Amsterdam II;KD29;Opkomst;;1487
Amsterdam II;KD29;AantalStembriefjes;;1487
Amsterdam II;KD29;AantalGeldigeStemmen;;1469
Amsterdam II;KD29;AantalBlancoStemmen;;18
Amsterdam II;KD29;;H.F. Groen van Waarder;414
Amsterdam II;KD29;;F.G. Mellink Pzn.;400
Amsterdam II;KD29;;G.A. Aalderink;213
Amsterdam II;KD29;;T.J. Weesing;180
Amsterdam II;KD29;;A.D.de Marez Oyens;163
Amsterdam II;KD29;;W.P.G. Helsdingen;86
Amsterdam III;KD30;Kiesgerechtigden;;4566
Amsterdam III;KD30;Opkomst;;2832
Amsterdam III;KD30;AantalStembriefjes;;2832
Amsterdam III;KD30;AantalGeldigeStemmen;;2794
Amsterdam III;KD30;AantalBlancoStemmen;;38
Amsterdam III;KD30;;mr. A.F.K. Hartogh;1015
Amsterdam III;KD30;;W. Hovy;679
Amsterdam III;KD30;;C.V. Gerritsen;626
Amsterdam III;KD30;;F.van der Goes;270
Amsterdam III;KD30;;mr. H. Verkouteren;204
Amsterdam IV;KD31;Kiesgerechtigden;;3268
Amsterdam IV;KD31;Opkomst;;2001
Amsterdam IV;KD31;AantalStembriefjes;;2001
Amsterdam IV;KD31;AantalGeldigeStemmen;;1975
Amsterdam IV;KD31;AantalBlancoStemmen;;26
Amsterdam IV;KD31;;mr. J.G. Gleichman;867
Amsterdam IV;KD31;;mr. Z.van den Bergh;522
Amsterdam IV;KD31;;mr. A.H.M.van Berckel;213
Amsterdam IV;KD31;;J. Loopuit;150
Amsterdam IV;KD31;;F.H.van Eeghen;116
Amsterdam IV;KD31;;H.P.C.W.H.J.B.van Son;107
Amsterdam IX;KD115;Kiesgerechtigden;;5215
Amsterdam IX;KD115;Opkomst;;3385
Amsterdam IX;KD115;AantalGeldigeStemmen;;3385
Amsterdam IX;KD115;AantalStembriefjes;;3385
Amsterdam IX;KD115;AantalBlancoStemmen;;0
Amsterdam IX;KD115;;mr. J.P.R. Tak van Poortvliet;1520
Amsterdam IX;KD115;;dr. A. Kuyper;1142
Amsterdam IX;KD115;;dr. J.T.de Visser;472
Amsterdam IX;KD115;;J.A. Fortuyn;251
Amsterdam V;KD32;Kiesgerechtigden;;5945
Amsterdam V;KD32;Opkomst;;3553
Amsterdam V;KD32;AantalStembriefjes;;3553
Amsterdam V;KD32;AantalGeldigeStemmen;;3514
Amsterdam V;KD32;AantalBlancoStemmen;;39
Amsterdam V;KD32;;mr. N.G. Pierson;1128
Amsterdam V;KD32;;T.M. Ketelaar;911
Amsterdam V;KD32;;W.C.J. Passtoors;545
Amsterdam V;KD32;;mr. D.P.D. Fabius;486
Amsterdam V;KD32;;H.P.C.W.H.J.B.van Son;322
Amsterdam V;KD32;;J.G.van Kuykhof;122
Amsterdam VI;KD112;Kiesgerechtigden;;5040
Amsterdam VI;KD112;Opkomst;;3137
Amsterdam VI;KD112;AantalGeldigeStemmen;;3137
Amsterdam VI;KD112;AantalStembriefjes;;3137
Amsterdam VI;KD112;AantalBlancoStemmen;;0
Amsterdam VI;KD112;;J.T. Cremer;1484
Amsterdam VI;KD112;;dr. P.J.H. Cuypers;789
Amsterdam VI;KD112;;J.D. Root jr.;442
Amsterdam VI;KD112;;mr. H. Verkouteren;422
Amsterdam VII;KD113;Kiesgerechtigden;;3667
Amsterdam VII;KD113;Opkomst;;2481
Amsterdam VII;KD113;AantalStembriefjes;;2481
Amsterdam VII;KD113;AantalGeldigeStemmen;;2412
Amsterdam VII;KD113;AantalBlancoStemmen;;69
Amsterdam VII;KD113;;B.H. Heldt;901
Amsterdam VII;KD113;;W.C.J. Passtoors;622
Amsterdam VII;KD113;;G.H. Wagenaar;438
Amsterdam VII;KD113;;H.P.C.W.H.J.B.van Son;283
Amsterdam VII;KD113;;J.A. Fortuyn;168
Amsterdam VIII;KD114;Kiesgerechtigden;;2462
Amsterdam VIII;KD114;Opkomst;;1686
Amsterdam VIII;KD114;AantalStembriefjes;;1686
Amsterdam VIII;KD114;AantalGeldigeStemmen;;1656
Amsterdam VIII;KD114;AantalBlancoStemmen;;30
Amsterdam VIII;KD114;;P. Nolting;459
Amsterdam VIII;KD114;;mr. Th. Heemskerk;383
Amsterdam VIII;KD114;;W.C.J. Passtoors;355
Amsterdam VIII;KD114;;mr. I.A. Levy;254
Amsterdam VIII;KD114;;A. Harmsen jr.;205
Apeldoorn;KD91;Kiesgerechtigden;;6693
Apeldoorn;KD91;Opkomst;;4946
Apeldoorn;KD91;AantalStembriefjes;;4946
Apeldoorn;KD91;AantalGeldigeStemmen;;4859
Apeldoorn;KD91;AantalBlancoStemmen;;87
Apeldoorn;KD91;;mr. W.K.F.P.graaf van Bylandt;2455
Apeldoorn;KD91;;H.C.van der Houven van Oordt;2164
Apeldoorn;KD91;;J.G.van Kuykhof;240
Appingedam;KD3;Kiesgerechtigden;;6976
Appingedam;KD3;Opkomst;;5690
Appingedam;KD3;AantalStembriefjes;;5690
Appingedam;KD3;AantalGeldigeStemmen;;5583
Appingedam;KD3;AantalBlancoStemmen;;107
Appingedam;KD3;;J. Schepel;2128
Appingedam;KD3;;J. Bouwes;1923
Appingedam;KD3;;J. Schoonbeek;860
Appingedam;KD3;;J. Doornbosch;621
Appingedam;KD3;;jhr.mr. O.Q.van Swinderen;51
Arnhem;KD17;Kiesgerechtigden;;4972
Arnhem;KD17;Opkomst;;4267
Arnhem;KD17;AantalStembriefjes;;4267
Arnhem;KD17;AantalGeldigeStemmen;;4202
Arnhem;KD17;AantalBlancoStemmen;;65
Arnhem;KD17;;mr. P. Rink;2130
Arnhem;KD17;;dr. H.J.A.M. Schaepman;1168
Arnhem;KD17;;A.D.P.V.van Löben Sels;567
Arnhem;KD17;;H.H.van Kol;337
Assen;KD5;Kiesgerechtigden;;6310
