RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Liberale Unie;CHU 1;Vrijzinnig-Democratische Bond (VDB);Economische Bond;Bond van Vrije Liberalen 1;Sociaal-Democratische Partij (SDP);Middenstandspartij;Christen-Democratische Partij;CHU 2;Socialistische Partij (SOPA);Bond van Vrije Liberalen 2;Bond van Christen-Socialisten;Christelijk-Sociale Partij;Neutrale Partij;Verbond Democratisering Weermacht;Algemene Staatspartij;Politie Partij;Plattelandersbond (links);Staatkundig Gereformeerde Partij (SGP);Plattelandersbond (rechts);Algemeen Vrijzinnige Partij;Groep Van der Zwaag;Groep Alberda;Groep Kuiper;Amsterdamse Politie- en Brandweerpartij;Nationale Bond van Protestantse Kiezers;Unionisten-Liga (Volkswelvaartspartij);Neutrale en Koloniale Bond;Volkspartij;Groep Stoffel;Groep Braam
Oudewater;G0589;10188;Zuid-Holland;P28;661;606;0;;606;247;49;116;42;69;34;;7;1;4;;4;1;;3;10;4;1;;6;5;;2;1;;;;;;;;;;
Oudheusden;G1145;10812;Noord-Brabant;P30;294;285;0;;285;262;2;2;1;9;;2;;;2;;;;;;;;;;5;;;;;;;;;;;;;;
Oudkarspel;G1146;11051;Noord-Holland;P27;527;471;0;;471;92;69;22;5;1;217;7;27;4;4;7;1;;;6;;;4;1;;2;;;;;;;;;2;;;;
Oudorp;G0438;10363;Noord-Holland;P27;222;210;0;;210;145;9;1;18;1;6;;22;;;;1;;;2;1;;1;;3;;;;;;;;;;;;;;
Oud-Valkenburg;G1140;10868;Limburg;P31;221;207;0;;207;191;2;;1;;3;4;1;;1;;;;;;;;;2;2;;;;;;;;;;;;;;
Oud-Vossemeer;G0696;10134;Zeeland;P29;507;456;0;;456;97;9;133;124;38;2;3;;1;6;;9;1;;;3;2;2;4;11;;11;;;;;;;;;;;;
Oud-Vroenhoven;G1141;11348;Limburg;P31;763;694;0;;694;527;98;1;7;1;19;15;4;3;2;;;;;;2;;3;10;2;;;;;;;;;;;;;;
Ouwerkerk;G1148;10968;Zeeland;P29;192;183;0;;183;1;50;19;79;3;10;1;1;;6;;1;;;1;1;;1;;3;3;3;;;;;;;;;;;;
Overasselt;G0271;10952;Gelderland;P25;451;427;0;;427;395;1;;;2;2;3;10;1;;7;;;;;1;;1;;4;;;;;;;;;;;;;;
Overschie;G1149;10683;Zuid-Holland;P28;1086;989;0;;989;171;165;146;102;269;26;24;12;9;12;7;6;2;3;6;1;3;;;;3;9;7;4;;;;;;;;2;;
Overslag;G0697;10730;Zeeland;P29;84;82;0;;82;39;4;;24;1;5;;1;;;;;;;2;;;;4;2;;;;;;;;;;;;;;
Ovezande;G0698;11422;Zeeland;P29;281;277;0;;277;228;;6;7;25;1;;;;;;;;;;;;;;9;;1;;;;;;;;;;;;
Pannerden;G0272;10518;Gelderland;P25;341;268;0;;268;251;1;;;1;1;;;;;13;;;;;;;;;1;;;;;;;;;;;;;;
Papekop;G1151;11244;Zuid-Holland;P28;97;95;0;;95;33;1;20;1;21;10;;1;1;;1;;;;;1;;;;1;4;;;;;;;;;;;;;
Papendrecht;G0590;10427;Zuid-Holland;P28;984;807;0;;807;5;214;314;73;9;13;10;6;12;2;4;9;2;2;3;;;4;;;1;14;29;1;;;;;;;;80;;
Peize;G0124;10501;Drenthe;P22;540;507;0;;507;;300;16;46;1;21;72;5;3;3;;14;;2;;4;1;;;4;13;;2;;;;;;;;;;;
Pernis;G1152;11245;Zuid-Holland;P28;801;649;0;;649;6;101;217;38;199;15;5;17;6;7;1;1;3;1;2;;4;;;;6;2;16;1;;;;;;;;1;;
Petten;G1153;11057;Noord-Holland;P27;89;87;0;;87;4;70;;;;10;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;
Peursum;G1154;10391;Zuid-Holland;P28;101;94;0;;94;;3;41;;6;1;;38;;;;;4;;;;;;;;;;1;;;;;;;;;;;
Philippine;G0699;10486;Zeeland;P29;222;205;0;;205;134;7;1;54;;1;;;;;;;;1;;;;;2;4;;1;;;;;;;;;;;;
Piershil;G0591;10179;Zuid-Holland;P28;221;207;0;;207;1;13;71;;6;9;3;22;3;3;;;2;3;;;2;;;;11;35;21;1;;;;;;;;1;;
Pijnacker;G0594;10031;Zuid-Holland;P28;573;545;0;;545;204;16;58;5;188;2;2;34;1;4;;;1;;1;8;2;1;4;4;6;;4;;;;;;;;;;;
Poederoijen;G1155;10135;Gelderland;P25;300;267;0;;267;;13;181;16;18;1;;22;;1;;2;;2;6;;;1;3;;;1;;;;;;;;;;;;
Polsbroek;G0338;10993;Utrecht;P26;226;154;0;;154;50;;85;;8;7;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;
Poortugal;G0592;11395;Zuid-Holland;P28;367;338;0;;338;21;93;73;46;11;7;5;25;12;;3;4;1;1;2;;;1;;;19;3;7;4;;;;;;;;;;
Poortvliet;G0700;11181;Zeeland;P29;412;374;0;;374;7;5;142;67;61;8;6;1;3;6;;13;1;;;1;1;1;4;2;;45;;;;;;;;;;;;
Posterholt;G0956;10456;Limburg;P31;348;335;0;;335;320;3;;2;;2;3;;;;;;;;1;;;;2;2;;;;;;;;;;;;;;
Princenhage;G1156;10762;Noord-Brabant;P30;2685;2458;0;;2458;1949;315;14;7;29;6;40;18;19;6;1;1;;;11;1;13;21;1;6;;;;;;;;;;;;;;
Purmerend;G0439;11066;Noord-Holland;P27;1618;1507;0;;1507;379;456;53;203;56;152;51;18;39;19;4;2;4;;33;1;7;5;6;2;1;;14;;;;;;;2;;;;
Putte;G0833;10099;Noord-Brabant;P30;264;225;0;;225;158;45;4;5;3;1;1;;1;2;1;;;;1;;;2;;1;;;;;;;;;;;;;;
Putten;G0273;11109;Gelderland;P25;1495;1245;0;;1245;37;49;289;10;760;10;18;13;3;25;;3;;3;1;;2;2;6;8;;5;;;;;;1;;;;;;
Puttershoek;G0593;10222;Zuid-Holland;P28;487;405;0;;405;17;63;147;6;44;21;9;52;2;7;;;2;3;1;2;4;2;;;12;;8;2;;;;;;;;1;;
Raalte;G0177;10279;Overijssel;P23;1939;1778;0;;1778;1276;85;30;31;18;30;6;109;1;1;;21;4;7;;63;1;2;6;3;81;;3;;;;;;;;;;;
Raamsdonk;G0834;11391;Noord-Brabant;P30;1504;1253;0;;1253;894;23;94;8;198;6;4;7;6;2;3;;;;;4;;;;4;;;;;;;;;;;;;;
Ransdorp;G1157;10789;Noord-Holland;P27;540;469;0;;469;24;83;68;79;33;11;13;4;9;7;24;;21;;9;3;3;2;1;1;8;;66;;;;;;;;;;;
Rauwerderhem;G0087;10330;Fryslân;P21;754;698;0;;698;99;285;72;32;20;18;10;71;1;;3;2;;3;2;2;1;;6;3;46;;2;;14;5;1;;;;;;;
Ravenstein;G0835;10805;Noord-Brabant;P30;201;188;0;;188;175;2;;;;1;1;3;;2;;;;;1;;;;;3;;;;;;;;;;;;;;
Reek;G1158;10671;Noord-Brabant;P30;230;225;0;;225;221;;;;;;2;;;1;;;;;;;;;;1;;;;;;;;;;;;;;
Reeuwijk;G0595;10485;Zuid-Holland;P28;806;743;0;;743;202;59;141;214;55;6;3;3;5;1;2;12;1;;2;13;;1;;15;3;;4;1;;;;;;;;;;
Renesse;G1159;10412;Zeeland;P29;176;159;0;;159;1;18;15;82;1;3;6;1;;1;;1;1;2;1;;;1;3;7;14;1;;;;;;;;;;;;
Renkum;G0274;11325;Gelderland;P25;2532;2249;0;;2249;431;421;483;83;217;206;56;193;5;23;10;6;;19;28;8;5;3;17;10;3;16;;;;;;6;;;;;;
Renswoude;G0339;10269;Utrecht;P26;325;240;0;;240;6;25;110;;83;12;;;;;1;;;;;;;;;;;;3;;;;;;;;;;;
Retranchement;G0701;10400;Zeeland;P29;181;174;0;;174;7;5;23;118;7;1;;;;1;;;;2;1;;;;3;5;;1;;;;;;;;;;;;
Reusel;G0836;10162;Noord-Brabant;P30;345;341;0;;341;336;2;;;;;;;;2;;;;;;;1;;;;;;;;;;;;;;;;;
Rheden;G0275;11355;Gelderland;P25;4562;3957;0;;3957;517;1197;566;267;269;228;357;282;15;40;16;15;;12;46;39;10;9;21;19;8;14;;;;;;10;;;;;;
Rhenen;G0340;10309;Utrecht;P26;1487;1169;0;;1169;;378;159;;601;16;;;1;;11;;;;3;;;;;;;;;;;;;;;;;;;
Rhoon;G0596;10903;Zuid-Holland;P28;452;403;0;;403;57;52;108;11;57;4;4;50;4;1;5;3;5;;1;1;1;3;;;10;1;21;4;;;;;;;;;;
