RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Liberale Unie;CHU 1;Vrijzinnig-Democratische Bond (VDB);Economische Bond;Bond van Vrije Liberalen 1;Sociaal-Democratische Partij (SDP);Middenstandspartij;Christen-Democratische Partij;CHU 2;Socialistische Partij (SOPA);Bond van Vrije Liberalen 2;Bond van Christen-Socialisten;Christelijk-Sociale Partij;Neutrale Partij;Verbond Democratisering Weermacht;Algemene Staatspartij;Politie Partij;Plattelandersbond (links);Staatkundig Gereformeerde Partij (SGP);Plattelandersbond (rechts);Algemeen Vrijzinnige Partij;Groep Van der Zwaag;Groep Alberda;Groep Kuiper;Amsterdamse Politie- en Brandweerpartij;Nationale Bond van Protestantse Kiezers;Unionisten-Liga (Volkswelvaartspartij);Neutrale en Koloniale Bond;Volkspartij;Groep Stoffel;Groep Braam
's-Gravenzande;G0519;10640;Zuid-Holland;P28;1262;1143;0;;1143;39;231;311;230;209;17;9;10;15;3;3;21;;7;2;3;5;3;;;5;2;14;3;;;;;;;;1;;
's-Heer Abtskerke;G0669;10337;Zeeland;P29;87;82;0;;82;15;;18;7;18;13;;;;;;1;;;2;1;;1;;5;1;;;;;;;;;;;;;
's-Heer Arendskerke;G0670;10875;Zeeland;P29;829;786;0;;786;141;25;202;105;192;33;12;2;1;1;;5;1;;18;2;;2;7;11;1;25;;;;;;;;;;;;
's-Heerenhoek;G0671;10721;Zeeland;P29;265;261;0;;261;228;;7;1;22;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;7721;6830;0;;6830;4916;537;91;11;32;189;186;95;14;135;8;11;246;;7;14;165;92;20;61;;;;;;;;;;;;;;
Sijbekarspel;G0447;11167;Noord-Holland;P27;325;311;0;;311;102;40;3;98;1;18;7;1;3;3;1;1;;;29;;;1;;1;;;2;;;;;;;;;;;
Simpelveld;G0965;10515;Limburg;P31;542;513;0;;513;412;24;2;1;;34;24;;1;1;;;;;;;1;;6;7;;;;;;;;;;;;;;
Sint Annaland;G0708;11200;Zeeland;P29;654;563;0;;563;6;3;135;144;68;13;12;3;3;8;;10;1;3;3;2;2;2;9;3;5;128;;;;;;;;;;;;
Sint Geertruid;G0966;10288;Limburg;P31;231;223;0;;223;220;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sint Jansteen;G0709;10864;Zeeland;P29;559;511;0;;511;410;5;4;24;2;42;6;1;;1;;;2;1;;2;;;8;2;;1;;;;;;;;;;;;
Sint Kruis;G1178;10235;Zeeland;P29;114;108;0;;108;68;1;1;34;1;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Sint Laurens;G1179;10106;Zeeland;P29;183;172;0;;172;1;2;111;8;16;8;2;2;;4;;3;1;;1;;;;1;1;;11;;;;;;;;;;;;
Sint Maarten;G0445;10740;Noord-Holland;P27;331;302;0;;302;59;30;33;7;;133;;8;7;3;3;;2;;5;1;;9;1;;;;;;;;;;;1;;;;
Sint Maartensdijk;G0711;10716;Zeeland;P29;730;628;0;;628;5;146;148;93;142;9;;3;3;1;;6;1;5;3;12;;4;4;3;2;38;;;;;;;;;;;;
Sint Odiliënberg;G0967;10278;Limburg;P31;253;238;0;;238;223;3;1;1;;1;6;;;;;;;;;;;;3;;;;;;;;;;;;;;;
Sint Pancras;G0446;10513;Noord-Holland;P27;290;271;0;;271;16;44;42;7;3;59;5;10;1;1;9;57;3;;7;1;4;;;1;;;;;;;;;;1;;;;
Sint Philipsland;G0712;10394;Zeeland;P29;524;452;0;;452;2;31;252;79;45;9;2;1;3;4;;8;1;1;1;1;;;3;4;;5;;;;;;;;;;;;
Sint Pieter;G1180;10137;Limburg;P31;471;412;0;;412;241;107;2;9;2;21;12;1;1;1;;;;;2;;2;5;5;1;;;;;;;;;;;;;;
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;910;877;0;;877;823;2;1;;11;;4;3;;17;1;;;;;3;9;1;;2;;;;;;;;;;;;;;
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;1305;1217;0;;1217;1160;9;;1;10;7;10;1;;11;;;;;;1;4;1;;2;;;;;;;;;;;;;;
Sittard;G0968;11230;Limburg;P31;1833;1637;0;;1637;1364;105;1;22;13;38;45;2;5;3;;;;;9;1;1;3;18;7;;;;;;;;;;;;;;
Sleen;G0130;10489;Drenthe;P22;1052;951;0;;951;1;263;128;249;57;151;5;3;3;12;;16;;2;;15;4;9;2;6;10;;15;;;;;;;;;;;
Slenaken;G0969;11274;Limburg;P31;120;111;0;;111;110;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Sliedrecht;G0610;11331;Zuid-Holland;P28;2785;2040;0;;2040;12;865;506;237;112;37;29;64;23;13;7;16;3;3;3;4;3;3;;;11;31;35;12;;;;;;;;11;;
Slochteren;G0040;10747;Groningen;P20;3221;2889;0;;2889;43;1271;497;340;120;306;48;3;37;22;11;6;9;12;7;10;4;2;4;20;92;;16;;;;;;;;;;;9
Sloten (F);G0089;10867;Fryslân;P21;209;194;0;;194;26;33;48;5;55;4;5;1;;;;;;6;;1;;;;7;;;;;2;1;;;;;;;;
Sloten (NH);G1181;10148;Noord-Holland;P27;3598;3144;0;;3144;831;173;282;148;288;80;991;57;87;24;30;9;32;4;15;10;18;12;37;13;;;;;;;;;2;1;;;;
Sluis;G0713;10895;Zeeland;P29;516;470;0;;470;215;30;16;145;24;4;6;;;2;;1;;6;3;2;2;4;4;5;;1;;;;;;;;;;;;
Smallingerland;G0090;10405;Fryslân;P21;3353;3024;0;;3024;2;1039;1102;55;135;398;20;9;52;;7;2;2;9;14;20;17;1;30;8;22;;3;;67;7;3;;;;;;;
Smilde;G0131;11033;Drenthe;P22;1332;1185;0;;1185;7;176;385;29;238;218;6;27;11;5;;23;;7;;5;13;4;1;11;16;;3;;;;;;;;;;;
Sneek;G0091;11421;Fryslân;P21;3168;2754;0;;2754;369;750;572;35;232;232;59;46;47;;135;1;5;86;36;9;24;7;13;10;6;;3;;31;42;4;;;;;;;
Snelrewaard;G0341;10802;Utrecht;P26;137;115;0;;115;73;;20;;21;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soerendonk, Sterksel en Gastel;G1183;10047;Noord-Brabant;P30;268;251;0;;251;247;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soest;G0342;11021;Utrecht;P26;1591;1466;0;;1466;670;185;170;17;125;59;29;85;5;15;5;;;43;6;1;4;18;8;10;;8;3;;;;;;;;;;;
Someren;G0847;10203;Noord-Brabant;P30;859;786;0;;786;758;1;1;;11;;1;2;;7;;;;;;;1;3;;1;;;;;;;;;;;;;;
Sommelsdijk;G1184;11097;Zuid-Holland;P28;825;741;0;;741;21;88;409;110;2;10;9;13;6;10;2;9;2;;;3;3;1;;;10;1;25;6;;;;;;;;1;;
Son en Breugel;G0848;10549;Noord-Brabant;P30;451;427;0;;427;424;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
Spaarndam;G1185;10192;Noord-Holland;P27;227;208;0;;208;41;79;11;10;26;8;14;2;3;2;1;1;1;;3;;;4;;1;;;;;;;;;;1;;;;
Spanbroek;G1186;10063;Noord-Holland;P27;377;362;0;;362;282;7;;47;2;9;3;1;;;;;;;7;;;1;1;2;;;;;;;;;;;;;;
Spaubeek;G0970;10552;Limburg;P31;199;190;0;;190;180;4;;;1;;1;;;;;;;;;;;;2;2;;;;;;;;;;;;;;
Spijkenisse;G0612;10735;Zuid-Holland;P28;554;522;0;;522;;190;132;21;62;12;1;28;14;6;2;3;3;10;2;3;;1;;;14;1;13;4;;;;;;;;;;
Sprang;G1187;10659;Noord-Brabant;P30;487;444;0;;444;38;35;240;10;33;5;25;13;2;9;17;1;1;;1;5;3;2;;4;;;;;;;;;;;;;;
Stad aan 't Haringvliet;G1188;11239;Zuid-Holland;P28;269;244;0;;244;3;14;100;72;14;2;1;7;;2;1;14;1;3;;;1;1;;;;;8;;;;;;;;;;;
Stad Delden;G0179;10913;Overijssel;P23;556;528;0;;528;296;35;18;37;20;86;4;5;3;1;;4;1;3;;5;1;;4;2;2;;1;;;;;;;;;;;
Stad Doetinchem;G1190;10603;Gelderland;P25;1103;1001;0;;1001;209;301;48;100;39;43;19;108;4;24;4;2;;25;24;29;2;1;2;16;;1;;;;;;;;;;;;
Stad Hardenberg;G1191;11169;Overijssel;P23;476;451;0;;451;3;60;185;113;9;4;5;4;;1;;44;;1;2;6;5;;4;2;;;3;;;;;;;;;;;
Stad Ommen;G1192;10381;Overijssel;P23;486;443;0;;443;31;40;159;34;11;26;2;41;;1;;7;1;1;;74;3;;5;2;3;1;1;;;;;;;;;;;
Stad Vollenhove;G1193;11183;Overijssel;P23;416;388;0;;388;67;61;63;133;33;4;4;8;;;1;;1;3;;;4;;1;;;2;3;;;;;;;;;;;
Standdaarbuiten;G0850;11212;Noord-Brabant;P30;426;412;0;;412;394;;1;5;9;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;
Staphorst;G0180;11362;Overijssel;P23;1672;1543;0;;1543;8;29;939;179;23;13;8;27;10;3;4;192;2;60;2;6;10;2;4;5;5;5;7;;;;;;;;;;;
Stavenisse;G0714;10619;Zeeland;P29;451;394;0;;394;14;4;59;24;220;6;15;4;1;5;;9;2;1;3;3;;3;5;2;1;13;;;;;;;;;;;;
Staveren;G1257;10240;Fryslân;P21;240;206;0;;206;6;81;28;2;48;12;8;1;2;;3;;;3;1;;2;;1;1;1;;;;4;1;1;;;;;;;
Stedum;G0041;10771;Groningen;P20;543;522;0;;522;3;98;212;8;88;61;13;3;7;2;1;;;19;;;;;;3;;;;;;;;;;;;;;4
Steenbergen;G1376;10731;Noord-Brabant;P30;2098;1945;0;;1945;1730;54;2;74;29;2;5;1;22;3;;1;;;5;5;6;3;;3;;;;;;;;;;;;;;
Steenderen;G0280;10497;Gelderland;P25;972;917;0;;917;387;114;205;113;13;15;2;19;3;4;3;2;;10;10;10;1;;4;2;;;;;;;;;;;;;;
Steenwijk;G0181;10546;Overijssel;P23;1491;1361;0;;1361;67;446;216;128;245;56;37;61;8;7;47;1;2;1;8;2;3;1;16;2;3;1;3;;;;;;;;;;;
Steenwijkerwold;G0182;11347;Overijssel;P23;1479;1367;0;;1367;231;276;248;284;168;6;2;23;5;7;5;38;7;;1;4;30;1;15;2;10;1;3;;;;;;;;;;;
Stein;G0971;11319;Limburg;P31;605;563;0;;563;528;11;;6;2;1;2;1;1;;;;;;;;;3;4;4;;;;;;;;;;;;;;
Stellendam;G1195;10087;Zuid-Holland;P28;416;369;0;;369;2;53;194;55;3;10;3;14;1;2;1;8;;1;3;;2;1;;;2;3;7;3;;;;;;;;1;;
Stevensweert;G0972;11203;Limburg;P31;268;256;0;;256;228;5;1;10;3;;1;;;;;;;;3;;;;4;1;;;;;;;;;;;;;;
Stiphout;G1196;11386;Noord-Brabant;P30;201;194;0;;194;183;;1;;;;;;;7;;;;;;;;;;3;;;;;;;;;;;;;;
Stolwijk;G0615;11250;Zuid-Holland;P28;638;586;0;;586;5;113;162;166;5;28;10;4;3;7;2;9;;;37;1;5;5;1;7;11;;5;;;;;;;;;;;
Stompwijk;G1197;10742;Zuid-Holland;P28;949;896;0;;896;586;135;30;28;57;4;3;2;4;;1;3;2;;1;29;1;1;;4;1;;;4;;;;;;;;;;
Stoppeldijk;G1198;10100;Zeeland;P29;381;365;0;;365;332;4;2;4;1;11;1;;;;;;;;1;1;;;4;2;;2;;;;;;;;;;;;
Stoutenburg;G0343;10438;Utrecht;P26;257;210;0;;210;174;3;14;;16;1;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;
Stramproy;G0973;11186;Limburg;P31;338;333;0;;333;330;;;;;;1;;;;;;;;;;;;2;;;;;;;;;;;;;;;
Stratum;G1199;10172;Noord-Brabant;P30;1410;1300;0;;1300;1021;171;6;11;6;13;22;4;1;12;3;6;;;4;3;5;4;1;7;;;;;;;;;;;;;;
Streefkerk;G0616;11105;Zuid-Holland;P28;435;403;0;;403;3;17;177;58;62;11;4;7;2;8;1;13;;3;2;2;1;1;;;1;;26;2;;;;;;;;2;;
Strijen;G0617;10558;Zuid-Holland;P28;1067;976;0;;976;3;181;220;21;139;80;14;170;17;12;2;4;14;8;3;6;6;3;;;36;2;25;6;;;;;;;;4;;
Strijp;G1201;10521;Noord-Brabant;P30;1244;1134;0;;1134;837;177;17;3;7;32;15;1;1;9;2;1;;;14;1;8;3;1;5;;;;;;;;;;;;;;
Susteren;G0974;10457;Limburg;P31;675;641;0;;641;591;16;1;4;2;3;10;1;5;1;;;;;;;;1;4;2;;;;;;;;;;;;;;
Swalmen;G0975;10474;Limburg;P31;820;789;0;;789;742;13;2;18;;2;2;2;;;;;;;1;;;;5;2;;;;;;;;;;;;;;
't Zandt;G0054;10956;Groningen;P20;786;719;0;;719;4;200;192;62;57;126;18;5;3;7;3;1;;23;1;;;;;13;3;;1;;;;;;;;;;;
Tegelen;G0976;11333;Limburg;P31;1369;1286;0;;1286;1164;17;1;21;3;9;13;5;32;2;;;;;1;1;;3;10;4;;;;;;;;;;;;;;
Ten Boer;G0009;10891;Groningen;P20;1291;1192;0;;1192;3;373;417;142;28;163;14;1;7;6;1;;;6;3;2;2;3;;4;11;;4;;;;;;;;;;;2
Ter Aar;G0480;11104;Zuid-Holland;P28;703;658;0;;658;348;4;118;22;114;3;5;2;;3;;2;;;;12;;1;;9;9;;5;1;;;;;;;;;;
Terheijden;G0853;10905;Noord-Brabant;P30;873;820;0;;820;779;12;1;;18;1;;;4;;1;1;;;;;;3;;;;;;;;;;;;;;;;
Termunten;G0042;11023;Groningen;P20;878;759;0;;759;6;339;187;21;5;118;19;2;10;9;5;;1;5;2;5;5;5;;5;4;;6;;;;;;;;;;;
Terneuzen;G0715;10704;Zeeland;P29;2117;1860;0;;1860;228;356;284;552;194;32;12;3;5;9;;7;1;3;14;3;;6;11;19;2;119;;;;;;;;;;;;
Terschelling;G0093;11210;Noord-Holland;P27;985;784;0;;784;;286;24;12;12;238;11;5;3;7;114;1;5;;1;50;1;4;1;7;1;;;;;;;;;1;;;;
Teteringen;G0854;10677;Noord-Brabant;P30;1410;1269;0;;1269;855;126;21;15;15;25;56;85;7;2;3;4;;;3;;5;23;5;19;;;;;;;;;;;;;;
Texel;G0448;10237;Noord-Holland;P27;1948;1788;0;;1788;376;352;126;98;36;412;16;7;6;16;303;;1;;8;1;2;5;2;12;5;;3;;;;;;;1;;;;
Tholen;G0716;10376;Zeeland;P29;803;666;0;;666;61;28;189;147;120;19;17;10;1;5;;4;1;1;;2;2;2;4;2;;51;;;;;;;;;;;;
Thorn;G0977;11195;Limburg;P31;393;368;0;;368;355;3;;6;;;1;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;
Tiel;G0281;10027;Gelderland;P25;2640;2384;0;;2384;600;839;92;24;49;87;43;465;4;5;25;4;;68;8;28;11;13;3;14;;2;;;;;;;;;;;;
Tienhoven (Ut);G1202;10035;Utrecht;P26;130;118;0;;118;5;4;74;;15;8;1;7;;1;;;;3;;;;;;;;;;;;;;;;;;;;
Tienhoven (ZH);G0618;10706;Zuid-Holland;P28;89;84;0;;84;1;9;43;1;2;7;;5;3;1;1;2;1;3;;;1;;;;;;4;;;;;;;;;;;
Tietjerksteradeel;G0094;11241;Fryslân;P21;3937;3642;0;;3642;4;977;1175;312;619;54;33;11;74;;8;11;2;21;39;15;7;4;30;29;129;;9;;43;17;19;;;;;;;
Tilburg;G0855;10792;Noord-Brabant;P30;13048;12160;0;;12160;9869;1671;46;41;72;116;41;33;86;21;7;;;;16;14;11;34;3;79;;;;;;;;;;;;;;
Tongelre;G1203;11240;Noord-Brabant;P30;668;598;0;;598;527;25;2;6;;7;7;9;;9;;;;;1;;2;;;3;;;;;;;;;;;;;;
Tubbergen;G0183;10694;Overijssel;P23;1809;1733;0;;1733;1611;26;4;5;10;1;8;3;1;;1;37;;3;;10;;;2;2;3;4;2;;;;;;;;;;;
Tull en 't Waal;G1205;11022;Utrecht;P26;120;98;0;;98;66;4;7;;18;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
Twisk;G0449;10371;Noord-Holland;P27;245;237;0;;237;;46;1;145;3;18;7;1;1;3;;1;;;9;;;;;2;;;;;;;;;;;;;;
Ubach over Worms;G0978;10146;Limburg;P31;495;461;0;;461;346;35;1;;1;58;2;4;2;;;;;;1;;;2;5;4;;;;;;;;;;;;;;
Ubbergen;G0282;10408;Gelderland;P25;1016;936;0;;936;781;28;9;2;10;2;14;10;1;;41;1;;13;5;2;1;6;2;8;;;;;;;;;;;;;;
Uden;G0856;11141;Noord-Brabant;P30;1560;1418;0;;1418;1371;4;1;;;1;16;2;1;11;1;;;;;2;4;;2;2;;;;;;;;;;;;;;
Udenhout;G0857;11268;Noord-Brabant;P30;784;736;0;;736;726;1;1;;1;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uitgeest;G0450;11238;Noord-Holland;P27;829;764;0;;764;356;97;4;18;13;169;20;5;25;4;3;;3;;19;1;2;3;1;3;3;;12;;;;;;;3;;;;
Uithoorn;G0451;11206;Noord-Holland;P27;694;613;0;;613;320;24;108;108;24;10;4;2;6;;;3;;;;2;;;1;1;;;;;;;;;;;;;;
Uithuizen;G0043;11137;Groningen;P20;963;897;0;;897;130;283;223;15;72;105;11;15;3;4;2;1;2;20;1;1;;;2;4;2;;;;;;;;;;;;;1
Uithuizermeeden;G0044;10246;Groningen;P20;1065;1008;0;;1008;12;182;336;12;275;115;19;6;3;15;3;;;14;;1;2;;1;;3;;;;;;;;;;;;;9
Ulestraten;G0979;11220;Limburg;P31;225;206;0;;206;201;2;;;1;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;
Ulrum;G0045;10180;Groningen;P20;935;839;0;;839;3;210;388;51;46;87;9;4;12;4;3;3;;8;;;1;;;3;3;;;;;;;;;;;;;4
Urk;G0184;10783;Noord-Holland;P27;703;563;0;;563;;1;477;2;31;1;1;3;;5;36;;1;;2;2;;;;;;;1;;;;;;;;;;;
Urmond;G0980;10700;Limburg;P31;373;355;0;;355;325;5;1;2;3;2;4;1;1;;;;;;;3;;;3;5;;;;;;;;;;;;;;
Ursem;G0452;10696;Noord-Holland;P27;317;298;0;;298;201;14;;68;2;3;1;;1;1;;;;;6;;;;;1;;;;;;;;;;;;;;
Usquert;G0046;11035;Groningen;P20;432;399;0;;399;11;251;21;15;4;23;17;24;2;13;1;;1;10;1;1;;;1;2;;;1;;;;;;;;;;;
Utingeradeel;G0095;10140;Fryslân;P21;1412;1254;0;;1254;9;534;159;98;94;27;25;91;8;;2;3;4;17;5;8;12;3;8;11;50;;6;;65;14;1;;;;;;;
Utrecht;G0344;10722;Utrecht;P26;30153;26935;0;;26935;7114;7655;4226;945;1063;1390;662;1315;437;190;92;;;456;423;153;149;343;218;36;;37;31;;;;;;;;;;;
Vaals;G0981;10007;Limburg;P31;1528;1372;0;;1372;1122;176;1;6;2;18;18;6;1;3;;;;;2;1;1;;9;6;;;;;;;;;;;;;;
Valburg;G0283;11071;Gelderland;P25;1369;1228;0;;1228;484;138;141;7;182;8;32;118;2;6;15;13;;28;17;9;;11;2;5;;10;;;;;;;;;;;;
Valkenburg (Li);G1252;11077;Limburg;P31;373;362;0;;362;264;27;1;11;1;25;25;1;1;;;;;;;1;;1;2;2;;;;;;;;;;;;;;
Valkenburg (ZH);G0619;10028;Zuid-Holland;P28;179;164;0;;164;14;9;42;3;68;3;9;4;2;1;;2;;;;;;3;;4;;;;;;;;;;;;;;
Valkenswaard;G0858;11031;Noord-Brabant;P30;886;823;0;;823;654;104;1;4;3;8;5;4;;16;1;2;;;;;7;3;1;10;;;;;;;;;;;;;;
Varik;G0284;11064;Gelderland;P25;307;280;0;;280;57;66;29;3;6;7;3;64;1;2;4;2;;16;3;1;;12;1;2;;1;;;;;;;;;;;;
Veen;G0859;10015;Noord-Brabant;P30;224;206;0;;206;2;6;138;6;5;7;4;14;2;1;;;1;;;9;5;2;;4;;;;;;;;;;;;;;
Veendam;G0047;11292;Groningen;P20;2914;2456;0;;2456;152;1133;269;80;165;362;50;76;11;22;9;1;8;65;5;3;3;4;2;5;17;;4;;;;;;;;;;;10
Veenendaal;G0345;11052;Utrecht;P26;1341;976;0;;976;22;121;617;;154;53;;;2;;3;;;;4;;;;;;;;;;;;;;;;;;;
Veere;G0717;10369;Zeeland;P29;244;218;0;;218;5;13;73;7;9;80;3;4;;1;;2;1;2;1;2;;1;3;4;;7;;;;;;;;;;;;
Veghel;G0860;10985;Noord-Brabant;P30;1549;1481;0;;1481;1397;8;2;;2;8;12;5;1;14;1;1;;;1;3;12;3;1;10;;;;;;;;;;;;;;
Veldhoven en Meerveldhoven;G1206;10071;Noord-Brabant;P30;517;521;0;;521;500;2;;3;9;;2;;;3;;;;;;;2;;;;;;;;;;;;;;;;;
Veldhuizen;G1207;10713;Utrecht;P26;136;133;0;;133;77;1;20;1;25;;;6;;;;;;;;;;;1;2;;;;;;;;;;;;;;
Velp;G1208;10170;Noord-Brabant;P30;185;168;0;;168;166;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;
Velsen;G0453;10620;Noord-Holland;P27;5822;4742;0;;4742;1259;1227;470;112;246;433;221;46;73;63;145;15;126;7;46;66;7;48;25;10;;;;;;;;;9;88;;;;
Venhuizen;G0454;10433;Noord-Holland;P27;637;615;0;;615;208;76;4;237;3;51;2;1;1;;;;1;;27;1;;;;2;;;;;;;;;;1;;;;
Venlo;G0983;10477;Limburg;P31;4174;3693;0;;3693;2910;288;31;34;13;210;57;8;6;6;;;;;6;28;9;45;31;11;;;;;;;;;;;;;;
Venray;G0984;11222;Limburg;P31;1874;1692;0;;1692;1624;25;5;13;;2;9;1;1;;;;;;;1;;;11;;;;;;;;;;;;;;;
Vessem, Wintelre en Knegsel;G0862;11414;Noord-Brabant;P30;307;295;0;;295;288;1;;;;;;1;;5;;;;;;;;;;;;;;;;;;;;;;;;
Veur;G1209;10366;Zuid-Holland;P28;444;422;0;;422;317;21;28;33;3;2;2;1;;;;4;1;;1;5;1;1;;1;1;;;;;;;;;;;;;
Vianen;G0620;10887;Zuid-Holland;P28;841;759;0;;759;181;173;166;7;19;15;6;108;21;20;2;2;4;11;1;3;;;;;4;;13;2;;;;;;;;1;;
Vierlingsbeek;G0863;10066;Noord-Brabant;P30;411;394;0;;394;359;5;1;;8;;3;2;3;6;;;;;;;3;1;1;2;;;;;;;;;;;;;;
Vierpolders;G0621;11056;Zuid-Holland;P28;228;212;0;;212;1;98;10;21;5;4;1;8;2;2;;;;2;;;1;;;;49;1;7;;;;;;;;;;;
Vinkeveen en Waverveen;G0346;11048;Utrecht;P26;988;847;0;;847;541;4;236;;36;23;;;1;;4;;;;2;;;;;;;;;;;;;;;;;;;
Vlaardingen;G0622;10811;Zuid-Holland;P28;5170;4548;0;;4548;432;1526;1164;395;625;52;64;39;35;39;48;16;16;6;9;5;6;6;;;4;5;36;17;;;;;;;;3;;
Vlaardinger-Ambacht;G1210;10790;Zuid-Holland;P28;332;312;0;;312;79;30;83;38;48;3;1;1;1;1;4;3;1;1;;;2;;;;7;2;7;;;;;;;;;;;
Vlagtwedde;G0048;11249;Groningen;P20;2205;1997;0;;1997;241;846;240;40;181;320;26;9;9;10;3;7;2;25;3;2;4;1;2;7;8;;;;;;;;;;;;;11
Vledder;G0132;11120;Drenthe;P22;628;563;0;;563;44;241;58;21;3;79;6;11;19;3;;42;;4;;6;4;4;;9;4;;5;;;;;;;;;;;
Vleuten;G1211;10658;Utrecht;P26;468;413;0;;413;250;3;37;;107;12;;;;;3;;;;;;;;;;;;1;;;;;;;;;;;
Vlieland;G0096;10211;Noord-Holland;P27;179;146;0;;146;1;86;;4;;36;3;1;;1;10;1;;;;;1;;;1;1;;;;;;;;;;;;;
Vlierden;G1212;10268;Noord-Brabant;P30;179;175;0;;175;173;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
Vlijmen;G0864;11293;Noord-Brabant;P30;912;863;0;;863;741;39;1;7;2;4;12;1;;30;1;3;;;1;3;2;5;;11;;;;;;;;;;;;;;
Vlissingen;G0718;10270;Zeeland;P29;4600;3795;0;;3795;402;667;710;306;216;348;436;51;50;58;;23;147;37;108;21;47;68;30;23;11;36;;;;;;;;;;;;
Vlist;G0623;11174;Zuid-Holland;P28;107;102;0;;102;20;2;48;23;1;2;;3;;;;1;;;;;;1;;;1;;;;;;;;;;;;;
Vlodrop;G0985;10644;Limburg;P31;285;279;0;;279;267;1;;2;2;;3;;;;;;;;;;;;;4;;;;;;;;;;;;;;
Voerendaal;G0986;11341;Limburg;P31;696;664;0;;664;580;31;;;12;4;13;3;15;1;;;;;;;;;5;;;;;;;;;;;;;;;
Voorburg;G0624;11103;Zuid-Holland;P28;1576;1455;0;;1455;501;203;114;226;139;38;51;58;17;12;;12;10;;8;23;13;6;6;11;2;;;5;;;;;;;;;;
Voorhout;G0625;10017;Zuid-Holland;P28;445;422;0;;422;337;4;37;2;14;1;4;;;1;;2;1;;3;6;;;1;7;1;;;1;;;;;;;;;;
Voorschoten;G0626;10537;Zuid-Holland;P28;783;706;0;;706;250;61;171;76;59;11;11;12;5;1;3;4;1;;7;14;1;3;;5;9;;;2;;;;;;;;;;
Voorst;G0285;10912;Gelderland;P25;2907;2704;0;;2704;618;715;180;93;160;552;48;185;7;20;2;6;;7;4;13;39;;3;2;8;39;;;;;;3;;;;;;
Vorden;G0286;10957;Gelderland;P25;928;858;0;;858;122;144;201;144;152;4;6;32;1;12;1;12;;3;3;9;;;;6;2;1;;;;;;3;;;;;;
Vreeland;G1213;10898;Utrecht;P26;195;148;0;;148;25;24;55;;33;5;;;1;;2;;;;2;;;;;;;;1;;;;;;;;;;;
Vreeswijk;G0348;10441;Utrecht;P26;665;514;0;;514;211;29;77;;149;37;;;11;;;;;;;;;;;;;;;;;;;;;;;;;
Vries;G0133;10630;Drenthe;P22;1142;1064;0;;1064;6;361;89;125;12;155;44;11;6;15;;33;;13;;18;5;5;15;7;134;;10;;;;;;;;;;;
Vriezenveen;G0186;10643;Overijssel;P23;1412;1295;0;;1295;107;180;96;33;116;14;59;18;10;4;1;249;3;12;6;42;4;12;17;11;7;290;4;;;;;;;;;;;
Vrijenban;G1215;10853;Zuid-Holland;P28;748;657;0;;657;167;134;171;36;39;11;13;14;6;2;5;1;;25;1;1;1;4;;;4;;18;1;;;;;;;;3;;
Vrijhoeve-Capelle;G1216;10870;Noord-Brabant;P30;131;118;0;;118;13;24;49;3;2;5;10;;;2;7;1;;;1;;;;;1;;;;;;;;;;;;;;
Vrouwenpolder;G1214;10635;Zeeland;P29;262;244;0;;244;2;1;155;6;34;19;3;1;;;;5;1;1;;;;;;3;;13;;;;;;;;;;;;
Vught;G0865;11224;Noord-Brabant;P30;1429;1267;0;;1267;1152;30;2;1;4;5;27;18;;12;1;3;;;;;8;;1;3;;;;;;;;;;;;;;
Vuren;G0287;11376;Gelderland;P25;436;378;0;;378;6;95;91;9;9;7;3;62;4;;;4;;23;39;;;22;1;3;;;;;;;;;;;;;;
Waalre;G0866;10959;Noord-Brabant;P30;298;289;0;;289;280;;;;;;1;;;5;;;;;1;;;;;2;;;;;;;;;;;;;;
Waalwijk;G0867;11359;Noord-Brabant;P30;1252;1155;0;;1155;996;41;9;;9;25;28;11;2;7;3;1;;;1;5;8;2;2;5;;;;;;;;;;;;;;
