RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Revolutionair-Socialistische Partij (RSP);Plattelandersbond;Rooms-Katholieke Volkspartij (RKVP);Christelijk-Democratische Unie;HGSP;VNH;Onafhankelijk Socialistische Partij;Katholiek Democratische Bond;Algemeen Nederlandse Fascistenbond;Democratische Partij;Nationaal Verbond Plicht, Orde, Recht;Nederlandse Christelijke Arbeiderspartij;Limburgsche Federatie;Verbond van Nationalisten;Roomsch-Katholieke Arbeiderspartij (RKAP);Recht en Vrijheid;Marktkooplieden;Lijst Wolswinkel;Onafhankelijke Zakenlui;Nationaal-Socialistische Partij;Nederlandsche Fascisten Unie;Lijst Jacobs;RK Bouwvakarbeiders;Handeldrijvende Middenstand;Volkswelvaartspartij;Bond van Belastingbetalers;Lijst Eijking;Nieuwe Socialistische Partij;Lijst Engels;Hoofd- en handarbeiders;Nationaal Verbond voor Arbeidersbelangen;Lijst Bongers;Lijst De Wit;Voor Algemeen Welzijn;Zuiderzee Partij;Algemeene Nederlandse Huurdersbond;Oranjefascisten;Universeele Partij;Nationale Werkliedenpartij;Anti-crisis Partij;Proletarische Groep;Centrale Democratische Arbeiderspartij;Lijst Triesscheijn;Opbouw en Verbroedering;Algemeene Arbeidersbond;Lijst Groothuis
Apeldoorn;G0200;11075;Gelderland;P25;32483;30782;483;1371;28928;2877;6451;4737;6263;1762;2588;542;729;86;830;50;253;215;246;315;34;124;109;49;24;;;467;27;;27;;49;;;;;;31;;;;;;;;9;;;34;;;;;;;;;
Appeltern;G0201;11296;Gelderland;P25;1627;1566;3;20;1543;1350;12;2;141;2;6;1;4;1;4;7;1;;;;4;;3;;;;;;;;;;3;;;;;;;;2;;;;;;;;;;;;;;;;;;
Appingedam;G0003;10886;Groningen;P20;3517;3302;57;83;3162;53;540;711;581;204;461;411;1;4;19;17;32;15;13;9;2;1;59;4;3;;7;;10;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;
Arcen en Velden;G0885;10202;Limburg;P31;1423;1369;7;28;1334;1146;35;7;4;1;7;9;13;;25;12;;;3;1;56;4;3;;;3;1;;1;;;;;;2;;;;;;;;;;3;;;;;;;;;;;;;;
Arkel;G0487;10079;Zuid-Holland;P28;632;607;5;19;583;11;204;74;20;198;25;2;12;;14;3;1;1;1;9;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arnemuiden;G0649;11419;Zeeland;P29;1122;1044;38;25;981;8;100;266;150;41;12;18;315;1;7;3;;19;15;4;;5;9;3;;;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arnhem;G0202;10795;Gelderland;P25;53686;41702;476;2305;38921;10133;10833;4289;2457;3113;1872;1661;117;478;96;220;203;927;624;240;144;448;292;72;22;;;448;37;;18;;61;;;;;;37;;;;;;;;19;;;60;;;;;;;;;
Asperen;G0488;11369;Zuid-Holland;P28;910;856;5;19;832;2;95;306;67;42;25;2;158;;94;;;14;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Assen;G0106;10522;Drenthe;P22;9446;8939;103;255;8581;273;2609;1688;702;753;1448;268;36;8;275;6;102;27;56;118;;13;72;58;;;15;15;17;;8;;;;;;;;;;;;;;;;;;;;;;;14;;;;;
Assendelft;G0367;11373;Noord-Holland;P27;2586;2498;17;35;2446;927;584;102;37;92;195;294;21;15;97;12;27;5;;;5;3;6;4;;;4;;1;;;;;;;;;;;14;;;;;;1;;;;;;;;;;;;;
