RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Revolutionair-Socialistische Partij (RSP);Plattelandersbond;Rooms-Katholieke Volkspartij (RKVP);Christelijk-Democratische Unie;HGSP;VNH;Onafhankelijk Socialistische Partij;Katholiek Democratische Bond;Algemeen Nederlandse Fascistenbond;Democratische Partij;Nationaal Verbond Plicht, Orde, Recht;Nederlandse Christelijke Arbeiderspartij;Limburgsche Federatie;Verbond van Nationalisten;Roomsch-Katholieke Arbeiderspartij (RKAP);Recht en Vrijheid;Marktkooplieden;Lijst Wolswinkel;Onafhankelijke Zakenlui;Nationaal-Socialistische Partij;Nederlandsche Fascisten Unie;Lijst Jacobs;RK Bouwvakarbeiders;Handeldrijvende Middenstand;Volkswelvaartspartij;Bond van Belastingbetalers;Lijst Eijking;Nieuwe Socialistische Partij;Lijst Engels;Hoofd- en handarbeiders;Nationaal Verbond voor Arbeidersbelangen;Lijst Bongers;Lijst De Wit;Voor Algemeen Welzijn;Zuiderzee Partij;Algemeene Nederlandse Huurdersbond;Oranjefascisten;Universeele Partij;Nationale Werkliedenpartij;Anti-crisis Partij;Proletarische Groep;Centrale Democratische Arbeiderspartij;Lijst Triesscheijn;Opbouw en Verbroedering;Algemeene Arbeidersbond;Lijst Groothuis
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;10639;10042;271;379;9392;6249;913;388;236;326;124;72;189;7;29;311;9;11;167;2;43;21;48;13;30;;17;21;11;49;14;;;;;92;;;;;;;;;;;;;;;;;;;;;;;
Bergeyk;G0749;11160;Noord-Brabant;P30;1316;1252;3;4;1245;1171;11;3;27;3;3;;2;3;2;1;;1;;;2;1;2;;2;;1;;;;;;7;;;;;;;;;3;;;;;;;;;;;;;;;;;
Bergh;G0207;10350;Gelderland;P25;4771;4600;58;130;4412;3482;324;21;70;62;61;9;6;2;49;100;6;5;15;7;20;30;11;3;;;2;;;;12;;91;;;;;;;;24;;;;;;;;;;;;;;;;;;
Bergharen;G0208;10883;Gelderland;P25;878;847;2;2;843;710;3;3;73;37;;;1;;4;3;;1;5;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
Berghem;G0750;10733;Noord-Brabant;P30;1151;1105;2;20;1083;979;43;;7;1;;;;;2;22;;;1;;;;1;;10;;1;;;3;;;12;;;;;;1;;;;;;;;;;;;;;;;;;;;
Bergschenhoek;G0492;10445;Zuid-Holland;P28;1104;1053;15;13;1025;250;70;174;323;29;5;3;90;1;16;;;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;1861;1821;10;13;1798;865;34;400;360;15;7;2;31;3;14;;1;54;6;;;1;;3;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;1013;990;5;8;977;895;9;11;3;;2;2;11;;;26;;;1;;2;6;1;;2;;1;;;4;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Berkenwoude;G0494;10797;Zuid-Holland;P28;421;380;6;8;366;1;16;44;9;64;18;2;75;;133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berkhout;G0374;10354;Noord-Holland;P27;1513;1454;4;5;1445;626;248;20;22;140;162;4;;2;206;3;2;;1;;1;1;;;;;;;1;;;;2;;;;;;;3;;;;;;1;;;;;;;;;;;;;
Berlicum;G0752;10362;Noord-Brabant;P30;1698;1603;12;19;1572;1450;24;2;17;4;7;2;1;;5;6;;1;1;;8;;3;;2;;1;;;24;;;9;;;;;;;;;5;;;;;;;;;;;;;;;;;
Best;G0753;10442;Noord-Brabant;P30;1974;1904;10;15;1879;1748;39;1;8;;3;2;2;;;6;;;;1;16;1;7;1;3;;1;1;;24;1;;8;;;;;;;;;5;;;;;;;;;;;;;;;;;
Beugen en Rijkevoort;G1021;10252;Noord-Brabant;P30;1013;997;1;9;987;962;2;2;3;1;;1;;;3;7;;;;;;;2;;;;2;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Beuningen;G0209;10417;Gelderland;P25;1539;1480;11;21;1448;1257;30;9;15;50;3;2;7;;14;45;;;4;;;;3;;;;1;;;;3;;1;;;;;;;;4;;;;;;;;;;;;;;;;;;
Beusichem;G0210;11182;Gelderland;P25;895;831;10;11;810;26;228;75;46;66;58;7;58;3;77;1;135;4;;2;1;4;4;;;;4;;;;10;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Beverwijk;G0375;10272;Noord-Holland;P27;5045;4855;69;109;4677;1912;826;208;284;161;453;206;14;88;52;38;28;4;18;22;10;;5;2;7;;3;;;;;8;4;6;;;;;;315;;;3;;;;;;;;;;;;;;;;
Bierum;G0008;11294;Groningen;P20;2275;2096;6;32;2058;;199;847;504;92;124;34;2;4;5;;47;163;1;3;;6;14;2;;;7;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biervliet;G0652;10257;Zeeland;P29;1151;1073;22;34;1017;338;269;47;93;150;25;8;51;1;4;1;4;;2;8;2;3;3;;;;3;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biggekerke;G1022;11364;Zeeland;P29;502;453;5;0;448;1;12;179;131;12;3;3;93;1;4;;;;3;1;1;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bingelrade;G0894;10967;Limburg;P31;264;259;2;2;255;231;2;;2;;;;2;;1;2;;;;;1;;1;;;7;1;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;
Bladel en Netersel;G0754;11006;Noord-Brabant;P30;1098;1075;1;0;1074;1005;1;7;45;1;1;1;;;;5;;;;;1;1;1;;;;;;;;;;2;;;;;;;;;2;;;;;;;;;;;;;;;;;
Blankenham;G0145;10320;Overijssel;P23;267;243;1;4;238;12;29;11;66;67;33;;;2;2;;12;;;;;;;1;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
Blaricum;G0376;10493;Noord-Holland;P27;1621;1523;11;64;1448;556;116;105;90;231;98;56;14;12;3;50;2;7;56;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bleiswijk;G0495;10994;Zuid-Holland;P28;994;968;18;4;946;259;40;176;223;89;10;;102;;20;1;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bleskensgraaf en Hofwegen;G0496;10451;Zuid-Holland;P28;594;492;7;9;476;1;48;198;20;33;16;1;110;1;37;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bloemendaal;G0377;10850;Noord-Holland;P27;7267;6793;39;116;6638;1577;826;884;681;1601;509;42;8;12;7;44;82;45;218;9;9;;24;23;4;;;;;;;7;1;1;;;;;;10;;;;;;;;;;;;;;;;;;;
Blokker;G0378;10804;Noord-Holland;P27;1331;1287;4;11;1272;807;87;13;11;112;97;7;;4;114;4;3;;;2;2;;5;2;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;
Blokzijl;G0146;10689;Overijssel;P23;539;505;4;7;494;;94;143;104;22;58;;17;;1;1;38;6;;1;1;;3;1;;;;;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
Bocholtz;G0895;10986;Limburg;P31;1314;1275;51;65;1159;792;88;8;3;3;5;20;7;2;3;32;1;;2;2;84;3;4;2;;87;;;;;;;;;10;;;;;;;;;;1;;;;;;;;;;;;;;
Bodegraven;G0497;11091;Zuid-Holland;P28;3224;3060;19;47;2994;593;161;1124;407;144;41;13;253;8;98;10;14;18;9;25;1;64;1;2;;;1;1;3;;1;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;
Boekel;G0755;10432;Noord-Brabant;P30;1647;1471;5;6;1460;1405;3;1;1;1;;2;;1;2;6;;;;1;5;;;;1;;;;;5;;;9;;;;;;;;;17;;;;;;;;;;;;;;;;;
Bolsward;G0064;10865;Fryslân;P21;3768;3541;28;113;3400;1034;699;524;464;188;244;37;3;1;2;71;20;24;8;48;5;3;13;1;2;;4;;2;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;
Borculo;G0211;11307;Gelderland;P25;2993;2932;38;56;2838;254;731;422;298;472;236;33;1;21;287;1;12;6;;3;3;7;9;24;2;;;7;2;;3;;2;;;;;;2;;;;;;;;;;;1;;;;;;;;;
Borger;G0108;10448;Drenthe;P22;4743;4501;59;79;4363;66;1576;743;622;517;294;39;5;11;294;7;77;5;2;22;;8;36;2;;;6;11;4;;9;;;;;;;;;;;;;;;;;;;;;;;7;;;;;
Borgharen;G0896;11334;Limburg;P31;512;510;16;21;473;322;104;;1;;2;2;1;;;9;;;;;8;;2;;;18;;;1;;;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;
Borkel en Schaft;G1026;11013;Noord-Brabant;P30;327;330;0;1;329;323;3;;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Born;G0897;10927;Limburg;P31;1239;1203;14;23;1166;941;58;2;8;1;6;19;8;2;6;15;3;;3;1;16;;2;;4;29;;;;;;;;;41;;;;;;;;;;1;;;;;;;;;;;;;;
Borne;G0147;10326;Overijssel;P23;4478;4316;52;70;4191;2374;452;120;269;129;71;169;33;8;12;40;461;;2;6;18;;2;2;2;;2;;3;;2;;;14;;;;;;;;;;;;;;;;;;;;;;;;;
Borssele;G1254;10043;Zeeland;P29;718;643;7;8;628;96;56;68;144;49;38;3;143;1;21;;2;;2;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boschkapelle;G1027;10605;Zeeland;P29;602;552;7;6;539;456;2;10;11;;;;13;;10;1;1;;;;1;3;;1;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boskoop;G0499;10419;Zuid-Holland;P28;3791;3611;37;64;3510;721;367;900;477;494;153;24;217;8;15;3;13;15;28;35;4;12;1;12;1;;1;1;3;;;;;;;;;;4;;;;1;;;;;;;;;;;;;;;;
Bovenkarspel;G0379;10945;Noord-Holland;P27;1399;1327;5;10;1312;890;154;32;8;40;86;2;2;2;17;46;3;2;;2;16;1;1;;;;2;;;;;;;;;;;;;2;;;;;;;;4;;;;;;;;;;;
Boxmeer;G0756;11227;Noord-Brabant;P30;1788;1715;8;33;1674;1433;35;5;37;15;11;67;;;1;44;;;1;1;10;;3;;3;;;3;;;;;3;;;;;;;;;2;;;;;;;;;;;;;;;;;
Boxtel;G0757;10083;Noord-Brabant;P30;5014;4728;106;114;4508;3694;305;12;65;17;26;12;77;2;12;103;4;2;11;2;23;22;12;4;14;;1;9;2;55;2;;;;;20;;;;;;;;;;;;;;;;;;;;;;;
Brakel;G0212;11125;Gelderland;P25;917;822;13;28;781;2;161;44;67;53;3;4;372;1;48;2;;8;4;5;1;3;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brandwijk;G0500;10169;Zuid-Holland;P28;470;435;3;3;429;1;34;214;32;51;3;;74;;10;;;1;;;;;3;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breda;G0758;10154;Noord-Brabant;P30;23562;22629;525;638;21466;12856;3883;523;596;844;483;159;200;17;16;219;53;50;244;20;226;221;58;14;24;;52;437;9;52;13;;;;;197;;;;;;;;;;;;;;;;;;;;;;;
Breskens;G0655;10233;Zeeland;P29;1670;1530;32;60;1438;67;488;220;220;207;106;6;54;1;15;4;;7;4;13;7;;3;3;;;3;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breukelen-Nijenrode;G1028;10807;Utrecht;P26;1534;1499;16;16;1467;386;76;300;390;66;26;1;114;5;39;14;11;18;7;;1;3;;1;2;;;3;2;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Breukelen-Sint Pieters;G1029;11149;Utrecht;P26;469;454;4;7;443;73;52;104;118;18;8;1;35;1;6;2;3;6;3;;;3;;5;1;;1;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brielle;G0501;10232;Zuid-Holland;P28;1980;1849;18;42;1789;114;424;229;391;358;140;21;6;7;38;4;2;3;10;3;1;17;1;7;;;;3;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Broek in Waterland;G0380;10289;Noord-Holland;P27;952;893;4;19;870;23;158;112;149;102;147;8;13;10;93;2;12;3;1;2;3;1;6;12;;;1;;;;;;3;;;;;;;4;;;;;;3;;2;;;;;;;;;;;
Broek op Langendijk;G1031;10955;Noord-Holland;P27;1200;1130;4;10;1116;9;145;488;261;10;113;7;27;13;17;;10;6;3;1;;1;1;;;;1;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;
Broekhuizen;G0898;10856;Limburg;P31;438;419;5;4;410;396;4;;1;;;;;;1;1;1;;;;4;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Broeksittard;G1032;10655;Limburg;P31;372;360;9;9;342;290;17;2;;;;;1;;;4;1;;;1;5;;;;;3;;;;;;;;;17;;;;;;;;;;1;;;;;;;;;;;;;;
Brouwershaven;G0656;10030;Zeeland;P29;735;690;11;8;671;1;249;155;17;167;39;1;16;1;5;1;;2;1;5;2;1;1;1;;;2;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bruinisse;G0657;11291;Zeeland;P29;1453;1242;33;41;1168;3;112;264;131;233;15;4;262;3;32;2;9;49;10;12;1;4;1;4;;;2;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brummen;G0213;10798;Gelderland;P25;5003;4701;82;133;4486;288;1500;697;656;744;222;19;8;8;199;5;9;11;33;21;8;9;13;1;1;;;8;6;;6;;3;;;;;;3;;;;;;;;1;;;7;;;;;;;;;
Brunssum;G0899;10533;Limburg;P31;4954;4799;104;189;4506;2613;1015;202;192;11;14;113;15;7;;86;18;7;20;45;45;15;21;2;2;28;4;;3;;;;;;23;;;;;;;;;;5;;;;;;;;;;;;;;
Budel;G0759;10219;Noord-Brabant;P30;1922;1886;2;18;1866;1772;20;9;7;3;9;5;1;;1;3;;;2;;8;6;;1;3;;;;;1;1;;8;;;;;;;;;6;;;;;;;;;;;;;;;;;
Buggenum;G1033;10857;Limburg;P31;395;385;0;18;367;348;1;;;;;1;1;1;1;6;;;1;;2;;2;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bunde;G0900;10831;Limburg;P31;667;641;13;12;616;462;24;5;3;;2;1;5;1;1;4;;1;2;1;30;4;4;;;55;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;
Bunnik;G0312;10820;Utrecht;P26;892;832;3;22;807;406;76;89;52;23;40;3;53;1;18;4;1;21;10;;1;4;1;;1;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Bunschoten;G0313;11343;Utrecht;P26;2241;2133;23;22;2088;6;10;1921;37;3;4;;25;10;8;;26;3;3;;;2;2;;6;;3;;;;3;;;;;;;;;;;;;;;;;15;;1;;;;;;;;;
Buren;G0214;11286;Gelderland;P25;993;940;14;18;908;59;158;65;110;150;33;1;110;2;41;;149;4;5;5;2;5;1;1;;;3;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Burgh;G1035;11000;Zeeland;P29;362;343;7;11;325;2;73;27;96;73;20;;15;;4;;1;;5;3;2;1;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bussum;G0381;10281;Noord-Holland;P27;13751;13051;196;431;12424;3353;1702;1705;1298;1958;620;165;122;146;11;263;111;39;547;112;18;;16;;123;;16;;;;2;22;5;11;;;;;;2;;;1;;;3;;;;;;;;;;;;;
Buurmalsen;G0215;10460;Gelderland;P25;1064;995;17;29;949;44;213;99;230;102;40;1;124;1;33;1;30;6;5;1;1;9;3;;;;1;;;;;;3;;;;;;;;2;;;;;;;;;;;;;;;;;;
Cadier en Keer;G0901;11447;Limburg;P31;543;469;2;1;466;296;13;2;;;;;1;;3;6;;;1;;1;1;;;;138;;;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
Cadzand;G0658;11002;Zeeland;P29;558;505;13;3;489;10;158;88;52;99;38;2;5;1;10;;;1;6;1;;1;1;;;;2;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Callantsoog;G0382;10559;Noord-Holland;P27;537;491;8;9;474;46;226;11;6;12;119;6;;4;13;5;16;;2;2;1;2;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;4116;3774;79;175;3520;54;870;705;380;379;28;15;811;6;86;3;8;37;29;30;;29;11;6;2;;3;4;5;;5;;;;;;;;11;;;;3;;;;;;;;;;;;;;;;
Castricum;G0383;11287;Noord-Holland;P27;2304;2235;9;35;2191;1354;351;92;86;42;88;14;2;11;30;12;13;4;;41;6;;2;;;;4;;;;;;1;;;;;;;36;;;;;;2;;;;;;;;;;;;;
Chaam;G0760;11433;Noord-Brabant;P30;854;839;2;7;830;728;5;14;35;;13;4;2;;2;8;1;9;;;;;3;;;;1;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;
Clinge;G0659;10965;Zeeland;P29;1347;1222;31;28;1163;756;63;1;3;1;;2;9;1;2;2;2;;2;1;2;1;8;3;;;300;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coevorden;G0109;10383;Drenthe;P22;3225;3083;30;42;3011;506;709;412;423;523;198;14;8;6;21;68;28;5;17;23;;2;6;5;;;4;7;21;;2;;;;;;;;;;;;;;;;;;;;;;;3;;;;;
Colijnsplaat;G1038;10121;Zeeland;P29;1051;964;14;23;927;10;88;224;327;155;27;5;49;2;11;1;1;4;3;5;3;1;5;;;;1;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cothen;G0314;11316;Utrecht;P26;442;428;9;2;417;315;5;12;13;8;;1;59;;2;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Cuijk en Sint Agatha;G0761;10023;Noord-Brabant;P30;1885;1811;8;35;1768;1522;49;25;20;12;9;14;;1;2;66;;;1;;16;10;3;1;5;;2;;1;1;1;;4;;;;;;;;;2;;;;;;;;;;;;;;;;;
Culemborg;G0216;10342;Gelderland;P25;4821;4629;40;95;4494;1731;910;257;262;557;125;195;75;181;17;21;70;15;2;6;31;11;10;6;;;2;;;;3;;1;;;;;;;;6;;;;;;;;;;;;;;;;;;
Dalen;G0110;11004;Drenthe;P22;1988;1896;28;28;1840;133;418;103;108;795;105;8;2;;85;17;9;4;3;3;;6;5;1;;;3;5;21;;4;;;;;;;;;;;;;;;;;;;;;;;2;;;;;
Dalfsen;G0148;11007;Overijssel;P23;3707;3566;24;21;3521;1042;340;507;1350;45;108;6;39;3;25;9;4;12;4;4;5;;3;1;2;;5;;8;;1;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
Dantumadeel;G0065;10650;Fryslân;P21;6688;6281;88;164;6029;62;925;2116;1173;368;212;53;381;6;24;8;478;35;7;48;2;2;22;2;73;;18;;7;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;
De Bilt;G0310;10168;Utrecht;P26;6594;6199;66;174;5959;703;1011;1150;706;1001;391;25;380;16;52;16;72;58;178;17;10;50;15;19;65;;4;1;2;;7;;;4;;;;2;3;;;;;;;;;;;1;;;;;;;;;
De Lier;G0552;10241;Zuid-Holland;P28;1233;1198;3;5;1190;139;70;464;391;77;3;;24;;11;;;6;;1;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Rijp;G0440;11417;Noord-Holland;P27;755;704;1;9;694;241;216;26;10;28;96;25;4;4;11;3;16;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Werken en Sleeuwijk;G1222;10116;Noord-Brabant;P30;1774;1611;19;24;1568;13;180;829;294;34;7;2;139;2;11;;;2;2;3;;30;5;1;1;;3;3;1;2;;;2;;;;;;;;;2;;;;;;;;;;;;;;;;;
De Wijk;G0135;10753;Drenthe;P22;1783;1708;24;47;1637;5;209;414;221;217;429;4;2;1;88;2;15;3;1;4;;;3;1;;;7;3;5;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;
Deil;G0217;10057;Gelderland;P25;1246;1145;6;37;1102;241;172;101;228;57;33;3;56;2;150;2;27;9;1;;;3;9;3;;;2;;;;1;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;
Delft;G0503;10928;Zuid-Holland;P28;26006;24947;226;885;23836;6825;6070;3292;2011;1524;507;1027;1058;44;38;25;55;198;97;259;525;130;30;45;13;;;22;10;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Delfzijl;G0010;10976;Groningen;P20;5197;4746;69;151;4526;110;1265;901;476;222;554;513;4;195;39;7;32;20;17;20;5;17;72;11;2;;11;;32;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
Den Bommel;G1024;10293;Zuid-Holland;P28;911;819;6;14;799;187;69;228;19;105;9;1;147;1;4;;7;6;2;2;;8;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Den Dungen;G0768;10491;Noord-Brabant;P30;878;828;4;1;823;797;;;1;;;;1;;;6;;;1;1;2;;1;;;;;;;9;;;3;;;;;;;;;1;;;;;;;;;;;;;;;;;
Den Ham;G0159;10395;Overijssel;P23;3197;3001;53;79;2869;200;301;1065;893;59;70;6;34;39;27;4;79;43;1;6;2;;6;1;2;;21;;3;;1;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
Den Helder;G0400;10285;Noord-Holland;P27;17291;16049;232;818;14999;1835;5088;2428;727;599;2306;157;100;63;78;44;90;26;1080;21;36;20;34;149;;;22;;11;;;;14;;;;;;;29;;;;;;28;;11;;;;;;;;;;;
Denekamp;G0149;10245;Overijssel;P23;2768;2661;14;38;2609;1954;99;102;112;30;24;37;17;3;6;159;22;4;12;7;6;;2;;3;;2;;3;;2;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
Deurne en Liessel;G1041;10379;Noord-Brabant;P30;4854;4792;18;20;4754;4474;22;19;97;3;;2;10;1;9;9;;;;2;46;4;8;;12;;;3;;3;1;;18;;;;;;1;;;10;;;;;;;;;;;;;;;;;
Deventer;G0150;10899;Overijssel;P23;20710;19323;207;548;18568;2881;5516;1005;1017;1810;2679;673;54;2031;20;199;175;44;75;136;25;;40;29;21;;26;;28;;10;;;73;;;;;;;;;;;;;;;;;;;;;;;;;
Didam;G0218;10153;Gelderland;P25;2759;2668;21;23;2624;2403;45;5;54;8;19;8;3;1;2;7;1;4;5;1;26;5;14;;;;;;;;;;2;;;;;;;;11;;;;;;;;;;;;;;;;;;
Diemen;G0384;11039;Noord-Holland;P27;2483;2390;33;88;2269;592;493;309;385;93;69;80;6;67;10;11;16;31;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diepenheim;G0151;10311;Overijssel;P23;1045;968;14;38;916;67;280;62;112;117;132;9;5;1;97;;6;1;5;10;;;1;;;;3;;2;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diepenveen;G0152;10933;Overijssel;P23;3526;3330;36;45;3249;918;615;217;389;160;381;15;11;28;424;9;11;2;20;5;1;;15;6;1;;5;;6;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
Diessen;G0763;11185;Noord-Brabant;P30;691;668;6;0;662;621;3;6;7;3;;;14;;;1;;2;;;;;2;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
Diever;G0111;10418;Drenthe;P22;1380;1313;21;13;1279;30;408;290;36;179;97;3;;2;171;;21;2;;8;;2;20;;;;2;4;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dinteloord en Prinsenland;G0764;11193;Noord-Brabant;P30;1861;1741;12;27;1702;627;197;249;346;43;16;8;166;2;14;1;2;5;4;;9;5;;;;;1;2;;;1;;;;;4;;;;;;;;;;;;;;;;;;;;;;;
Dinther;G1044;10690;Noord-Brabant;P30;901;880;3;1;876;839;;2;21;2;;;1;;1;2;;;1;;;;;;3;;;;;1;;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;
Dinxperlo;G0219;11154;Gelderland;P25;1707;1612;19;30;1563;223;263;421;457;56;58;4;6;3;20;3;17;1;5;3;2;8;3;2;;;4;;;;1;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
Dirksland;G0504;11344;Zuid-Holland;P28;1499;1405;31;42;1332;6;205;625;32;156;15;3;251;3;8;;5;;1;3;2;4;6;2;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dodewaard;G0220;10647;Gelderland;P25;1085;1000;14;34;952;12;302;269;130;65;11;3;119;;26;2;4;2;;1;;;2;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doesburg;G0221;10327;Gelderland;P25;2581;2450;33;59;2358;884;522;137;455;117;93;18;19;3;3;3;28;19;13;4;5;13;6;4;;;;;;;1;;4;;;;;;;;7;;;;;;;;;;;;;;;;;;
Doetinchem;G0222;10396;Gelderland;P25;7188;6857;86;215;6556;1895;1602;359;1114;415;484;42;133;4;184;20;30;5;94;69;37;17;17;10;;;1;;;;8;;8;;;;;;;;8;;;;;;;;;;;;;;;;;;
Dokkum;G0066;10198;Fryslân;P21;2792;2618;14;19;2585;115;508;1027;249;250;242;43;30;3;1;4;66;2;1;4;2;5;19;;2;;3;;8;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Domburg;G0660;10236;Zeeland;P29;754;711;21;14;676;4;136;128;96;87;57;6;122;;5;2;2;12;6;5;2;2;1;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dommelen;G1045;10424;Noord-Brabant;P30;272;272;0;0;272;267;1;;;;;;1;;;;;;;;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Dongen;G0766;11412;Noord-Brabant;P30;4288;4108;36;23;4049;3745;46;24;80;16;3;3;35;2;1;20;6;;3;;21;7;3;2;4;;1;3;;10;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;
Doniawerstal;G0067;10086;Fryslân;P21;2851;2696;22;21;2653;639;432;481;710;55;180;7;8;2;13;1;69;45;3;1;2;;;;;;3;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Doorn;G0315;10213;Utrecht;P26;2465;2305;32;48;2225;65;319;499;628;306;106;15;141;1;14;4;7;14;18;1;2;2;4;4;19;;2;2;14;;28;;;3;;;;2;3;;;;;;;;;2;;;;;;;;;;;
Doornspijk;G0223;10069;Gelderland;P25;2185;2035;65;63;1907;5;141;685;282;10;7;2;375;1;212;1;90;55;13;3;1;3;4;8;2;;;2;1;;3;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Dordrecht;G0505;11157;Zuid-Holland;P28;31173;29046;420;1174;27452;2497;8687;5072;2201;4015;971;238;1046;1312;30;30;183;45;212;172;248;152;88;120;65;;;18;17;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dreischor;G1047;10885;Zeeland;P29;644;606;21;19;566;2;217;56;16;145;47;4;9;1;44;2;5;;1;9;1;;2;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
