Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;AantalGeldigeStemmen;;4125
Alkmaar;KD34;Kiesgerechtigden;;3232
Alkmaar;KD34;Opkomst;;2073
Alkmaar;KD34;AantalStembriefjes;;2073
Alkmaar;KD34;AantalBlancoStemmen;;11
Alkmaar;KD34;;mr. J.L.de Bruyn Kops;1060
Alkmaar;KD34;;jhr.mr. C.van Foreest;998
Alkmaar;KD34;;mr. W.van der Kaay;994
Alkmaar;KD34;;mr.dr. E.H.s' Jacob;930
Alkmaar;KD34;;mr. N. Olivier;104
Almelo;KD15;AantalGeldigeStemmen;;3180
Almelo;KD15;Kiesgerechtigden;;1974
Almelo;KD15;AantalStembriefjes;;1618
Almelo;KD15;Opkomst;;1616
Almelo;KD15;AantalBlancoStemmen;;16
Almelo;KD15;;mr. J. Kalff;923
Almelo;KD15;;mr. G.A. Vos de Wael;781
Almelo;KD15;;mr. G.M.van der Linden;712
Almelo;KD15;;mr. P.A.S.van Limburg Brouwer;663
Almelo;KD15;;jhr.mr. J.W.van Loon;42
Almelo;KD15;;mr. G. Groen van Prinsterer;20
Amersfoort;KD26;AantalGeldigeStemmen;;2964
Amersfoort;KD26;Kiesgerechtigden;;2874
Amersfoort;KD26;AantalStembriefjes;;1511
Amersfoort;KD26;Opkomst;;1510
Amersfoort;KD26;AantalBlancoStemmen;;40
Amersfoort;KD26;;mr. E.L.baron van Hardenbroek van Lockhorst;1327
Amersfoort;KD26;;mr. J.K.baron van Goltstein;1306
Amersfoort;KD26;;mr. H. Verloren van Themaat;95
Amersfoort;KD26;;mr. W.R. Boer;82
Amersfoort;KD26;;mr. G. Groen van Prinsterer;33
Amsterdam;KD72;AantalGeldigeStemmen;;17442
Amsterdam;KD72;Kiesgerechtigden;;4322
Amsterdam;KD72;AantalStembriefjes;;2947
Amsterdam;KD72;Opkomst;;2946
Amsterdam;KD72;AantalBlancoStemmen;;222
Amsterdam;KD72;;jhr.mr. G.C.J.van Reenen;2785
Amsterdam;KD72;;H.A. Insinger;1556
Amsterdam;KD72;;J.J. Rochussen;1538
Amsterdam;KD72;;mr. M.J. Pijnappel;1536
Amsterdam;KD72;;mr. M.H. Godefroi;1490
Amsterdam;KD72;;mr. P.P.van Bosse;1445
Amsterdam;KD72;;mr. J.R. Thorbecke;1395
Amsterdam;KD72;;mr. J. Heemskerk Bzn.;1394
Amsterdam;KD72;;T.J. Stieltjes;1351
Amsterdam;KD72;;mr. D. Koorders;1328
Amsterdam;KD72;;mr. J. Wertheim;1193
Amsterdam;KD72;;J. Dirks;172
Amsterdam;KD72;;mr. J.W. Gefken;151
Appingedam;KD3;Kiesgerechtigden;;3113
Appingedam;KD3;AantalGeldigeStemmen;;2969
Appingedam;KD3;AantalStembriefjes;;1507
Appingedam;KD3;Opkomst;;1507
Appingedam;KD3;AantalBlancoStemmen;;31
Appingedam;KD3;;dr. R. Westerhoff;1016
Appingedam;KD3;;J.F. Zijlker;923
Appingedam;KD3;;mr. G. Groen van Prinsterer;420
Appingedam;KD3;;mr. B.J. Gratama;418
Appingedam;KD3;;mr. E.van Loon;154
Arnhem;KD17;AantalGeldigeStemmen;;3515
Arnhem;KD17;Kiesgerechtigden;;3022
Arnhem;KD17;AantalStembriefjes;;1796
Arnhem;KD17;Opkomst;;1795
Arnhem;KD17;AantalBlancoStemmen;;73
Arnhem;KD17;;mr. L.A.J.W.baron van Sloet van de Beele;2134
Arnhem;KD17;;mr. W.H. Dullert;880
Arnhem;KD17;;mr. C.T.graaf van Lynden van Sandenburg;854
Arnhem;KD17;;mr. G. Groen van Prinsterer;854
Assen;KD5;AantalGeldigeStemmen;;2924
Assen;KD5;Kiesgerechtigden;;2344
Assen;KD5;Opkomst;;1507
Assen;KD5;AantalStembriefjes;;1507
Assen;KD5;AantalBlancoStemmen;;72
Assen;KD5;;mr. L. Oldenhuis Gratama;1101
Assen;KD5;;mr. J.R. Thorbecke;1012
Assen;KD5;;mr. P.van der Veen;285
Assen;KD5;;D.T. Notten;175
Assen;KD5;;mr. J. Heemskerk Azn.;142
Assen;KD5;;mr. B.J. Gratama;114
Assen;KD5;;mr. G. Groen van Prinsterer;27
Assen;KD5;;J.F.de Ruyter de Wildt;24
Boxmeer;KD75;Kiesgerechtigden;;1286
Boxmeer;KD75;Opkomst;;921
Boxmeer;KD75;AantalStembriefjes;;921
Boxmeer;KD75;AantalGeldigeStemmen;;912
Boxmeer;KD75;AantalBlancoStemmen;;7
Boxmeer;KD75;;H.C.F. Kerstens;501
Boxmeer;KD75;;jhr.mr. J.M.B.J.van der Does de Willebois;343
Boxmeer;KD75;;jhr.mr. H.van Sasse van Ysselt;66
Breda;KD61;AantalGeldigeStemmen;;5187
Breda;KD61;Kiesgerechtigden;;3861
Breda;KD61;Opkomst;;2650
Breda;KD61;AantalStembriefjes;;2650
Breda;KD61;AantalBlancoStemmen;;89
Breda;KD61;;N.R.H. Guljé;1342
Breda;KD61;;mr. P.J.J. Hollingérus Pijpers;1290
Breda;KD61;;F.H.H. Borret;1263
Breda;KD61;;mr. P.E.A. Janssens;786
Breda;KD61;;jhr.mr. F.X. Verheyen;370
Delft;KD45;AantalGeldigeStemmen;;3864
Delft;KD45;Kiesgerechtigden;;2842
Delft;KD45;AantalStembriefjes;;1970
Delft;KD45;Opkomst;;1969
Delft;KD45;AantalBlancoStemmen;;68
Delft;KD45;;dr. K.A. Rombach;855
Delft;KD45;;mr. J.L.de Bruyn Kops;847
Delft;KD45;;mr. J.van Kuyk;762
Delft;KD45;;J.L. Nierstrasz;676
Delft;KD45;;mr. G. Groen van Prinsterer;267
Delft;KD45;;I. Esser;239
Delft;KD45;;mr. C.C.E.d' Engelbronner;41
Delft;KD45;;mr. R.J.C. Metelerkamp;40
Deventer;KD14;AantalGeldigeStemmen;;3657
Deventer;KD14;Kiesgerechtigden;;2719
Deventer;KD14;AantalStembriefjes;;1842
Deventer;KD14;Opkomst;;1841
Deventer;KD14;AantalBlancoStemmen;;21
Deventer;KD14;;mr. A.van Delden;1134
Deventer;KD14;;mr. G. Dumbar;1055
Deventer;KD14;;mr. W.A.A.J.baron van Schimmelpenninck van der Oye;766
Deventer;KD14;;E.baron van Lynden;665
Dokkum;KD8;AantalGeldigeStemmen;;3513
Dokkum;KD8;Kiesgerechtigden;;2460
Dokkum;KD8;Opkomst;;1774
Dokkum;KD8;AantalStembriefjes;;1774
Dokkum;KD8;AantalBlancoStemmen;;27
Dokkum;KD8;;mr. Ph.van Blom;1061
Dokkum;KD8;;jhr.mr. S.W.H.A.van Beijma thoe Kingma;1043
Dokkum;KD8;;M.W.baron van Tour van Bellinchave;699
Dokkum;KD8;;mr. F.J.J.baron van Heemstra;551
Dokkum;KD8;;jhr. J.A. Lycklama à Nijeholt;151
Dordrecht;KD42;AantalGeldigeStemmen;;3391
Dordrecht;KD42;Kiesgerechtigden;;2231
Dordrecht;KD42;AantalStembriefjes;;1741
Dordrecht;KD42;Opkomst;;1740
Dordrecht;KD42;AantalBlancoStemmen;;55
Dordrecht;KD42;;mr. P. Blussé van Oud-Alblas;902
Dordrecht;KD42;;mr. P.P.van Bosse;886
Dordrecht;KD42;;mr. M. Bichon van Ysselmonde;739
Dordrecht;KD42;;mr. G. Groen van Prinsterer;539
Dordrecht;KD42;;mr. J.G. Kist;238
Dordrecht;KD42;;mr. H.M. Barendrecht;57
Eindhoven;KD60;AantalGeldigeStemmen;;3249
Eindhoven;KD60;Kiesgerechtigden;;2344
Eindhoven;KD60;AantalStembriefjes;;1664
Eindhoven;KD60;Opkomst;;1663
Eindhoven;KD60;AantalBlancoStemmen;;67
Eindhoven;KD60;;mr. J.B. Bots;1531
Eindhoven;KD60;;mr. P.J.A. Smitz;868
Eindhoven;KD60;;mr. P.van den Heuvel;811
Goes;KD53;Kiesgerechtigden;;1421
Goes;KD53;Opkomst;;1072
Goes;KD53;AantalStembriefjes;;1072
Goes;KD53;AantalGeldigeStemmen;;1063
Goes;KD53;AantalBlancoStemmen;;8
Goes;KD53;;mr. P.H. Saaymans Vader;585
Goes;KD53;;mr. C.J. Pické;410
Goes;KD53;;O. Verhagen;57
Gorinchem;KD41;AantalGeldigeStemmen;;4142
Gorinchem;KD41;Kiesgerechtigden;;3101
Gorinchem;KD41;Opkomst;;2109
Gorinchem;KD41;AantalStembriefjes;;2108
Gorinchem;KD41;AantalBlancoStemmen;;64
Gorinchem;KD41;;W.C.M. Begram;1288
Gorinchem;KD41;;dr. G. Simons;1074
Gorinchem;KD41;;jhr.mr. J.W.van Loon;639
Gorinchem;KD41;;W.J. Knoop;494
Gorinchem;KD41;;mr. J.W. Gefken;458
Gorinchem;KD41;;I. Esser;394
Gorinchem;KD41;;mr. L.A.J.W.baron van Sloet van de Beele;253
Gorinchem;KD41;;G.H. Betz;102
Gorinchem;KD41;;mr. J.van Heusde;44
Gouda;KD40;AantalGeldigeStemmen;;3999
Gouda;KD40;Kiesgerechtigden;;3548
Gouda;KD40;Opkomst;;2010
Gouda;KD40;AantalStembriefjes;;2010
Gouda;KD40;AantalBlancoStemmen;;21
Gouda;KD40;;M.A.F.H. Hoffman;1289
Gouda;KD40;;jhr.mr. W.M.de Brauw;1006
Gouda;KD40;;mr. P.P.van Bosse;668
Gouda;KD40;;jhr.mr. W.T. Gevers Deynoot;643
Gouda;KD40;;mr. G. Groen van Prinsterer;267
Gouda;KD40;;J.L. Bernhardi;59
Gouda;KD40;;mr. W.R.baron van Tuyll van Serooskerke;41
Groningen;KD1;Kiesgerechtigden;;1507
Groningen;KD1;Opkomst;;835
Groningen;KD1;AantalStembriefjes;;835
Groningen;KD1;AantalGeldigeStemmen;;834
Groningen;KD1;AantalBlancoStemmen;;0
Groningen;KD1;;mr. W.H. Dullert;543
Groningen;KD1;;J.A. Feith;173
Groningen;KD1;;mr. G. Groen van Prinsterer;110
Haarlem;KD33;Kiesgerechtigden;;2504
Haarlem;KD33;AantalStembriefjes;;1639
Haarlem;KD33;Opkomst;;1638
Haarlem;KD33;AantalGeldigeStemmen;;1632
Haarlem;KD33;AantalBlancoStemmen;;12
Haarlem;KD33;;G.L.J.van der Hucht;761
Haarlem;KD33;;jhr.mr. J.de Bosch Kemper;672
Haarlem;KD33;;mr. J.H. Geertsema;671
Haarlem;KD33;;mr. A.S.van Nierop;641
Haarlem;KD33;;jhr.mr. J.L.C.van den Berch van Heemstede;159
Haarlem;KD33;;jhr. M. Salvador;157
Haarlem;KD33;;mr. G. Groen van Prinsterer;144
Hoorn;KD35;AantalGeldigeStemmen;;4494
Hoorn;KD35;Kiesgerechtigden;;3591
Hoorn;KD35;Opkomst;;2273
Hoorn;KD35;AantalStembriefjes;;2273
Hoorn;KD35;AantalBlancoStemmen;;36
Hoorn;KD35;;jhr.mr. J.de Bosch Kemper;1437
Hoorn;KD35;;mr. W.baron van Goltstein;1423
Hoorn;KD35;;A.S.van Nierop;760
Hoorn;KD35;;H. Mensonides;757
Hoorn;KD35;;mr. G. Groen van Prinsterer;42
Leeuwarden;KD7;AantalGeldigeStemmen;;4547
Leeuwarden;KD7;Kiesgerechtigden;;3132
Leeuwarden;KD7;Opkomst;;2289
Leeuwarden;KD7;AantalStembriefjes;;2289
Leeuwarden;KD7;AantalBlancoStemmen;;23
Leeuwarden;KD7;;J.K.H.de Roo van Alderwerelt;1293
Leeuwarden;KD7;;S. Hingst;1288
Leeuwarden;KD7;;mr. J. Dirks;677
Leeuwarden;KD7;;J. Binkes;672
Leeuwarden;KD7;;mr. B.J.L.baron van Geer van Jutphaas;310
Leeuwarden;KD7;;U.baron van Schwartzenberg en Hohenlansberg;301
Leiden;KD38;AantalGeldigeStemmen;;3105
Leiden;KD38;Kiesgerechtigden;;2655
Leiden;KD38;Opkomst;;1567
Leiden;KD38;AantalStembriefjes;;1567
Leiden;KD38;AantalBlancoStemmen;;25
Leiden;KD38;;O.baron van Wassenaer van Catwijck;908
Leiden;KD38;;P.H.baron van Taets van Amerongen;626
Leiden;KD38;;mr. J.L.de Bruyn Kops;586
Leiden;KD38;;jhr.mr. H.van Alphen;578
Leiden;KD38;;mr. G. Groen van Prinsterer;360
Maastricht;KD64;AantalGeldigeStemmen;;4047
Maastricht;KD64;Kiesgerechtigden;;2655
Maastricht;KD64;AantalStembriefjes;;2081
Maastricht;KD64;Opkomst;;2080
Maastricht;KD64;AantalBlancoStemmen;;95
Maastricht;KD64;;jhr.mr. P.T.van der Maesen de Sombreff;1151
Maastricht;KD64;;C.A.baron van Bieberstein Rogalla Zawadsky;1133
Maastricht;KD64;;mr. H.J. Brouwers;991
Maastricht;KD64;;mr. L.H. Wenmaekers;762
Middelburg;KD51;AantalGeldigeStemmen;;3931
Middelburg;KD51;Kiesgerechtigden;;2716
Middelburg;KD51;AantalStembriefjes;;1992
Middelburg;KD51;Opkomst;;1991
Middelburg;KD51;AantalBlancoStemmen;;35
Middelburg;KD51;;mr. G.A. Fokker;1141
Middelburg;KD51;;mr. D.van Eck;1138
Middelburg;KD51;;jhr.mr. H.J.van der Heim;823
Middelburg;KD51;;jhr. J.L.de Jonge;797
Nijmegen;KD23;AantalGeldigeStemmen;;2749
Nijmegen;KD23;Kiesgerechtigden;;2497
Nijmegen;KD23;Opkomst;;1402
Nijmegen;KD23;AantalStembriefjes;;1402
Nijmegen;KD23;AantalBlancoStemmen;;39
Nijmegen;KD23;;mr. C.J.A. Heydenrijck;1053
Nijmegen;KD23;;jhr. J.A.C.A.van Nispen van Sevenaer;1022
Nijmegen;KD23;;mr. W.J. Triebels;359
Nijmegen;KD23;;T.J. Stieltjes;263
Roermond;KD65;AantalGeldigeStemmen;;3009
Roermond;KD65;Kiesgerechtigden;;2186
Roermond;KD65;Opkomst;;1661
Roermond;KD65;AantalStembriefjes;;1660
Roermond;KD65;AantalBlancoStemmen;;307
Roermond;KD65;;mr. J.H.L. Haffmans;833
Roermond;KD65;;mr. K.L.J. Cornelis;792
Roermond;KD65;;J.H. Arnoldts;677
Roermond;KD65;;mr. P.L.de Lom de Berg;626
Roermond;KD65;;J.M. Corten;33
Rotterdam;KD73;AantalGeldigeStemmen;;6917
Rotterdam;KD73;Kiesgerechtigden;;2994
Rotterdam;KD73;AantalStembriefjes;;2333
Rotterdam;KD73;Opkomst;;2332
Rotterdam;KD73;AantalBlancoStemmen;;54
Rotterdam;KD73;;I.D. Fransen van de Putte;1331
Rotterdam;KD73;;W.A. Viruly Verbrugge;1314
Rotterdam;KD73;;F.W.C. Blom;1293
Rotterdam;KD73;;mr. D.C.A.graaf van Hogendorp;938
Rotterdam;KD73;;F.s' Jacob;786
Rotterdam;KD73;;mr. A.A. Weve;452
Rotterdam;KD73;;mr. J.W. Gefken;281
Rotterdam;KD73;;mr. M. Bichon van Ysselmonde;253
Rotterdam;KD73;;A. Rueb;169
Rotterdam;KD73;;R. Baelde;64
's-Gravenhage;KD74;AantalGeldigeStemmen;;2520
's-Gravenhage;KD74;Kiesgerechtigden;;2221
's-Gravenhage;KD74;Opkomst;;1287
's-Gravenhage;KD74;AantalStembriefjes;;1287
's-Gravenhage;KD74;AantalBlancoStemmen;;48
's-Gravenhage;KD74;;jhr. C.A.van Sypesteyn;1015
's-Gravenhage;KD74;;jhr. F.de Casembroot;969
's-Gravenhage;KD74;;jhr.mr. H.C.van der Wijck;212
's-Gravenhage;KD74;;jhr.mr. F.L.W.de Kock;202
's-Gravenhage;KD74;;mr. G. Groen van Prinsterer;28
's-Hertogenbosch;KD55;AantalGeldigeStemmen;;4161
's-Hertogenbosch;KD55;Kiesgerechtigden;;2964
's-Hertogenbosch;KD55;AantalStembriefjes;;2097
's-Hertogenbosch;KD55;Opkomst;;2093
's-Hertogenbosch;KD55;AantalBlancoStemmen;;29
's-Hertogenbosch;KD55;;jhr.mr. J.M.B.J.van der Does de Willebois;1385
's-Hertogenbosch;KD55;;mr. F.J.E.van Zinnicq Bergman;1311
's-Hertogenbosch;KD55;;mr. J.J. Suys;676
's-Hertogenbosch;KD55;;dr. J.H.H.de Poorter;589
's-Hertogenbosch;KD55;;mr. P.F.van Cooth;82
's-Hertogenbosch;KD55;;W.J. Knoop;72
Sneek;KD10;AantalGeldigeStemmen;;4445
Sneek;KD10;Kiesgerechtigden;;3051
Sneek;KD10;Opkomst;;2231
Sneek;KD10;AantalStembriefjes;;2231
Sneek;KD10;AantalBlancoStemmen;;9
