RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Groep Staalman-ter Hall;Rooms-Katholieke Volkspartij (RKVP);Plattelandersbond (Braat);Communistische Partij van Nederland;HGSP;Middenstandspartij;Plattelandersbond (De Boer);Protestantsche Volkspartij;Christen-democraten;Vaderlandsch Verbond;Revolutionair arbeiderscomitT;Democratische Partij;Socialistische Partij (SOPA);Rapaille-partij;Sport-partij;Bezuinigingspartij;Vrijdenkers;Actualisten;Pensioenactie;Grondpartij;Landbouwpartij;Premievrij Staatspensioen;Nieuwe Nationale Partij;Wilde Partij;Rentetrekkers;Vrijzinnige Christenpartij
Waalwijk;G0867;11359;Noord-Brabant;P30;4543;4228;115;;4113;3182;203;43;312;26;66;4;17;95;30;2;2;10;;;1;7;;94;3;1;;2;;6;;;;7;;;;
Waarde;G0721;10082;Zeeland;P29;479;362;6;8;348;1;2;25;98;17;51;131;;1;6;;;;10;;2;2;;1;;;;;;1;;;;;;;;
Waardenburg;G0288;10238;Gelderland;P25;741;651;49;;602;5;52;30;220;55;7;170;1;;32;;2;3;8;1;3;1;;9;;;;2;;1;;;;;;;;
Waarder;G1217;10830;Zuid-Holland;P28;453;407;14;;393;8;1;190;108;11;4;43;1;;21;;1;;;;;4;1;;;;;;;;;;;;;;;
Wadenoijen;G1218;10201;Gelderland;P25;922;835;39;24;772;91;159;36;63;253;19;51;5;;70;;1;3;1;9;5;3;;1;;;;;;;;;;;2;;;
Wageningen;G0289;11010;Gelderland;P25;;5456;224;;5232;865;1460;559;896;400;346;269;67;10;16;79;104;18;28;14;12;25;22;22;6;;;6;;3;;5;;;;;;
Wamel;G0290;10042;Gelderland;P25;2943;2599;;;2599;2338;41;14;95;29;9;11;2;30;10;;;8;1;1;2;6;;2;;;;;;;;;;;;;;
Wanneperveen;G0187;10105;Overijssel;P23;754;698;;;698;1;49;169;298;53;52;15;10;1;20;;1;4;4;2;5;3;2;8;1;;;;;;;;;;;;;
Wanroij;G0868;10265;Noord-Brabant;P30;624;609;9;;600;591;;;;;2;;1;6;;;;;;;;;;;;;;;;;;;;;;;;
Wanssum;G0987;10991;Limburg;P31;370;378;;;378;368;;;;;;;1;3;;;;;;;6;;;;;;;;;;;;;;;;;
Warder;G0455;11073;Noord-Holland;P27;;332;1;;331;2;90;2;4;21;132;;2;;60;;;1;16;;;;;;;;;1;;;;;;;;;;
Warmenhuizen;G0456;10221;Noord-Holland;P27;1024;960;;;960;531;60;55;4;24;269;;6;1;1;;;;;;;1;6;1;;;;;1;;;;;;;;;
Warmond;G0628;10204;Zuid-Holland;P28;1195;1099;34;;1065;657;53;72;171;26;35;8;8;4;1;;14;1;1;5;;8;1;;;;;;;;;;;;;;;
Warnsveld;G0291;10838;Gelderland;P25;;1697;32;;1664;178;337;382;364;259;36;4;9;1;17;3;1;5;11;29;4;7;5;7;2;;;1;;;;2;;;;;;
Waspik;G0869;10402;Noord-Brabant;P30;;1311;68;;1243;910;28;23;161;3;13;9;5;32;20;1;6;5;;;5;3;;7;3;4;;1;;2;;;;2;;;;
Wassenaar;G0629;10164;Zuid-Holland;P28;3902;3700;111;;3589;1624;254;447;448;349;150;28;64;14;21;8;59;10;1;13;;68;5;7;3;;;4;;12;;;;;;;;
Waterlandkerkje;G0722;10352;Zeeland;P29;;239;13;;226;84;5;18;19;49;6;14;;5;7;;;;3;;;1;;11;;;;2;2;;;;;;;;;
Wedde;G1220;10247;Groningen;P20;1795;1550;;;1550;5;697;68;143;276;122;4;2;2;45;26;6;5;116;3;5;4;2;;2;;3;2;;4;;7;;;1;;;
Weerselo;G0188;10893;Overijssel;P23;;2498;;;2498;2269;38;5;28;11;14;1;1;58;46;1;1;4;15;1;;3;1;1;;;;;;;;;;;;;;
Weert;G0988;11081;Limburg;P31;5424;5097;134;;4943;4563;148;14;15;6;24;1;12;105;3;1;;;;3;5;1;3;2;;;;11;;1;;;25;;;;;
Weesp;G0457;10773;Noord-Holland;P27;3901;3655;48;68;3519;529;1040;473;561;220;129;5;16;12;8;63;366;10;21;7;42;6;22;2;1;;;2;;4;;;;;;;;
Wehl;G0292;11116;Gelderland;P25;1256;1123;;;1123;979;18;4;32;4;4;;1;14;7;;;2;1;53;2;;;1;;;;1;;;;;;;;;;
Wemeldinge;G0723;11145;Zeeland;P29;1210;1013;29;;984;18;76;343;224;162;55;59;2;;10;2;1;;5;2;;8;2;1;1;;;8;4;1;;;;;;;;
Werkendam;G0870;10078;Noord-Brabant;P30;1618;1266;17;;1249;13;115;396;325;128;52;194;1;2;8;;4;2;;;1;5;;1;;1;;;;1;;;;;;;;
Werkhoven;G1223;11299;Utrecht;P26;440;408;10;;398;270;9;14;38;2;1;51;1;3;5;;;1;;1;1;;1;;;;;;;;;;;;;;;
Wessem;G0989;10127;Limburg;P31;524;484;;;484;460;10;1;1;;;1;4;2;;;;;;;2;;;;;;;1;;1;;;1;;;;;
Westbroek;G1224;10145;Utrecht;P26;525;456;;;456;56;47;122;187;;2;25;4;1;12;;;;;;;;;;;;;;;;;;;;;;;
Westdongeradeel;G0097;10129;Fryslân;P21;4171;3929;81;;3848;16;666;1320;1050;576;68;11;2;;23;2;11;7;27;5;18;22;;7;1;;8;4;;1;;3;;;;;;
Westdorpe;G0724;10915;Zeeland;P29;;888;56;;832;579;172;2;17;9;4;3;4;10;2;2;;;3;1;1;2;4;2;;;;9;4;2;;;;;;;;
Westerbork;G0134;11095;Drenthe;P22;1704;1523;;;1523;;593;302;107;20;118;;18;1;77;;;10;255;6;3;1;3;3;;;;;;;;5;;;1;;;
Westerhoven;G0871;11041;Noord-Brabant;P30;321;312;;;312;304;;;;;2;;1;5;;;;;;;;;;;;;;;;;;;;;;;;
Westervoort;G0293;11085;Gelderland;P25;895;802;5;11;786;526;46;85;61;12;16;2;1;7;2;;23;;;4;;1;;;;;;;;;;;;;;;;
Westkapelle;G0726;10931;Zeeland;P29;;928;28;;900;1;108;218;194;17;71;133;5;3;87;1;;;16;1;2;30;;4;4;;;2;3;;;;;;;;;
Westmaas;G0631;10695;Zuid-Holland;P28;453;393;;;393;;24;153;118;35;4;17;2;;30;;;3;3;;1;1;;2;;;;;;;;;;;;;;
Weststellingwerf;G0098;11322;Fryslân;P21;9252;8202;281;;7921;681;2969;603;1049;168;860;4;62;76;471;100;36;14;138;87;12;22;3;6;447;;87;12;;8;;3;;;3;;;
Westzaan;G0461;11381;Noord-Holland;P27;1512;1292;;;1292;39;539;130;37;29;239;51;30;;53;48;1;6;4;1;20;2;33;16;6;;;;4;1;;1;;;2;;;
Wierden;G0189;10676;Overijssel;P23;4351;3998;;;3998;1045;376;803;1216;45;78;175;10;33;17;23;15;4;57;55;9;22;2;9;4;;;;;;;;;;;;;
Wieringen;G0462;11277;Noord-Holland;P27;;1594;;;1594;137;491;43;18;23;746;4;17;1;25;2;1;1;2;5;49;5;5;5;;;;5;4;2;;2;;;1;;;
Wieringerwaard;G0464;11164;Noord-Holland;P27;680;598;;;598;15;163;8;9;104;242;1;5;;5;1;1;3;17;;1;5;2;8;1;;;1;3;2;;;;;1;;;
Wijchen;G0296;10723;Gelderland;P25;2504;2286;;;2286;1839;59;13;24;12;28;1;11;258;16;;;7;1;8;;2;;4;;;;3;;;;;;;;;;
Wijdewormer;G0470;10434;Noord-Holland;P27;408;369;;;369;120;22;5;22;16;100;1;;1;60;;;;16;;;;4;;;;;1;1;;;;;;;;;
Wijhe;G0190;10888;Overijssel;P23;2381;2233;;;2233;583;374;176;457;224;290;12;1;10;49;3;4;11;14;6;2;6;;;11;;;;;;;;;;;;;
Wijk bij Duurstede;G0352;10760;Utrecht;P26;1614;1439;;;1439;792;95;52;263;56;31;28;4;9;17;1;;6;40;14;1;5;9;14;;;;1;;;;;;;1;;;
Wijk en Aalburg;G0876;11084;Noord-Brabant;P30;1186;982;45;;937;3;30;388;26;104;19;264;6;3;20;;23;6;;;7;28;;6;1;1;;1;;;;;;1;;;;
Wijlre;G0991;10131;Limburg;P31;968;0;;;;817;23;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;
Wijnandsrade;G0992;10992;Limburg;P31;262;245;;;245;230;8;;;;;;;5;;;;;;;;;;;;;;;;;;;2;;;;;
Wijngaarden;G0634;10263;Zuid-Holland;P28;190;170;4;1;165;;3;118;6;1;1;35;;;;;;1;;;;;;;;;;;;;;;;;;;;
Wildervank;G1225;10825;Groningen;P20;5075;4262;;;4262;115;1734;773;386;234;678;9;7;4;205;7;3;12;42;2;11;5;1;12;12;;8;1;;;;1;;;;;;
Willemstad;G0872;10827;Noord-Brabant;P30;1050;900;;;900;65;41;220;368;64;18;18;4;6;25;;31;22;;3;5;7;;2;;;;1;;;;;;;;;;
Willeskop;G0349;10758;Utrecht;P26;;354;;;354;200;4;37;88;4;4;9;1;1;3;;;2;;;;;1;;;;;;;;;;;;;;;
Willige Langerak;G1226;10368;Utrecht;P26;487;438;;;438;156;5;117;79;8;22;30;;1;9;;;;4;2;;;1;3;;;;1;;;;;;;;;;
Wilnis;G0350;10365;Utrecht;P26;1147;1060;;;1060;405;24;433;132;12;9;36;1;;1;;;3;;;1;;2;;;;;;1;;;;;;;;;
Wilsum;G1227;10194;Overijssel;P23;388;322;;;322;1;13;110;71;14;36;29;;1;38;;2;2;3;;;1;1;;;;;;;;;;;;;;;
Winschoten;G0052;10453;Groningen;P20;6489;5810;;;5810;192;2439;876;406;404;1081;8;44;4;42;194;3;20;34;1;12;8;3;19;1;;9;2;;1;;3;;;4;;;
Winsum;G0053;11135;Groningen;P20;1292;1249;;;1235;;272;541;76;158;156;;;;17;;;;4;;;;;;;;;;;;;;;;;;;
Winterswijk;G0294;11119;Gelderland;P25;;7641;94;;7547;758;1986;595;286;1598;1879;3;29;89;50;;8;12;4;210;11;4;;12;;;;10;;3;;;;;;;;
Wisch;G0295;10318;Gelderland;P25;4555;4167;;;4167;1091;228;672;320;396;556;7;43;73;13;;36;3;5;688;3;7;;18;;;;1;;5;;;;;2;;;
Wissenkerke;G1253;10243;Zeeland;P29;;1578;73;;1505;6;16;791;266;78;119;103;5;1;60;2;2;;16;3;6;22;2;2;;;;2;2;1;;;;;;;;
Wittem;G0990;11371;Limburg;P31;1987;0;;;;1633;76;;;;;;;71;;;;;;;;;;;;;;;;;;;;;;;;
Woensdrecht;G0873;10602;Noord-Brabant;P30;1706;1453;;;1453;1176;121;10;13;7;12;17;11;42;11;;1;7;;3;7;1;;4;2;;;8;;;;;;;;;;
Woerden;G0632;10974;Zuid-Holland;P28;3542;3305;115;;3190;958;342;383;854;255;54;186;36;15;25;9;3;19;10;6;6;8;9;6;2;;;3;;;1;;;;;;;
Wognum;G0466;10818;Noord-Holland;P27;957;920;6;;914;603;18;2;3;81;192;;3;2;4;;;;2;;1;;2;;;;;;1;;;;;;;;;
Wolphaartsdijk;G0728;10543;Zeeland;P29;;1136;37;;1099;23;41;279;435;74;46;144;2;1;13;1;3;;23;;4;;2;1;1;;;2;4;;;;;;;;;
Wonseradeel;G0099;10454;Fryslân;P21;6860;6430;174;;6256;515;1017;1678;1719;825;127;8;11;19;178;6;20;5;37;21;7;15;3;9;7;;18;2;;1;;6;;;2;;;
Workum;G0100;10768;Fryslân;P21;2100;1959;20;;1939;440;169;334;724;33;149;1;4;17;9;2;8;3;13;5;18;2;;4;;;3;;;1;;;;;;;;
Wormer;G0467;10648;Noord-Holland;P27;1827;1740;5;20;1715;445;478;163;46;16;334;6;21;1;52;77;2;2;3;;30;3;4;3;5;;;;;1;;23;;;;;;
Wormerveer;G0468;10361;Noord-Holland;P27;4663;4431;37;140;4261;509;1681;286;68;156;652;13;232;7;50;335;7;8;9;11;88;9;27;67;15;;;2;5;6;;8;;;4;;;
Woubrugge;G0633;10461;Zuid-Holland;P28;1121;1025;11;;1014;411;37;223;199;69;8;26;6;2;11;;4;;3;;5;6;1;1;;;;1;;;;;;;1;;;
Woudenberg;G0351;11398;Utrecht;P26;1433;1281;64;;1217;14;206;329;220;137;47;86;3;3;53;1;5;6;4;;;91;2;7;1;;;1;;;;;;;1;;;
Woudrichem;G0874;10282;Noord-Brabant;P30;1020;850;21;28;801;11;197;252;128;68;93;12;1;6;17;3;1;;;;2;7;;2;;1;;;;;;;;;;;;
Wouw;G0875;10808;Noord-Brabant;P30;2194;1995;;;1995;1775;77;4;7;5;20;1;7;53;15;;3;9;;1;3;3;;3;2;;;5;;2;;;;;;;;
Wymbritseradeel;G0101;11427;Fryslân;P21;5934;5636;69;;5567;726;290;1514;2449;230;41;4;8;17;56;2;59;7;99;32;7;7;;3;;;7;2;;3;;4;;;;;;
Yerseke;G0729;11247;Zeeland;P29;;1827;83;;1744;81;93;333;415;33;344;389;1;1;23;;3;;10;1;1;7;3;2;;;;1;2;1;;;;;;;;
Zaamslag;G0731;11173;Zeeland;P29;;1647;54;;1593;18;89;641;440;235;12;93;9;;20;3;5;;5;;4;6;1;3;;;;7;2;;;;;;;;;
Zaandam;G0471;11044;Noord-Holland;P27;16022;14550;219;;14331;1704;6552;1878;582;572;1198;79;428;65;96;371;26;88;11;15;245;31;168;66;96;;;17;21;5;;17;;;;;;
Zaandijk;G0472;11404;Noord-Holland;P27;;1509;;;1509;41;742;155;56;147;181;1;32;1;13;73;2;2;1;2;26;5;4;6;13;;;;4;;;2;;;;;;
Zalk en Veecaten;G1232;10633;Overijssel;P23;;453;;;453;30;16;198;82;23;31;44;1;;11;;5;3;;1;1;5;;1;1;;;;;;;;;;;;;
Zaltbommel;G0297;10557;Gelderland;P25;2087;1874;90;;1784;346;497;136;149;237;202;12;3;1;163;;;10;8;2;3;4;;4;;;;4;;2;;;;;1;;;
Zeeland;G0877;10759;Noord-Brabant;P30;1030;987;2;;985;978;;;;;;;1;1;;;;;;;;4;;;;;;1;;;;;;;;;;
Zegveld;G0354;10949;Utrecht;P26;562;492;;;492;82;;184;201;4;2;14;;;3;;;;;;1;1;;;;;;;;;;;;;;;;
Zegwaart;G1234;10185;Zuid-Holland;P28;986;903;11;5;887;260;51;136;52;97;2;96;7;3;11;;159;2;;;1;2;6;1;1;;;;;;;;;;;;;
Zeist;G0355;10324;Utrecht;P26;9638;8527;;;8527;989;1882;2017;1083;916;592;381;147;42;49;4;51;79;14;17;85;86;11;28;7;;;12;12;17;;;;;6;;;
Zelhem;G0298;11159;Gelderland;P25;2516;2198;;;2198;282;84;843;131;239;303;43;8;11;55;;2;11;6;152;7;13;;2;;;;2;;2;;;;;2;;;
Zevenaar;G0299;10938;Gelderland;P25;2662;2386;;;2386;1942;121;34;21;26;57;3;14;50;15;;8;8;;64;4;6;;8;;;;4;;;;;;;1;;;
Zevenbergen;G0878;10046;Noord-Brabant;P30;4135;3766;;;3766;2754;91;177;557;50;29;3;8;54;19;;3;7;;3;3;5;;;1;;;1;;1;;;;;;;;
Zevenhoven;G0635;11317;Zuid-Holland;P28;517;540;;;540;258;12;65;83;32;;71;;4;5;;;;1;2;1;3;;;1;;;1;;;;;;;1;;;
Zierikzee;G0732;10843;Zeeland;P29;3678;3364;125;;3239;362;435;546;332;830;278;141;49;11;56;6;10;;121;1;4;28;5;2;12;;;5;3;2;;;;;;;;
Zijpe;G0476;10004;Noord-Holland;P27;2567;1736;;;1736;478;333;14;13;25;760;2;15;3;33;;1;9;8;;15;1;4;15;2;;;;2;1;;2;;;;;;
Zoelen;G0300;10897;Gelderland;P25;1256;1097;;;1097;4;147;22;121;595;25;14;6;2;130;;2;3;14;;3;1;;2;;;;2;;4;;;;;;;;
Zoetermeer;G0637;10766;Zuid-Holland;P28;731;683;1;3;679;284;14;64;54;31;6;70;2;1;14;;131;1;3;;;;2;;;;;;;;2;;;;;;;
Zoeterwoude;G0638;11074;Zuid-Holland;P28;1588;1513;42;;1471;1111;17;100;164;7;12;8;3;6;12;3;6;2;2;1;;4;2;4;1;;;;;2;1;;;;3;;;
Zonnemaire;G1236;10040;Zeeland;P29;521;475;8;5;462;1;131;111;21;116;23;11;1;;12;2;;;22;;1;2;1;2;;;;3;1;1;;;;;;;;
Zoutelande;G1237;10779;Zeeland;P29;400;350;7;;343;1;2;129;133;1;13;55;;;3;;;;;;2;2;;;;;;;2;;;;;;;;;
Zuid-Beijerland;G0639;10917;Zuid-Holland;P28;1183;1025;;;1025;1;75;263;232;162;7;160;8;2;87;1;;6;8;1;1;5;2;2;;;;;;1;;1;;;;;;
Zuidbroek;G1240;11282;Groningen;P20;1465;1179;;;1179;10;608;156;21;68;136;3;16;1;70;11;;10;34;4;4;2;2;10;5;;;3;;2;;3;;;;;;
Zuiddorpe;G0734;11087;Zeeland;P29;;463;30;;433;319;56;7;3;1;2;1;;15;2;;4;;1;2;;;2;;;;;16;1;1;;;;;;;;
Zuidhorn;G0056;10021;Groningen;P20;1753;1647;20;18;1609;18;440;516;67;213;189;1;3;1;58;2;1;5;62;1;4;8;;12;1;;5;;;;;1;;;1;;;
Zuidlaren;G0136;10002;Drenthe;P22;1725;1582;;;1582;1;506;288;32;201;292;2;17;2;153;5;4;8;26;1;10;7;1;24;;;;;;;;1;;;1;;;
Zuid-Scharwoude;G1238;10159;Noord-Holland;P27;928;881;19;;862;309;114;32;7;83;103;;6;4;6;;;6;4;;;;8;172;;;;2;2;;;4;;;;;;
Zuidwolde;G0137;10262;Drenthe;P22;2300;1959;;;1959;19;317;427;418;40;253;4;12;;92;3;2;5;337;;8;3;1;9;;;;;;;;9;;;;;;
Zuidzande;G0735;10437;Zeeland;P29;;536;26;;510;11;32;47;28;219;90;6;;;26;1;1;;3;25;;2;1;12;;;;4;1;1;;;;;;;;
Zuilen;G1242;10059;Utrecht;P26;2313;2215;158;;2057;337;788;376;215;46;45;64;10;49;12;18;12;7;5;10;41;3;10;4;;;;2;1;1;;;;;1;;;
Zuilichem;G1243;11036;Gelderland;P25;485;420;15;33;372;1;69;140;19;9;3;88;1;1;28;;;3;2;;1;4;;1;;;;;;;;;;;2;;;
Zundert;G0879;11192;Noord-Brabant;P30;2616;2220;;;2220;1849;54;18;32;15;27;16;12;69;11;;7;53;;8;12;9;;7;2;;;10;;9;;;;;;;;
Zutphen;G0301;10254;Gelderland;P25;10055;9190;352;;8838;869;3290;667;975;1543;676;56;71;81;34;134;11;27;21;174;32;28;40;71;10;;;11;;7;;10;;;;;;
Zwammerdam;G1244;10675;Zuid-Holland;P28;1022;939;3;13;923;226;35;203;207;80;19;72;7;5;39;1;7;;3;3;6;3;4;1;;;;;;1;;;;;1;;;
Zwartewaal;G0641;10703;Zuid-Holland;P28;320;0;;;;4;59;60;22;51;41;;;;24;;;;;;;;;;;;;;;;;;;;;;;
Zwartsluis;G0192;10303;Overijssel;P23;1862;1481;;;1481;;126;843;293;140;23;9;13;;1;3;7;4;5;3;3;8;;;;;;;;;;;;;;;;
Zweeloo;G0138;10872;Drenthe;P22;832;790;;;790;;144;203;18;112;61;2;3;1;27;1;;2;210;;1;1;;2;;;;;;;;2;;;;;;
Zwijndrecht;G0642;10468;Zuid-Holland;P28;4715;4190;;;4190;156;840;1313;982;278;61;364;24;6;59;11;16;13;13;6;13;5;4;10;1;;;7;;1;;2;;;5;;;
Zwolle;G0193;10093;Overijssel;P23;19856;17767;;;17767;2634;5984;2147;2143;924;1449;208;627;808;25;193;21;33;36;337;79;74;14;23;8;;;;;;;;;;;;;
Zwollerkerspel;G1245;10654;Overijssel;P23;3689;3399;;;3399;486;526;746;1006;219;88;96;55;25;46;4;17;3;20;29;2;23;4;3;1;;;;;;;;;;;;;
