RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Groep Staalman-ter Hall;Rooms-Katholieke Volkspartij (RKVP);Plattelandersbond (Braat);Communistische Partij van Nederland;HGSP;Middenstandspartij;Plattelandersbond (De Boer);Protestantsche Volkspartij;Christen-democraten;Vaderlandsch Verbond;Revolutionair arbeiderscomitT;Democratische Partij;Socialistische Partij (SOPA);Rapaille-partij;Sport-partij;Bezuinigingspartij;Vrijdenkers;Actualisten;Pensioenactie;Grondpartij;Landbouwpartij;Premievrij Staatspensioen;Nieuwe Nationale Partij;Wilde Partij;Rentetrekkers;Vrijzinnige Christenpartij
Stad Vollenhove;G1193;11183;Overijssel;P23;808;748;11;14;723;129;84;87;216;147;8;1;2;2;4;3;4;2;4;;27;3;;;;;;;;;;;;;;;;
Standdaarbuiten;G0850;11212;Noord-Brabant;P30;891;829;;;829;751;2;13;25;6;1;2;3;16;1;;2;3;;;1;2;;;;;;1;;;;;;;;;;
Staphorst;G0180;11362;Overijssel;P23;3382;3096;;;3096;6;133;1792;300;134;72;284;8;;169;4;3;3;122;6;6;40;4;9;1;;;;;;;;;;;;;
Stavenisse;G0714;10619;Zeeland;P29;947;522;31;;491;;8;34;125;14;16;225;8;1;29;1;4;;20;1;1;1;;;;;;1;1;1;;;;;;;;
Staveren;G1257;10240;Fryslân;P21;477;428;9;;419;1;72;88;153;5;62;1;;8;2;;1;5;7;;5;3;;1;;;3;;;2;;;;;;;;
Steenbergen;G1376;10731;Noord-Brabant;P30;4466;4052;;;4052;3268;278;16;101;73;33;21;24;69;78;;6;20;;5;23;5;;11;7;;;12;;2;;;;;;;;
Steenderen;G0280;10497;Gelderland;P25;1842;1710;22;;1688;690;129;297;253;242;22;3;4;8;9;;1;2;2;19;1;3;;3;;;;;;;;;;;;;;
Steenwijk;G0181;10546;Overijssel;P23;3447;3257;26;84;3147;144;839;504;694;235;234;7;48;19;46;27;222;2;8;3;83;16;6;6;4;;;;;;;;;;;;;
Steenwijkerwold;G0182;11347;Overijssel;P23;3084;2765;;;2765;461;446;346;735;293;116;19;22;21;81;7;118;15;33;6;11;13;6;8;8;;;;;;;;;;;;;
Stein;G0971;11319;Limburg;P31;1292;0;;;;1031;70;;;;;;;28;;;;;;;;;;;;;;;;;;;;;;;;
Stellendam;G1195;10087;Zuid-Holland;P28;842;0;;;;2;11;212;152;44;7;124;1;2;43;3;1;6;4;;24;;3;3;1;;;4;;1;;;;;1;;;
Stevensweert;G0972;11203;Limburg;P31;484;439;;;439;387;16;;4;;5;;2;8;8;;1;;;2;;1;1;;;;;;;;;;4;;;;;
Stiphout;G1196;11386;Noord-Brabant;P30;398;394;4;;390;369;9;;;;1;;;6;1;;;1;;;;;;;1;1;;;;;;;;1;;;;
Stolwijk;G0615;11250;Zuid-Holland;P28;1303;1122;32;55;1035;14;116;224;25;325;41;93;24;2;107;7;7;8;2;4;5;11;6;8;1;;;3;;1;1;;;;;;;
Stompwijk;G1197;10742;Zuid-Holland;P28;1954;2159;30;;2129;1444;207;108;200;23;7;4;17;6;40;5;42;3;1;3;1;6;5;4;1;;;;;;2;;;;;;;
Stoppeldijk;G1198;10100;Zeeland;P29;;707;39;;668;533;8;6;2;7;1;2;3;11;1;1;5;;1;1;2;2;5;1;3;;;69;2;2;;;;;;;;
Stoutenburg;G0343;10438;Utrecht;P26;540;504;;;504;364;12;28;65;4;;3;1;12;3;;;;1;;1;7;;;;;;;;3;;;;;;;;
Stramproy;G0973;11186;Limburg;P31;688;670;;;670;656;8;;;;;;;4;;;;;;;;;;;;;;;;;;;2;;;;;
Strijen;G0617;10558;Zuid-Holland;P28;2335;1993;;;1993;11;252;406;488;404;68;93;32;2;139;2;8;17;12;16;9;6;6;8;1;;;8;;1;;1;;;3;;;
Susteren;G0974;10457;Limburg;P31;1597;1522;21;31;1470;1236;147;4;10;1;11;;3;29;4;;;;;;5;1;2;;;;;4;;;;;13;;;;;
Swalmen;G0975;10474;Limburg;P31;1748;1616;;;1616;1421;98;1;3;;7;2;6;36;3;1;3;;;2;2;3;;4;;;;7;;;;;17;;;;;
't Zandt;G0054;10956;Groningen;P20;1645;1519;;;1519;7;389;443;230;127;170;;;;62;10;;;45;;;;;;;;;;;;;;;;;;;
Tegelen;G0976;11333;Limburg;P31;3034;2831;;;2831;2546;158;4;4;2;13;3;15;23;6;6;1;;;1;10;3;5;2;;;;5;;4;;;20;;;;;
Ter Aar;G0480;11104;Zuid-Holland;P28;1544;1440;;;1440;801;3;182;293;40;8;59;3;7;26;;;;1;6;;2;4;1;1;;;;;3;;;;;;;;
Terheijden;G0853;10905;Noord-Brabant;P30;1834;1666;;;1666;1526;54;7;29;7;3;1;6;19;3;;2;1;;;;3;;1;1;;;3;;;;;;;;;;
Terneuzen;G0715;10704;Zeeland;P29;;4365;117;67;4181;635;911;602;830;523;133;363;29;23;34;11;16;;14;3;3;20;3;2;3;;;13;5;5;;;;;;;;
Teteringen;G0854;10677;Noord-Brabant;P30;4013;3565;;;3565;2448;315;60;122;273;118;3;89;56;5;;6;5;;3;6;40;;1;;;;12;;3;;;;;;;;
Tholen;G0716;10376;Zeeland;P29;1595;1360;40;;1320;112;75;144;327;94;99;327;7;1;26;;;;58;1;2;7;1;30;;;;;6;3;;;;;;;;
Thorn;G0977;11195;Limburg;P31;715;675;;;675;648;10;;;;2;;1;9;;3;;;;;;;;;;;;;;;;;2;;;;;
