Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;4797
Alkmaar;KD34;Opkomst;;4332
Alkmaar;KD34;AantalStembriefjes;;4332
Alkmaar;KD34;AantalGeldigeStemmen;;4322
Alkmaar;KD34;AantalBlancoStemmen;;1
Alkmaar;KD34;;jhr. C. Hartsen;1492
Alkmaar;KD34;;mr. W.van der Kaay;1490
Alkmaar;KD34;;mr. I.A. Levy;954
Alkmaar;KD34;;H.W.van Marle;255
Alkmaar;KD34;;W.F. Stoel;128
Almelo;KD15;Kiesgerechtigden;;2295
Almelo;KD15;AantalStembriefjes;;1847
Almelo;KD15;Opkomst;;1846
Almelo;KD15;AantalGeldigeStemmen;;1834
Almelo;KD15;AantalBlancoStemmen;;11
Almelo;KD15;;mr. W.C.J.J. Cremers;1363
Almelo;KD15;;W.J. Geertsema;453
Amersfoort;KD26;Kiesgerechtigden;;2945
Amersfoort;KD26;Opkomst;;2463
Amersfoort;KD26;AantalStembriefjes;;2463
Amersfoort;KD26;AantalGeldigeStemmen;;2450
Amersfoort;KD26;AantalBlancoStemmen;;7
Amersfoort;KD26;;jhr.mr. T.A.J.van Asch van Wijck;1624
Amersfoort;KD26;;mr. H.J.H.baron van Boetzelaer van Oosterhout;821
Amsterdam;KD72;AantalGeldigeStemmen;;140176
Amsterdam;KD72;Kiesgerechtigden;;20887
Amsterdam;KD72;Opkomst;;16015
Amsterdam;KD72;AantalStembriefjes;;16015
Amsterdam;KD72;AantalBlancoStemmen;;3779
Amsterdam;KD72;;J.T. Cremer;9473
Amsterdam;KD72;;mr. J.G. Gleichman;9299
Amsterdam;KD72;;A. Gildemeester;9237
Amsterdam;KD72;;mr. A. Kerdijk;8985
Amsterdam;KD72;;mr. J.P.R. Tak van Poortvliet;8979
Amsterdam;KD72;;mr. A.F.K. Hartogh;8866
Amsterdam;KD72;;B.H. Heldt;8689
Amsterdam;KD72;;jhr.mr. J.W.H. Rutgers van Rozenburg;8661
Amsterdam;KD72;;mr. J.D. Veegens;5415
Amsterdam;KD72;;mr. W.H.de Beaufort;5161
Amsterdam;KD72;;mr. B.J.L.baron van Geer van Jutphaas;5002
Amsterdam;KD72;;mr. Th. Heemskerk;5000
Amsterdam;KD72;;H. Waller;4970
Amsterdam;KD72;;E.J.J. Kuinders;4944
Amsterdam;KD72;;jhr.mr. A.F.de Savornin Lohman;4878
Amsterdam;KD72;;mr. L.M. Povel;4777
Amsterdam;KD72;;mr. J.F. Farensbach;4686
Amsterdam;KD72;;dr. J.A.J.van Nederhasselt;4622
Amsterdam;KD72;;P.J. Raaymakers;3018
Amsterdam;KD72;;C.V. Gerritsen;2476
Amsterdam;KD72;;dr. V. Bruinsma;2402
Amsterdam;KD72;;H.W.van Marle;2182
Amsterdam;KD72;;F. Domela Nieuwenhuis;1064
Amsterdam;KD72;;J.C.van Schermbeek;951
Amsterdam;KD72;;dr. J.M. Smit;836
Amsterdam;KD72;;J.G. Sillem;605
Amsterdam;KD72;;mr. M.J.van Lennep;581
Amsterdam;KD72;;mr. W.A. Paap;576
Amsterdam;KD72;;jhr.mr. G.J.T. Beelaerts van Blokland;554
