Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;3215
Alkmaar;KD34;Opkomst;;2256
Alkmaar;KD34;AantalStembriefjes;;2256
Alkmaar;KD34;AantalGeldigeStemmen;;2247
Alkmaar;KD34;AantalBlancoStemmen;;6
Alkmaar;KD34;;mr. J.L.de Bruyn Kops;1254
Alkmaar;KD34;;mr. R.J.graaf van Schimmelpenninck;978
Almelo;KD15;Kiesgerechtigden;;2151
Almelo;KD15;Opkomst;;1842
Almelo;KD15;AantalStembriefjes;;1841
Almelo;KD15;AantalGeldigeStemmen;;1830
Almelo;KD15;AantalBlancoStemmen;;5
Almelo;KD15;;mr. B. Brouwer;1021
Almelo;KD15;;mr. G.A. Vos de Wael;703
Almelo;KD15;;dr. A. Kuyper;95
Amersfoort;KD26;Kiesgerechtigden;;2862
Amersfoort;KD26;Opkomst;;1702
Amersfoort;KD26;AantalStembriefjes;;1702
Amersfoort;KD26;AantalGeldigeStemmen;;1690
Amersfoort;KD26;AantalBlancoStemmen;;8
Amersfoort;KD26;;mr. E.L.baron van Hardenbroek van Lockhorst;760
Amersfoort;KD26;;J.A. Alberdingk Thijm;446
Amersfoort;KD26;;J. Wolbers;232
Amersfoort;KD26;;M.D.van Otterloo;186
Amsterdam;KD72;AantalGeldigeStemmen;;7223
Amsterdam;KD72;Kiesgerechtigden;;3959
Amsterdam;KD72;Opkomst;;2424
Amsterdam;KD72;AantalStembriefjes;;2424
Amsterdam;KD72;AantalBlancoStemmen;;43
Amsterdam;KD72;;mr. C. Fock;1262
Amsterdam;KD72;;jhr.mr. G.C.J.van Reenen;1216
Amsterdam;KD72;;mr.dr. E.H.s' Jacob;1153
Amsterdam;KD72;;J.P.de Bordes;1127
Amsterdam;KD72;;mr. A.S.van Nierop;1071
Amsterdam;KD72;;H.A. Insinger;1051
Amsterdam;KD72;;mr.dr. J.J. Teding van Berkhout;118
Amsterdam;KD72;;mr. L.W.C. Keuchenius;103
Amsterdam;KD72;;M.D.van Otterloo;92
Appingedam;KD3;Kiesgerechtigden;;2939
Appingedam;KD3;Opkomst;;981
Appingedam;KD3;AantalStembriefjes;;981
Appingedam;KD3;AantalGeldigeStemmen;;966
Appingedam;KD3;AantalBlancoStemmen;;14
Appingedam;KD3;;mr. D.de Ruiter Zijlker;633
Appingedam;KD3;;dr. A. Kuyper;279
Arnhem;KD17;Kiesgerechtigden;;2863
Arnhem;KD17;Opkomst;;1987
Arnhem;KD17;AantalStembriefjes;;1987
Arnhem;KD17;AantalGeldigeStemmen;;1977
Arnhem;KD17;AantalBlancoStemmen;;8
Arnhem;KD17;;mr. J.P.J.A.graaf van Zuylen van Nijevelt;1009
Arnhem;KD17;;mr. L.A.J.W.baron van Sloet van de Beele;923
Arnhem;KD17;;mr. L.W.C. Keuchenius;32
Assen;KD5;Kiesgerechtigden;;2204
Assen;KD5;AantalStembriefjes;;951
Assen;KD5;Opkomst;;950
Assen;KD5;AantalGeldigeStemmen;;943
Assen;KD5;AantalBlancoStemmen;;4
Assen;KD5;;mr. H.J. Smidt;691
Assen;KD5;;mr. B.J. Gratama;229
Boxmeer;KD75;Kiesgerechtigden;;2431
Boxmeer;KD75;AantalStembriefjes;;1653
Boxmeer;KD75;Opkomst;;1647
Boxmeer;KD75;AantalGeldigeStemmen;;1618
Boxmeer;KD75;AantalBlancoStemmen;;25
Boxmeer;KD75;;mr. P.van den Heuvel;1110
Boxmeer;KD75;;H.C.F. Kerstens;476
Breda;KD61;Kiesgerechtigden;;4003
Breda;KD61;AantalStembriefjes;;3199
Breda;KD61;Opkomst;;3195
Breda;KD61;AantalGeldigeStemmen;;3160
Breda;KD61;AantalBlancoStemmen;;16
Breda;KD61;;jhr.mr. C.J.C.H.van Nispen tot Sevenaer;2028
Breda;KD61;;N.R.H. Guljé;1023
Breda;KD61;;mr. B.J.L.baron van Geer van Jutphaas;60
Brielle;KD50;Kiesgerechtigden;;1182
Brielle;KD50;AantalStembriefjes;;641
Brielle;KD50;Opkomst;;639
Brielle;KD50;AantalGeldigeStemmen;;626
Brielle;KD50;AantalBlancoStemmen;;14
Brielle;KD50;;dr. K.A. Rombach;533
Brielle;KD50;;dr. A. Kuyper;33
