RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalBlancoStemmen;;17004;
Nederland;L528;AantalGeldigeStemmen;;9424235;
Nederland;L528;AantalOngeldigeStemmen;;20984;
Nederland;L528;Kiesgerechtigden;;12689810;
Nederland;L528;Opkomst;;9462223;
Nederland;L528;;VVD;2504948;41
Nederland;L528;;VVD - M. (Mark) Rutte;2129000;
Nederland;L528;;VVD - E.I. (Edith) Schippers;123889;
Nederland;L528;;VVD - J.A. (Jeanine) Hennis-Plasschaert;39197;
Nederland;L528;;VVD - F. (Fred) Teeven;35103;
Nederland;L528;;VVD - J.H. (Han) ten Broeke;14403;
Nederland;L528;;VVD - A. (Anouchka) van Miltenburg;13677;
Nederland;L528;;VVD - F.H.H. (Frans) Weekers;12409;
Nederland;L528;;VVD - S.A. (Stef) Blok;9316;
Nederland;L528;;VVD - M.L. (Mark) Verheijen;8993;
Nederland;L528;;VVD - E. (Erik) Ziengs;8948;
Nederland;L528;;VVD - B.G. (Betty) de Boer;7786;
Nederland;L528;;VVD - K.C.J. (Karin) Straus;6800;
Nederland;L528;;VVD - A. (André) Bosman;6732;
Nederland;L528;;VVD - C. (Cora) van Nieuwenhuizen-Wijbenga;4636;
Nederland;L528;;VVD - T. (Tamara) Venrooy-van Ark;4343;
Nederland;L528;;VVD - H. (Halbe) Zijlstra;4285;
Nederland;L528;;VVD - W.J.H. (Helma) Lodders;3734;
Nederland;L528;;VVD - J. (Johan) Houwers;3709;
Nederland;L528;;VVD - B. (Barbara) Visser;3509;
Nederland;L528;;VVD - R.W. (René) Leegte;3319;
Nederland;L528;;VVD - M.G.J. (Mark) Harbers;3234;
Nederland;L528;;VVD - K.H.D.M. (Klaas) Dijkhoff;3200;
Nederland;L528;;VVD - P.J. (Pieter) Duisenberg;2862;
Nederland;L528;;VVD - E.J. (Erik) Koppe;2697;
Nederland;L528;;VVD - J. (Joost) Taverne;2207;
Nederland;L528;;VVD - B.C. (Bart) de Liefde;2163;
Nederland;L528;;VVD - G.A. (Ard) van der Steur;2021;
Nederland;L528;;VVD - P.J.M. (Pieter) Litjens;2010;
