RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;;VVD - J. (Jeroen) van Wijngaarden;1974;
Nederland;L528;;VVD - H. (Helma) Neppérus;1904;
Nederland;L528;;VVD - A.C.L. (Arno) Rutte;1874;
Nederland;L528;;VVD - M. (Malik) Azmani;1874;
Nederland;L528;;VVD - A.W. (Anne-Wil) Lucas-Smeerdijk;1733;
Nederland;L528;;VVD - T.M.C. (Ton) Elias;1555;
Nederland;L528;;VVD - C.N.A. (Chantal) Nijkerken-de Haan;1536;
Nederland;L528;;VVD - O.C. (Ockje) Tellegen;1470;
Nederland;L528;;VVD - A. (Aukje) de Vries;1352;
Nederland;L528;;VVD - M.S. (Michiel) van Veen;1305;
Nederland;L528;;VVD - B.I. (Brigitte) van der Burg;1303;
Nederland;L528;;VVD - P.J.M.J. (Perjan) Moors;1225;
Nederland;L528;;VVD - A. (Anne) Mulder;1204;
Nederland;L528;;VVD - Y. (Ybeltje) Berckmoes-Duindam;1196;
Nederland;L528;;VVD - M.E. (Matthijs) Huizing;1194;
Nederland;L528;;VVD - B. (Bas) van 't Wout;1178;
Nederland;L528;;VVD - R.J. (Remco) Dijkstra;1130;
Nederland;L528;;VVD - J.B. (Joost) Helms;953;
Nederland;L528;;VVD - A. (Anoushka) Schut-Welkzijn;860;
Nederland;L528;;VVD - R.E. (Roald) van der Linde;857;
Nederland;L528;;VVD - T.K. (Tine) Schaafsma-Buijs;792;
Nederland;L528;;VVD - J.H. (Jock) Geselschap;790;
Nederland;L528;;VVD - R.J. (Rudmer) Heerema;777;
Nederland;L528;;VVD - H.S. (Hayke) Veldman;728;
Nederland;L528;;VVD - L.A. (Leendert) de Lange;709;
Nederland;L528;;VVD - A. (Asraa) Abdullatif;704;
Nederland;L528;;VVD - F. (Foort) van Oosten;634;
Nederland;L528;;VVD - J. (Jeltje) Hoekstra-Sikkema;631;
Nederland;L528;;VVD - B.M.G. (Bart) Smals;591;
Nederland;L528;;VVD - N. (Nina) Hofstra;576;
Nederland;L528;;VVD - I.S.H. (Ingrid) de Caluwé;556;
Nederland;L528;;VVD - C. (Christianne) van der Wal-Zeggelink;548;
Nederland;L528;;VVD - T. (Tatjana) Šormaz;547;
Nederland;L528;;VVD - M.A.J. (Mark) Snoeren;519;
Nederland;L528;;VVD - R.G.J. (Roel) Lauwerier;508;
Nederland;L528;;VVD - S.C.C.M. (Sjoerd) Potters;443;
Nederland;L528;;VVD - R.P.G. (Remco) Bosma;406;
Nederland;L528;;VVD - E. (Erik) Struijlaart;353;
Nederland;L528;;VVD - B.J.A. (Bernd) Roks;339;
Nederland;L528;;VVD - H.J.P.E. (Hubert) Koevoets;337;
Nederland;L528;;VVD - J. (Jasper) Mos;315;
Nederland;L528;;VVD - J.M. (Joost) van Keulen;296;
Nederland;L528;;VVD - B.M.H. (Baerte) de Brey;254;
Nederland;L528;;VVD - D.A. (Daniël) van der Ree;245;
Nederland;L528;;VVD - R. (Ronald) Vuijk;204;
Nederland;L528;;VVD - S.S.E. (Sjoerd) Osinga;169;
Nederland;L528;;VVD - D.A.N. (Daniel) Koerhuis;118;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.);2340750;38
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - D.M. (Diederik) Samsom;1809856;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J. (Jetta) Klijnsma;192190;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - R.H.A. (Ronald) Plasterk;58427;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - T.M. (Tanja) Jadnanansing;28704;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - T. (Tunahan) Kuzu;23067;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - L. (Lutz) Jacobi;16082;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - F.C.G.M. (Frans) Timmermans;15150;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A. (Ahmed) Marcouch;13289;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - S. (Selcuk) Öztürk;9831;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - M.I. (Mariëtte) Hamer;8744;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - M.L. (Mei Li) Vos;8541;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - K. (Keklik) Demir-Yücel;8403;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - O.E.T. (Otwin) van Dijk;6884;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - K. (Khadija) Arib;6625;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - H. (Henk) Nijboer;6448;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - M. (Maarten) van Rossem;5929;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - M. (Mohamed) Mohandis;5413;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - N. (Nurten) Karisli;5243;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A.G. (Agnes) Wolbert;5207;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - T.R. (Tjeerd) van Dekken;5176;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A.A. (Albert) de Vries;4664;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A.A. (Amma) Asante;4549;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - M.H.P. (Martijn) van Dam;4531;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.R.V.A. (Jeroen) Dijsselbloem;4336;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - D.E. (Désirée) Bonis;3830;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - H. (Manon) Fokke;3732;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - L.T. (Lea) Bouwmeester;3451;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - Y. (Yasemin) Cegerek;3377;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - Y. (Yasin) Torunoglu;3277;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A.H. (Attje) Kuiken;3247;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.W.M. (John) Kerstens;3050;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - L. (Loes) Ypma;2569;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - R.A. (Roos) Vermeij;2370;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - R. (Rien) van der Velde;2339;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - M. (Myrthe) Hilkens;2279;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.S. (Jacques) Monasch;2193;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - E. (Emre) Ünver;2016;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - S. (Sultan) Günal-Gezer;1990;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A.M.C. (Angelien) Eijsink;1949;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - M. (Mohamed) Allach;1482;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - D. (Dick) Buursink;1135;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - E.G. (Eefke) Meijerink;985;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - R.F.A. (Astrid) Oosenbrug-Blokland;980;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - H. (Hans) Kok;938;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - P.M.M. (Pierre) Heijnen;896;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - S.W. (Sjoera) Dikkers;871;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - G.S.I.A. (Grace) Tanamal;867;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.L. (Hans) Spekman;860;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.W.A. (Jack) Vinders;845;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J. (Jeroen) Recourt;789;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A. (Achmed) Baâdoud;729;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A. (Abdelkader) Salhi;717;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - D. (Duco) Hoogland;692;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.C. (Carlos) Gonçalves;678;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.A.P. (Jan) Smeets;677;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - M. (Michiel) Servaes;658;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.G.P. (Joyce) Vermue;626;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - M.J. (Marith) Rebel-Volp;623;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - S.E.A. (Saskia) den Uijl;621;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - V.A. (Ed) Groot;598;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - M.E. (Marit) Maij;576;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - R. (Ria) Holsheimer-Wezeman;564;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - M.W. (Marleen) Haage;548;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A.L. (Anne) Koning;528;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.C. (Jan) Vos;508;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A.H. (Alvin) Riley;473;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - E.P. (Ed) Wagemaker;442;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - M.A.H. (Marieke) Moorman;435;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - P.J. (Paul) van Liempd;433;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - H. (Harm) Brouwer;431;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - O.M.T. (Odile) Wolfs;430;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - E. (Ersan) Taskin;419;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - Y.M.M. (Yvonne) Morselt-de Ruijter;419;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - H.J.M. (Henk) Leenders;417;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - F.F. (Femke) van Drooge;401;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - R.P. (Roelof) van Laar;392;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - R.G.J. (Roy) Bouten;385;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - M.C.T. (Mary) Fiers;384;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A. (Adnan) Tekin;377;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - B.R. (Bouke) Arends;375;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J. (Jamila) Aanzi;368;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - W.M. (Marijn) van Ballegooijen;361;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - F.T.S. (Fijko) van der Laan;349;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A. (Anne) de Rooij;338;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - P. (Peter) de Haan;335;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - X.J. (Xander) den Uijl;324;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - H. (Halima) de Baedts-el Karouni;320;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - S. (Songul) Mutluer;315;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - E.H. (Ward) Deckers;308;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.M. (Co) van Schaik;303;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - R.W. (Rein) Munniksma;299;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.M. (Marijke) Drees;290;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - G. (Gritta) Nottelman;284;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.P. (Jasper) Ragetlie;284;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.A.W.P. (Jeroen) Weyers;279;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A.H.G. (Anja) van Zantvoort;275;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - E.M. (Marieke) van Duijn;267;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J. (Coby) van der Laan;266;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.M. (Anne Marie) Hoogland;256;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - S. (Joy) Kisoenpersad;251;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - M.J.C. (Marion) Suijker;249;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - E. (Bert) Hemsteede;248;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - W.J. (Wim) Eilert;248;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - C.P. (Kees) Lakerveld;247;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A.C. (Rinda) den Besten;245;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - M.A. (Marianne) Kock-Smit;242;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J. (Jaap) Kuin;241;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.W.E. (Eppo) Gutteling;240;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - H. (Houkje) Rijpstra;238;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J. (Jantine) Kriens;233;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J. (Johanna) Haanstra;232;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A. (Andries) Ekhart;226;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - G.L. (Gaston) Sporre;221;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.M. (Judith) Lechner;205;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - I. (Johan) Chandoe;202;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A.M. (Annegien) Wijnands;201;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - B.J. (Ben) de Reu;196;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - I. (Ismail) Parmaksiz;188;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.S.A. (Jessica) van Langevelde;186;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - H.G. (Hendrik) Hoeksema;183;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - C.W.T.M. (Corina) Schoonen;179;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - C.W.M. (Kees) Jongmans;177;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - P.G.J. (Peter) Kerris;173;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.H.W. (Willem) Geerken;169;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - Y.S. (Yvonne) Bekker;169;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - D.F.J. (Doeko) Bosscher;164;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - C.W.J.M. (Lia) Roefs;161;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - G.J.W. (Gaatse) de Vries;154;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - N.A. (Nicole) Teeuwen;150;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - H.O. (Harlow) Brammerloo;149;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - M.G. (Marjolein) de Wit-Greuter;147;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A.J. (Ad) van der Wegen;146;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.W. (Jan Willem) de Boer;146;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - T. (Truus) Pot-Eland;145;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.H. (Jan) Lagendijk;144;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J. (Jeltje) van Nieuwenhoven;139;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - C.S. (Christel) van 't Pad;135;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - S. (Sascha) Baggerman;133;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - C. (Carry) Abbenhues;126;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A. (Anne-Betty) Evertz;123;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - H.W.C.G. (Harry) Keereweer;121;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.H.J. (Hans) Konst;119;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - Y.A. (Yasmina) Haïfi;115;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.P.M. (Josan) Meijers;104;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - B.J. (Bert) Lubbinge;100;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - H.I.P. (Hélène) Oppatja;100;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - P.C.J. (Pierre) Schefferlie;96;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - T.J. (Edo) Haan;94;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.J. (Jeroen) Nobel;91;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.A. (Jop) Fackeldey;88;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A. (Arno) Sent;80;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - E.M. (Elvira) Sweet;77;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - P.E. (Nelly) den Os;77;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - H.J. (Rita) Weeda;76;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - G.G.J. (Gregor) Rensen;75;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - G. (Gerrit) Kleijheeg;69;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A. (Annemieke) Smit;65;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - A. (Abeltje) Hoogenkamp;58;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - R.E. (Remco) Pols;57;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - D. (Dick) van Puffelen;52;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - C.J.M. (Tineke) van Nimwegen-van Wieringen;50;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - T.P.J. (Tjeerd) Talsma;50;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.H. (Jean) Eigeman;48;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.P. (Jan) Pronk;47;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - D.B. (Daniel) Sajet;42;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - K. (Koen) Baart;34;
Nederland;L528;;Partij van de Arbeid (P.v.d.A.) - J.A. (Jan) Klop;31;
Nederland;L528;;PVV (Partij voor de Vrijheid);950263;15
Nederland;L528;;PVV (Partij voor de Vrijheid) - G. (Geert) Wilders;886314;
Nederland;L528;;PVV (Partij voor de Vrijheid) - M. (Fleur) Agema;34943;
Nederland;L528;;PVV (Partij voor de Vrijheid) - M. (Martin) Bosma;3808;
Nederland;L528;;PVV (Partij voor de Vrijheid) - L.M.J.S. (Lilian) Helder;3794;
Nederland;L528;;PVV (Partij voor de Vrijheid) - D.J.G. (Dion) Graus;2387;
Nederland;L528;;PVV (Partij voor de Vrijheid) - R. (Ronald) Sörensen;1944;
Nederland;L528;;PVV (Partij voor de Vrijheid) - R.A. (Roland) van Vliet;1113;
Nederland;L528;;PVV (Partij voor de Vrijheid) - L. (Louis) Bontes;958;
Nederland;L528;;PVV (Partij voor de Vrijheid) - A.J.M. (Ton) van Kesteren;955;
Nederland;L528;;PVV (Partij voor de Vrijheid) - D. (Daniël) ter Haar;890;
Nederland;L528;;PVV (Partij voor de Vrijheid) - B. (Barry) Madlener;829;
Nederland;L528;;PVV (Partij voor de Vrijheid) - R.J. (Reinette) Klever;694;
Nederland;L528;;PVV (Partij voor de Vrijheid) - S.R. (Sietse) Fritsma;644;
Nederland;L528;;PVV (Partij voor de Vrijheid) - P. (Patricia) van der Kammen;627;
Nederland;L528;;PVV (Partij voor de Vrijheid) - A.P.C. (Tony) van Dijck;590;
Nederland;L528;;PVV (Partij voor de Vrijheid) - J.J. (Joram) van Klaveren;581;
Nederland;L528;;PVV (Partij voor de Vrijheid) - E. (Edgar) Mulder;531;
Nederland;L528;;PVV (Partij voor de Vrijheid) - V.D.D. (Danai) van Weerdenburg;461;
Nederland;L528;;PVV (Partij voor de Vrijheid) - A.S. (Addie) Wisse;460;
Nederland;L528;;PVV (Partij voor de Vrijheid) - L.W.E. (Léon) de Jong;435;
Nederland;L528;;PVV (Partij voor de Vrijheid) - H.J. (Harm) Beertema;433;
Nederland;L528;;PVV (Partij voor de Vrijheid) - V. (Vicky) Maeijer;423;
Nederland;L528;;PVV (Partij voor de Vrijheid) - P. (Peter) van Dijk;412;
Nederland;L528;;PVV (Partij voor de Vrijheid) - I.H.C. (Ino) van den Besselaar;386;
Nederland;L528;;PVV (Partij voor de Vrijheid) - M. (Machiel) de Graaf;376;
Nederland;L528;;PVV (Partij voor de Vrijheid) - H.W. (Marc) van den Berg;362;
Nederland;L528;;PVV (Partij voor de Vrijheid) - Y.R.K. (Yvonne) Waterman;359;
Nederland;L528;;PVV (Partij voor de Vrijheid) - R. (Raymond) de Roon;347;
Nederland;L528;;PVV (Partij voor de Vrijheid) - K. (Karen) Gerbrands;342;
Nederland;L528;;PVV (Partij voor de Vrijheid) - R. (Ronald) Dol;332;
Nederland;L528;;PVV (Partij voor de Vrijheid) - P.R. (Paul) ter Linden;288;
Nederland;L528;;PVV (Partij voor de Vrijheid) - I.B. (Irene) Joosse;265;
Nederland;L528;;PVV (Partij voor de Vrijheid) - S.S. (Stephan) Jansen;247;
Nederland;L528;;PVV (Partij voor de Vrijheid) - W.R. (Willie) Dille;230;
Nederland;L528;;PVV (Partij voor de Vrijheid) - A. (Alexander) Kops;229;
Nederland;L528;;PVV (Partij voor de Vrijheid) - F. (Floris) van Zonneveld;223;
Nederland;L528;;PVV (Partij voor de Vrijheid) - A. (Andre) Elissen;221;
Nederland;L528;;PVV (Partij voor de Vrijheid) - A.W.J.A. (Alexander) van Hattem;213;
Nederland;L528;;PVV (Partij voor de Vrijheid) - E.J. (Elly) Broere-Kaal;212;
Nederland;L528;;PVV (Partij voor de Vrijheid) - G.J.F. (Gabriëlle) Popken;210;
Nederland;L528;;PVV (Partij voor de Vrijheid) - J.D. (Jenny) Zerfowski;210;
Nederland;L528;;PVV (Partij voor de Vrijheid) - E. (Emiel) van Dijk;199;
Nederland;L528;;PVV (Partij voor de Vrijheid) - M.J.R.L. (Marcel) de Graaff;157;
Nederland;L528;;PVV (Partij voor de Vrijheid) - J.H.A. (Johan) Driessen;143;
Nederland;L528;;PVV (Partij voor de Vrijheid) - J.W. (John) van Assendelft;136;
Nederland;L528;;PVV (Partij voor de Vrijheid) - J.J.A.M. (Johannes) van Hooff;100;
Nederland;L528;;PVV (Partij voor de Vrijheid) - M.J. (Martin) van Beek;90;
Nederland;L528;;PVV (Partij voor de Vrijheid) - G.P.N. (Gijs) Moonen;84;
Nederland;L528;;PVV (Partij voor de Vrijheid) - W. (Willem) Boutkan;76;
Nederland;L528;;SP (Socialistische Partij);909853;15
Nederland;L528;;SP (Socialistische Partij) - E.G.M. (Emile) Roemer;755765;
Nederland;L528;;SP (Socialistische Partij) - R.M. (Renske) Leijten;69146;
Nederland;L528;;SP (Socialistische Partij) - S. (Sadet) Karabulut;10572;
Nederland;L528;;SP (Socialistische Partij) - H. (Harry) van Bommel;10021;
Nederland;L528;;SP (Socialistische Partij) - J.M.A.M. (Jan) de Wit;8977;
Nederland;L528;;SP (Socialistische Partij) - S.M.J.G. (Sharon) Gesthuizen;5155;
Nederland;L528;;SP (Socialistische Partij) - A.A.G.M. (Ronald) van Raak;4527;
Nederland;L528;;SP (Socialistische Partij) - T.E. (Tjitske) Siderius;3009;
Nederland;L528;;SP (Socialistische Partij) - M. (Manja) Smits;2783;
Nederland;L528;;SP (Socialistische Partij) - H.P.J. (Henk) van Gerven;2111;
Nederland;L528;;SP (Socialistische Partij) - F. (Farshad) Bashir;2065;
Nederland;L528;;SP (Socialistische Partij) - J. (Jamila) Yahyaoui;1803;
Nederland;L528;;SP (Socialistische Partij) - V.H. (Vincent) Mulder;1753;
Nederland;L528;;SP (Socialistische Partij) - B. (Trix) de Roos-Consemulder;1613;
Nederland;L528;;SP (Socialistische Partij) - J.J. (Jasper) van Dijk;1506;
Nederland;L528;;SP (Socialistische Partij) - N.M. (Nicole) van Gemert;1469;
Nederland;L528;;SP (Socialistische Partij) - T.H.C. (Thijs) Coppus;1443;
Nederland;L528;;SP (Socialistische Partij) - C.J.E. (Nine) Kooiman;1435;
Nederland;L528;;SP (Socialistische Partij) - I. (Ike) Teuling;1434;
