Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;AantalGeldigeStemmen;;4498
Alkmaar;KD34;Kiesgerechtigden;;3036
Alkmaar;KD34;Opkomst;;2264
Alkmaar;KD34;AantalStembriefjes;;2264
Alkmaar;KD34;AantalBlancoStemmen;;26
Alkmaar;KD34;;jhr.mr. C.van Foreest;1387
Alkmaar;KD34;;mr.dr. E.H.s' Jacob;1204
Alkmaar;KD34;;mr. W.van der Kaay;996
Alkmaar;KD34;;mr. N. Olivier;847
Almelo;KD15;AantalGeldigeStemmen;;2870
Almelo;KD15;Kiesgerechtigden;;1844
Almelo;KD15;AantalStembriefjes;;1479
Almelo;KD15;Opkomst;;1478
Almelo;KD15;AantalBlancoStemmen;;80
Almelo;KD15;;mr. G.M.van der Linden;731
Almelo;KD15;;mr. G.A. Vos de Wael;656
Almelo;KD15;;mr. P.A.S.van Limburg Brouwer;604
Almelo;KD15;;jhr.mr. J.W.van Loon;580
Almelo;KD15;;mr. B.J.L.baron van Geer van Jutphaas;105
Almelo;KD15;;mr. A.H.W.van Wulften Palten;74
Almelo;KD15;;mr. B.G.ten Pol;25
Almelo;KD15;;mr. J. Kalff;25
Amersfoort;KD26;AantalGeldigeStemmen;;4445
Amersfoort;KD26;Kiesgerechtigden;;2804
Amersfoort;KD26;Opkomst;;2242
Amersfoort;KD26;AantalStembriefjes;;2241
Amersfoort;KD26;AantalBlancoStemmen;;29
Amersfoort;KD26;;mr. J.K.baron van Goltstein;1740
Amersfoort;KD26;;mr. E.L.baron van Hardenbroek van Lockhorst;1354
Amersfoort;KD26;;jhr.mr. L.H.van Asch van Wijck;490
Amersfoort;KD26;;mr. H. Verloren van Themaat;304
Amersfoort;KD26;;mr. W.R. Boer;184
Amersfoort;KD26;;jhr.mr. J.W.van Loon;93
Amersfoort;KD26;;mr. W.F.H.baron van Wassenaer van den Briellard;65
Amersfoort;KD26;;mr. J. Schimmel;56
Amersfoort;KD26;;J.L. Bernhardi;33
Amersfoort;KD26;;mr. S.J.van Geuns;29
Amsterdam;KD72;AantalGeldigeStemmen;;19871
Amsterdam;KD72;Kiesgerechtigden;;4249
Amsterdam;KD72;Opkomst;;3341
