Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;3734
Alkmaar;KD34;Opkomst;;2124
Alkmaar;KD34;AantalStembriefjes;;2124
Alkmaar;KD34;AantalGeldigeStemmen;;2112
Alkmaar;KD34;AantalBlancoStemmen;;9
Alkmaar;KD34;;mr. W.van der Kaay;1612
Alkmaar;KD34;;G. Fabius;414
Alkmaar;KD34;;A. Brummelkamp sr.;76
Almelo;KD15;Kiesgerechtigden;;2466
Almelo;KD15;AantalStembriefjes;;2167
Almelo;KD15;Opkomst;;2166
Almelo;KD15;AantalGeldigeStemmen;;2149
Almelo;KD15;AantalBlancoStemmen;;13
Almelo;KD15;;H.A. Insinger;1032
Almelo;KD15;;mr. G.M.van der Linden;909
Almelo;KD15;;jhr. M.W.C.de Jonge;197
Amersfoort;KD26;Kiesgerechtigden;;3259
Amersfoort;KD26;Opkomst;;1959
Amersfoort;KD26;AantalStembriefjes;;1959
Amersfoort;KD26;AantalGeldigeStemmen;;1943
Amersfoort;KD26;AantalBlancoStemmen;;11
Amersfoort;KD26;;mr. Æ.baron van Mackay 2;1162
Amersfoort;KD26;;mr. W.baron van Goltstein;780
Amsterdam;KD72;AantalGeldigeStemmen;;4564
Amsterdam;KD72;Kiesgerechtigden;;4195
Amsterdam;KD72;Opkomst;;1543
Amsterdam;KD72;AantalStembriefjes;;1543
Amsterdam;KD72;AantalBlancoStemmen;;65
Amsterdam;KD72;;T.J. Stieltjes;1396
Amsterdam;KD72;;jhr.mr. J.W.H. Rutgers van Rozenburg;1369
Amsterdam;KD72;;P.H. Holtzman;1157
Amsterdam;KD72;;G. Fabius;308
Amsterdam;KD72;;jhr.mr. A.F.de Savornin Lohman;96
Amsterdam;KD72;;mr. L.W.C. Keuchenius;94
Amsterdam;KD72;;W.von Wrangel auf Lindenberg;93
Appingedam;KD3;Kiesgerechtigden;;3178
Appingedam;KD3;Opkomst;;1274
Appingedam;KD3;AantalStembriefjes;;1274
Appingedam;KD3;AantalGeldigeStemmen;;1264
Appingedam;KD3;AantalBlancoStemmen;;6
Appingedam;KD3;;J. Schepel;872
Appingedam;KD3;;mr. A.J. Thomassen à Thuessink van der Hoop;299
Arnhem;KD17;Kiesgerechtigden;;3338
Arnhem;KD17;Opkomst;;1893
Arnhem;KD17;AantalStembriefjes;;1893
Arnhem;KD17;AantalGeldigeStemmen;;1876
Arnhem;KD17;AantalBlancoStemmen;;13
Arnhem;KD17;;mr. W.H. Dullert;1382
Arnhem;KD17;;mr. A.J. Thomassen à Thuessink van der Hoop;485
Assen;KD5;Kiesgerechtigden;;2675
Assen;KD5;Opkomst;;830
Assen;KD5;AantalStembriefjes;;830
Assen;KD5;AantalGeldigeStemmen;;819
Assen;KD5;AantalBlancoStemmen;;10
Assen;KD5;;mr. L. Oldenhuis Gratama;638
Assen;KD5;;jhr.mr. A.F.de Savornin Lohman;135
Assen;KD5;;A. Brummelkamp sr.;32
Boxmeer;KD75;Kiesgerechtigden;;2710
Boxmeer;KD75;Opkomst;;1510
Boxmeer;KD75;AantalStembriefjes;;1510
Boxmeer;KD75;AantalGeldigeStemmen;;1455
Boxmeer;KD75;AantalBlancoStemmen;;47
Boxmeer;KD75;;mr. J.H.L. Haffmans;1278
Boxmeer;KD75;;mr. F.J.F.M. Walter;92
Breda;KD61;Kiesgerechtigden;;4478
Breda;KD61;Opkomst;;2494
Breda;KD61;AantalStembriefjes;;2494
Breda;KD61;AantalGeldigeStemmen;;2466
Breda;KD61;AantalBlancoStemmen;;19
Breda;KD61;;mr. A.F.X. Luyben;1611
Breda;KD61;;mr. J.H.van Mierlo;762
Breda;KD61;;jhr.mr. A.F.de Savornin Lohman;75
Delft;KD45;Kiesgerechtigden;;3175
Delft;KD45;Opkomst;;2333
Delft;KD45;AantalStembriefjes;;2333
Delft;KD45;AantalGeldigeStemmen;;2311
Delft;KD45;AantalBlancoStemmen;;21
Delft;KD45;;A.M. Schagen van Leeuwen;964
Delft;KD45;;S. Gille Heringa;893
Delft;KD45;;W.von Wrangel auf Lindenberg;397
Delft;KD45;;mr. O.W. Star Numan;45
Deventer;KD14;Kiesgerechtigden;;3064
Deventer;KD14;Opkomst;;2356
Deventer;KD14;AantalStembriefjes;;2356
Deventer;KD14;AantalGeldigeStemmen;;2348
Deventer;KD14;AantalBlancoStemmen;;4
Deventer;KD14;;mr. A.van Delden;1355
