RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;CHU 2;Vrijheidsbond 1;Vrijzinnig-Democratische Bond (VDB);Vrijheidsbond 2;Communistische Partij van Nederland;CHU 1;Plattelandersbond (links);Vrijheidsbond 3;HGSP;Staatkundig Gereformeerde Partij (SGP);Christen-Democratische Partij;Christelijk-Sociale Partij;Lijsten Arts;Liberale Groep;Onafhankelijke Partij;Nieuwe Katholieke Partij;Socialistische Partij (SOPA);Nederlandse Bond van Belastingbetalers;Volkswelvaartspartij;Plattelandspartij;Rapaille-partij;Plattelandersbond (rechts);Democratische Partij;Neutraal Blok Middenstanders;Bezuinigingsbond;Lijsten Van der Zwaag;Algemene Nederlandse Vrouwenorganisatie;Kunstenaarspartij;Patricidrsbond;Christelijke Volkspartij;Lijst Groenendaal;Grondpartij;Plattelandersbond (rk);Vrijdenkers;Huiseigenarenpartij;Kiesvereniging Aller Belang;Vrije Middenstandspartij;Partij voor Pensioenbelangen;Lijst Bleeker;Kleine Middenstandspartij;Lijst Van der Werf;Vaderlandsche partij;Lijst Verweij;Lijst De Ruyter Gz.;Lijst Brinkman;Revolutionaire partij;Lijsten Braam;Lijst Busch
Peize;G0124;10501;Drenthe;P22;1043;949;;;949;15;421;32;14;8;28;9;4;;353;;;1;2;1;;;6;1;;5;;10;;31;3;;;;;;3;;;;;;2;;;;;;;;;;;;;
Pernis;G1152;11245;Zuid-Holland;P28;1824;1625;;;1625;5;147;578;696;71;2;11;8;22;13;9;2;27;6;1;;3;1;2;1;3;1;3;;2;2;1;;;;7;;1;;;;;;;;;;;;;;;;;;
Petten;G1153;11057;Noord-Holland;P27;175;168;5;;163;2;119;2;1;;19;2;1;;1;1;;;;1;;;;;;;;2;;2;9;;1;;;;;;;;;;;;;;;;;;;;;;;
Peursum;G1154;10391;Zuid-Holland;P28;205;181;;;181;;2;90;23;60;;;;;1;;;2;;1;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
Piershil;G0591;10179;Zuid-Holland;P28;441;368;;;368;;18;83;30;40;;7;;;32;4;22;59;1;;;;1;2;;1;1;;;61;4;;;1;;1;;;;;;;;;;;;;;;;;;;;
Poederoijen;G1155;10135;Gelderland;P25;575;441;;;441;;4;229;2;35;3;4;3;;;1;;149;1;;1;1;;2;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Polsbroek;G0338;10993;Utrecht;P26;449;421;2;3;;85;2;206;31;31;4;;;;4;1;;36;;;;3;1;1;;;1;5;1;1;2;;;;;;1;;;;;;;;;;;;;;;;;;;
Poortugal;G0592;11395;Zuid-Holland;P28;850;758;;;758;56;158;192;58;170;14;5;4;4;53;11;;13;3;3;;;;;;2;1;1;;3;;1;;;1;1;;;;;4;;;;;;;;;;;;;;;
Posterholt;G0956;10456;Limburg;P31;745;664;;;664;629;9;;1;;2;;3;1;;;;;;2;;;1;10;;;;;;;;;;;;;1;;5;;;;;;;;;;;;;;;;;
Purmerend;G0439;11066;Noord-Holland;P27;3471;3248;63;;3185;875;807;119;106;479;482;38;78;8;35;11;3;2;8;23;;5;12;7;5;30;1;11;6;5;3;3;5;;3;9;3;;;;1;;2;;;;;;;;;;;;;
Putte;G0833;10099;Noord-Brabant;P30;526;412;;;412;300;80;1;2;1;2;1;4;3;;2;;;1;;4;3;1;3;;;;;;;;;2;;1;;;;;;1;;;;;;;;;;;;;;;
Putten;G0273;11109;Gelderland;P25;2945;2592;;;2592;52;73;599;1654;30;22;6;18;59;2;2;;18;1;5;;8;3;;4;4;1;4;6;6;6;1;2;;;;6;;;;;;;;;;;;;;;;;;;
Puttershoek;G0593;10222;Zuid-Holland;P28;1051;912;;;912;28;134;207;306;133;3;7;1;16;30;7;;4;2;6;;7;;;;2;;;;13;;;;;;1;;2;;;3;;;;;;;;;;;;;;;
Raalte;G0177;10279;Overijssel;P23;;3611;58;;3553;2466;166;108;255;8;43;147;6;;38;22;4;1;4;219;;6;1;4;;9;;;;11;5;3;;;4;16;3;;;;1;;3;;;;;;;;;;;;;
Raamsdonk;G0834;11391;Noord-Brabant;P30;3188;2696;;;2696;1866;21;175;533;7;10;20;6;9;1;1;;;1;;3;8;1;15;4;;;;;2;3;;10;;;;;;;;;;;;;;;;;;;;;;;
Rauwerderhem;G0087;10330;Fryslân;P21;1555;1451;20;;1431;192;565;169;;4;49;224;1;69;15;6;;;1;6;;2;1;2;3;2;5;72;1;6;6;3;;16;;;;;;9;2;;;;;;;;;;;;;;;
Ravenstein;G0835;10805;Noord-Brabant;P30;446;405;;;405;387;3;;;;1;11;1;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reek;G1158;10671;Noord-Brabant;P30;464;450;;;450;448;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renswoude;G0339;10269;Utrecht;P26;622;0;;;;6;24;260;;;;;1;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reusel;G0836;10162;Noord-Brabant;P30;688;658;;;658;642;;;;;;;;4;;;;;;;;8;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rheden;G0275;11355;Gelderland;P25;10676;10027;236;;9791;1448;1996;1623;1921;1540;415;72;55;62;19;30;43;3;23;83;;118;38;43;15;44;13;13;3;1;31;20;67;9;2;3;31;;;;;;;;;7;;;;;;;;;;
Rhenen;G0340;10309;Utrecht;P26;3102;0;;;;14;765;490;;;95;;6;;;;21;317;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rhoon;G0596;10903;Zuid-Holland;P28;972;883;;;883;137;80;215;312;55;1;;1;15;36;4;3;5;5;;;4;1;1;1;;;;;3;1;;;1;;;;;;;2;;;;;;;;;;;;;;;
