RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;CHU 2;Vrijheidsbond 1;Vrijzinnig-Democratische Bond (VDB);Vrijheidsbond 2;Communistische Partij van Nederland;CHU 1;Plattelandersbond (links);Vrijheidsbond 3;HGSP;Staatkundig Gereformeerde Partij (SGP);Christen-Democratische Partij;Christelijk-Sociale Partij;Lijsten Arts;Liberale Groep;Onafhankelijke Partij;Nieuwe Katholieke Partij;Socialistische Partij (SOPA);Nederlandse Bond van Belastingbetalers;Volkswelvaartspartij;Plattelandspartij;Rapaille-partij;Plattelandersbond (rechts);Democratische Partij;Neutraal Blok Middenstanders;Bezuinigingsbond;Lijsten Van der Zwaag;Algemene Nederlandse Vrouwenorganisatie;Kunstenaarspartij;Patricidrsbond;Christelijke Volkspartij;Lijst Groenendaal;Grondpartij;Plattelandersbond (rk);Vrijdenkers;Huiseigenarenpartij;Kiesvereniging Aller Belang;Vrije Middenstandspartij;Partij voor Pensioenbelangen;Lijst Bleeker;Kleine Middenstandspartij;Lijst Van der Werf;Vaderlandsche partij;Lijst Verweij;Lijst De Ruyter Gz.;Lijst Brinkman;Revolutionaire partij;Lijsten Braam;Lijst Busch
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;17821;16217;668;;15597;11070;1768;318;164;103;311;237;44;9;5;107;5;8;31;16;158;41;28;581;358;37;;10;;15;10;;90;38;;10;22;;;;;;3;;;;;;;;;;;;;
Simpelveld;G0965;10515;Limburg;P31;1155;1063;;;1063;888;61;8;6;5;2;1;12;3;;3;;;;2;;3;;11;1;2;2;;;;7;;2;;;;;;44;;;;;;;;;;;;;;;;;
Sint Geertruid;G0966;10288;Limburg;P31;428;413;;;413;408;;;1;;;1;;;;;;;;;;;;;;2;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Sint Maarten;G0445;10740;Noord-Holland;P27;636;604;14;;590;94;48;87;6;5;292;4;8;;;;;;2;;;;;;1;2;;8;7;9;9;;6;;;;;;;;2;;;;;;;;;;;;;;;
Sint Odiliënberg;G0967;10278;Limburg;P31;492;472;;;472;435;1;;1;;;;;;;;;;1;;;;;3;;;;;;;;;1;;;;;;30;;;;;;;;;;;;;;;;;
Sint Pancras;G0446;10513;Noord-Holland;P27;615;579;10;;569;33;57;101;152;39;110;3;;;9;;7;;17;1;;8;;;2;5;;9;5;3;5;;;;;;1;1;;;;;1;;;;;;;;;;;;;
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;1877;1784;4;23;1757;1564;25;3;17;;4;7;2;2;;;1;3;1;;1;2;1;108;8;3;;2;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;2737;2526;;;2526;2386;15;6;30;2;3;7;1;;;2;;1;;;;4;1;60;;3;;1;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;
Sittard;G0968;11230;Limburg;P31;4380;4051;59;56;3936;3031;283;5;44;16;34;50;80;3;;7;;;5;5;5;;8;28;6;4;;;;1;15;;9;;1;;4;;292;;;;;;;;;;;;;;;;;
Sleen;G0130;10489;Drenthe;P22;2205;1998;;;1998;23;544;287;252;49;193;222;5;14;301;11;;2;8;11;;7;13;4;4;7;;4;;19;10;;;;;;4;;;;1;;3;;;;;;;;;;;;;
Slenaken;G0969;11274;Limburg;P31;246;222;;;222;216;2;;;;;;;2;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sliedrecht;G0610;11331;Zuid-Holland;P28;5817;4184;;;4184;21;1105;1296;488;656;62;72;9;39;14;55;1;254;14;2;;11;9;1;2;5;6;3;;28;5;4;;3;1;5;;8;;;2;;;;;;;;;;;3;;;;
Slochteren;G0040;10747;Groningen;P20;6577;5625;;;5625;85;1892;1071;;;183;;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sloten (F);G0089;10867;Fryslân;P21;427;402;5;;397;62;33;63;6;2;3;9;;155;;;20;;1;16;;21;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Smallingerland;G0090;10405;Fryslân;P21;6788;6299;156;;6143;5;1891;2320;17;9;803;103;34;496;51;10;4;4;19;119;;15;10;3;13;18;7;39;12;15;3;5;;90;;;;;;25;3;;;;;;;;;;;;;;;
Smilde;G0131;11033;Drenthe;P22;2681;2414;21;64;2329;15;402;684;463;18;161;15;12;18;296;4;;2;4;6;;2;5;4;4;21;3;2;;178;1;;;;;;2;;;;6;;1;;;;;;;;;;;;;
Sneek;G0091;11421;Fryslân;P21;7125;6448;185;;6263;927;1624;1233;21;101;353;450;47;896;13;39;1;11;228;104;;28;41;3;11;10;14;5;29;13;30;;;18;;;;;;12;1;;;;;;;;;;;;;;;
Snelrewaard;G0341;10802;Utrecht;P26;263;0;;;;144;;35;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soerendonk, Sterksel en Gastel;G1183;10047;Noord-Brabant;P30;542;507;;;507;503;;1;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soest;G0342;11021;Utrecht;P26;4318;4001;140;;;1512;420;805;322;374;119;23;16;46;2;12;8;10;21;15;;38;22;31;4;;20;2;3;7;6;6;3;;7;;7;;;;;;;;;;;;;;;;;;;
Someren;G0847;10203;Noord-Brabant;P30;1719;1625;;;1625;1575;;;25;1;;3;1;;;3;;1;1;;;;1;9;1;;;1;;;2;;;;;1;;;;;;;;;;;;;;;;;;;;
Sommelsdijk;G1184;11097;Zuid-Holland;P28;1734;1447;;;1447;34;179;534;18;238;21;11;1;1;42;24;6;278;9;1;;9;;3;1;;2;;;18;5;2;;2;1;1;;4;;;2;;;;;;;;;;;1;;;;
Son en Breugel;G0848;10549;Noord-Brabant;P30;886;851;;;851;837;2;;5;2;;;;;;;;1;;;1;;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;
Spanbroek;G1186;10063;Noord-Holland;P27;758;0;;;;407;13;;;55;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spaubeek;G0970;10552;Limburg;P31;439;425;;;425;402;7;;2;;;;2;1;;;;;;1;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;
Spijkenisse;G0612;10735;Zuid-Holland;P28;1071;938;;;938;1;187;240;199;168;9;5;3;20;46;8;;1;5;13;;10;4;;1;2;;;;5;;2;;;;6;;2;;;;;;;;;;;;;;1;;;;
Sprang;G1187;10659;Noord-Brabant;P30;938;825;;;825;52;36;424;183;6;9;5;12;26;2;4;2;9;14;3;1;14;;1;1;4;;;;4;2;;2;;;6;2;;;;;;1;;;;;;;;;;;;;
Stad aan 't Haringvliet;G1188;11239;Zuid-Holland;P28;558;481;24;;457;1;13;165;20;171;6;3;1;2;17;17;;25;1;;;2;3;1;;;1;;;3;;;;;;1;;2;;;1;;;;;;;;;;;1;;;;
Stad Delden;G0179;10913;Overijssel;P23;1204;1156;8;3;1145;652;82;32;90;3;184;54;7;7;5;;;;;8;;2;2;2;;7;;;;1;2;1;;;1;1;1;;;;;;1;;;;;;;;;;;;;
Stad Hardenberg;G1191;11169;Overijssel;P23;1119;898;0;;898;;87;406;144;;;;;;;;;;;;;;261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stad Ommen;G1192;10381;Overijssel;P23;986;930;25;;905;54;49;343;52;3;31;31;4;2;13;3;289;;1;9;;2;2;1;;2;;7;;2;1;;2;;;1;;;;;1;;;;;;;;;;;;;;;
Stad Vollenhove;G1193;11183;Overijssel;P23;818;747;10;4;733;136;74;94;296;8;3;44;;21;21;4;;;2;;;7;;;1;8;;;;1;1;1;;;;5;4;;;;;;2;;;;;;;;;;;;;
Standdaarbuiten;G0850;11212;Noord-Brabant;P30;866;803;4;;799;772;3;5;1;;;12;2;1;;1;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Staphorst;G0180;11362;Overijssel;P23;3241;3072;68;;3004;1;98;2030;255;13;40;74;57;16;250;2;8;23;4;9;;7;11;7;3;30;;;;23;16;1;2;;;6;7;;;;9;;2;;;;;;;;;;;;;
Staveren;G1257;10240;Fryslân;P21;488;429;18;;411;9;108;85;1;;25;14;;110;1;2;1;1;22;6;;8;;1;;1;1;7;;;4;;;3;;;;;;1;;;;;;;;;;;;;;;;
Steenbergen;G1376;10731;Noord-Brabant;P30;4402;3208;;;3208;2646;184;25;60;14;33;107;4;14;11;8;1;;16;2;37;7;5;4;3;;;;;2;3;;12;;;;;;;;10;;;;;;;;;;;;;;;
Steenderen;G0280;10497;Gelderland;P25;1845;1717;;;1717;704;121;366;156;275;19;8;7;7;4;1;1;;1;23;;;;4;;5;1;2;;7;;;2;;;1;2;;;;;;;;;;;;;;;;;;;
Steenwijk;G0181;10546;Overijssel;P23;3262;3071;62;53;2956;152;715;433;606;80;202;209;52;43;12;3;157;1;176;6;;7;14;3;4;23;;5;;1;6;22;1;1;1;10;9;;;;;;2;;;;;;;;;;;;;
Steenwijkerwold;G0182;11347;Overijssel;P23;2964;2697;83;;2614;483;436;364;620;30;85;274;26;46;22;13;67;;32;14;;2;2;2;5;22;;5;;3;8;3;1;6;3;24;7;;;;3;;6;;;;;;;;;;;;;
Stein;G0971;11319;Limburg;P31;1236;1056;;;1056;939;65;2;10;2;4;2;13;1;;;;;;;1;1;;2;1;1;;;;;4;;1;;;;1;;6;;;;;;;;;;;;;;;;;
Stellendam;G1195;10087;Zuid-Holland;P28;822;727;;;727;;14;222;347;43;4;3;1;21;14;5;1;27;8;;;8;1;;;1;;1;;2;;;;1;;;;2;;;1;;;;;;;;;;;;;;;
Stevensweert;G0972;11203;Limburg;P31;497;462;;;462;439;2;;4;3;6;;1;;;;;;;;;;;6;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Stiphout;G1196;11386;Noord-Brabant;P30;409;391;1;6;384;374;;;;1;1;;1;;;;;;;;4;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stolwijk;G0615;11250;Zuid-Holland;P28;1230;951;;;951;5;133;295;55;246;27;27;15;2;46;27;1;44;;;;5;;1;;;2;6;;11;;1;;;;;;2;;;;;;;;;;;;;;;;;;
Stompwijk;G1197;10742;Zuid-Holland;P28;1905;1727;;;1727;1124;221;65;216;5;18;14;;5;4;2;6;;1;;;7;3;3;2;;1;;;28;;1;1;;;;;;;;;;;;;;;;;;;;;;;
Stoutenburg;G0343;10438;Utrecht;P26;511;0;;;;356;8;26;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stramproy;G0973;11186;Limburg;P31;666;644;;;644;641;;1;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Streefkerk;G0616;11105;Zuid-Holland;P28;917;764;;;764;;24;457;74;54;12;11;1;5;3;10;61;13;3;2;;7;1;2;;;3;3;;12;2;;;;1;;;1;;;1;;;;;;;;;;;1;;;;
Strijen;G0617;10558;Zuid-Holland;P28;2189;1929;;;1929;;287;384;551;403;37;10;1;21;102;29;5;40;7;11;;3;7;;;3;2;1;;9;1;2;;1;1;1;;3;;;2;;;;;;;;;;;5;;;;
Susteren;G0974;10457;Limburg;P31;1420;1335;33;15;1287;1134;68;10;4;2;2;4;6;1;;;;;1;3;;;;26;2;1;1;;;;4;;;;;;;;18;;;;;;;;;;;;;;;;;
Swalmen;G0975;10474;Limburg;P31;1645;1531;;;1531;1436;41;4;3;3;1;4;5;;;;;;;;;;1;16;2;1;;;;1;2;;1;;1;;1;;7;;1;;;;;;;;;;;;;;;
Tegelen;G0976;11333;Limburg;P31;2854;2636;;;2636;2425;33;9;10;13;18;5;36;1;;1;;;5;2;5;;1;43;2;6;3;;;2;2;;1;;;;6;;6;;1;;;;;;;;;;;;;;;
Terheijden;G0853;10905;Noord-Brabant;P30;;1739;;;1739;1604;49;7;44;4;2;;1;5;1;;;;;;10;2;2;3;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;
Termunten;G0042;11023;Groningen;P20;2102;1959;22;;1937;276;510;515;229;7;231;45;4;10;65;;;;;3;;8;3;1;;4;;8;;3;1;3;1;;4;;6;;;;;;;;;;;;;;;;;;;
Thorn;G0977;11195;Limburg;P31;753;689;;;689;665;9;1;1;;;2;;1;;;;;;;1;;;1;;;;;;1;;;;;;;;;7;;;;;;;;;;;;;;;;;
Tiel;G0281;10027;Gelderland;P25;5815;5416;177;;5239;1335;1719;272;178;1155;147;38;14;10;10;21;3;16;32;133;3;19;19;9;4;17;6;10;;6;2;;11;2;;17;3;;;;12;;13;;;;;;;;3;;;;;
Tienhoven (Ut);G1202;10035;Utrecht;P26;246;0;;;;5;6;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tienhoven (ZH);G0618;10706;Zuid-Holland;P28;174;162;;;162;;10;113;10;7;10;;;;3;;1;3;;;;;;;;;1;;;;;;;;;;;3;;;;;;;;;;;;;;1;;;;
Tietjerksteradeel;G0094;11241;Fryslân;P21;7995;7356;192;;7164;9;1190;2427;26;27;153;1092;91;1644;52;29;2;23;22;97;;20;12;4;4;13;5;65;8;51;6;10;;49;;;;;;29;4;;;;;;;;;;;;;;;
Tilburg;G0855;10792;Noord-Brabant;P30;29231;27276;;;27276;13601;2042;129;111;50;242;144;26;15;24;41;8;;20;9;10344;27;8;325;24;;;;;8;2;;51;;7;;;;;;18;;;;;;;;;;;;;;;
Tubbergen;G0183;10694;Overijssel;P23;3580;3456;22;;3434;3104;42;10;162;6;9;9;12;3;7;5;;1;4;;;4;1;4;9;4;;1;;6;4;1;1;9;;2;4;;;;6;;4;;;;;;;;;;;;;
Tull en 't Waal;G1205;11022;Utrecht;P26;226;210;2;1;;111;6;9;71;;3;;2;;;;;1;;;;;;2;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Ubach over Worms;G0978;10146;Limburg;P31;1119;997;;;997;760;186;1;5;;2;;9;3;;;;;;4;2;1;;1;;5;;;;;8;;7;;;;1;;1;;1;;;;;;;;;;;;;;;
Ubbergen;G0282;10408;Gelderland;P25;2172;2042;;;2042;1763;48;11;38;75;4;6;4;5;;1;2;;7;8;2;14;1;40;1;1;3;;;;;;5;;;1;2;;;;;;;;;;;;;;;;;;;
Uden;G0856;11141;Noord-Brabant;P30;3140;2904;;;2904;2804;6;3;1;3;10;2;15;3;;;1;2;;;6;;1;23;2;3;;9;;4;1;;1;2;;1;1;;;;;;;;;;;;;;;;;;;
Uitgeest;G0450;11238;Noord-Holland;P27;1729;1649;20;;1929;738;320;11;36;38;261;7;86;;16;;1;;15;;;2;;13;3;3;;;11;1;4;4;2;;26;6;1;3;;;;;;;;;;;;;;;;;4;17
Ulestraten;G0979;11220;Limburg;P31;460;430;;;430;405;8;1;1;;;;;;;;;;;;;;;9;;;;;;;1;;;;;;;;5;;;;;;;;;;;;;;;;;
Ulrum;G0045;10180;Groningen;P20;936;856;;;845;25;510;32;;;35;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Urmond;G0980;10700;Limburg;P31;740;660;;;660;563;26;1;22;;1;1;10;;;;;;;1;1;;2;7;;;;;;;;;2;;;;2;;21;;;;;;;;;;;;;;;;;
Ursem;G0452;10696;Noord-Holland;P27;595;579;;;579;392;42;5;2;31;86;1;;;;;;;;;;;;;;1;;8;;1;3;4;;;;1;;1;;;;;;;;;;;;;;;;;;1
Usquert;G0046;11035;Groningen;P20;6450;5415;;;5415;343;2131;562;448;60;311;256;22;17;333;12;2;15;26;40;;14;711;12;18;16;3;8;;18;4;8;7;;1;;17;;;;;;;;;;;;;;;;;;;
Utingeradeel;G0095;10140;Fryslân;P21;2876;2539;74;;2465;25;881;177;6;26;93;505;10;354;82;28;5;10;4;102;;9;7;;3;2;7;24;11;27;8;4;;46;;;;;;5;4;;;;;;;;;;;;;;;
Utrecht;G0344;10722;Utrecht;P26;72295;0;;;;17281;17897;9151;4190;5242;2605;161;549;1007;30;346;466;180;270;662;;215;761;505;51;;1344;24;206;123;133;27;58;;130;37;167;;;;;;;;;;;;;;;;;;;
Vaals;G0981;10007;Limburg;P31;3132;2894;107;76;2711;2125;222;7;13;7;19;9;155;10;;;;;12;7;12;4;4;33;4;7;5;;;1;14;;2;;;;4;;35;;;;;;;;;;;;;;;;;
Valburg;G0283;11071;Gelderland;P25;2857;2578;;;2578;915;155;404;652;204;22;8;5;38;9;3;5;42;8;27;;1;4;6;2;2;2;2;;3;40;;2;1;;10;2;;;;2;;2;;;;;;;;;;;;;
Valkenburg (Li);G1252;11077;Limburg;P31;875;819;;;819;615;57;11;17;6;10;;9;;;;;;;;8;;1;26;1;3;5;;;;1;;3;;;;1;;44;;1;;;;;;;;;;;;;;;
Valkenburg (ZH);G0619;10028;Zuid-Holland;P28;345;320;;;320;28;5;51;211;2;1;;;1;;;9;4;;;;1;;;3;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
Valkenswaard;G0858;11031;Noord-Brabant;P30;1963;1806;;;1806;1400;224;4;4;4;5;29;3;;2;5;;2;1;;41;;1;55;3;5;;1;;;1;;12;;;3;1;;;;;;;;;;;;;;;;;;;
Varik;G0284;11064;Gelderland;P25;589;540;;;540;144;35;31;81;175;12;13;2;11;2;4;1;6;4;3;;;1;1;;3;1;1;;2;;;;1;;2;3;;;;1;;;;;;;;;;;;;;;
Veen;G0859;10015;Noord-Brabant;P30;438;357;;;357;;34;76;6;;5;14;9;;2;;158;24;1;4;;;;;;1;;10;;11;;;2;;;;;;;;;;;;;;;;;;;;;;;
Veendam;G0047;11292;Groningen;P20;5205;4422;;;4422;541;1189;500;639;26;441;130;156;36;383;11;4;3;15;100;;11;88;2;16;23;2;10;;47;6;13;9;;2;;19;;;;;;;;;;;;;;;;;;;
Veenendaal;G0345;11052;Utrecht;P26;2935;0;;;;49;235;1841;;;45;;1;;;;;204;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Veghel;G0860;10985;Noord-Brabant;P30;3340;3112;;;3112;2959;6;5;14;;18;11;8;;;4;3;5;;;10;3;1;53;1;1;;4;;2;1;;;2;;;1;;;;;;;;;;;;;;;;;;;
Veldhuizen;G1207;10713;Utrecht;P26;260;251;2;0;;126;5;26;88;1;;;;;;;;;;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Velp;G1208;10170;Noord-Brabant;P30;350;327;;;327;319;;;;;1;;1;;;;;2;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Venlo;G0983;10477;Limburg;P31;8973;8090;;;8090;6579;713;81;79;31;109;65;19;16;;17;;;10;19;4;8;9;233;4;20;2;;;2;12;;18;;4;;10;;26;;;;;;;;;;;;;;;;;
Venray;G0984;11222;Limburg;P31;3766;3606;;;3606;3542;1;;2;5;1;1;10;;;1;;;2;4;1;;2;13;1;4;2;;;;2;;;;1;;;;11;;;;;;;;;;;;;;;;;
Vessem, Wintelre en Knegsel;G0862;11414;Noord-Brabant;P30;602;575;;;575;569;;2;;;;1;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Veur;G1209;10366;Zuid-Holland;P28;1100;1035;;;1035;788;49;60;82;7;;5;;2;;1;;1;;2;;4;;;4;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
Vianen;G0620;10887;Zuid-Holland;P28;1649;1512;;;1512;346;221;278;46;30;29;34;2;1;3;7;458;9;5;7;;7;3;2;1;;4;12;;;2;;;1;3;1;;;;;;;;;;;;;;;;;;;;
Vierlingsbeek;G0863;10066;Noord-Brabant;P30;821;763;;;763;710;1;4;3;;8;1;4;;4;3;2;;1;1;1;1;1;6;1;1;;2;;6;1;;;1;;;;;;;;;;;;;;;;;;;;;;
Vierpolders;G0621;11056;Zuid-Holland;P28;426;375;;;375;;106;10;15;30;20;3;31;2;132;;;;;2;;2;;;;2;;;;13;3;;;1;;;;;;;1;;;;;;;;;;;2;;;;
Vinkeveen en Waverveen;G0346;11048;Utrecht;P26;1958;0;;;;1075;14;438;;;6;;;;;;4;17;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vlaardingen;G0622;10811;Zuid-Holland;P28;11831;10662;;;10662;1058;2397;2323;2940;789;167;69;13;99;16;46;16;534;24;9;;33;17;10;9;30;9;1;;6;18;3;;4;;12;;8;;;1;;;;;;;;;;;1;;;;
Vlaardinger-Ambacht;G1210;10790;Zuid-Holland;P28;663;633;;;633;156;51;104;224;24;4;;3;7;20;4;;31;;;;2;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Vledder;G0132;11120;Drenthe;P22;1251;1120;46;;1074;99;286;131;34;4;171;67;10;5;113;6;;2;5;1;;3;4;2;70;17;3;15;;15;;;;;;;6;;;;2;;3;;;;;;;;;;;;;
Vleuten;G1211;10658;Utrecht;P26;1039;0;;;;553;20;82;;;1;;;;;;1;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vlierden;G1212;10268;Noord-Brabant;P30;335;325;;;325;319;;;;;;;;;;;;1;;;;;;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vlijmen;G0864;11293;Noord-Brabant;P30;1883;1683;11;5;1667;1462;15;19;8;15;11;17;6;1;1;6;;1;5;;18;;1;69;2;;;3;;1;;;2;1;;;1;;;;;;2;;;;;;;;;;;;;
Vlodrop;G0985;10644;Limburg;P31;531;506;;;506;480;9;3;4;;;;2;;;;;;;;;;;2;;;;;;;;;1;;;;;;5;;;;;;;;;;;;;;;;;
Voerendaal;G0986;11341;Limburg;P31;1407;892;;;892;726;105;5;8;1;3;;12;2;;;;;2;4;1;;1;;3;1;;;;;1;;3;;;;2;;11;;1;;;;;;;;;;;;;;;
Voorhout;G0625;10017;Zuid-Holland;P28;943;899;;;899;747;4;35;99;;;;;1;;2;;;;2;;1;;2;4;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
Voorschoten;G0626;10537;Zuid-Holland;P28;1950;1808;;;1808;706;126;383;297;5;9;11;;11;3;4;;15;2;6;;9;7;5;11;;3;2;;173;14;1;;;;;;5;;;;;;;;;;;;;;;;;;
Voorst;G0285;10912;Gelderland;P25;6061;0;;;;1279;860;352;779;569;1217;29;;;38;36;;;;54;;;;;;29;;32;;;;;37;;;;27;;;;;;;;;;;;;;;;;;;
Vorden;G0286;10957;Gelderland;P25;1912;1812;42;;1770;236;161;534;310;343;43;21;10;9;9;9;;1;6;13;;8;;4;2;1;3;3;4;2;8;2;5;;;;22;;;;;;;;;1;;;;;;;;;;
Vreeland;G1213;10898;Utrecht;P26;445;0;;;;54;53;98;;;9;;;;;;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vreeswijk;G0348;10441;Utrecht;P26;1331;0;;;;427;76;175;;;5;;1;;;;4;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vries;G0133;10630;Drenthe;P22;2239;2104;34;41;2029;18;399;166;43;18;138;35;8;2;1034;4;;4;14;4;;16;3;4;2;14;1;14;;70;7;;;;;;3;;;;5;;3;;;;;;;;;;;;;
Vriezenveen;G0186;10643;Overijssel;P23;3030;2680;36;12;2632;209;247;350;1374;9;40;43;10;20;48;2;2;56;12;118;;4;9;3;1;6;;6;;1;5;;1;1;4;44;1;;;;1;;5;;;;;;;;;;;;;
Vrijhoeve-Capelle;G1216;10870;Noord-Brabant;P30;266;235;;;235;8;7;63;90;;5;15;5;7;;3;;1;16;;;1;3;7;;;;1;;;;;;;;3;;;;;;;;;;;;;;;;;;;;
Vught;G0865;11224;Noord-Brabant;P30;3249;2948;;;2948;2209;135;41;15;9;27;41;4;;1;3;1;5;1;;16;7;4;362;7;7;;4;;2;5;;27;10;;1;4;;;;;;;;;;;;;;;;;;;
Vuren;G0287;11376;Gelderland;P25;797;683;;;683;1;123;163;226;88;5;9;7;6;15;3;1;19;3;;2;1;2;;;3;;1;;1;;;;;;;2;;;;1;;1;;;;;;;;;;;;;
Waalre;G0866;10959;Noord-Brabant;P30;616;575;;;575;482;3;10;;;;;;;;;;2;;;;;;74;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;
Waalwijk;G0867;11359;Noord-Brabant;P30;4432;3976;;;3976;3019;179;55;301;14;31;16;6;9;;4;;3;5;2;105;4;;95;2;9;;3;;;83;;10;7;;11;2;;;;;;1;;;;;;;;;;;;;
Waardenburg;G0288;10238;Gelderland;P25;699;592;;;592;8;33;16;323;35;8;2;2;19;6;;2;93;4;;1;1;1;1;;3;2;2;;4;;;2;;;4;2;;;;1;;2;;;;;;;;15;;;;;
Waarder;G1217;10830;Zuid-Holland;P28;436;397;;;397;8;2;231;85;;5;;;3;19;;11;16;1;;;;1;2;2;;;2;;8;1;;;;;;;;;;;;;;;;;;;;;;;;;
Waddinxveen;G0627;10081;Zuid-Holland;P28;2910;2603;;;2603;410;438;597;551;8;103;12;2;16;83;6;4;105;5;4;;14;1;7;98;;2;9;;115;;3;6;;2;;;2;;;;;;;;;;;;;;;;;;
Wadenoijen;G1218;10201;Gelderland;P25;934;768;;;768;83;142;53;35;319;11;21;3;2;10;;;28;3;21;;2;;1;2;8;;3;;2;2;;5;2;;;1;;;;;;4;;;;;;;;5;;;;;
Wageningen;G0289;11010;Gelderland;P25;5528;4966;;;4966;806;1276;599;986;383;206;46;107;71;10;22;37;63;22;7;;25;116;22;17;17;8;4;5;;16;7;49;6;8;6;16;;;;;;;;;3;;;;;;;;;;
Wamel;G0290;10042;Gelderland;P25;2921;2614;29;;2585;2378;17;38;100;18;;2;3;4;3;2;;;1;8;;;;6;;;;;;;;;3;;;;;;;;2;;;;;;;;;;;;;;;
Wanneperveen;G0187;10105;Overijssel;P23;742;679;18;;661;;54;160;244;21;49;29;7;12;26;2;;8;5;7;;2;;;2;8;;5;;2;;;2;2;;5;8;;;;;;1;;;;;;;;;;;;;
Wanroij;G0868;10265;Noord-Brabant;P30;615;597;0;7;590;586;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Wanssum;G0987;10991;Limburg;P31;354;352;;;352;337;;;;;;;;;;;;;;;;;10;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Warder;G0455;11073;Noord-Holland;P27;341;316;2;1;313;;69;5;;;64;;;;24;;;;;;;;;;;;;81;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Warffum;G0049;10498;Groningen;P20;1732;1512;;;1512;8;628;47;162;13;166;232;21;10;152;6;6;2;1;2;;1;20;1;2;3;2;7;;12;2;1;1;;1;;3;;;;;;;;;;;;;;;;;;;
Warmenhuizen;G0456;10221;Noord-Holland;P27;969;935;9;3;923;497;78;63;2;35;212;6;3;;2;;;;;;;;;2;;3;;2;1;3;2;;;;9;3;;;;;;;;;;;;;;;;;;;;
Warmond;G0628;10204;Zuid-Holland;P28;1073;987;;;987;612;39;37;179;;3;6;2;3;3;1;1;10;1;;;15;2;3;9;;11;;;29;1;;;;;;;20;;;;;;;;;;;;;;;;;;
Warnsveld;G0291;10838;Gelderland;P25;;1601;33;;1568;192;257;396;190;342;15;15;8;4;15;5;2;2;7;42;;10;4;2;8;4;3;1;2;3;5;;8;1;;;25;;;;;;;;;;;;;;;;;;;
