Year,OuderRegioNaam,Unnamed: 0,Kiesgerechtigden,Opkomst,OngeldigeStemmen,BlancoStemmen,GeldigeStemmen,VVD,PVV (Partij voor de Vrijheid),CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,Volt,JA21,BBB,BIJ1,Piratenpartij,Rooms-Katholieke Staatspartij (RKSP),Sociaal-Democratische Arbeiderspartij (SDAP),Anti-Revolutionaire Partij,Liberale Unie,CHU 1,Vrijzinnig-Democratische Bond (VDB),CHU 2,Vrijheidsbond 1,Vrijheidsbond 2,Communistische Partij van Nederland,HGSP,Christelijk-Historische Unie,Liberale Staatspartij (LSP),Rooms-Katholieke Volkspartij (RKVP),Plattelandersbond,Christelijk-Democratische Unie,Nationaal-Socialistische Beweging (NSB),Katholieke Volkspartij (KVP),Partij van de Vrijheid,Overig,Lijst Welter,Katholieke Nationale Partij,Gereformeerd Politiek Verbond (GPV),Pacifistisch-Socialistische Partij (PSP),Boeren Partij,Democratisch Socialisten '70,Politieke Partij Radikalen (PPR),Nederlandse Middenstands Partij,Rooms Katholieke Partij Nederland (RKPN),Reformatorische Politieke Federatie (RPF),Evangelische Volkspartij,CP,Centrumdemocraten,GL,De Groenen,Algemeen Ouderen Verbond (AOV),Ouderen Unie 55+,Lijst Pim Fortuyn,LN,Verenigde Senioren Partij,ETnNL,TROTS op Nederland Lijst Rita Verdonk,Rechts,Midden ,Links,One issue,Totaal,Man,Vrouw,-20,20-45,45-65,65-80,85,Ongehuwd,Gehuwd,Weduwe,gescheiden,%tov totaal
,Overijssel,30295,269511,255974,3071,7362,245538,0,0,0,0,0,0,0,0,0,0,6759,0,0,0,0,0,0,0,57472,49121,34446,0,0,14211,0,0,0,6775,1584,33089,12582,5420,4289,6873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19341,118649,90342,4289,529553,263392,266161,208617,195091,92108,29580,4157,287801,199388,23485,18880,7%
,Total,1076,4136519,3897502,68585,107097,3721828,0,0,0,0,0,0,0,0,0,0,93275,0,0,0,0,0,0,0,1037355,798632,499892,0,0,188952,0,0,0,118238,33930,339813,258750,40905,47688,38464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352025,1679419,1416762,47688,8127700,4042600,4085100,3201900,2994300,1413700,454000,63800,4417231,3060253,360446.1,289769.9,100%
,Utrecht,40178,218838,206810,2711,6153,197946,0,0,0,0,0,0,0,0,0,0,9145,0,0,0,0,0,0,0,48396,41883,35036,0,0,7803,0,0,0,1978,1675,22309,15273,2408,1910,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24418,83961,78897,1910,429987,213869,216118,169393,158410,74790,24018,3375,233689,161899,19069,15330,5%
,Zeeland,62791,132779,122212,2118,2836,117258,0,0,0,0,0,0,0,0,0,0,11102,0,0,0,0,0,0,0,21101,18049,21783,0,0,5623,0,0,0,647,728,19804,11353,270,1133,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22455,47873,40479,1133,260893,129764,131128,102778,96115,45379,14573,2048,141790,98232,11570,9301,3%
,Zuid-Holland,104441,1041648,981308,19874,36634,924800,0,0,0,0,0,0,0,0,0,0,39836,0,0,0,0,0,0,0,162843,233064,152720,0,0,33770,0,0,0,28654,17086,90751,88624,2408,8423,4466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128460,311324,414438,8423,2046697,1017998,1028700,806295,754017,355994,114325,16066,1112336,770625,90767,72969,25%
1937,Drenthe,17947,114414,108194,2081,2706,103407,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,4940,25568,21267,0,0,14221,0,0,0,2193,243,10790,7142,0,411,5718,8936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16280,35912,49028,411,218716,108993,109723,83758,81287,39001,12870,1800,117123,84096,9525,7972,3%
,Fryslân,21047,227099,213138,2997,3434,206707,0,0,0,0,0,0,0,0,0,0,964,0,0,0,0,0,0,0,13971,47955,51109,0,0,24111,0,0,0,6307,1196,31909,7005,0,453,15667,3486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11455,86854,105371,453,434127,216339,217789,166251,161346,77414,25545,3572,232477,166921,18906,15824,5%
,Gelderland,51960,463698,439268,6384,9131,423765,0,0,0,0,0,0,0,0,0,0,13713,0,0,0,0,0,0,0,121845,81648,68557,0,0,24166,0,0,0,4530,1901,46349,17743,0,3026,5030,16744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48200,199291,154735,3026,886415,441727,444688,339457,329441,158065,52159,7294,474678,340824,38604,32310,10%
,Groningen,31985,224512,210023,2832,3998,203193,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,10741,56054,46966,0,0,22745,0,0,0,11020,1252,13648,7954,0,152,18127,10551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18743,66513,114040,152,429182,213874,215308,164357,159508,76532,25254,3532,229828,165019,18691,15644,5%
,Limburg,62696,256761,247937,4211,6214,237512,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,192271,16971,3901,0,0,1035,0,0,0,3082,122,1604,496,0,164,378,12638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13261,195410,23954,164,490830,244595,246235,187966,182419,87525,28881,4039,262841,188723,21376,17891,6%
,Noord-Brabant,77920,462791,442854,4518,7872,430464,0,0,0,0,0,0,0,0,0,0,2201,0,0,0,0,0,0,0,330134,27769,17561,0,0,4451,0,0,0,2619,678,10496,2564,0,272,470,7025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11790,346229,47949,272,884682,440863,443818,338793,328796,157756,52057,7280,473750,340157,38528,32246,10%
,Noord-Holland,66623,905542,859117,26755,9074,823288,0,0,0,0,0,0,0,0,0,0,3330,0,0,0,0,0,0,0,171037,231533,128506,0,0,62258,0,0,0,67341,2955,37232,35329,0,505,15250,44683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83342,288732,427380,505,1731054,862636,868418,662915,643355,308681,101859,14244,926985,665585,75388,63096,20%
,Overijssel,26513,290091,275579,3807,5240,266532,0,0,0,0,0,0,0,0,0,0,5680,0,0,0,0,0,0,0,66181,53989,41648,0,0,19250,0,0,0,6872,1109,30644,8664,0,402,12248,8995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23339,129432,102509,402,554544,276346,278198,212365,206099,98886,32631,4563,296960,213221,24151,20213,7%
,Total,1056,4462859,4212861,77239,77587,4058047,0,0,0,0,0,0,0,0,0,0,78619,0,0,0,0,0,0,0,1170431,891061,665501,0,0,239502,0,0,0,136026,23693,302829,160260,0,6548,85004,171137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410016,1821459,1692588,6548,8531300,4251400,4279900,3267100,3170700,1521300,502000,70200,4568539,3280257,371540.9,310963.1,100%
,Utrecht,39428,244356,231520,3020,4215,224285,0,0,0,0,0,0,0,0,0,0,7569,0,0,0,0,0,0,0,55722,48212,49931,0,0,9913,0,0,0,3081,929,20069,9526,0,126,2785,10087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27182,89418,101224,126,467116,232778,234338,178884,173606,83296,27486,3844,250142,179605,20343,17026,5%
,Zeeland,60537,139861,128388,2443,2769,123176,0,0,0,0,0,0,0,0,0,0,10543,0,0,0,0,0,0,0,23243,18699,27056,0,0,10396,0,0,0,752,602,18746,7510,0,214,638,3356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21409,53625,46507,214,267361,133234,134127,102387,99366,47676,15732,2200,143173,102800,11644,9745,3%
,Zuid-Holland,100384,1133734,1056843,18191,22934,1015718,0,0,0,0,0,0,0,0,0,0,34052,0,0,0,0,0,0,0,180346,282663,208999,0,0,46956,0,0,0,28229,12706,81342,56327,0,823,8693,44636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135015,330043,519891,823,2167271,1080015,1087256,829966,805477,386467,127527,17833,1160581,833309,94385,78996,25%
1946,Drenthe,17251,0,125781,0,0,125781,0,0,0,0,0,0,49527,0,0,0,286,0,0,0,0,0,0,0,0,0,24099,0,0,0,0,0,0,8956,0,15151,0,0,0,0,0,7271,19865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20151,22422,82582,0,252312,125815,126497,94364,91928,47304,16323,2378,133245,103498,10926,4643,3%
,Fryslân,21929,0,236898,0,0,236898,0,0,0,0,0,0,88942,0,0,0,1567,0,0,0,0,0,0,0,0,0,56451,0,0,0,0,0,0,23840,0,37029,0,0,0,0,0,15794,11090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12657,52823,169233,0,475208,236962,238246,177727,173139,89092,30742,4478,250955,194929,20578,8745,5%
,Gelderland,50263,0,510578,0,0,510578,0,0,0,0,0,0,144365,0,0,0,18087,0,0,0,0,0,0,0,0,0,61041,0,0,0,0,0,0,23225,0,66159,0,0,0,0,0,161555,32811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50898,227714,228631,0,1024199,510716,513483,383048,373160,192017,66258,9652,540875,420124,44352,18848,11%
,Groningen,30724,0,234763,0,0,234763,0,0,0,0,0,0,83354,0,0,0,281,0,0,0,0,0,0,0,0,0,52858,0,0,0,0,0,0,34174,0,21863,0,0,0,0,0,12965,26239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26520,34828,170386,0,470925,234827,236099,176125,171578,88289,30465,4438,248694,193172,20393,8666,5%
,Limburg,55396,0,298428,0,0,298428,0,0,0,0,0,0,37400,0,0,0,483,0,0,0,0,0,0,0,0,0,2731,0,0,0,0,0,0,16840,0,1632,0,0,0,0,0,237410,1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2415,239042,56971,0,598635,298509,300126,223888,218108,112232,38727,5642,316136,245559,25923,11017,6%
,Noord-Brabant,69313,0,536595,0,0,536595,0,0,0,0,0,0,67079,0,0,0,3411,0,0,0,0,0,0,0,0,0,17602,0,0,0,0,0,0,12027,0,12331,0,0,0,0,0,416718,5733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9144,429049,96708,0,1076389,536740,539648,402566,392174,201802,69634,10144,568436,441532,46612,19809,11%
,Noord-Holland,61361,0,922426,0,0,922426,0,0,0,0,0,0,300390,0,0,0,4509,0,0,0,0,0,0,0,0,0,92516,0,0,0,0,0,0,194787,0,38721,0,0,0,0,0,213723,64229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68738,252444,587693,0,1850350,922676,927675,692026,674162,346904,119704,17438,977162,759009,80128,34052,19%
,Overijssel,25047,0,319575,0,0,319575,0,0,0,0,0,0,91770,0,0,0,8719,0,0,0,0,0,0,0,0,0,44484,0,0,0,0,0,0,33140,0,34718,0,0,0,0,0,85122,17157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25876,119840,169394,0,641055,319662,321393,239753,233564,120185,41471,6041,338538,262959,27760,11797,7%
,Total,1016,0,4760711,0,0,4760711,0,0,0,0,0,0,1347940,0,0,0,101761,0,0,0,0,0,0,0,0,0,614201,0,0,0,0,0,0,502963,0,373217,0,0,0,0,0,1466582,305285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407046,1839799,2465104,0,9549800,4762000,4787800,3571600,3479400,1790400,617800,90000,5043208,3917304,413544.8,175743.2,100%
,Utrecht,36054,0,271435,0,0,271435,0,0,0,0,0,0,78859,0,0,0,9483,0,0,0,0,0,0,0,0,0,46847,0,0,0,0,0,0,20503,0,26151,0,0,0,0,0,69956,16808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26291,96107,146209,0,544488,271508,272979,203637,198380,102081,35224,5131,287542,223348,23579,10020,6%
,Zeeland,55860,0,136186,0,0,136186,0,0,0,0,0,0,33497,0,0,0,13344,0,0,0,0,0,0,0,0,0,22225,0,0,0,0,0,0,3755,0,23542,0,0,0,0,0,28445,9799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23143,51987,59477,0,273184,136223,136961,102170,99533,51217,17673,2575,144267,112059,11830,5027,3%
,Zuid-Holland,91833,0,1165972,0,0,1165972,0,0,0,0,0,0,372160,0,0,0,41558,0,0,0,0,0,0,0,0,0,192991,0,0,0,0,0,0,131337,0,95766,0,0,0,0,0,217138,99580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141138,312904,696488,0,2338894,1166288,1172607,874740,852159,438497,151309,22042,1235160,959409,101284,43042,24%
1948,Drenthe,17251,144268,128490,0,0,128490,20181,0,0,0,0,0,48859,0,0,0,567,0,0,0,0,0,0,0,0,0,24350,0,0,0,0,0,0,6931,0,17703,0,0,0,0,0,7978,0,1672,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20748,25930,80140,0,260872,130058,130814,97458,94297,49390,17174,2532,137616,108594,11321,3341,3%
,Fryslân,21929,261872,240000,0,0,240000,17568,0,0,0,0,0,79690,0,0,0,1662,0,0,0,0,0,0,0,0,0,58356,0,0,0,0,0,0,17146,0,42176,0,0,0,0,0,16711,0,6349,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19230,59229,155192,0,473529,236077,237451,176903,171166,89651,31174,4596,249797,197118,20549,6065,5%
,Gelderland,50263,573051,538373,0,0,538373,44044,0,0,0,0,0,134310,0,0,0,22762,0,0,0,0,0,0,0,0,0,64758,0,0,0,0,0,0,16772,0,74911,0,0,0,0,0,168843,0,5847,6126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66806,249880,215840,0,1036217,516605,519612,387115,374560,196183,68217,10057,546628,431350,44967,13272,11%
,Groningen,30724,261662,234323,0,0,234323,28146,0,0,0,0,0,78029,0,0,0,517,0,0,0,0,0,0,0,0,0,53643,0,0,0,0,0,0,26399,0,26745,0,0,0,0,0,13167,0,6821,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28663,40768,158071,0,473149,235888,237261,176761,171029,89579,31149,4592,249597,196959,20533,6060,5%
,Limburg,55396,341421,319091,0,0,319091,2561,0,0,0,0,0,27334,0,0,0,273,0,0,0,0,0,0,0,0,0,3239,0,0,0,0,0,0,11661,0,2339,0,0,0,0,0,259958,0,2105,9621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2834,271918,42234,0,617373,307791,309582,230641,223161,116885,40644,5992,325678,256996,26791,7907,6%
,Noord-Brabant,69313,602532,560747,0,0,560747,8949,0,0,0,0,0,58925,0,0,0,3887,0,0,0,0,0,0,0,0,0,18467,0,0,0,0,0,0,9299,0,14788,0,0,0,0,0,433112,0,2981,10339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12836,458239,86691,0,1089526,543182,546343,407030,393829,206276,71727,10574,574750,453541,47280,13955,11%
,Noord-Holland,61361,1060936,948285,0,0,948285,92883,0,0,0,0,0,276571,0,0,0,5385,0,0,0,0,0,0,0,0,0,106397,0,0,0,0,0,0,164315,0,50828,0,0,0,0,0,222262,0,19044,10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98268,283690,547283,0,1918432,956433,961999,716698,693453,363209,126296,18619,1012017,798593,83251,24572,20%
,Overijssel,25047,357896,331782,0,0,331782,27556,0,0,0,0,0,83869,0,0,0,9698,0,0,0,0,0,0,0,0,0,44739,0,0,0,0,0,0,25071,0,46868,0,0,0,0,0,90715,0,1977,1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37254,138872,153679,0,647164,322643,324521,241771,233929,122525,42605,6281,341394,269397,28084,8289,7%
,Total,1016,5413204,4931499,0,0,4931499,391861,0,0,0,0,0,1262888,0,0,0,116864,0,0,0,0,0,0,0,0,0,651080,0,0,0,0,0,0,381863,0,453136,0,0,0,0,0,1530794,0,80655,62358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508725,2046288,2295831,0,9788400,4880000,4908400,3656800,3538200,1853200,644400,95000,5163604,4074652,424772.4,125371.6,100%
,Utrecht,36054,313248,285300,0,0,285300,21712,0,0,0,0,0,71727,0,0,0,11266,0,0,0,0,0,0,0,0,0,53319,0,0,0,0,0,0,13791,0,31704,0,0,0,0,0,70554,0,6113,5114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32978,107372,138837,0,566429,282393,284036,211609,204746,107240,37290,5497,298804,235789,24580,7255,6%
,Zeeland,55860,154829,143647,0,0,143647,11446,0,0,0,0,0,35083,0,0,0,14195,0,0,0,0,0,0,0,0,0,23655,0,0,0,0,0,0,2478,0,24131,0,0,0,0,0,27926,0,3041,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25641,53749,61216,0,279969,139578,140391,104592,101200,53005,18431,2717,147690,116544,12149,3586,3%
,Zuid-Holland,91833,1340221,1197576,0,0,1197576,116692,0,0,0,0,0,367467,0,0,0,46580,0,0,0,0,0,0,0,0,0,199445,0,0,0,0,0,0,87343,0,120524,0,0,0,0,0,218712,0,24691,16122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163272,355358,654255,0,2423448,1208208,1215240,905364,876001,458822,159543,23520,1278424,1008817,105167,31040,25%
1952,Drenthe,17176,153166,139834,0,0,139834,20726,0,0,0,0,0,58454,0,0,0,476,0,0,0,0,0,0,0,0,0,23441,0,0,0,0,0,0,6220,0,18005,0,0,0,0,0,8676,0,0,0,415,1716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21202,28812,88115,0,273640,136333,137307,102108,79465,70381,18830,2856,142667,117145,11772,2055,3%
,Fryslân,21837,266131,248622,0,0,248622,21505,0,0,0,0,0,91006,0,0,0,2084,0,0,0,0,0,0,0,0,0,56663,0,0,0,0,0,0,11459,0,40554,0,0,0,0,0,16563,0,0,0,1033,2542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23589,60692,159128,0,475459,236882,238576,177416,138073,122289,32718,4962,247888,203544,20455,3571,5%
,Gelderland,50261,616128,581752,0,0,581752,49426,0,0,0,0,0,166817,0,0,0,24418,0,0,0,0,0,0,0,0,0,62201,0,0,0,0,0,0,12939,0,78330,0,0,0,0,0,168154,0,0,0,12495,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73844,260896,241957,0,1100749,548413,552335,410741,319658,283116,75746,11488,573894,471231,47356,8268,11%
,Groningen,29883,270639,246925,0,0,246925,31208,0,0,0,0,0,93940,0,0,0,571,0,0,0,0,0,0,0,0,0,45038,0,0,0,0,0,0,22288,0,25133,0,0,0,0,0,12864,0,0,0,1821,8473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31779,48291,161266,0,483512,240895,242618,180421,140412,124361,33272,5046,252087,206992,20802,3632,5%
,Limburg,55975,379588,350687,0,0,350687,3181,0,0,0,0,0,44777,0,0,0,296,0,0,0,0,0,0,0,0,0,3382,0,0,0,0,0,0,8198,0,3146,0,0,0,0,0,264546,0,0,0,21252,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3477,289564,56357,0,678156,337870,340286,253052,196937,174424,46666,7077,353568,290319,29175,5094,7%
,Noord-Brabant,69451,655456,613137,0,0,613137,12164,0,0,0,0,0,92150,0,0,0,4068,0,0,0,0,0,0,0,0,0,17577,0,0,0,0,0,0,7794,0,16080,0,0,0,0,0,428161,0,0,0,31365,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16232,476379,117521,0,1171010,583419,587591,436959,340062,301188,80581,12221,610526,501310,50379,8795,11%
,Noord-Holland,60275,1119864,1023710,0,0,1023710,115802,0,0,0,0,0,335001,0,0,0,6341,0,0,0,0,0,0,0,0,0,98123,0,0,0,0,0,0,149519,0,53608,0,0,0,0,0,216161,0,0,0,28677,2798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122143,301244,582643,0,2000702,996787,1003915,746556,581004,514587,137675,20880,1043099,856502,86074,15027,19%
,Overijssel,25777,387505,362669,0,0,362669,30905,0,0,0,0,0,97150,0,0,0,11140,0,0,0,0,0,0,0,0,0,40512,0,0,0,0,0,0,22409,0,51427,0,0,0,0,0,95418,0,0,0,4965,6597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42045,158407,160071,0,692300,344917,347383,258330,201044,178062,47640,7225,360942,296374,29784,5200,7%
,Total,1014,5781140,5335456,0,0,5335456,471038,0,0,0,0,0,1545844,0,0,0,129073,0,0,0,0,0,0,0,0,0,603170,0,0,0,0,0,0,328612,0,476188,0,0,0,0,0,1529434,0,0,0,144519,35494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600111,2185635,2477626,0,10328343,5145772,5182571,3853988,2999353,2656483,710729,107790,5384853,4421572,444343,77575,100%
,Utrecht,35293,333353,309159,0,0,309159,27419,0,0,0,0,0,87213,0,0,0,12637,0,0,0,0,0,0,0,0,0,46252,0,0,0,0,0,0,11330,0,36316,0,0,0,0,0,71881,0,0,0,8173,2794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40056,119164,144795,0,595555,296716,298838,222229,172949,153179,40982,6215,310502,254957,25622,4473,6%
,Zeeland,55628,161354,149590,0,0,149590,12020,0,0,0,0,0,41950,0,0,0,14156,0,0,0,0,0,0,0,0,0,20698,0,0,0,0,0,0,1281,0,23581,0,0,0,0,0,27714,0,0,0,1579,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26176,54213,63929,0,288268,143621,144648,107566,83713,74144,19837,3008,150293,123408,12402,2165,3%
,Zuid-Holland,91449,1432164,1302286,0,0,1302286,146320,0,0,0,0,0,435341,0,0,0,52748,0,0,0,0,0,0,0,0,0,187901,0,0,0,0,0,0,74878,0,129005,0,0,0,0,0,217603,0,0,0,32721,5817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199068,385146,698120,0,2558644,1274764,1283880,954750,743031,658092,176069,26703,1333992,1095358,110077,19218,25%
1956,Drenthe,17009,161368,154579,5648,0,148931,22604,0,0,0,0,0,66412,0,0,0,441,0,0,0,0,0,0,0,0,0,23346,0,0,0,0,0,0,5015,0,18103,0,0,0,0,0,10294,0,0,0,0,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23045,30185,94773,0,285242,142092,143150,107111,79431,74648,20618,3434,145683,125108,12278,2173,3%
,Fryslân,21623,268412,256493,4122,0,252371,21159,0,0,0,0,0,103251,0,0,0,1853,0,0,0,0,0,0,0,0,0,55554,0,0,0,0,0,0,8887,0,40285,0,0,0,0,0,17511,0,0,0,0,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23012,60346,167692,0,474458,236349,238109,178163,132121,124166,34294,5713,242322,208098,20423,3614,4%
,Gelderland,46593,659379,638311,10902,0,627409,49332,0,0,0,0,0,196283,0,0,0,24040,0,0,0,0,0,0,0,0,0,58207,0,0,0,0,0,0,8924,0,82155,0,0,0,0,0,201872,0,0,0,0,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73372,286011,263414,0,1165550,580612,584938,437675,324568,305026,84247,14034,595286,511212,50172,8879,11%
,Groningen,29591,275389,260447,6685,0,253762,32685,0,0,0,0,0,107193,0,0,0,615,0,0,0,0,0,0,0,0,0,43856,0,0,0,0,0,0,19404,0,24303,0,0,0,0,0,15048,0,0,0,0,8856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33300,48207,170453,0,486791,242492,244299,182794,135556,127394,35186,5861,248621,213507,20954,3708,4%
,Limburg,55414,415700,408619,10093,0,398526,3401,0,0,0,0,0,69790,0,0,0,181,0,0,0,0,0,0,0,0,0,3333,0,0,0,0,0,0,3995,0,2331,0,0,0,0,0,313149,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3582,315753,77118,0,734811,366042,368769,275928,204621,192301,53113,8847,375293,322290,31631,5598,7%
,Noord-Brabant,68770,710188,691631,12234,0,679397,13569,0,0,0,0,0,111429,0,0,0,3950,0,0,0,0,0,0,0,0,0,18252,0,0,0,0,0,0,3822,0,15746,0,0,0,0,0,508688,0,0,0,0,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17519,525075,133503,0,1255362,625352,630010,471400,349578,328530,90739,15115,641157,550604,54038,9563,12%
,Noord-Holland,59678,1175379,1111898,25805,0,1086093,128368,0,0,0,0,0,405251,0,0,0,6543,0,0,0,0,0,0,0,0,0,89580,0,0,0,0,0,0,128799,0,55798,0,0,0,0,0,257451,0,0,0,0,3264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134911,316513,623630,0,2077656,1034973,1042683,780179,578561,543725,150175,25016,1061130,911264,89434,15828,19%
,Overijssel,25523,409559,395668,6354,0,389314,29416,0,0,0,0,0,123907,0,0,0,11594,0,0,0,0,0,0,0,0,0,39541,0,0,0,0,0,0,16168,0,51028,0,0,0,0,0,109062,0,0,0,0,7029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41010,167119,179616,0,723956,360635,363321,271852,201599,189460,52328,8717,369749,317529,31163,5515,7%
,Total,1004,6122068,5849607,121908,0,5727699,502530,0,0,0,0,0,1872201,0,0,0,129515,0,0,0,0,0,0,0,0,0,567529,0,0,0,0,0,0,272050,0,482915,0,0,0,0,0,1815288,0,0,0,0,37208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632045,2335411,2711780,0,10821661,5390751,5430910,4063634,3013487,2832042,782200,130298,5526994,4746401,465827,82439,100%
,Utrecht,32143,356500,340398,6291,0,334107,30995,0,0,0,0,0,108989,0,0,0,12321,0,0,0,0,0,0,0,0,0,43004,0,0,0,0,0,0,8573,0,37212,0,0,0,0,0,86334,0,0,0,0,3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43316,126671,160566,0,630166,313914,316253,236633,175481,164915,45549,7588,321848,276392,27126,4801,6%
,Zeeland,55071,163845,155407,2975,0,152432,12322,0,0,0,0,0,48782,0,0,0,13654,0,0,0,0,0,0,0,0,0,19505,0,0,0,0,0,0,880,0,23467,0,0,0,0,0,31879,0,0,0,0,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25976,56590,69167,0,289620,144273,145348,108755,80650,75794,20934,3487,147919,127028,12467,2206,3%
