Year,OuderRegioNaam,Unnamed: 0,Kiesgerechtigden,Opkomst,OngeldigeStemmen,BlancoStemmen,GeldigeStemmen,VVD,PVV (Partij voor de Vrijheid),CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,Volt,JA21,BBB,BIJ1,Piratenpartij,Rooms-Katholieke Staatspartij (RKSP),Sociaal-Democratische Arbeiderspartij (SDAP),Anti-Revolutionaire Partij,Liberale Unie,CHU 1,Vrijzinnig-Democratische Bond (VDB),CHU 2,Vrijheidsbond 1,Vrijheidsbond 2,Communistische Partij van Nederland,HGSP,Christelijk-Historische Unie,Liberale Staatspartij (LSP),Rooms-Katholieke Volkspartij (RKVP),Plattelandersbond,Christelijk-Democratische Unie,Nationaal-Socialistische Beweging (NSB),Katholieke Volkspartij (KVP),Partij van de Vrijheid,Overig,Lijst Welter,Katholieke Nationale Partij,Gereformeerd Politiek Verbond (GPV),Pacifistisch-Socialistische Partij (PSP),Boeren Partij,Democratisch Socialisten '70,Politieke Partij Radikalen (PPR),Nederlandse Middenstands Partij,Rooms Katholieke Partij Nederland (RKPN),Reformatorische Politieke Federatie (RPF),Evangelische Volkspartij,CP,Centrumdemocraten,GL,De Groenen,Algemeen Ouderen Verbond (AOV),Ouderen Unie 55+,Lijst Pim Fortuyn,LN,Verenigde Senioren Partij,ETnNL,TROTS op Nederland Lijst Rita Verdonk,Rechts,Midden ,Links,One issue,Totaal,Man,Vrouw,-20,20-45,45-65,65-80,85,Ongehuwd,Gehuwd,Weduwe,gescheiden,%tov totaal
,Zuid-Holland,110258,357814,310623,0,0,310623,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,55110,91008,57092,20229,20765,9077,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,86352,148100,0,1550406,769072,781334,662297,549297,246469,80506,11838,894953,539704,71957,43792,24%
1922,Drenthe,14740,91600,81851,759,260,80832,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,4207,19243,15180,0,415,5912,9786,1241,7522,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8864,20320,34983,0,223455,110916,112539,93747,80028,36358,11609,1712,126366,79213,10229,7648,3%
,Fryslân,17627,196068,180602,4447,0,176155,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,11991,43538,40790,0,32513,8337,517,786,16982,1035,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18127,54009,85363,0,478301,237414,240887,200664,171299,77825,24848,3665,270483,169554,21894,16370,7%
,Gelderland,41013,321711,298803,3277,171,295355,0,0,0,0,0,0,0,0,0,0,2491,0,0,0,0,0,0,0,99427,45105,39400,0,2507,13374,34726,36340,2346,1998,2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41177,152111,86503,0,784802,389552,395251,329252,281070,127696,40771,6014,443812,278206,35925,26860,11%
,Groningen,13815,126111,101209,1406,51,99741,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,6962,23764,18578,0,400,10516,9517,703,6147,4088,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6939,28021,46430,0,307643,152705,154939,129067,110180,50057,15982,2358,173975,109057,14082,10529,4%
,Limburg,51672,185224,168728,911,357,167560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137106,16694,865,0,223,1539,1297,537,786,1574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323,140165,19133,0,451847,224283,227564,189565,161825,73520,23474,3463,255523,160176,20683,15464,6%
,Noord-Brabant,60531,254726,230303,1165,251,228932,0,0,0,0,0,0,0,0,0,0,753,0,0,0,0,0,0,0,184963,10412,8221,0,455,1864,5834,542,2958,758,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4253,193471,19391,0,621395,308441,312954,260696,222547,101108,32282,4762,351404,220279,28445,21267,9%
,Noord-Holland,33591,525980,450048,30488,365,418277,0,0,0,0,0,0,0,0,0,0,711,0,0,0,0,0,0,0,91217,117238,36950,0,2068,38298,30485,28424,6397,24631,2505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35532,164573,178819,0,1283109,636896,646213,538308,459534,208775,66658,9833,725609,454852,58735,43914,18%
,Overijssel,24604,199903,196403,3949,100,192354,0,0,0,0,0,0,0,0,0,0,1667,0,0,0,0,0,0,0,49722,38425,28732,0,1062,9995,28554,1790,11514,3138,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14971,90321,70295,0,487656,242057,245599,204589,174650,79347,25334,3737,275773,172870,22323,16690,7%
,Total,854,2856448,2385548,49946,1812,2318918,0,0,0,0,0,0,0,0,0,0,17934,0,0,0,0,0,0,0,754423,499198,340703,0,43878,111946,211651,137916,61427,49662,18643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217277,1140541,889563,0,6968200,3458800,3509400,2923400,2495600,1133800,362000,53400,3940574,2470170,318972.2,238483.8,100%
,Utrecht,32898,167724,14431,271,72,0,0,0,0,0,0,0,0,0,0,0,1940,0,0,0,0,0,0,0,41699,28703,30690,0,1364,5195,10692,8239,363,887,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10542,59725,60280,0,409157,203093,206064,171655,146536,66574,21256,3136,231381,145043,18729,14003,6%
,Zuid-Holland,73740,787401,663170,3273,185,659712,0,0,0,0,0,0,0,0,0,0,9823,0,0,0,0,0,0,0,127129,156076,121297,0,2871,16916,80243,59314,6412,10993,10666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75549,237825,288366,0,1920836,953444,967392,805857,687931,312540,99788,14720,1086248,680921,87927,65740,28%
1925,Drenthe,16362,92410,86021,2117,73,83831,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,3570,24572,15023,0,0,9411,0,0,0,368,152,10539,5532,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5776,23816,39963,0,230033,114204,115829,94970,83089,38136,12086,1751,128650,82981,10458,7945,3%
,Fryslân,19613,202567,186114,5445,0,180669,0,0,0,0,0,0,0,0,0,0,775,0,0,0,0,0,0,0,11329,50167,41167,0,0,12714,0,0,0,1316,1297,32788,13060,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13835,59106,92650,0,504244,250341,253903,208179,182135,83597,26494,3839,282006,181898,22925,17415,7%
,Gelderland,46722,354326,339879,9597,359,329920,0,0,0,0,0,0,0,0,0,0,8273,0,0,0,0,0,0,0,98508,58425,38522,0,0,19851,0,0,0,765,3410,43714,31855,4777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40128,170260,97712,0,882012,437890,444122,364142,318587,146226,46342,6715,493279,318172,40099,30462,12%
,Groningen,19589,150047,131232,2165,97,128777,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,7516,44798,22855,0,0,15752,0,0,0,3430,1258,12888,9392,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9629,37661,71083,0,373507,185434,188073,154204,134912,61922,19625,2844,208890,134737,16981,12900,5%
,Limburg,55239,193567,151283,700,338,149866,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,140053,23436,698,0,0,1744,0,0,0,452,135,984,953,3418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,146334,24586,0,481840,239218,242622,198930,174043,79883,25317,3669,269477,173816,21906,16641,7%
,Noord-Brabant,74711,355229,328694,4375,408,323911,0,0,0,0,0,0,0,0,0,0,1904,0,0,0,0,0,0,0,249852,21348,9127,0,0,4271,0,0,0,243,794,9432,4100,14563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6004,278912,30718,0,884260,439006,445254,365070,319399,146598,46460,6732,494536,318983,40201,30539,12%
,Noord-Holland,41826,569447,498348,3767,703,493865,0,0,0,0,0,0,0,0,0,0,2393,0,0,0,0,0,0,0,98464,159024,40333,0,0,49517,0,0,0,16618,5031,34742,40943,3426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43336,191180,215975,0,1417506,703746,713760,585223,512010,235003,74478,10792,792762,511344,64444,48956,19%
,Overijssel,27135,209736,204826,388,346,204099,0,0,0,0,0,0,0,0,0,0,4350,0,0,0,0,0,0,0,48406,45050,27451,0,0,13454,0,0,0,2958,2020,29670,12173,3896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16523,97446,75459,0,522089,259200,262889,215547,188581,86555,27431,3975,291986,188336,23736,18031,7%
,Total,957,2928371,2779547,37959,3275,2737722,0,0,0,0,0,0,0,0,0,0,53149,0,0,0,0,0,0,0,833988,645446,330915,0,0,167053,0,0,0,34256,27753,273978,204940,38390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258089,1341162,1010617,0,7289500,3619000,3670500,3009500,2633000,1208500,383000,55500,4076765,2629575,331404.5,251755.5,100%
,Utrecht,36645,181136,163517,1112,11,162394,0,0,0,0,0,0,0,0,0,0,6537,0,0,0,0,0,0,0,38849,34673,27489,0,0,8353,0,0,0,553,1596,20622,10712,4056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17249,73476,62715,0,450896,223855,227041,186154,162866,74752,23691,3433,252171,162654,20499,15572,6%
,Zeeland,56242,76026,110406,4338,353,105705,0,0,0,0,0,0,0,0,0,0,8941,0,0,0,0,0,0,0,18817,12180,20410,0,0,7492,0,0,0,328,466,16555,10597,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19538,43853,32918,0,189249,93956,95293,78132,68358,31375,9943,1441,105840,68269,8604,6536,3%
,Zuid-Holland,63362,543880,579227,3955,587,574685,0,0,0,0,0,0,0,0,0,0,19397,0,0,0,0,0,0,0,118624,171773,87840,0,0,24494,0,0,0,7225,11594,62044,65623,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85020,219118,266838,0,1353863,672149,681714,558948,489021,224452,71134,10308,757169,488385,61551,46758,19%
1929,Drenthe,18326,100999,91090,3143,100,87847,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,3843,26631,15685,0,0,12078,0,0,0,0,320,12530,5517,209,6341,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5825,29640,42316,6341,217246,107881,109364,87944,79271,36821,11569,1641,119865,80001,9795,7585,3%
,Fryslân,22869,210363,195138,5539,0,189599,0,0,0,0,0,0,0,0,0,0,1062,0,0,0,0,0,0,0,12112,54541,42901,0,0,17994,0,0,0,0,1589,35309,11705,438,4014,1846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12767,69288,97442,4014,452484,224697,227787,183171,165108,76691,24096,3418,249658,166627,20401,15797,6%
,Gelderland,52268,376066,363415,5408,743,357261,0,0,0,0,0,0,0,0,0,0,11676,0,0,0,0,0,0,0,112581,64516,37993,0,0,21050,0,0,0,0,4101,51657,34110,1857,3778,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45786,192382,102509,3778,808906,401691,407215,327455,295163,137101,43077,6110,446314,297879,36472,28241,10%
,Groningen,32656,198449,179364,5083,135,174146,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,8566,60495,36427,0,0,19808,0,0,0,0,1722,17835,13966,356,4188,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14375,48966,96922,4188,426857,211971,214886,172797,155757,72348,22731,3224,235519,157190,19246,14903,6%
,Limburg,64032,214453,175005,1514,1022,175562,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,142373,19452,1167,0,0,1306,0,0,0,0,111,1593,1214,987,282,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428,146490,20619,282,461281,229066,232216,186732,168318,78182,24565,3484,254512,169867,20798,16104,6%
,Noord-Brabant,82610,370666,356936,221,117,356362,0,0,0,0,0,0,0,0,0,0,2338,0,0,0,0,0,0,0,282329,23405,9383,0,0,4088,0,0,0,0,1194,10807,3818,8978,735,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6156,307497,32788,735,797291,395923,401367,322753,290925,135132,42458,6023,439905,293602,35948,27835,10%
,Noord-Holland,68773,673330,543004,3635,468,538915,0,0,0,0,0,0,0,0,0,0,3343,0,0,0,0,0,0,0,99829,188406,40164,0,0,48225,0,0,0,0,5361,38733,45199,3102,2848,3071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48542,198321,228570,2848,1448311,719211,729100,586294,528477,245473,77127,10940,799106,533340,65301,50564,19%
,Overijssel,30365,208324,225457,401,417,224660,0,0,0,0,0,0,0,0,0,0,5683,0,0,0,0,0,0,0,55935,55324,28708,0,0,13872,0,0,0,0,1731,34277,12851,2151,3030,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18534,109837,84032,3030,448098,222519,225579,181396,163507,75948,23862,3385,247238,165012,20204,15644,6%
,Total,1078,3588106,3212329,42678,4299,3168258,0,0,0,0,0,0,0,0,0,0,71420,0,0,0,0,0,0,0,931832,762281,371698,0,0,193031,0,0,0,0,34442,335800,232187,21894,32301,12407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303607,1529406,1133979,32301,7717900,3832600,3885300,3124300,2816200,1308100,411000,58300,4258353,2842115,347981,269451,100%
,Utrecht,41932,200438,186005,8904,0,177101,0,0,0,0,0,0,0,0,0,0,7864,0,0,0,0,0,0,0,45084,37337,29254,0,0,8944,0,0,0,0,1875,24348,12740,1338,1005,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20604,82386,66591,1005,431136,214096,217040,174529,157318,73073,22959,3257,237879,158766,19439,15052,6%
,Zeeland,62927,78266,102881,2804,390,99707,0,0,0,0,0,0,0,0,0,0,9285,0,0,0,0,0,0,0,18273,14940,16393,0,0,6737,0,0,0,0,609,19028,9613,309,1088,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18898,45201,31333,1088,168348,83599,84749,68149,61429,28533,8965,1272,92886,61994,7590,5877,2%
,Zuid-Holland,103745,956752,794034,6026,907,787098,0,0,0,0,0,0,0,0,0,0,29238,0,0,0,0,0,0,0,150907,217234,113623,0,0,38929,0,0,0,0,15829,89683,81454,2169,4992,1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110692,299398,330857,4992,2057943,1021945,1035997,833080,750927,348799,109591,15545,1135470,757837,92788,71848,27%
1933,Drenthe,18284,106189,100195,1584,3497,95114,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,3905,24429,18719,0,0,9201,0,0,0,1727,254,12030,10979,256,7128,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11372,27298,44875,7128,208647,103778,104869,82196,76867,36291,11655,1638,113395,78560,9253,7439,3%
,Fryslân,21889,216676,203330,1941,3689,197700,0,0,0,0,0,0,0,0,0,0,1214,0,0,0,0,0,0,0,12284,48646,47552,0,0,20013,0,0,0,5972,1384,32950,10235,496,1953,7959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11449,75086,102170,1953,425739,211756,213983,167719,156845,74051,23781,3342,231380,160300,18881,15179,5%
,Gelderland,52912,438951,405366,4478,11393,389506,0,0,0,0,0,0,0,0,0,0,14320,0,0,0,0,0,0,0,117023,70748,49572,0,0,17112,0,0,0,5650,3209,49730,27581,4559,11452,3854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41901,195487,125970,11452,862479,428985,433495,339773,317743,150016,48177,6770,468739,324742,38249,30749,11%
,Groningen,32589,209006,194950,2355,5153,187442,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,8984,53352,43953,0,0,20699,0,0,0,10276,1717,17429,12098,369,3118,2771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12420,51969,107581,3118,410669,204261,206408,161782,151293,71430,22939,3224,223190,154625,18212,14641,5%
,Limburg,63894,233975,224751,3790,6642,214319,0,0,0,0,0,0,0,0,0,0,937,0,0,0,0,0,0,0,156417,21895,2001,0,0,1275,0,0,0,2705,134,2172,773,5399,582,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1710,165879,26601,582,459729,228663,231067,181110,169367,79963,25680,3609,249853,173098,20388,16390,6%
,Noord-Brabant,82219,424505,404412,5033,7226,392153,0,0,0,0,0,0,0,0,0,0,4941,0,0,0,0,0,0,0,295026,27884,11547,0,0,3473,0,0,0,1925,1157,12146,3837,13075,680,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8778,325168,41356,680,834095,414867,419228,328591,307286,145079,46591,6547,453313,314055,36990,29737,10%
,Noord-Holland,68858,844441,798194,21630,16512,760052,0,0,0,0,0,0,0,0,0,0,4306,0,0,0,0,0,0,0,153904,209561,82563,0,0,55772,0,0,0,51929,5002,47403,65415,6245,7020,8399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69721,276725,344053,7020,1659212,825268,833944,653645,611265,288597,92681,13024,901746,624729,73583,59154,20%
