RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Katholieke Nationale Partij;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Middenstands Partij;Partij voor Recht, Vrijheid en Welvaart;Socialistische Unie;Jong Conservatief Verbond
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;2463;2276;0;;2276;626;3;460;227;150;43;1;729;31;;2;4;
Nieuwleusen;G0170;10384;Overijssel;P23;2443;2257;0;;2257;419;13;367;973;250;7;4;154;58;7;;2;3
Nieuwolda;G0032;10126;Groningen;P20;1180;1080;0;;1080;494;9;180;159;158;55;1;1;2;15;4;1;1
Nieuwpoort;G0572;10748;Zuid-Holland;P28;470;436;0;;436;99;5;146;15;68;3;;97;3;;;;
Nieuwstadt;G0949;11140;Limburg;P31;791;744;0;;744;47;672;;3;1;2;17;1;1;;;;
Nieuwveen;G0573;10487;Zuid-Holland;P28;1180;1122;0;;1122;104;433;227;221;56;8;38;30;;1;3;;1
Nieuwvliet;G0690;11165;Zeeland;P29;324;300;0;;300;111;3;14;34;123;3;1;3;;8;;;
Nieuw-Vossemeer;G0818;10401;Noord-Brabant;P30;914;827;0;;827;70;689;8;32;13;3;11;;;;1;;
Nigtevecht;G0337;10160;Utrecht;P26;482;429;0;;429;87;32;100;156;23;11;1;6;9;;2;2;
Nijeveen;G0121;10774;Drenthe;P22;951;888;0;;888;208;1;242;262;170;;;1;2;;;2;
Nijkerk;G0267;10446;Gelderland;P25;7052;6690;0;;6690;1460;435;1725;2009;176;45;43;738;47;1;8;3;
Nijmegen;G0268;11209;Gelderland;P25;62243;57184;0;;57184;15056;29237;1483;1913;2326;1975;4609;92;59;221;157;56;
Nisse;G0691;11086;Zeeland;P29;415;384;0;;384;50;65;35;114;21;1;8;73;4;11;2;;
Nistelrode;G0819;10094;Noord-Brabant;P30;1888;1828;0;;1828;74;1685;20;20;6;3;12;1;1;6;;;
Noorbeek;G0950;10283;Limburg;P31;465;448;0;;448;16;377;14;2;6;;31;;1;;1;;
Noordbroek;G1126;10814;Groningen;P20;1305;1153;0;;1153;561;32;25;64;222;186;5;1;6;38;7;2;4
Noorddijk;G1127;10979;Groningen;P20;1564;1414;0;;1414;683;25;133;88;289;62;3;1;49;70;7;1;3
