RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Katholieke Nationale Partij;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Middenstands Partij;Partij voor Recht, Vrijheid en Welvaart;Socialistische Unie;Jong Conservatief Verbond
Schagen;G0441;10511;Noord-Holland;P27;2804;2606;0;;2606;1000;628;96;81;599;151;15;2;3;22;1;7;1
Schaijk;G0843;10276;Noord-Brabant;P30;1931;1828;0;;1828;21;1785;2;;3;;12;;;2;2;1;
Schalkwijk;G1169;10378;Utrecht;P26;843;817;0;;817;28;660;52;46;4;1;16;8;;;;1;1
Scheemda;G0039;10711;Groningen;P20;4367;4002;0;;4002;1608;25;678;730;421;454;6;5;12;32;20;3;8
Schellinkhout;G0442;10772;Noord-Holland;P27;337;309;0;;309;136;15;10;9;119;10;1;2;;1;3;2;1
Schelluinen;G0605;11399;Zuid-Holland;P28;291;268;0;;268;90;1;35;9;55;2;;70;1;;;5;
Schermerhorn;G0443;10308;Noord-Holland;P27;637;607;0;;607;198;213;95;20;45;25;8;1;;;2;;
Scherpenisse;G0705;10375;Zeeland;P29;860;753;0;;753;167;7;51;106;54;1;2;343;;20;1;1;
Scherpenzeel;G0279;11146;Gelderland;P25;1397;1308;0;;1308;394;8;230;437;90;3;2;136;2;4;2;;
Schiedam;G0606;11260;Zuid-Holland;P28;42913;39660;0;;39660;14885;9522;3709;3891;2969;2349;856;656;413;225;68;117;
Schiermonnikoog;G0088;10355;Fryslân;P21;463;684;0;;684;244;29;188;92;91;6;8;;16;4;2;4;
Schijndel;G0844;11178;Noord-Brabant;P30;5605;5286;0;;5286;252;4854;9;15;15;28;91;1;4;10;5;2;
Schimmert;G0961;11076;Limburg;P31;1088;1043;0;;1043;23;988;1;5;;1;22;;;;3;;
Schinnen;G0962;10132;Limburg;P31;2199;2020;0;;2020;86;1854;6;8;4;13;43;;1;;3;2;
Schinveld;G0963;10492;Limburg;P31;1847;1728;0;;1728;144;1466;17;15;;24;52;3;5;;1;1;
Schipluiden;G0607;10130;Zuid-Holland;P28;2477;2408;0;;2408;96;1341;371;461;26;3;59;44;5;1;1;;
Schoondijke;G0706;10189;Zeeland;P29;1282;1184;0;;1184;361;226;219;98;220;;3;24;9;20;2;2;
Schoonebeek;G0129;10064;Drenthe;P22;2661;2575;0;;2575;557;861;398;549;180;10;5;5;4;4;;2;
Schoonhoven;G0608;10980;Zuid-Holland;P28;3049;2975;0;;2975;952;445;696;323;223;58;59;180;5;13;16;4;1
Schoonrewoerd;G0609;10214;Zuid-Holland;P28;654;598;0;;598;88;3;200;91;33;;;179;3;;1;;
Schoorl;G0444;10627;Noord-Holland;P27;1903;2782;0;;2782;1119;594;184;98;427;286;33;6;2;5;10;11;7
Serooskerke (Schouwen);G1175;11014;Zeeland;P29;157;148;0;;148;64;3;21;28;20;1;2;4;;5;;;
Serooskerke (Walcheren);G1176;11256;Zeeland;P29;985;961;0;;961;58;4;556;204;6;3;2;96;23;5;4;;
Sevenum;G0964;10045;Limburg;P31;2010;2020;0;;2020;49;1889;5;8;2;26;35;3;2;;;1;
's-Graveland;G0390;10534;Noord-Holland;P27;1015;924;0;;924;164;129;169;232;104;26;23;63;5;1;4;3;1
's-Gravendeel;G0517;10052;Zuid-Holland;P28;3142;2961;0;;2961;964;16;735;564;377;8;2;287;2;5;;1;
's-Gravenhage;G0518;11434;Zuid-Holland;P28;350300;316627;0;;316627;102129;55321;46233;23450;40993;20892;13243;4367;716;3146;1916;1571;2650
's-Gravenmoer;G0787;10469;Noord-Brabant;P30;860;810;0;;810;70;26;411;197;53;3;3;40;3;2;2;;
's-Gravenpolder;G0666;11059;Zeeland;P29;814;764;0;;764;77;60;110;181;4;2;8;288;;33;1;;
's-Gravenzande;G0519;10640;Zuid-Holland;P28;4615;4473;0;;4473;1062;203;1043;1256;507;17;53;307;8;7;5;5;
's-Heer Abtskerke;G0669;10337;Zeeland;P29;266;255;0;;255;27;34;6;124;30;;5;15;1;7;5;1;
's-Heer Arendskerke;G0670;10875;Zeeland;P29;2672;2539;0;;2539;315;497;589;731;97;4;43;133;8;116;6;;
's-Heerenhoek;G0671;10721;Zeeland;P29;763;733;0;;733;30;635;14;16;3;;31;;2;2;;;
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;31373;29271;0;;29271;7001;17171;600;409;564;989;2259;22;57;60;101;38;
Sijbekarspel;G0447;11167;Noord-Holland;P27;771;740;0;;740;230;323;12;2;156;9;;;;6;2;;
Simpelveld;G0965;10515;Limburg;P31;2218;1990;0;;1990;112;1719;9;9;9;15;113;;4;;;;
Sint Annaland;G0708;11200;Zeeland;P29;1656;1431;0;;1431;317;14;110;125;101;1;4;741;1;13;2;2;
Sint Geertruid;G0966;10288;Limburg;P31;563;545;0;;545;7;528;;;1;;8;;1;;;;
Sint Jansteen;G0709;10864;Zeeland;P29;2006;1752;0;;1752;374;1221;23;23;32;7;41;9;13;3;3;3;
Sint Laurens;G1179;10106;Zeeland;P29;848;798;0;;798;102;10;320;219;46;3;1;83;4;6;4;;
Sint Maarten;G0445;10740;Noord-Holland;P27;783;711;0;;711;196;162;131;2;136;60;1;1;11;2;1;8;
Sint Maartensdijk;G0711;10716;Zeeland;P29;1670;1445;0;;1445;557;13;96;123;84;6;3;525;1;36;;1;
Sint Odiliënberg;G0967;10278;Limburg;P31;792;734;0;;734;33;640;1;2;2;3;49;1;2;;1;;
Sint Pancras;G0446;10513;Noord-Holland;P27;940;878;0;;878;235;24;203;210;121;41;2;19;3;4;5;1;10
Sint Philipsland;G0712;10394;Zeeland;P29;1328;1211;0;;1211;130;4;160;159;43;2;1;697;;14;;1;
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;3483;3164;0;;3164;288;2706;13;39;26;12;65;1;2;8;1;3;
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;4515;4255;0;;4255;154;3888;16;38;30;47;73;2;1;5;1;;
Sittard;G0968;11230;Limburg;P31;11490;10595;0;;10595;1682;7029;115;99;86;145;1378;10;16;;30;5;
Sleen;G0130;10489;Drenthe;P22;3573;3277;0;;3277;1372;13;497;392;709;284;1;2;;2;2;3;
Slenaken;G0969;11274;Limburg;P31;303;301;0;;301;20;217;5;7;4;2;20;1;1;;20;4;
Sliedrecht;G0610;11331;Zuid-Holland;P28;9221;8221;0;;8221;3357;58;1121;1068;727;184;12;1547;73;21;8;45;
Slochteren;G0040;10747;Groningen;P20;8181;7275;0;;7275;2935;102;1122;893;1094;448;20;16;461;140;20;16;8
Sloten (F);G0089;10867;Fryslân;P21;412;412;0;;412;113;59;77;129;15;2;;10;;;4;2;1
Sluis;G0713;10895;Zeeland;P29;1378;1282;0;;1282;363;615;39;103;107;7;24;4;;10;8;2;
Smallingerland;G0090;10405;Fryslân;P21;10845;10253;0;;10253;4070;137;3157;845;622;701;18;56;368;37;8;230;4
Smilde;G0131;11033;Drenthe;P22;3685;3485;0;;3485;1223;13;985;879;209;45;2;5;75;37;2;7;3
Sneek;G0091;11421;Fryslân;P21;11123;10197;0;;10197;3456;1269;2114;1567;907;589;100;34;25;38;46;46;6
Snelrewaard;G0341;10802;Utrecht;P26;324;307;0;;307;9;157;38;29;18;;9;47;;;;;
Soest;G0342;11021;Utrecht;P26;13369;12670;0;;12670;2987;3434;2180;918;1635;467;423;319;37;51;78;68;73
Someren;G0847;10203;Noord-Brabant;P30;4174;3990;0;;3990;96;3728;3;64;5;38;41;2;1;2;9;1;
Sommelsdijk;G1184;11097;Zuid-Holland;P28;2265;2064;0;;2064;671;22;560;62;246;4;4;488;3;3;1;;
Son en Breugel;G0848;10549;Noord-Brabant;P30;2019;1859;0;;1859;88;1709;4;13;8;2;31;;2;2;;;
Spanbroek;G1186;10063;Noord-Holland;P27;1081;1060;0;;1060;115;859;5;4;53;7;16;;;;1;;
Spaubeek;G0970;10552;Limburg;P31;904;905;0;;905;50;807;1;;1;3;41;;1;;1;;
Spijkenisse;G0612;10735;Zuid-Holland;P28;1664;1552;0;;1552;632;9;317;280;195;25;2;84;;5;1;2;
Sprang-Capelle;G0849;11233;Noord-Brabant;P30;3397;3075;0;;3075;561;161;903;830;129;15;15;437;7;7;7;3;
Stad aan 't Haringvliet;G1188;11239;Zuid-Holland;P28;800;703;0;;703;148;3;215;82;111;2;;141;;;1;;
Stad Delden;G0179;10913;Overijssel;P23;2123;2039;0;;2039;416;1205;103;99;144;15;54;1;;;;;2
Standdaarbuiten;G0850;11212;Noord-Brabant;P30;1119;1049;0;;1049;36;873;7;28;2;1;96;;;3;3;;
Staphorst;G0180;11362;Overijssel;P23;4897;4556;0;;4556;610;6;1310;479;402;10;8;1429;270;11;10;6;5
Stavenisse;G0714;10619;Zeeland;P29;1122;845;0;;845;206;2;46;56;63;2;1;451;1;13;3;1;
Stavoren;G0092;10240;Fryslân;P21;665;588;0;;588;166;6;165;213;30;5;;2;;1;;;
Stedum;G0041;10771;Groningen;P20;1391;1326;0;;1326;303;5;519;278;121;24;;1;43;9;2;3;18
Steenbergen;G0851;10731;Noord-Brabant;P30;5933;5333;0;;5333;616;4050;56;106;132;31;278;33;3;17;9;2;
Steenderen;G0280;10497;Gelderland;P25;2291;2174;0;;2174;325;951;332;339;195;5;17;8;;;2;;
Steenwijk;G0181;10546;Overijssel;P23;5237;4898;0;;4898;2145;218;707;909;538;198;40;39;51;12;13;25;3
Steenwijkerwold;G0182;11347;Overijssel;P23;4101;4195;0;;4195;1465;632;370;1050;320;186;23;29;100;3;2;9;6
Stein;G0971;11319;Limburg;P31;3383;3069;0;;3069;333;2503;28;50;10;63;68;1;5;;7;1;
Stellendam;G1195;10087;Zuid-Holland;P28;1108;996;0;;996;286;4;423;91;76;3;1;109;2;;1;;
Stevensweert;G0972;11203;Limburg;P31;736;678;0;;678;33;607;1;2;2;4;29;;;;;;
Stiphout;G1196;11386;Noord-Brabant;P30;804;745;0;;745;56;660;1;3;4;5;14;;;;;2;
Stolwijk;G0615;11250;Zuid-Holland;P28;1751;1602;0;;1602;584;13;268;59;391;18;1;254;2;3;;9;
Stoutenburg;G0343;10438;Utrecht;P26;973;930;0;;930;48;614;52;102;3;4;12;93;;;1;1;
Stramproy;G0973;11186;Limburg;P31;944;875;0;;875;28;828;2;4;1;;12;;;;;;
Streefkerk;G0616;11105;Zuid-Holland;P28;1094;1011;0;;1011;258;3;213;181;104;8;5;234;4;1;;;
Strijen;G0617;10558;Zuid-Holland;P28;3073;2890;0;;2890;1085;14;489;546;452;31;1;255;8;4;5;;
Susteren;G0974;10457;Limburg;P31;2783;2500;0;;2500;208;2108;36;4;8;21;105;1;5;;1;3;
Swalmen;G0975;10474;Limburg;P31;3138;2779;0;;2779;105;2485;14;10;24;7;117;5;4;;2;6;
't Zandt;G0054;10956;Groningen;P20;1948;1874;0;;1874;770;5;481;268;269;14;2;6;15;26;8;3;7
Tegelen;G0976;11333;Limburg;P31;7353;6837;0;;6837;273;5833;18;12;31;81;561;6;8;;11;3;
Ten Boer;G0009;10891;Groningen;P20;3285;3071;0;;3071;937;12;1015;259;394;113;8;4;264;40;17;1;7
Ter Aar;G0480;11104;Zuid-Holland;P28;2286;2218;0;;2218;55;1288;284;380;53;6;50;98;2;1;1;;
Terheijden;G0853;10905;Noord-Brabant;P30;2623;2460;0;;2460;172;2136;14;33;17;6;75;2;1;3;1;;
Termunten;G0042;11023;Groningen;P20;2859;2319;0;;2319;791;13;634;188;240;381;1;;18;35;4;2;12
Terneuzen;G0715;10704;Zeeland;P29;7979;7239;0;;7239;2475;1293;728;1076;656;55;123;642;124;43;19;5;
Terschelling;G0093;11210;Fryslân;P21;2290;2505;0;;2505;1268;41;312;365;432;40;9;2;1;10;11;13;1
Teteringen;G0854;10677;Noord-Brabant;P30;1116;1045;0;;1045;102;849;6;7;10;6;60;3;2;;;;
Texel;G0448;10237;Noord-Holland;P27;5634;6106;0;;6106;2361;1343;747;449;926;146;50;20;6;18;19;14;7
Tholen;G0716;10376;Zeeland;P29;1932;1754;0;;1754;288;118;254;376;131;3;14;507;3;57;3;;
Thorn;G0977;11195;Limburg;P31;1058;991;0;;991;43;902;4;1;1;;35;1;3;;;1;
Tiel;G0281;10027;Gelderland;P25;8759;8307;0;;8307;3987;2097;468;527;885;161;104;30;7;23;15;3;
Tienhoven (Ut);G1202;10035;Utrecht;P26;376;358;0;;358;32;7;153;135;8;3;1;19;;;;;
Tienhoven (ZH);G0618;10706;Zuid-Holland;P28;239;231;0;;231;43;;127;18;19;;1;22;1;;;;
Tietjerksteradeel;G0094;11241;Fryslân;P21;10607;9980;0;;9980;3225;72;3288;2040;746;185;10;128;119;63;1;76;27
Tilburg;G0855;10792;Noord-Brabant;P30;64584;60392;0;;60392;13771;36743;639;458;610;1595;6107;104;60;97;179;29;
Tubbergen;G0183;10694;Overijssel;P23;6494;6335;0;;6335;191;5625;37;384;30;11;41;13;;1;2;;
Tudderen;G1204;10794;Limburg;P31;453;417;0;;417;21;375;7;3;4;;4;2;1;;;;
Tull en 't Waal;G1205;11022;Utrecht;P26;279;270;0;;270;31;138;18;55;12;;3;11;1;;1;;
Twisk;G0449;10371;Noord-Holland;P27;466;440;0;;440;254;11;28;5;116;16;;4;;4;2;;
Ubach over Worms;G0978;10146;Limburg;P31;3930;3446;0;;3446;565;2238;48;45;18;298;208;7;9;;6;4;
Ubbergen;G0282;10408;Gelderland;P25;3469;3247;0;;3247;288;2633;42;63;65;11;124;1;1;8;11;;
Uden;G0856;11141;Noord-Brabant;P30;5505;5276;0;;5276;259;4599;58;35;84;18;167;5;1;9;39;2;
Udenhout;G0857;11268;Noord-Brabant;P30;2407;2280;0;;2280;78;2090;6;1;;3;99;;1;2;;;
Uitgeest;G0450;11238;Noord-Holland;P27;2626;2486;0;;2486;551;1274;49;35;124;356;84;4;;2;2;3;2
Uithoorn;G0451;11206;Noord-Holland;P27;3114;2961;0;;2961;536;1603;253;365;73;36;68;15;5;5;;2;
Uithuizen;G0043;11137;Groningen;P20;2829;2677;0;;2677;754;324;623;331;310;202;22;1;55;43;10;2;
Uithuizermeeden;G0044;10246;Groningen;P20;3092;2920;0;;2920;711;11;777;727;254;31;2;18;325;53;6;;5
Ulestraten;G0979;11220;Limburg;P31;644;617;0;;617;12;554;;;9;;39;1;;;2;;
Ulrum;G0045;10180;Groningen;P20;2425;2294;0;;2294;590;4;890;192;196;49;5;10;314;32;7;;5
Urk;G0184;10783;Overijssel;P23;2531;2307;0;;2307;92;9;1468;208;8;2;;390;127;2;1;;
Urmond;G0980;10700;Limburg;P31;1444;1336;0;;1336;136;1130;2;17;10;6;30;1;1;;3;;
Ursem;G0452;10696;Noord-Holland;P27;826;795;0;;795;96;605;5;8;26;15;18;1;1;2;16;2;
Usquert;G0046;11035;Groningen;P20;1117;1072;0;;1072;700;20;60;51;181;30;2;;5;15;3;3;2
Utingeradeel;G0095;10140;Fryslân;P21;3264;3033;0;;3033;1588;27;291;434;453;65;;52;6;26;;90;1
Utrecht;G0344;10722;Utrecht;P26;113154;103835;0;;103835;36691;26432;11441;7313;8617;6026;3457;1334;395;1044;599;330;156
Vaals;G0981;10007;Limburg;P31;4988;4334;0;;4334;191;3435;38;52;23;302;268;4;8;;9;4;
Valburg;G0283;11071;Gelderland;P25;4039;3799;0;;3799;680;1377;544;584;163;36;28;366;6;4;6;5;
Valkenburg (ZH);G0619;10028;Zuid-Holland;P28;729;703;0;;703;62;45;163;292;38;3;5;58;27;;;;10
Valkenburg-Houthem;G0982;11077;Limburg;P31;5664;5726;0;;5726;449;4034;132;112;189;63;676;10;8;;50;3;
Valkenswaard;G0858;11031;Noord-Brabant;P30;7027;6422;0;;6422;1024;4893;70;62;93;35;222;4;4;5;7;3;
Varik;G0284;11064;Gelderland;P25;722;672;0;;672;235;133;44;187;41;3;5;23;1;;;;
Veen;G0859;10015;Noord-Brabant;P30;625;502;0;;502;98;1;81;97;5;1;;219;;;;;
Veendam;G0047;11292;Groningen;P20;9092;8350;0;;8350;4258;449;842;590;1095;731;113;14;79;94;67;13;5
Veenendaal;G0345;11052;Utrecht;P26;7988;7644;0;;7644;1987;223;2193;1857;244;57;24;1006;16;19;7;6;5
Veere;G0717;10369;Zeeland;P29;652;632;0;;632;130;29;176;120;69;1;1;70;15;8;13;;
Veghel;G0860;10985;Noord-Brabant;P30;5509;5205;0;;5205;206;4698;22;51;40;17;145;7;5;10;3;1;
Veldhoven;G0861;10071;Noord-Brabant;P30;5139;4761;0;;4761;271;4273;30;44;32;17;77;1;4;11;;1;
Veldhuizen;G1207;10713;Utrecht;P26;484;474;0;;474;47;257;37;78;12;2;27;13;1;;;;
Velsen;G0453;10620;Noord-Holland;P27;29079;26766;0;;26766;9387;5588;3066;1977;2294;3281;473;179;138;67;86;141;89
Venhuizen;G0454;10433;Noord-Holland;P27;1856;1797;0;;1797;493;930;33;22;272;34;4;4;;3;2;;
Venlo;G0983;10477;Limburg;P31;24609;22806;0;;22806;2922;16872;220;172;229;372;1911;10;17;;70;11;
Venray;G0984;11222;Limburg;P31;7668;7292;0;;7292;235;6687;6;12;10;56;268;1;7;;7;3;
Vessem, Wintelre en Knegsel;G0862;11414;Noord-Brabant;P30;951;914;0;;914;8;895;3;2;;;6;;;;;;
Vianen;G0620;10887;Zuid-Holland;P28;2331;2213;0;;2213;688;501;280;339;175;14;41;150;8;7;2;8;
Vierlingsbeek;G0863;10066;Noord-Brabant;P30;2753;2696;0;;2696;53;2566;;24;4;3;40;1;2;;1;2;
Vierpolders;G0621;11056;Zuid-Holland;P28;578;536;0;;536;242;2;43;48;165;30;;4;;2;;;
Vinkeveen en Waverveen;G0346;11048;Utrecht;P26;2739;2597;0;;2597;131;1399;350;345;56;14;67;219;1;4;2;2;7
Vlaardingen;G0622;10811;Zuid-Holland;P28;28831;26777;0;;26777;10440;2569;4135;5143;1952;891;224;1094;207;20;40;62;
Vlagtwedde;G0048;11249;Groningen;P20;9012;8203;0;;8203;2799;1312;935;1540;754;667;26;7;27;75;38;16;7
Vledder;G0132;11120;Drenthe;P22;1532;1396;0;;1396;688;92;146;116;253;89;6;1;;1;1;3;
Vleuten;G1211;10658;Utrecht;P26;2258;2161;0;;2161;210;1056;199;439;83;11;85;43;20;4;3;6;2
Vlieland;G0096;10211;Fryslân;P21;426;840;0;;840;423;31;109;56;182;4;14;1;7;5;4;4;
Vlijmen;G0864;11293;Noord-Brabant;P30;4203;3802;0;;3802;261;3321;16;30;22;13;111;5;2;8;12;1;
Vlissingen;G0718;10270;Zeeland;P29;14728;13735;0;;13735;6392;1430;1571;1609;972;483;131;287;20;729;81;30;
Vlist;G0623;11174;Zuid-Holland;P28;276;254;0;;254;37;46;68;16;49;;;38;;;;;
Vlodrop;G0985;10644;Limburg;P31;829;759;0;;759;26;707;5;3;2;2;9;;2;;;3;
Voerendaal;G0986;11341;Limburg;P31;2544;2358;0;;2358;175;1997;12;4;8;14;129;3;6;;6;4;
Vogelwaarde;G0719;10100;Zeeland;P29;2172;2024;0;;2024;111;1811;20;44;10;2;15;3;4;4;;;
Vollenhove;G0185;11088;Overijssel;P23;2699;2522;0;;2522;510;170;655;750;120;22;2;44;247;;1;;1
Voorburg;G0624;11103;Zuid-Holland;P28;22089;20101;0;;20101;4410;4771;3007;1564;3925;341;1390;109;94;131;129;87;143
Voorhout;G0625;10017;Zuid-Holland;P28;2014;1917;0;;1917;73;1459;71;145;41;5;106;6;;5;2;;4
Voorschoten;G0626;10537;Zuid-Holland;P28;5398;4993;0;;4993;996;1485;881;771;498;43;155;91;23;4;20;15;11
Voorst;G0285;10912;Gelderland;P25;9882;9305;0;;9305;2678;2479;455;1473;1478;511;50;124;11;4;15;15;12
Vorden;G0286;10957;Gelderland;P25;3207;3036;0;;3036;875;447;492;668;474;15;38;8;4;2;9;;4
Vreeland;G1213;10898;Utrecht;P26;622;566;0;;566;133;55;114;118;67;17;13;45;;;2;1;1
Vreeswijk;G0348;10441;Utrecht;P26;1826;1676;0;;1676;384;605;225;297;53;7;14;85;;3;;2;1
Vries;G0133;10630;Drenthe;P22;3593;3245;0;;3245;1678;29;232;127;790;170;10;4;61;117;16;6;5
Vriezenveen;G0186;10643;Overijssel;P23;6097;5452;0;;5452;1176;335;620;2377;217;117;13;532;37;8;9;8;3
Vrouwenpolder;G1214;10635;Zeeland;P29;586;586;0;;586;36;9;295;122;18;3;1;42;55;3;2;;
Vught;G0865;11224;Noord-Brabant;P30;10028;8506;0;;8506;1277;5553;209;103;330;51;885;11;14;8;63;2;
Vuren;G0287;11376;Gelderland;P25;1118;1036;0;;1036;419;4;241;240;99;3;1;27;2;;;;
Waalre;G0866;10959;Noord-Brabant;P30;3415;3070;0;;3070;356;2340;36;37;132;22;120;3;3;2;8;11;
Waalwijk;G0867;11359;Noord-Brabant;P30;7346;7132;0;;7132;1034;4828;256;464;126;46;282;55;3;18;13;7;
Waarde;G0721;10082;Zeeland;P29;610;555;0;;555;58;1;38;171;32;3;1;225;1;25;;;
Waardenburg;G0288;10238;Gelderland;P25;972;880;0;;880;298;8;46;188;66;3;4;260;;4;2;1;
Waarder;G1217;10830;Zuid-Holland;P28;540;485;0;;485;35;21;192;105;12;6;;112;1;;1;;
Waddinxveen;G0627;10081;Zuid-Holland;P28;4570;4588;0;;4588;1167;587;848;690;380;50;57;788;14;2;2;3;
Wadenoijen;G1218;10201;Gelderland;P25;1388;1296;0;;1296;497;149;106;191;233;7;25;85;;;3;;
Wageningen;G0289;11010;Gelderland;P25;11119;10247;0;;10247;3433;1585;1303;1612;1146;430;213;412;10;32;32;25;14
Wamel;G0290;10042;Gelderland;P25;3811;3601;0;;3601;313;2992;29;126;19;16;93;9;;4;;;
Wanneperveen;G0187;10105;Overijssel;P23;975;901;0;;901;262;6;121;397;71;3;;19;17;3;2;;
Wanroij;G0868;10265;Noord-Brabant;P30;1542;1506;0;;1506;5;1487;;;2;1;9;;;1;;1;
Wanssum;G0987;10991;Limburg;P31;578;562;0;;562;6;551;;;1;;4;;;;;;
Warder;G0455;11073;Noord-Holland;P27;328;313;0;;313;132;16;6;3;135;13;;1;;5;2;;
Warffum;G0049;10498;Groningen;P20;1481;1413;0;;1413;675;6;387;60;207;15;;1;23;28;6;3;2
Warmenhuizen;G0456;10221;Noord-Holland;P27;1342;1310;0;;1310;159;854;91;6;115;49;21;;3;5;3;4;
Warmond;G0628;10204;Zuid-Holland;P28;1987;1922;0;;1922;267;1141;81;167;119;8;105;22;;;3;1;8
Warnsveld;G0291;10838;Gelderland;P25;3260;2594;0;;2594;839;295;389;575;415;39;23;4;4;1;3;2;5
Waspik;G0869;10402;Noord-Brabant;P30;1855;1668;0;;1668;48;1331;81;141;1;4;24;34;2;1;;1;
Wassenaar;G0629;10164;Zuid-Holland;P28;14191;13026;0;;13026;1965;3574;1886;1260;2910;128;973;101;24;45;92;14;54
Wateringen;G0630;11329;Zuid-Holland;P28;3229;3144;0;;3144;188;2129;204;364;65;6;157;16;;4;6;5;
Waterlandkerkje;G0722;10352;Zeeland;P29;307;276;0;;276;56;113;21;29;30;;4;18;;3;2;;
Wedde;G1220;10247;Groningen;P20;2408;2195;0;;2195;1097;17;123;218;312;376;1;3;1;30;6;4;7
Weerselo;G0188;10893;Overijssel;P23;4178;4074;0;;4074;84;3838;6;86;25;10;19;2;3;;;;1
Weert;G0988;11081;Limburg;P31;10675;9937;0;;9937;1173;8083;64;53;78;28;395;5;19;;34;5;
Weesp;G0457;10773;Noord-Holland;P27;5029;4909;0;;4909;1775;931;616;803;295;271;92;61;7;17;17;11;13
Weesperkarspel;G1221;10377;Noord-Holland;P27;2148;1994;0;;1994;395;573;327;439;67;69;48;57;10;2;4;;3
Wehl;G0292;11116;Gelderland;P25;2004;1866;0;;1866;116;1598;16;58;16;5;42;1;2;7;3;2;
Wemeldinge;G0723;11145;Zeeland;P29;1555;1402;0;;1402;328;15;280;427;137;6;4;111;3;91;;;
Werkendam;G0870;10078;Noord-Brabant;P30;4637;4011;0;;4011;1114;24;1471;741;130;21;3;479;18;2;3;5;
Werkhoven;G1223;11299;Utrecht;P26;625;591;0;;591;41;419;44;42;4;;7;33;;1;;;
Wervershoof;G0459;11270;Noord-Holland;P27;2064;2012;0;;2012;77;1874;17;;15;3;16;9;;;;;1
Wessem;G0989;10127;Limburg;P31;781;718;0;;718;24;657;4;1;1;1;29;1;;;;;
Westbroek;G1224;10145;Utrecht;P26;719;678;0;;678;112;75;193;198;17;15;7;61;;;;;
Westdongeradeel;G0097;10129;Fryslân;P21;4371;4138;0;;4138;1006;24;1454;1118;296;103;2;54;54;15;5;7;
Westdorpe;G0724;10915;Zeeland;P29;1273;1149;0;;1149;247;761;11;22;43;8;37;3;3;11;1;2;
Westerbork;G0134;11095;Drenthe;P22;3231;3019;0;;3019;1577;27;548;298;455;41;1;21;9;22;9;;11
Westerhoven;G0871;11041;Noord-Brabant;P30;466;442;0;;442;6;427;;;;;8;;;;1;;
Westervoort;G0293;11085;Gelderland;P25;1423;1344;0;;1344;204;862;79;136;27;7;20;6;2;1;;;
Westkapelle;G0726;10931;Zeeland;P29;1440;1358;0;;1358;497;27;145;317;78;12;2;210;2;65;3;;
Westmaas;G0631;10695;Zuid-Holland;P28;594;546;0;;546;107;2;169;146;77;3;;38;;3;1;;
Weststellingwerf;G0098;11322;Fryslân;P21;12062;11145;0;;11145;5591;1155;785;1276;1357;795;24;11;11;28;16;75;21
Westwoud;G0460;11101;Noord-Holland;P27;778;757;0;;757;134;501;10;16;83;7;4;1;;;1;;
Westzaan;G0461;11381;Noord-Holland;P27;2068;1900;0;;1900;628;57;272;91;200;551;3;66;6;16;3;4;3
Wierden;G0189;10676;Overijssel;P23;8314;7904;0;;7904;1013;2146;1643;2156;300;55;36;542;6;1;5;1;
Wieringen;G0462;11277;Noord-Holland;P27;3920;3523;0;;3523;1527;294;237;149;728;497;11;17;3;19;18;23;
Wieringermeer;G0463;10239;Noord-Holland;P27;3425;3382;0;;3382;865;791;749;431;372;92;12;21;27;9;4;5;4
Wieringerwaard;G0464;11164;Noord-Holland;P27;799;721;0;;721;365;24;32;17;215;56;3;2;1;1;3;;2
Wijchen;G0296;10723;Gelderland;P25;4684;4486;0;;4486;456;3854;32;31;14;5;83;;1;3;7;;
Wijdenes;G0469;10631;Noord-Holland;P27;642;603;0;;603;346;20;16;9;184;24;;;;;1;2;1
Wijdewormer;G0470;10434;Noord-Holland;P27;473;453;0;;453;100;179;25;35;73;28;6;;2;2;;3;
Wijhe;G0190;10888;Overijssel;P23;3374;3190;0;;3190;922;852;267;706;344;14;35;29;12;3;4;2;
Wijk bij Duurstede;G0352;10760;Utrecht;P26;2130;2013;0;;2013;359;1036;112;288;93;11;83;27;1;2;1;;
Wijk en Aalburg;G0876;11084;Noord-Brabant;P30;1605;1397;0;;1397;264;11;303;90;51;2;;675;;;1;;
Wijlre;G0991;10131;Limburg;P31;1343;1306;0;;1306;69;1172;7;4;8;7;37;;;;1;1;
Wijnandsrade;G0992;10992;Limburg;P31;428;407;0;;407;27;367;;1;;2;9;;1;;;;
Wijngaarden;G0634;10263;Zuid-Holland;P28;256;238;0;;238;17;;105;7;9;1;;99;;;;;
Wildervank;G1225;10825;Groningen;P20;6060;5532;0;;5532;2558;178;924;517;791;347;40;10;73;55;21;10;8
Willemstad;G0872;10827;Noord-Brabant;P30;1173;1085;0;;1085;213;102;283;414;36;;4;28;;5;;;
