RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Middenpartij voor Stad en Land;CPN (De Visser);HGSP;Plattelandersbond;CPN (Wijnkoop);Rooms-Katholieke Volkspartij (RKVP);Revolutionair-Socialistische Partij;Federatief Verband;Christelijk-Democratische Unie;Democratische Partij;Kleine Winkeliers en Middenstanders;Nationale Boerenbond;Verbond van Nationalisten;Roomsch-Katholieke Boerenpartij (RKBP);Sociaal-Democratische Volkspartij;Algemene Welvaartspartij;Christelijke Arbeiderspartij;Lijst Van Nunen;Hoofd- en handarbeiders;Sociaal-Economische Volkspartij;Invalidenpartij;Lijst Verwey;Volkspartij;Anti-stemdwangpartij;Algemeen Belang;Neutrale Volkspartij;Lijst Siedenburg;Vrije Christelijke Partij;Internationale Volkspartij
Achttienhoven;G1005;10524;Utrecht;P26;348;338;10;;328;57;19;65;102;6;1;34;2;2;15;20;2;1;2;;;;;;;;;;;;;;;;;;;;;;
Adorp;G0001;10996;Groningen;P20;738;671;;;671;2;105;351;47;67;30;;;1;11;28;3;1;1;7;2;10;;2;3;;;;;;;;;;;;;;;;
Aduard;G0002;10999;Groningen;P20;1044;998;21;;977;4;215;401;68;111;100;3;3;1;1;57;3;;3;2;;3;;2;;;;;;;;;;;;;;;;;
Aengwirden;G1006;10157;Fryslân;P21;2480;2232;73;;2159;110;943;201;196;52;444;10;3;11;25;61;66;3;10;;7;14;;3;;;;;;;;;;;;;;;;;
Akersloot;G0360;10346;Noord-Holland;P27;930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;2937;2590;;;2590;18;592;398;785;118;98;486;2;;12;44;4;;5;5;;;4;14;5;;;;;;;;;;;;;;;;
Alem, Maren en Kessel;G1007;10495;Noord-Brabant;P30;;555;;;555;531;8;;1;4;;;3;;;2;;3;;;;;;;1;2;;;;;;;;;;;;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;2435;2314;27;;2287;1873;33;183;129;12;29;1;3;;9;5;;;2;;5;;;1;;;;;;;;2;;;;;;;;;
Alkmaar;G0361;10527;Noord-Holland;P27;15506;14452;478;;13974;4290;4229;503;920;1099;1839;45;200;75;50;29;51;210;128;223;21;26;12;7;;;;;;;;;;;;17;;;;;
Almelo;G0141;11053;Overijssel;P23;16277;14146;;;14146;2487;5078;1219;1345;903;628;75;417;411;17;59;378;324;133;49;550;17;;39;17;;;;;;;;;;;;;;;;
Almkerk;G0740;10788;Noord-Brabant;P30;1789;1569;;;1569;13;80;1001;388;44;9;11;;1;14;3;2;;1;1;;1;;;;;;;;;;;;;;;;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;7908;7401;186;;7215;1462;622;1640;2343;469;169;331;43;5;25;41;2;6;13;13;2;10;5;4;3;;;;;;;7;;;;;;;;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;1106;1070;;;1070;1047;13;;3;;;;1;;;1;;3;;;;1;;;;;;;;1;;;;;;;;;;;
Ambt Delden;G0142;11400;Overijssel;P23;1826;1712;;;1712;1006;219;24;232;24;69;1;5;6;2;101;3;4;5;1;5;;;2;3;;;;;;;;;;;;;;;;
Ambt Hardenberg;G1011;10174;Overijssel;P23;5629;5135;;;5135;638;565;1903;1333;293;201;21;17;5;34;34;9;9;17;12;14;6;;11;13;;;;;;;;;;;;;;;;
Ambt Vollenhove;G1013;11088;Overijssel;P23;1181;1059;;;1059;7;68;522;306;83;27;5;1;1;4;12;1;;1;4;5;;;7;5;;;;;;;;;;;;;;;;
