RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Middenpartij voor Stad en Land;CPN (De Visser);HGSP;Plattelandersbond;CPN (Wijnkoop);Rooms-Katholieke Volkspartij (RKVP);Revolutionair-Socialistische Partij;Federatief Verband;Christelijk-Democratische Unie;Democratische Partij;Kleine Winkeliers en Middenstanders;Nationale Boerenbond;Verbond van Nationalisten;Roomsch-Katholieke Boerenpartij (RKBP);Sociaal-Democratische Volkspartij;Algemene Welvaartspartij;Christelijke Arbeiderspartij;Lijst Van Nunen;Hoofd- en handarbeiders;Sociaal-Economische Volkspartij;Invalidenpartij;Lijst Verwey;Volkspartij;Anti-stemdwangpartij;Algemeen Belang;Neutrale Volkspartij;Lijst Siedenburg;Vrije Christelijke Partij;Internationale Volkspartij
Diepenheim;G0151;10311;Overijssel;P23;;892;;;892;66;322;37;130;114;158;5;2;;1;24;1;2;12;5;6;1;;2;4;;;;;;;;;;;;;;;;
Diepenveen;G0152;10933;Overijssel;P23;3352;3066;;;3066;872;636;78;483;245;595;8;24;6;11;29;9;11;22;10;6;7;;8;6;;;;;;;;;;;;;;;;
Diessen;G0763;11185;Noord-Brabant;P30;641;617;;;617;590;3;5;9;;;;2;;;;;3;1;;;;1;1;;1;;;;1;;;;;;;;;;;
Diever;G0111;10418;Drenthe;P22;1306;1261;48;;1213;47;483;246;32;34;197;2;51;10;3;70;2;2;7;8;2;;;11;6;;;;;;;;;;;;;;;;
Dinteloord en Prinsenland;G0764;11193;Noord-Brabant;P30;1860;1640;;;1640;645;148;209;368;43;22;149;11;;10;16;2;1;4;1;1;4;1;1;3;;;;;1;;;;;;;;;;;
Dinther;G1044;10690;Noord-Brabant;P30;874;852;;;852;816;2;1;26;;;;2;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;
Dinxperlo;G0219;11154;Gelderland;P25;1619;1527;18;24;1485;221;204;523;352;95;41;9;5;;2;3;;4;;1;18;5;;;;;;;;;;;;2;;;;;;;
Dirksland;G0504;11344;Zuid-Holland;P28;1437;1232;;;1232;4;184;559;50;102;42;231;4;1;2;32;5;;6;6;;3;;1;;;;;;;;;;;;;;;;;
Dodewaard;G0220;10647;Gelderland;P25;1058;970;76;;894;12;256;265;102;115;6;81;6;1;7;10;6;3;1;7;8;3;;2;2;;;;;;;;;1;;;;;;;
Doesburg;G0221;10327;Gelderland;P25;2513;2361;132;;2229;825;517;128;382;152;88;23;25;2;8;6;11;10;4;9;5;15;6;4;2;;;;;;;;;7;;;;;;;
Doetinchem;G0222;10396;Gelderland;P25;6444;6129;254;;5875;1732;1331;295;853;639;648;112;47;3;13;47;11;41;4;10;45;11;3;11;3;;;;;;;;;16;;;;;;;
Dokkum;G0066;10198;Fryslân;P21;2739;2567;47;;2520;132;595;936;239;276;218;25;9;5;4;14;6;3;6;;44;7;;1;;;;;;;;;;;;;;;;;
Domburg;G0660;10236;Zeeland;P29;;771;16;20;735;7;153;114;147;71;98;100;14;2;9;8;;1;2;2;2;4;;1;;;;;;;;;;;;;;;;;
Dommelen;G1045;10424;Noord-Brabant;P30;247;249;;;249;243;2;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
Dongen;G0766;11412;Noord-Brabant;P30;4059;3936;73;;3863;3596;41;25;69;8;6;9;30;;1;2;3;45;15;;2;3;1;1;;;;;;6;;;;;;;;;;;
Doniawerstal;G0067;10086;Fryslân;P21;2849;2670;37;;2633;601;415;427;744;73;174;4;3;1;95;66;5;5;4;;11;4;;1;;;;;;;;;;;;;;;;;
Doorn;G0315;10213;Utrecht;P26;2120;2133;81;;2052;52;308;459;613;281;116;117;37;6;16;7;7;2;2;6;8;2;1;4;3;;1;;4;;;;;;;;;;;;
Doornspijk;G0223;10069;Gelderland;P25;2097;1840;162;;1678;15;43;510;555;24;6;335;21;1;88;34;14;;;1;11;;2;;3;;;13;2;;;;;;;;;;;;
Dordrecht;G0505;11157;Zuid-Holland;P28;28670;24034;;;24034;2517;7603;4318;2913;3514;1366;795;158;77;21;49;101;56;293;160;;19;35;23;16;;;;;;;;;;;;;;;;
Dreischor;G1047;10885;Zeeland;P29;;669;;;669;4;240;11;25;219;58;19;7;1;2;63;2;;2;8;1;2;;5;;;;;;;;;;;;;;;;;
Dreumel;G0224;11232;Gelderland;P25;1279;1111;;;1111;952;47;;40;35;3;3;8;1;;5;5;4;;1;1;2;;2;;;;;;;;;;2;;;;;;;
Driebergen;G1048;10777;Utrecht;P26;3174;2978;119;;2859;299;467;579;687;280;177;234;27;15;32;20;2;2;2;8;5;5;2;7;6;;2;;1;;;;;;;;;;;;
Driel;G1248;10341;Gelderland;P25;1874;1624;;;1624;1340;27;29;130;9;9;52;4;;1;6;3;5;1;;1;;;1;1;;;;;;;;;5;;;;;;;
Driewegen;G0661;11115;Zeeland;P29;;333;8;6;319;38;23;65;125;24;26;9;;;;6;1;1;;1;;;;;;;;;;;;;;;;;;;;;
Drunen;G0767;10428;Noord-Brabant;P30;1627;1547;;;1547;1474;14;1;34;1;;;12;;1;1;;5;;;;4;;;;;;;;;;;;;;;;;;;
Druten;G0225;10068;Gelderland;P25;2761;2530;26;11;2493;2334;22;3;81;18;5;;10;;4;2;;4;1;;6;1;1;;;;;;;;;;;1;;;;;;;
Dubbeldam;G0507;10781;Zuid-Holland;P28;2200;2026;94;;1932;37;512;372;336;351;65;75;5;3;3;125;4;4;8;15;;1;4;9;3;;;;;;;;;;;;;;;;
Duiven;G0226;11028;Gelderland;P25;1669;1564;;;1564;1467;13;21;28;7;;2;8;;10;1;1;2;1;1;1;;1;;;;;;;;;;;;;;;;;;
Duivendijke;G1050;10335;Zeeland;P29;;267;;;267;1;34;115;31;43;14;14;3;;;7;;;;3;1;;;1;;;;;;;;;;;;;;;;;
Dussen;G0769;10261;Noord-Brabant;P30;;1499;;;1499;943;39;212;170;24;5;68;9;;3;10;1;;5;3;;2;2;2;1;;;;;;;;;;;;;;;;
Dwingeloo;G0112;10331;Drenthe;P22;1413;1323;;;1323;10;385;199;81;34;451;3;8;11;15;92;70;5;9;8;3;5;;7;8;;;;;;;;;;;;;;;;
Echt;G0902;10941;Limburg;P31;3629;3395;;;3395;3022;69;12;3;2;3;2;14;2;4;9;11;7;11;;1;;;;1;219;3;;;;;;;;;;;;;;
Echteld;G0227;10832;Gelderland;P25;1724;1490;;;1490;33;525;167;112;425;14;125;3;;4;37;2;2;3;15;2;8;2;1;2;;;;;;;;;8;;;;;;;
Edam;G1315;10884;Noord-Holland;P27;4043;3792;54;;3738;2113;607;109;177;134;405;10;17;6;1;99;10;13;;5;16;11;;;;;;;;;;;;;;5;;;;;
Ede;G0228;10743;Gelderland;P25;13842;12501;;;12501;643;1639;3092;2042;719;515;3025;178;54;145;47;45;;19;39;23;9;10;14;14;;;143;86;;;;;;;;;;;;
Eede;G1052;11128;Zeeland;P29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eelde;G0113;10622;Drenthe;P22;1708;1617;138;;1479;6;597;61;45;94;195;1;36;22;12;337;15;1;5;13;7;8;;12;12;;;;;;;;;;;;;;;;
Eemnes;G0317;10248;Utrecht;P26;912;840;33;;807;420;48;132;120;5;12;25;14;5;1;5;2;3;2;3;2;1;1;3;;;1;;2;;;;;;;;;;;;
Eenrum;G0011;10904;Groningen;P20;1411;1359;9;;1350;45;643;270;13;219;128;1;1;;;13;1;;8;3;1;2;;2;;;;;;;;;;;;;;;;;
Eersel;G0770;10741;Noord-Brabant;P30;1157;1094;;;1094;1075;1;3;13;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
Egmond aan Zee;G0386;10421;Noord-Holland;P27;1495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egmond-Binnen;G0387;10989;Noord-Holland;P27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eibergen;G0229;10436;Gelderland;P25;4013;3854;17;41;3796;1664;582;374;431;384;179;5;16;27;4;46;16;;13;3;35;4;4;2;4;;;2;1;;;;;;;;;;;;
Eijgelshoven;G0904;10960;Limburg;P31;1060;991;20;13;958;737;148;5;8;1;7;1;12;9;;5;2;6;7;;;1;;;1;1;7;;;;;;;;;;;;;;
Eijsden;G0905;10314;Limburg;P31;1629;1249;23;37;1190;1044;59;9;5;;26;;8;3;;2;4;1;2;;;;;;3;20;4;;;;;;;;;;;;;;
Eindhoven;G0772;11298;Noord-Brabant;P30;32538;31147;;;31147;21440;5230;756;640;369;755;53;216;282;28;20;76;854;204;78;;49;17;13;20;22;;;;25;;;;;;;;;;;
Elburg;G0230;11113;Gelderland;P25;1318;1194;58;;1136;18;84;199;559;29;37;53;15;;117;3;9;;3;6;1;;1;;;;;2;;;;;;;;;;;;;
Elkerzee;G1053;10184;Zeeland;P29;;306;;;306;1;39;70;81;46;16;25;1;3;2;9;2;2;1;2;2;2;;2;;;;;;;;;;;;;;;;;
Ellemeet;G1054;10102;Zeeland;P29;285;258;;;258;;47;25;43;95;17;4;4;1;;15;;;1;3;1;2;;;;;;;;;;;;;;;;;;;
Ellewoutsdijk;G0663;11300;Zeeland;P29;;313;;;313;6;134;32;73;19;30;9;3;1;1;1;;2;;;;1;;1;;;;;;;;;;;;;;;;;
Elsloo;G0903;11187;Limburg;P31;979;942;8;28;906;869;7;2;2;4;;1;12;;;1;1;3;1;;;1;;;;2;;;;;;;;;;;;;;;
Elst;G0231;11188;Gelderland;P25;4225;3970;64;70;3836;2054;541;116;386;330;77;75;18;5;71;39;11;41;5;7;6;35;6;5;3;;;;;;;;;5;;;;;;;
Emmen;G0114;11180;Drenthe;P22;16116;14479;1212;;13267;1817;4044;2397;2174;526;907;46;58;205;51;406;70;46;34;111;123;19;;126;107;;;;;;;;;;;;;;;;
Empel en Meerwijk;G0773;10295;Noord-Brabant;P30;323;302;2;0;300;282;1;;11;1;1;;2;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;
Engelen;G0774;10322;Noord-Brabant;P30;790;294;;;294;243;13;;29;;;;7;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
Enkhuizen;G0388;10729;Noord-Holland;P27;;4267;;;4267;572;1335;718;680;309;380;140;17;14;5;24;7;13;9;13;21;1;1;1;;;;;;;;;;;;7;;;;;
Enschede;G0153;10364;Overijssel;P23;25170;22301;;;22301;4183;8719;2144;2000;2134;1074;85;176;519;21;80;165;369;230;105;142;31;;94;30;;;;;;;;;;;;;;;;
Epe;G0232;10940;Gelderland;P25;6185;5604;;;5604;612;1110;716;1073;641;1105;123;61;8;15;24;29;;17;15;15;9;5;;14;;;10;2;;;;;;;;;;;;
Ermelo;G0233;10732;Gelderland;P25;6199;5792;215;;5577;76;390;1687;2200;236;162;559;47;9;66;54;23;;5;9;2;;2;;5;;;44;1;;;;;;;;;;;;
Erp;G0775;10385;Noord-Brabant;P30;1311;1289;;;1289;1263;11;;2;;;1;5;;;1;;5;1;;;;;;;;;;;;;;;;;;;;;;
Esch;G0776;10709;Noord-Brabant;P30;336;321;;;321;316;1;;1;;;;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;
Escharen;G1057;10299;Noord-Brabant;P30;653;631;;;631;628;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Est en Opijnen;G0234;11092;Gelderland;P25;585;513;16;33;464;;67;14;114;160;10;56;;3;1;8;2;1;3;2;1;7;1;;4;;;;;;;;;10;;;;;;;
Etten en Leur;G1251;10750;Noord-Brabant;P30;4266;3838;;;3838;3364;176;8;132;12;19;3;41;2;3;9;6;20;17;3;2;8;1;1;;6;;;;5;;;;;;;;;;;
Everdingen;G0508;10638;Zuid-Holland;P28;539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ewijk;G0235;10471;Gelderland;P25;1341;1270;2;9;1259;1183;1;1;12;46;1;3;2;;2;2;3;;;;1;2;;;;;;;;;;;;;;;;;;;
Ezinge;G0012;10136;Groningen;P20;932;863;8;;855;;245;297;32;115;126;2;;;1;30;1;;3;;1;1;;;1;;;;;;;;;;;;;;;;
Ferwerderadeel;G0068;11284;Fryslân;P21;4557;4275;64;;4211;5;676;2099;688;321;170;8;8;6;44;122;6;4;10;;32;9;;3;;;;;;;;;;;;;;;;;
Fijnaart en Heijningen;G0778;10206;Noord-Brabant;P30;2139;1923;;;1923;707;76;249;533;15;6;8;10;2;291;;4;1;8;2;1;;;3;7;;;;;;;;;;;;;;;;
Finsterwolde;G0013;10212;Groningen;P20;1612;1325;133;;1192;4;343;27;62;188;87;6;2;173;17;10;246;;7;4;4;2;;8;2;;;;;;;;;;;;;;;;
Franeker;G0069;11226;Fryslân;P21;4254;3870;119;;3751;477;1163;778;509;167;426;13;11;34;23;30;7;38;15;;44;6;;10;;;;;;;;;;;;;;;;;
Franekeradeel;G0070;10404;Fryslân;P21;2786;2593;74;;2519;109;751;467;663;163;235;5;12;10;20;35;7;4;6;;20;9;;3;;;;;;;;;;;;;;;;;
Gaasterland;G0071;10036;Fryslân;P21;3062;2870;40;;2830;568;158;560;1099;38;81;118;18;2;67;23;6;3;8;;77;3;;1;;;;;;;;;;;;;;;;;
Gameren;G1058;10037;Gelderland;P25;1002;894;26;37;831;5;168;302;44;11;14;181;8;2;4;83;4;;;;1;;1;;1;;;;;;;;;2;;;;;;;
Gassel;G1059;10705;Noord-Brabant;P30;298;284;;;284;281;;;;;;;;;;;;;1;;;;;1;;1;;;;;;;;;;;;;;;
Gasselte;G0115;11099;Drenthe;P22;1677;1523;28;;1495;5;676;196;226;53;83;3;11;12;1;177;2;2;4;11;5;2;;15;11;;;;;;;;;;;;;;;;
Geertruidenberg;G0779;10101;Noord-Brabant;P30;1246;1123;;;1123;860;60;33;46;50;40;6;12;;;;2;1;8;2;;1;;2;;;;;;;;;;;;;;;;;
Geervliet;G0509;10842;Zuid-Holland;P28;534;491;11;;480;1;131;33;77;73;12;48;1;;13;88;1;;;;;;1;1;;;;;;;;;;;;;;;;;
Geffen;G0780;10370;Noord-Brabant;P30;813;745;;;745;710;14;;1;;5;;2;2;;;;7;2;1;;;;1;;;;;;;;;;;;;;;;;
Geldermalsen;G0236;10881;Gelderland;P25;2145;1807;;;1807;23;527;166;308;217;76;188;12;5;9;116;15;2;5;13;13;17;3;;1;;;;;;;;;91;;;;;;;
Geldrop;G0781;10529;Noord-Brabant;P30;3202;2760;;;2760;2521;72;40;32;12;15;;24;4;;1;3;14;7;8;;1;1;1;;2;;;;2;;;;;;;;;;;
Geleen;G0906;10048;Limburg;P31;3520;3275;;;3275;2703;304;33;89;11;36;3;13;7;;;16;6;13;;3;8;;;;30;;;;;;;;;;;;;;;
Gemert;G0782;10277;Noord-Brabant;P30;2772;2602;;;2602;2464;33;10;20;2;3;1;29;2;5;6;1;19;;1;;1;1;1;;2;;;;1;;;;;;;;;;;
Genderen;G1060;10010;Noord-Brabant;P30;1255;1097;;;1097;51;31;454;139;10;90;190;2;3;62;35;;;2;1;;11;2;6;5;;;;;3;;;;;;;;;;;
Gendringen;G0237;10260;Gelderland;P25;4304;4186;93;;4093;3097;162;212;265;85;76;19;14;3;14;93;2;11;2;2;15;14;2;3;1;;;;;;;;;1;;;;;;;
Gendt;G0238;10440;Gelderland;P25;1495;1374;;;1374;1275;8;5;57;4;;6;2;1;1;2;7;;;;1;2;;;;;;;;;;;;3;;;;;;;
Genemuiden;G0154;10746;Overijssel;P23;1632;1236;;;1236;1;101;644;137;12;29;281;2;;3;4;2;2;4;;1;1;;11;1;;;;;;;;;;;;;;;;
Gennep;G0907;10542;Limburg;P31;1539;1409;;;1409;1160;159;6;23;19;16;3;3;;2;1;2;6;2;;1;;;1;;1;4;;;;;;;;;;;;;;
Geulle;G0908;10530;Limburg;P31;687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Giessen;G0783;10193;Noord-Brabant;P30;273;189;6;4;181;4;9;53;60;15;5;24;;1;7;2;;;1;;;;;;;;;;;;;;;;;;;;;;
Giessendam;G1063;10606;Zuid-Holland;P28;2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
