RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Overig;Lijst Welter
Zoeterwoude;G0638;11074;Zuid-Holland;P28;2573;2380;0;;2380;1727;83;172;274;51;11;39;5;18
Zonnemaire;G1236;10040;Zeeland;P29;514;509;0;;509;3;241;106;49;98;2;6;4;
Zoutelande;G1237;10779;Zeeland;P29;540;631;0;;631;22;61;145;209;60;2;118;8;6
Zuid- en Noord-Schermer;G0474;11311;Noord-Holland;P27;570;520;0;;520;55;260;22;16;61;81;19;3;3
Zuid-Beijerland;G0639;10917;Zuid-Holland;P28;1499;1398;0;;1398;11;299;412;297;142;5;220;10;2
Zuidbroek;G1240;11282;Groningen;P20;1683;1465;0;;1465;26;543;234;46;176;345;5;85;5
Zuiddorpe;G0734;11087;Zeeland;P29;522;482;0;;482;376;58;9;5;5;2;1;7;19
Zuidhorn;G0056;10021;Groningen;P20;2194;2026;0;;2026;38;607;751;192;349;50;2;34;3
Zuidland;G0640;10316;Zuid-Holland;P28;1150;1045;0;;1045;2;124;597;140;147;4;25;6;
Zuidlaren;G0136;10002;Drenthe;P22;2890;2750;0;;2750;36;1063;697;132;584;154;2;76;6
Zuidwolde;G0137;10262;Drenthe;P22;3549;3290;0;;3290;45;957;880;803;489;46;21;44;5
Zuidzande;G0735;10437;Zeeland;P29;605;543;0;;543;18;213;53;42;144;15;18;40;
Zuilen;G1242;10059;Utrecht;P26;12370;11455;0;;11455;2896;4565;1358;881;274;1031;154;190;106
Zuilichem;G1243;11036;Gelderland;P25;635;559;0;;559;3;180;133;36;1;3;198;5;
Zundert;G0879;11192;Noord-Brabant;P30;4376;3818;0;;3818;3344;182;48;41;19;27;8;41;108
Zutphen;G0301;10254;Gelderland;P25;13252;12097;0;;12097;1571;5100;1090;1132;1540;1433;40;132;59
Zwaag;G0475;10218;Noord-Holland;P27;1161;1096;0;;1096;747;238;9;7;78;11;;2;4
Zwammerdam;G1244;10675;Zuid-Holland;P28;1441;1318;0;;1318;378;178;284;273;98;9;87;8;3
Zwartewaal;G0641;10703;Zuid-Holland;P28;361;357;0;;357;2;148;93;7;83;9;9;6;
Zwartsluis;G0192;10303;Overijssel;P23;1957;1795;0;;1795;18;273;929;396;85;32;52;8;2
Zweeloo;G0138;10872;Drenthe;P22;1273;1191;0;;1191;10;474;293;70;328;8;4;4;
Zwijndrecht;G0642;10468;Zuid-Holland;P28;7794;7146;0;;7146;278;1685;2204;1684;396;299;543;35;22
Zwolle;G0193;10093;Overijssel;P23;27944;25389;0;;25389;4734;9147;3915;2773;2332;1505;415;392;176
Zwollerkerspel;G1245;10654;Overijssel;P23;5362;4887;0;;4887;736;930;1233;1311;332;70;242;27;6
