RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;VVD;Christelijk-Historische Unie;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Nationale Unie (Algemeen Christelijk);Nederlandse Oppositie Unie
Hardinxveld;G1070;10167;Zuid-Holland;P28;4782;4248;97;;4151;1780;34;606;338;305;77;938;62;6;5
Haren;G0017;11058;Groningen;P20;7615;7145;147;;6998;2329;192;1260;1835;965;147;6;176;32;56
Harenkarspel;G0395;10963;Noord-Holland;P27;2001;1977;10;;1967;375;1390;92;76;3;20;4;4;;3
Harlingen;G0072;10909;Fryslân;P21;6537;6063;81;;5982;2633;832;626;485;866;274;10;222;10;24
Harmelen;G0318;10183;Utrecht;P26;1588;1552;13;;1539;126;726;236;31;311;3;92;7;1;6
Haskerland;G0073;10022;Fryslân;P21;6306;6012;120;;5892;2578;698;686;378;1365;124;29;18;2;14
Hasselt;G0161;10115;Overijssel;P23;1381;1267;7;;1260;323;51;358;50;325;3;46;103;;1
Hattem;G0244;10673;Gelderland;P25;3888;3786;49;;3737;1520;120;516;323;860;101;47;234;14;2
Havelte;G0117;10186;Drenthe;P22;2542;2593;90;;2503;1529;47;121;590;172;18;3;8;4;11
Hazerswoude;G0524;11257;Zuid-Holland;P28;2966;2872;20;;2852;253;1156;695;72;496;5;168;3;;4
Hedel;G0245;10982;Gelderland;P25;1261;1209;14;;1195;220;524;97;17;122;8;200;2;;5
Heel en Panheel;G0915;11208;Limburg;P31;1532;1496;11;;1485;24;1449;4;6;1;;;;;1
Heemskerk;G0396;10679;Noord-Holland;P27;3270;3194;30;;3164;416;2462;22;76;112;57;7;2;7;3
Heemstede;G0397;11288;Noord-Holland;P27;14999;13828;252;;13576;2834;4531;1524;3292;814;223;50;33;244;31
Heenvliet;G0525;10823;Zuid-Holland;P28;760;694;27;;667;306;3;62;165;41;65;21;2;;2
Heer;G0916;11407;Limburg;P31;4059;3946;197;;3749;961;2702;15;24;8;15;;3;11;10
Heerde;G0246;10291;Gelderland;P25;6907;6727;83;;6644;2666;68;1116;510;1927;13;148;181;13;2
Heerenveen;G0074;10680;Fryslân;P21;14745;13687;318;;13369;6830;502;1570;1623;1143;1523;26;86;35;31
Heerewaarden;G0247;10067;Gelderland;P25;659;636;14;;622;470;30;27;79;11;1;4;;;
Heerhugowaard;G0398;10752;Noord-Holland;P27;3013;2948;23;;2925;440;2110;174;116;45;21;2;3;1;13
Heerjansdam;G0526;10540;Zuid-Holland;P28;897;854;18;;836;257;4;167;74;264;14;55;;1;
Heerlen;G0917;10902;Limburg;P31;34773;34095;984;;33111;8703;21887;555;422;468;849;13;31;58;125
Heesch;G0791;10149;Noord-Brabant;P30;2426;2404;12;;2392;151;2213;5;2;14;4;;;;3
Heeswijk;G1072;11229;Noord-Brabant;P30;1175;1161;1;;1160;24;1135;;1;;;;;;
Heeze;G0793;10462;Noord-Brabant;P30;2460;2412;28;;2384;159;2113;8;32;62;6;2;;;2
Hei- en Boeicop;G0527;11024;Zuid-Holland;P28;451;412;4;;408;55;1;129;29;44;;149;1;;
Heiloo;G0399;10793;Noord-Holland;P27;6754;6037;92;;5945;1774;2722;258;827;184;125;17;6;26;6
Heinenoord;G0528;10821;Zuid-Holland;P28;1290;1232;27;;1205;437;16;257;143;173;8;163;3;2;3
Heinkenszand;G0672;10413;Zeeland;P29;1232;1186;14;;1172;128;582;130;35;252;1;44;;;
Heino;G0162;10854;Overijssel;P23;1948;1912;11;;1901;345;949;71;41;436;3;4;50;;2
Hekelingen;G1074;10873;Zuid-Holland;P28;668;635;4;;631;379;7;52;117;33;7;30;1;;5
Hekendorp;G1075;10217;Zuid-Holland;P28;425;400;5;;395;50;123;63;46;68;2;42;;;1
Helden;G0918;10205;Limburg;P31;4538;4499;31;;4468;66;4381;5;13;;;;2;;1
Hellendoorn;G0163;10806;Overijssel;P23;12176;12051;90;;11961;2797;2718;2114;321;3634;67;184;105;5;16
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;1171;1103;12;;1091;627;109;95;154;66;17;16;;2;5
Helmond;G0794;10932;Noord-Brabant;P30;20954;20414;607;;19807;4877;13740;171;400;147;344;16;17;27;68
Helvoirt;G0795;10389;Noord-Brabant;P30;1523;1497;7;;1490;70;1341;6;16;43;1;3;;8;2
Hemelumer Oldeferd;G0075;10334;Fryslân;P21;2847;2735;25;;2710;619;113;546;95;1273;5;31;8;5;15
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;3555;3410;51;;3359;1141;29;736;218;487;23;693;16;8;8
Hengelo;G0164;10907;Overijssel;P23;32926;32065;505;;31560;13013;11060;1644;2666;1750;1168;39;100;79;41
Hengelo;G0248;10359;Gelderland;P25;3477;3388;34;;3354;877;1212;534;155;502;7;36;2;5;24
Hennaarderadeel;G0076;10877;Fryslân;P21;2718;2625;19;;2606;632;130;549;201;1066;4;3;2;3;16
Hensbroek;G0401;10181;Noord-Holland;P27;548;532;4;;528;177;291;2;43;3;11;1;;;
Herkingen;G1078;10267;Zuid-Holland;P28;582;516;11;;505;95;4;117;13;19;2;251;1;3;
Herten;G0919;10138;Limburg;P31;1096;1081;18;;1063;69;981;2;7;;3;;;;1
Herwen en Aerdt;G0249;10819;Gelderland;P25;3448;3250;49;;3201;403;2496;92;62;127;8;5;1;5;2
Herwijnen;G0250;11266;Gelderland;P25;1044;996;7;;989;405;2;242;56;203;1;80;;;
Het Bildt;G0063;10128;Fryslân;P21;5364;5128;59;;5069;1855;26;1590;560;751;217;8;19;6;37
Heteren;G0251;10290;Gelderland;P25;2620;2565;16;;2549;313;1419;283;33;273;4;221;1;;2
Heukelum;G0533;11308;Zuid-Holland;P28;1075;1029;21;;1008;489;8;175;147;151;8;22;5;2;1
Heumen;G0252;10600;Gelderland;P25;1654;1622;27;;1595;79;1453;20;21;9;3;4;2;2;2
Heusden;G0797;10307;Noord-Brabant;P30;1756;1845;21;;1824;412;1003;84;67;162;44;51;;;1
Heythuysen;G0920;10840;Limburg;P31;1720;1720;19;;1701;55;1631;2;11;1;;;;;1
Hillegom;G0534;11236;Zuid-Holland;P28;7634;7293;74;;7219;1411;3879;633;292;817;61;75;4;33;14
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;2896;2895;35;;2860;285;2426;20;32;81;5;2;2;4;3
Hilversum;G0402;11285;Noord-Holland;P27;57190;54070;1438;;52632;18780;11418;6279;7585;4288;2665;898;142;398;179
Hindeloopen;G0077;10672;Fryslân;P21;507;489;4;;485;251;11;69;9;133;9;1;2;;
Hoedekenskerke;G0673;11072;Zeeland;P29;951;911;17;;894;119;477;49;24;118;1;102;;2;2
Hoek;G0674;10038;Zeeland;P29;1610;1542;25;;1517;549;39;148;163;307;3;231;73;1;3
Hoenkoop;G0319;10611;Utrecht;P26;351;347;0;;347;33;186;63;15;42;;8;;;
Hoensbroek;G0921;11177;Limburg;P31;10103;9928;304;;9624;3009;5949;139;54;100;311;6;13;11;32
Hoevelaken;G0253;11358;Gelderland;P25;1049;989;10;;979;282;50;90;36;307;6;201;4;2;1
Hoeven;G0799;10065;Noord-Brabant;P30;2485;2424;55;;2369;141;2182;10;5;6;11;4;;2;8
Holten;G0165;11246;Overijssel;P23;3219;3197;41;;3156;987;56;437;439;1180;8;22;3;15;9
Hontenisse;G0675;11123;Zeeland;P29;3218;3111;62;;3049;208;2684;18;26;92;2;4;9;;6
Hoofdplaat;G0676;10147;Zeeland;P29;669;643;16;;627;42;502;12;10;52;2;7;;;
Hoogblokland;G0535;11040;Zuid-Holland;P28;554;549;4;;545;180;8;169;140;11;1;34;1;1;
Hooge en Lage Mierde;G0801;10476;Noord-Brabant;P30;1262;1240;2;;1238;16;1202;6;1;7;;;;5;1
Hooge en Lage Zwaluwe;G0802;11318;Noord-Brabant;P30;2613;2537;26;;2511;390;1303;97;68;614;6;30;;1;2
Hoogeloon, Hapert en Casteren;G0800;10657;Noord-Brabant;P30;1840;1822;7;;1815;25;1748;3;1;34;1;1;;;2
Hoogeveen;G0118;10839;Drenthe;P22;12116;11635;641;;10994;3017;187;4147;460;2260;422;191;216;10;84
Hoogezand-Sappemeer;G0018;10410;Groningen;P20;13326;12672;626;;12046;6316;1099;882;1556;504;1462;13;82;32;100
Hoogkarspel;G0403;10642;Noord-Holland;P27;1413;1382;14;;1368;260;1012;4;78;8;5;;;1;
Hoogkerk;G1084;10953;Groningen;P20;2686;2553;57;;2496;1029;64;511;243;255;99;4;280;4;7
Hoogland;G0320;10545;Utrecht;P26;2318;2264;31;;2233;167;1701;62;24;200;6;60;9;3;1
Hoogwoud;G0404;11029;Noord-Holland;P27;1372;1338;14;;1324;412;719;5;145;10;30;;;1;2
Hoorn;G0405;11392;Noord-Holland;P27;8639;8302;143;;8159;3396;2847;375;861;270;361;17;13;12;7
Hoornaar;G0536;10516;Zuid-Holland;P28;498;473;6;;467;138;3;182;93;11;1;36;;;3
Horn;G0922;11176;Limburg;P31;1492;1419;18;;1401;58;1318;4;7;2;5;;2;2;3
Horssen;G0254;10607;Gelderland;P25;608;602;2;;600;13;531;1;1;54;;;;;
Horst;G0923;11108;Limburg;P31;5471;5421;41;;5380;90;5255;2;7;10;3;1;;4;8
Houten;G0321;10230;Utrecht;P26;1687;1552;13;;1539;137;1024;80;33;105;2;153;2;1;2
Huijbergen;G0803;10466;Noord-Brabant;P30;547;541;11;;530;20;498;7;;1;;1;;;3
Huissen;G0255;11047;Gelderland;P25;3937;3887;34;;3853;220;3468;11;12;117;7;3;2;7;6
Huizen;G0406;11170;Noord-Holland;P27;8343;7906;113;;7793;1897;317;2228;856;1577;132;722;18;37;9
Hulsberg;G0924;11216;Limburg;P31;1235;1243;34;;1209;118;1072;5;2;5;5;1;;;1
Hulst;G0677;11408;Zeeland;P29;2674;2563;76;;2487;437;1954;10;33;24;3;4;1;10;11
Hummelo en Keppel;G0256;11235;Gelderland;P25;2064;1988;27;;1961;828;326;186;322;260;7;18;;7;7
Hunsel;G0925;10784;Limburg;P31;1543;1528;7;;1521;25;1493;1;1;1;;;;;
Idaarderadeel;G0078;10815;Fryslân;P21;4238;4118;63;;4055;2820;228;231;446;154;147;5;2;4;18
IJlst;G0102;11062;Fryslân;P21;862;820;8;;812;228;5;249;36;283;5;3;1;1;1
IJsselmuiden;G0191;10641;Overijssel;P23;4109;3922;33;;3889;538;466;611;100;735;8;1199;226;4;2
IJsselstein;G0353;10152;Utrecht;P26;3241;3153;43;;3110;452;1685;215;60;405;21;265;2;3;2
IJzendijke;G0730;10688;Zeeland;P29;1551;1495;28;;1467;320;931;56;74;73;8;4;;;1
Ilpendam;G0407;10809;Noord-Holland;P27;1486;1442;22;;1420;549;338;89;65;128;241;7;1;2;
Itteren;G0926;10458;Limburg;P31;393;389;10;;379;26;348;;2;;2;;;1;
Jabeek;G0927;10256;Limburg;P31;355;352;10;;342;25;317;;;;;;;;
Jisp;G0408;10481;Noord-Holland;P27;449;449;8;;441;216;37;5;102;9;67;;;;5
Jutphaas;G0322;10374;Utrecht;P26;1978;1955;6;;1949;359;1077;128;58;221;15;85;2;1;3
Kamerik;G0323;10554;Utrecht;P26;1252;1221;7;;1214;71;433;193;11;272;;233;;1;
Kampen;G0166;10253;Overijssel;P23;14177;13556;140;;13416;3690;1355;2550;545;2734;66;1335;1097;30;14
Kantens;G0020;10372;Groningen;P20;1318;1276;18;;1258;567;20;216;194;123;10;1;122;2;3
Kapelle;G0678;11223;Zeeland;P29;2454;2346;38;;2308;662;51;400;248;714;6;219;2;2;4
Kattendijke;G0679;11218;Zeeland;P29;687;672;6;;666;377;7;35;45;181;1;17;;3;
Katwijk;G0537;10707;Zuid-Holland;P28;13318;12530;154;;12376;2567;824;1665;535;5171;59;1404;80;53;18
Katwoude;G0409;11136;Noord-Holland;P27;148;144;1;;143;47;27;18;18;30;;;1;1;1
Kedichem;G0538;10280;Zuid-Holland;P28;670;653;19;;634;286;7;118;146;35;4;33;5;;
Kerkrade;G0928;10313;Limburg;P31;24187;23714;1087;;22627;6241;15429;124;107;135;437;15;27;61;51
Kerkwerve;G1095;10837;Zeeland;P29;390;397;4;;393;89;4;143;44;69;2;38;4;;
Kerkwijk;G0257;10791;Gelderland;P25;2542;2379;50;;2329;581;21;677;43;187;4;802;7;3;4
Kessel;G0929;10890;Limburg;P31;1256;1248;12;;1236;32;1199;2;;;;;;;3
Kesteren;G0258;10916;Gelderland;P25;2874;2749;53;;2696;886;15;528;126;134;10;989;1;3;4
Klaaswaal;G0539;10284;Zuid-Holland;P28;1337;1275;8;;1267;494;6;181;178;234;5;162;1;1;5
Klimmen;G0930;10977;Limburg;P31;1408;1393;21;;1372;102;1251;3;3;2;2;2;;2;5
Kloetinge;G0680;10155;Zeeland;P29;1155;1111;14;;1097;361;53;132;134;344;6;59;;7;1
Kloosterburen;G0021;10628;Groningen;P20;1302;1281;11;;1270;300;571;277;111;7;2;;2;;
Klundert;G0804;10656;Noord-Brabant;P30;2841;2773;25;;2748;316;861;893;46;482;6;137;3;3;1
Kockengen;G0324;10765;Utrecht;P26;850;829;6;;823;36;294;181;21;127;1;159;2;;2
Koedijk;G0410;10510;Noord-Holland;P27;1282;1253;16;;1237;522;435;33;142;42;57;2;1;;3
Koewacht;G0681;10892;Zeeland;P29;1370;1335;53;;1282;301;947;8;7;8;7;;;3;1
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;5608;5347;63;;5284;910;29;2438;264;1418;55;107;50;3;10
Koog aan de Zaan;G0411;10776;Noord-Holland;P27;4507;4261;100;;4161;1799;420;339;591;135;821;43;5;5;3
Kortenhoef;G1097;10467;Noord-Holland;P27;1414;1345;20;;1325;386;311;155;99;253;29;72;9;9;2
Kortgene;G0682;10250;Zeeland;P29;2318;2169;26;;2143;954;14;270;260;483;2;152;3;4;1
Koudekerk aan den Rijn;G0540;10029;Zuid-Holland;P28;1054;1031;15;;1016;204;97;327;40;310;3;30;1;2;2
Koudekerke;G1098;11428;Zeeland;P29;1634;1547;25;;1522;349;21;467;84;478;5;112;2;1;3
Krabbendijke;G0684;11038;Zeeland;P29;1626;1492;11;;1481;311;13;219;65;279;3;588;;1;2
Krimpen aan de Lek;G0541;10617;Zuid-Holland;P28;2178;2085;46;;2039;1054;16;386;206;108;54;207;;2;6
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;4839;4511;102;;4409;2082;91;396;270;477;194;870;6;11;12
Krommenie;G0413;10373;Noord-Holland;P27;4737;4619;77;;4542;1497;1179;343;317;94;1019;12;66;11;4
Kruiningen;G0685;10077;Zeeland;P29;2899;2723;51;;2672;907;467;266;291;390;7;323;5;5;11
Kuinre;G0167;11148;Overijssel;P23;494;471;2;;469;241;49;37;43;96;3;;;;
Kwadijk;G0414;10775;Noord-Holland;P27;265;250;2;;248;155;8;10;59;10;3;;;2;1
Landsmeer;G0415;11225;Noord-Holland;P27;3481;3346;90;;3256;1382;211;405;335;258;625;29;4;5;2
Langbroek;G0325;11413;Utrecht;P26;892;858;5;;853;168;161;181;19;177;6;140;;;1
Lange Ruige Weide;G1101;10900;Zuid-Holland;P28;440;423;2;;421;30;17;158;16;119;;80;;1;
Langedijk;G0416;10955;Noord-Holland;P27;4782;4630;41;;4589;1372;1474;754;504;316;118;13;28;8;2
Langerak;G0543;11127;Zuid-Holland;P28;577;543;5;;538;136;2;177;56;28;3;104;31;1;
Laren;G0417;10649;Noord-Holland;P27;7278;6822;112;;6710;1556;2956;491;1169;259;158;38;7;59;17
Laren (Gld.);G0259;10098;Gelderland;P25;4065;3887;93;;3794;1307;84;310;1268;769;18;7;4;8;19
Leek;G0022;10604;Groningen;P20;4918;4744;68;;4676;1966;16;1248;677;387;65;20;274;6;17
Leende;G0805;11017;Noord-Brabant;P30;1366;1357;8;;1349;40;1275;13;5;9;2;2;;2;1
Leens;G0023;11050;Groningen;P20;2298;2172;31;;2141;703;220;459;305;43;18;7;372;7;7
Leerbroek;G0544;10465;Zuid-Holland;P28;530;471;6;;465;53;;169;19;54;;162;4;3;1
Leerdam;G0545;10685;Zuid-Holland;P28;6205;5972;106;;5866;2208;291;1231;391;755;165;606;211;4;4
Leersum;G0326;11142;Utrecht;P26;1964;2032;65;;1967;727;61;303;233;353;22;208;4;44;12
Leeuwarden;G0080;11228;Fryslân;P21;48022;45176;733;;44443;22326;4511;7121;4311;3923;1565;155;227;149;155
Leeuwarderadeel;G0081;10851;Fryslân;P21;2994;2875;43;;2832;1565;27;644;373;166;42;1;6;4;4
Leiden;G0546;10702;Zuid-Holland;P28;55282;52835;1154;;51681;20838;11052;4031;5075;5993;3405;645;183;364;95
Leiderdorp;G0547;10058;Zuid-Holland;P28;2952;2890;32;;2858;712;480;834;191;541;25;61;3;8;3
Leidschendam;G0548;10742;Zuid-Holland;P28;7524;7076;81;;6995;1036;3941;446;688;669;44;44;13;71;43
Leimuiden;G0549;11351;Zuid-Holland;P28;1341;1305;6;;1299;157;668;256;33;170;2;9;;3;1
Lekkerkerk;G0550;10050;Zuid-Holland;P28;3117;2970;58;;2912;1421;29;296;641;87;53;361;2;8;14
Lemsterland;G0082;10142;Fryslân;P21;4613;4260;76;;4184;1609;254;829;165;893;337;76;2;12;7
Leusden;G0327;10978;Utrecht;P26;1975;1874;29;;1845;344;611;218;125;363;3;152;20;7;2
Lexmond;G0551;10930;Zuid-Holland;P28;1111;1055;6;;1049;260;4;323;95;178;9;177;1;1;1
Lichtenvoorde;G0260;10242;Gelderland;P25;5311;5225;19;;5206;256;4513;102;30;295;1;2;2;1;4
Liempde;G0806;10390;Noord-Brabant;P30;1246;1245;7;;1238;30;1206;1;;1;;;;;
Lienden;G0261;11093;Gelderland;P25;2963;2783;48;;2735;1399;30;232;235;445;16;337;5;10;26
Lieshout;G0807;10637;Noord-Brabant;P30;1747;1724;12;;1712;63;1621;3;15;3;1;1;;4;1
Limbricht;G0931;11124;Limburg;P31;1541;1522;34;;1488;88;1400;;;;;;;;
Limmen;G0418;11370;Noord-Holland;P27;1593;1558;11;;1547;139;1313;20;38;2;32;1;;;2
Linne;G0932;10990;Limburg;P31;1291;1273;21;;1252;66;1177;;1;7;1;;;;
Linschoten;G0328;11324;Utrecht;P26;1199;1136;8;;1128;114;320;173;77;220;4;215;;4;1
Lisse;G0553;10197;Zuid-Holland;P28;6442;6200;79;;6121;670;3442;585;196;750;23;397;37;15;6
Lith;G0808;11219;Noord-Brabant;P30;1771;1720;10;;1710;79;1578;11;7;27;2;3;;;3
Lochem;G0262;11263;Gelderland;P25;4469;4418;113;;4305;2086;373;271;769;421;321;7;1;28;28
Loenen;G0329;11202;Utrecht;P26;1725;1666;21;;1645;359;338;257;206;309;25;119;20;3;9
Loenersloot;G1105;10208;Utrecht;P26;366;342;4;;338;37;101;61;8;73;2;53;;3;
Loon op Zand;G0809;11259;Noord-Brabant;P30;7247;7202;74;;7128;380;6370;50;21;114;11;166;2;5;9
Loosdrecht;G0330;10639;Utrecht;P26;3103;2940;63;;2877;796;179;457;576;462;107;170;57;46;27
Lopik;G0331;10333;Utrecht;P26;2589;2486;27;;2459;494;606;550;62;396;15;320;6;6;4
Loppersum;G0024;10934;Groningen;P20;2205;2115;30;;2085;720;11;767;278;156;23;4;121;1;4
Losser;G0168;11166;Overijssel;P23;8631;8507;140;;8367;1147;5919;48;157;558;466;5;9;6;52
Luyksgestel;G0810;10011;Noord-Brabant;P30;788;801;13;;788;42;732;4;1;2;6;;;;1
Maarheeze;G0811;11143;Noord-Brabant;P30;1938;1937;21;;1916;61;1833;4;1;9;3;1;;;4
Maarn;G0332;10392;Utrecht;P26;1714;1689;29;;1660;562;152;213;215;322;25;148;3;13;7
Maarssen;G0333;10191;Utrecht;P26;4917;4764;82;;4682;1442;1158;675;266;873;91;151;9;13;4
Maartensdijk;G0334;10691;Utrecht;P26;2875;2685;58;;2627;822;226;440;318;327;34;410;20;25;5
Maasbracht;G0933;10964;Limburg;P31;2368;1950;29;;1921;91;1721;20;23;56;;5;1;3;1
Maasbree;G0934;11352;Limburg;P31;3103;3072;23;;3049;39;2993;6;5;2;1;;;;3
Maasdam;G0554;11019;Zuid-Holland;P28;1100;1044;16;;1028;398;6;163;152;184;8;111;;4;2
Maasdriel;G0263;10341;Gelderland;P25;2702;2628;30;;2598;229;2144;30;10;144;5;25;;6;5
Maasland;G0555;10393;Zuid-Holland;P28;2040;2006;14;;1992;97;365;737;62;688;2;30;10;;1
Maasniel;G1110;11261;Limburg;P31;3519;3425;73;;3352;495;2753;41;28;14;9;1;;9;2
Maassluis;G0556;10880;Zuid-Holland;P28;6692;6365;75;;6290;2233;449;1771;268;1274;80;167;38;4;6
Maastricht;G0935;10182;Limburg;P31;47359;45932;1269;;44663;14188;28197;266;778;178;538;23;58;206;231
Made en Drimmelen;G0812;10258;Noord-Brabant;P30;3603;3407;60;;3347;284;2771;83;76;100;9;11;;;13
Margraten;G0936;11243;Limburg;P31;937;918;14;;904;36;853;2;;1;3;;;1;8
Markelo;G0169;11382;Overijssel;P23;3720;3579;75;;3504;1462;195;275;842;657;18;26;3;7;19
Marken;G0419;10901;Noord-Holland;P27;865;799;4;;795;147;3;272;11;337;7;13;;;5
Marum;G0025;11431;Groningen;P20;3978;3818;62;;3756;1649;21;1084;632;198;119;5;37;3;8
Maurik;G0264;10300;Gelderland;P25;2801;2643;23;;2620;1382;159;283;224;462;8;82;5;7;8
Medemblik;G0420;11215;Noord-Holland;P27;2379;2290;17;;2273;694;1010;215;93;145;89;14;2;8;3
Meeden;G0026;10304;Groningen;P20;1133;1106;42;;1064;575;7;255;113;38;41;1;30;;4
Meerkerk;G0557;10618;Zuid-Holland;P28;1213;1157;13;;1144;342;8;386;193;83;10;117;2;;3
Meerlo;G0937;11416;Limburg;P31;1535;1510;11;;1499;28;1468;1;;;;;;;2
Meerssen;G0938;10494;Limburg;P31;4119;4133;74;;4059;626;3336;13;27;6;17;;;12;22
Megen, Haren en Macharen;G0813;10988;Noord-Brabant;P30;1130;1113;7;;1106;75;1028;1;;;2;;;;
Meijel;G0941;10925;Limburg;P31;1603;1594;9;;1585;29;1554;1;;;;;;;1
Melick en Herkenbosch;G0939;10196;Limburg;P31;1618;1600;36;;1564;98;1429;19;1;5;4;;2;6;
Meliskerke;G1112;11221;Zeeland;P29;396;370;3;;367;16;1;116;3;31;;196;3;1;
Melissant;G1113;10918;Zuid-Holland;P28;1124;1046;17;;1029;322;27;177;51;142;8;296;3;2;1
Menaldumadeel;G0083;11144;Fryslân;P21;6386;6163;63;;6100;2853;311;1356;658;804;67;13;8;9;21
Meppel;G0119;11204;Drenthe;P22;9794;9329;213;;9116;4268;324;1416;1089;1780;100;54;65;17;3
Merkelbeek;G0940;10763;Limburg;P31;883;863;14;;849;77;762;3;;2;2;;;;3
Mheer;G0942;10538;Limburg;P31;622;620;10;;610;25;579;;5;;1;;;;
Middelburg;G0687;10122;Zeeland;P29;13823;13035;261;;12774;5342;1070;2299;1270;1731;111;812;77;35;27
Middelharnis;G0559;11067;Zuid-Holland;P28;3058;2804;31;;2773;886;112;662;365;130;8;593;9;6;2
Middelie;G0421;10452;Noord-Holland;P27;332;328;3;;325;228;3;8;74;9;3;;;;
Middelstum;G0027;11199;Groningen;P20;1593;1563;10;;1553;410;11;741;146;109;16;1;108;3;8
Midwolda;G0028;10356;Groningen;P20;2709;2634;50;;2584;940;5;711;184;574;127;18;2;3;20
Midwoud;G0422;10924;Noord-Holland;P27;707;688;7;;681;423;36;8;184;3;27;;;;
Mierlo;G0814;10215;Noord-Brabant;P30;3930;3931;93;;3838;416;3315;17;15;16;40;;1;3;15
Mijdrecht;G0336;11379;Utrecht;P26;3243;3143;33;;3110;465;1309;565;88;495;22;133;20;7;6
Mijnsheerenland;G0564;11112;Zuid-Holland;P28;1149;1100;5;;1095;289;5;359;153;195;;93;;;1
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;3426;3617;56;;3561;207;3226;38;22;25;29;7;1;4;2
Millingen aan de Rijn;G0265;10072;Gelderland;P25;2110;1951;60;;1891;321;1541;10;13;1;3;2;;;
Moergestel;G0816;11191;Noord-Brabant;P30;1711;1689;15;;1674;69;1590;5;4;3;1;;;1;1
Moerkapelle;G0560;11383;Zuid-Holland;P28;610;586;4;;582;160;4;192;27;76;;122;;1;
Molenaarsgraaf;G0561;10166;Zuid-Holland;P28;344;325;4;;321;54;2;111;33;25;;90;5;;1
Monnickendam;G0423;10983;Noord-Holland;P27;1742;1671;22;;1649;502;398;153;131;394;59;1;;5;6
Monster;G0562;10019;Zuid-Holland;P28;7586;7410;56;;7354;969;3718;920;306;606;22;672;79;42;20
Montfoort;G0335;10033;Utrecht;P26;1293;1264;19;;1245;109;872;78;20;94;5;66;;1;
Montfort;G0943;10266;Limburg;P31;1104;1099;57;;1042;94;927;5;4;1;6;;;1;4
Mook en Middelaar;G0944;10271;Limburg;P31;1375;1360;37;;1323;85;1154;13;48;12;2;;2;2;5
Moordrecht;G0563;10120;Zuid-Holland;P28;1898;1837;35;;1802;672;198;320;231;97;14;259;2;1;8
Muiden;G0424;10958;Noord-Holland;P27;2115;2066;27;;2039;678;424;312;125;414;47;31;4;1;3
Munstergeleen;G0945;10273;Limburg;P31;1184;1161;27;;1134;201;914;4;3;4;2;;;2;4
Muntendam;G0029;10550;Groningen;P20;2226;2139;65;;2074;1293;48;113;184;179;234;4;7;2;10
Naaldwijk;G0565;11418;Zuid-Holland;P28;9117;8905;52;;8853;1431;3215;1810;841;1325;22;159;13;23;14
Naarden;G0425;10187;Noord-Holland;P27;7651;7134;148;;6986;2082;1380;882;1801;455;132;100;18;103;33
Nederhorst den Berg;G0426;10715;Noord-Holland;P27;1441;1490;26;;1464;272;508;256;33;296;73;8;8;6;4
Nederweert;G0946;10681;Limburg;P31;4470;4442;40;;4402;126;4253;6;6;3;2;1;;1;4
Neede;G0266;10367;Gelderland;P25;4618;4529;55;;4474;2261;899;327;535;352;36;2;42;7;13
Neer;G0947;10682;Limburg;P31;1332;1319;18;;1301;18;1280;;2;;;;;;1
Nibbixwoud;G0427;10091;Noord-Holland;P27;894;880;2;;878;171;585;4;96;13;8;1;;;
Nieuw- en Sint Joosland;G1117;11340;Zeeland;P29;752;704;11;;693;223;5;103;61;211;2;85;1;1;1
Nieuw-Beijerland;G0566;10092;Zuid-Holland;P28;1051;951;3;;948;393;13;105;81;33;3;316;1;3;
Nieuwe Niedorp;G0428;10073;Noord-Holland;P27;1120;1079;16;;1063;586;256;16;137;5;61;;;;2
Nieuwe Pekela;G0030;10950;Groningen;P20;3175;2936;75;;2861;1099;218;543;225;404;330;22;3;5;12
Nieuwe Tonge;G1119;10502;Zuid-Holland;P28;1243;1158;19;;1139;480;5;229;75;39;5;302;3;1;
Nieuwenhagen;G0948;10088;Limburg;P31;3720;3625;124;;3501;1117;2241;16;7;14;86;;3;13;4
Nieuwenhoorn;G1121;10338;Zuid-Holland;P28;1106;1042;30;;1012;611;8;45;266;47;24;4;1;;6
Nieuwer-Amstel;G1249;10799;Noord-Holland;P27;16814;15882;267;;15615;4243;4295;2147;2486;1830;311;79;95;96;33
Nieuwerkerk;G1122;10911;Zeeland;P29;913;853;5;;848;236;11;176;88;113;2;221;;;1
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;2749;2617;36;;2581;944;217;333;300;426;30;315;9;3;4
Nieuweschans;G0031;10008;Groningen;P20;1183;1119;35;;1084;496;18;40;131;63;334;;1;1;
