RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;VVD;Christelijk-Historische Unie;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Nationale Unie (Algemeen Christelijk);Nederlandse Oppositie Unie
Boxtel;G0757;10083;Noord-Brabant;P30;7636;7435;132;;7303;921;6145;61;87;36;25;2;1;12;13
Brakel;G0212;11125;Gelderland;P25;2887;2578;63;;2515;874;13;372;50;257;11;925;6;;7
Brandwijk;G0500;10169;Zuid-Holland;P28;552;511;3;;508;81;1;190;75;48;1;108;2;;2
Breda;G0758;10154;Noord-Brabant;P30;55096;53662;1178;;52484;13948;32002;1428;2889;1186;456;99;51;283;142
Breskens;G0655;10233;Zeeland;P29;2222;2070;58;;2012;1063;192;109;251;340;31;19;2;4;1
Breukelen;G0311;10807;Utrecht;P26;3267;3159;40;;3119;591;732;525;297;637;28;223;73;9;4
Brielle;G0501;10232;Zuid-Holland;P28;2264;2157;32;;2125;980;192;211;363;322;33;8;;6;10
Broek in Waterland;G0380;10289;Noord-Holland;P27;1040;1013;16;;997;447;35;77;214;169;38;8;1;2;6
Broekhuizen;G0898;10856;Limburg;P31;592;587;1;;586;8;577;;;;;;;1;
Brouwershaven;G0656;10030;Zeeland;P29;744;749;10;;739;361;24;154;113;32;3;23;25;;4
Bruinisse;G0657;11291;Zeeland;P29;1449;1352;29;;1323;413;13;162;223;196;3;311;;;2
Brummen;G0213;10798;Gelderland;P25;7484;7376;116;;7260;4077;565;425;849;1159;92;43;13;14;23
Brunssum;G0899;10533;Limburg;P31;11418;11210;254;;10956;3253;6811;271;47;188;313;10;40;8;15
Budel;G0759;10219;Noord-Brabant;P30;3554;3470;37;;3433;217;3144;19;18;18;8;2;3;3;1
Bunde;G0900;10831;Limburg;P31;1172;1168;14;;1154;110;1030;2;6;1;3;;;;2
Bunnik;G0312;10820;Utrecht;P26;1631;1589;15;;1574;298;811;123;65;213;2;54;2;6;
Bunschoten;G0313;11343;Utrecht;P26;3958;3844;53;;3791;289;16;2031;15;77;3;98;1248;8;6
Buren;G0214;11286;Gelderland;P25;1243;1197;15;;1182;565;58;93;103;281;8;63;;1;10
Burgh;G1035;11000;Zeeland;P29;453;447;6;;441;200;5;45;78;97;1;14;;1;
Bussum;G0381;10281;Noord-Holland;P27;22291;21031;445;;20586;5818;5819;2308;3735;1516;745;270;81;235;59
Buurmalsen;G0215;10460;Gelderland;P25;1323;1248;24;;1224;524;49;137;85;287;2;134;3;1;2
Cadier en Keer;G0901;11447;Limburg;P31;745;729;16;;713;36;656;1;4;;4;;;8;4
Cadzand;G0658;11002;Zeeland;P29;615;645;14;;631;315;24;33;128;116;3;9;1;1;1
Callantsoog;G0382;10559;Noord-Holland;P27;730;734;10;;724;351;108;40;148;28;45;2;;1;1
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;5066;4681;103;;4578;1867;85;482;374;740;62;832;115;12;9
Castricum;G0383;11287;Noord-Holland;P27;6302;5852;61;;5791;1669;2971;302;459;123;240;7;9;7;4
Chaam;G0760;11433;Noord-Brabant;P30;1321;1306;15;;1291;68;1166;12;3;39;2;;;;1
Clinge;G0659;10965;Zeeland;P29;1759;1698;50;;1648;263;1354;4;3;3;7;2;2;2;8
Coevorden;G0109;10383;Drenthe;P22;5014;4818;84;;4734;1800;1192;600;485;597;27;6;11;11;5
Cothen;G0314;11316;Utrecht;P26;625;623;1;;622;31;493;12;12;54;;17;;2;1
Cuijk en Sint Agatha;G0761;10023;Noord-Brabant;P30;3275;3216;44;;3172;240;2858;11;42;12;4;;2;1;2
Culemborg;G0216;10342;Gelderland;P25;6918;6755;92;;6663;2536;2529;320;555;314;190;172;30;10;7
Dalen;G0110;11004;Drenthe;P22;2467;2346;84;;2262;1017;256;110;687;166;14;4;2;2;4
Dalfsen;G0148;11007;Overijssel;P23;5142;5020;41;;4979;681;1533;355;186;1878;5;59;266;8;8
Dantumadeel;G0065;10650;Fryslân;P21;8458;7959;132;;7827;2180;81;2555;394;1606;159;577;244;18;13
De Bilt;G0310;10168;Utrecht;P26;12864;12236;234;;12002;3559;2224;1822;2531;1214;118;299;63;125;47
De Lier;G0552;10241;Zuid-Holland;P28;2243;2223;17;;2206;202;356;761;128;690;4;34;23;3;5
De Rijp;G0440;11417;Noord-Holland;P27;871;851;4;;847;315;415;7;54;6;45;5;;;
De Wijk;G0135;10753;Drenthe;P22;2262;2185;59;;2126;830;17;397;564;272;18;4;14;6;4
Deil;G0217;10057;Gelderland;P25;1440;1377;21;;1356;537;236;77;84;330;14;57;1;2;18
Delft;G0503;10928;Zuid-Holland;P28;40175;37875;725;;37150;13897;10677;3690;2952;2445;2006;1036;134;168;145
Delfzijl;G0010;10976;Groningen;P20;7402;6699;241;;6458;2925;182;913;928;646;765;17;56;7;19
Den Bommel;G1024;10293;Zuid-Holland;P28;1107;1043;10;;1033;214;257;202;52;187;4;117;;;
Den Dungen;G0768;10491;Noord-Brabant;P30;1334;1300;6;;1294;52;1236;;4;;;;;;2
Den Ham;G0159;10395;Overijssel;P23;5154;5016;89;;4927;1096;360;1289;137;1772;108;34;127;1;3
Den Helder;G0400;10285;Noord-Holland;P27;24661;23289;406;;22883;11265;3539;3174;2803;1108;463;160;173;135;63
Denekamp;G0149;10245;Overijssel;P23;4355;4286;44;;4242;306;3569;68;34;223;27;1;6;6;2
Deurne;G0762;10379;Noord-Brabant;P30;8476;8197;113;;8084;303;7520;21;22;164;12;2;4;19;17
Deventer;G0150;10899;Overijssel;P23;31225;29592;517;;29075;13590;5741;1536;3270;1439;3075;112;66;116;130
Didam;G0218;10153;Gelderland;P25;4398;4339;61;;4278;258;3928;23;12;43;5;2;;2;5
Diemen;G0384;11039;Noord-Holland;P27;3660;3482;85;;3397;1073;959;373;352;404;178;22;6;21;9
Diepenheim;G0151;10311;Overijssel;P23;1345;1285;36;;1249;698;110;43;248;118;11;6;4;1;10
Diepenveen;G0152;10933;Overijssel;P23;5037;4865;59;;4806;1435;1568;199;895;608;43;11;6;13;28
Diessen;G0763;11185;Noord-Brabant;P30;1082;1075;2;;1073;25;1035;6;;7;;;;;
Diever;G0111;10418;Drenthe;P22;1770;1737;40;;1697;817;44;349;392;72;5;1;9;5;3
Dinteloord en Prinsenland;G0764;11193;Noord-Brabant;P30;2529;2396;27;;2369;457;928;285;103;369;13;207;;2;5
Dinther;G1044;10690;Noord-Brabant;P30;1317;1292;4;;1288;34;1231;1;1;20;1;;;;
Dinxperlo;G0219;11154;Gelderland;P25;2574;2508;91;;2417;551;467;361;109;916;5;5;;;3
