RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Vrijzinnig-Democratische Bond (VDB);Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij (LSP);Communistische Partij van Nederland;Christelijk-Democratische Unie;Staatkundig Gereformeerde Partij (SGP);Revolutionair Socialistische Arbeiderspartij;Katholiek Democratische Partij;HGSP;Actie-Bouwman;Christelijk Nationale Actie;Algemeen Belang;Zwart Front;Plattelandersbond;VNH;Nationaal Socialistische Arbeiderspartij
Wageningen;G0289;11010;Gelderland;P25;7475;7068;99;159;6810;1132;1818;1043;982;359;236;405;298;45;310;9;5;7;2;128;9;;10;11;1
Wamel;G0290;10042;Gelderland;P25;3149;2939;12;15;2912;2205;40;10;141;6;17;;5;1;10;3;2;;459;;;;11;2;
Wanneperveen;G0187;10105;Overijssel;P23;842;793;2;20;771;5;67;175;278;85;12;21;1;90;26;;;1;;9;1;;;;
Wanroij;G0868;10265;Noord-Brabant;P30;731;710;3;4;703;661;1;;;;2;;;;;;;;38;;;1;;;
Wanssum;G0987;10991;Limburg;P31;452;431;1;0;430;417;;1;1;;2;;;;1;;1;;6;;;;;1;
Warder;G0455;11073;Noord-Holland;P27;312;297;1;0;296;2;65;21;3;121;41;3;5;3;;;;;;;7;;25;;
Warffum;G0049;10498;Groningen;P20;1336;1264;12;11;1241;1;384;368;25;94;25;95;6;234;;;;;;;8;;;1;
Warmenhuizen;G0456;10221;Noord-Holland;P27;1126;1076;7;4;1065;642;95;82;;163;6;2;61;1;3;4;4;;;;1;;1;;
Warmond;G0628;10204;Zuid-Holland;P28;1451;1377;8;11;1358;903;99;120;128;19;28;25;4;3;8;;1;10;;4;2;1;1;2;
Warnsveld;G0291;10838;Gelderland;P25;2727;2217;25;47;2145;249;501;510;397;121;110;190;9;18;6;7;1;1;2;1;2;2;2;16;
Waspik;G0869;10402;Noord-Brabant;P30;1751;1457;15;8;1434;1137;46;150;50;7;10;1;1;;8;;9;2;1;7;;5;;;
Wassenaar;G0629;10164;Zuid-Holland;P28;8838;8333;74;90;8169;2644;703;1470;741;509;572;1228;46;27;47;8;9;54;;2;5;6;4;94;
Wateringen;G0630;11329;Zuid-Holland;P28;2126;2076;11;15;2050;1506;63;126;207;21;49;7;4;2;6;;4;49;;2;;;4;;
Waterlandkerkje;G0722;10352;Zeeland;P29;268;247;3;6;238;89;11;46;16;26;11;18;2;2;15;;;1;;;1;;;;
Wedde;G1220;10247;Groningen;P20;2106;1952;48;29;1875;10;705;179;98;211;202;98;144;215;1;;;5;;1;4;;2;;
Weerselo;G0188;10893;Overijssel;P23;3293;3184;17;18;3149;2854;49;35;27;33;21;8;9;8;;1;56;;44;;4;;;;
Weert;G0988;11081;Limburg;P31;6830;6579;59;108;6412;5939;54;32;20;14;202;9;4;2;4;5;8;4;88;;10;5;3;8;1
Weesp;G0457;10773;Noord-Holland;P27;3908;3738;109;54;3575;629;911;677;649;117;107;104;104;44;18;13;8;170;;6;12;2;3;1;
Weesperkarspel;G1221;10377;Noord-Holland;P27;1738;1670;13;32;1625;503;219;321;374;36;33;15;25;19;24;9;4;17;;21;2;;2;;1
Wehl;G0292;11116;Gelderland;P25;1483;1427;21;13;1393;1002;16;11;32;5;28;2;;;1;1;;;292;1;;;1;1;
Wemeldinge;G0723;11145;Zeeland;P29;1385;1222;15;14;1193;14;126;460;287;104;11;66;8;16;73;1;1;3;;;22;;1;;
Werkendam;G0870;10078;Noord-Brabant;P30;1810;1433;21;15;1397;21;242;445;302;29;61;42;17;;208;5;1;1;2;15;2;3;1;;
Werkhoven;G1223;11299;Utrecht;P26;491;468;3;1;464;325;3;27;63;2;3;;;1;32;;;;;8;;;;;
Wervershoof;G0459;11270;Noord-Holland;P27;1600;1563;4;6;1553;1448;29;12;;38;3;4;6;1;3;;8;1;;;;;;;
Wessem;G0989;10127;Limburg;P31;558;530;5;6;519;494;;6;;;7;;1;;;;;;9;;;;;2;
Westbroek;G1224;10145;Utrecht;P26;598;571;8;9;554;64;59;153;184;4;23;2;3;3;46;1;;;;12;;;;;
Westdongeradeel;G0097;10129;Fryslân;P21;4151;3911;46;28;3837;23;511;1376;1047;314;26;221;22;239;18;23;;1;;1;9;;6;;
Westdorpe;G0724;10915;Zeeland;P29;1089;1042;31;44;967;662;174;24;10;24;34;18;3;;3;3;2;2;;1;1;1;5;;
Westerbork;G0134;11095;Drenthe;P22;2380;2305;22;47;2236;20;673;472;111;399;257;188;9;65;7;4;2;6;1;7;5;;10;;
Westerhoven;G0871;11041;Noord-Brabant;P30;379;373;3;2;368;358;1;;;1;1;;;;;;;;7;;;;;;
Westervoort;G0293;11085;Gelderland;P25;1173;1104;16;11;1077;616;79;86;119;7;12;3;1;1;2;;2;;126;;;;18;;
Westkapelle;G0726;10931;Zeeland;P29;1349;1203;19;22;1162;1;293;251;183;166;11;36;8;2;192;2;;3;;;7;;5;2;
Westmaas;G0631;10695;Zuid-Holland;P28;493;473;6;5;462;1;44;191;116;13;27;38;;1;23;;;;;2;;;5;1;
Weststellingwerf;G0098;11322;Fryslân;P21;10371;9639;150;198;9291;877;2979;1061;928;1525;115;150;488;809;16;239;16;27;;3;40;3;15;;
Westwoud;G0460;11101;Noord-Holland;P27;647;614;6;3;605;359;53;21;10;68;4;37;3;1;;1;2;;;;40;;4;;
Westzaan;G0461;11381;Noord-Holland;P27;1663;1526;31;25;1470;27;507;254;24;244;25;32;169;76;50;;;;;;;;;;
Wierden;G0189;10676;Overijssel;P23;6025;5752;57;62;5633;1536;478;1114;1259;140;93;57;39;227;240;7;17;9;2;350;60;;4;;1
Wieringen;G0462;11277;Noord-Holland;P27;3719;3469;73;80;3316;306;1092;507;117;937;61;20;190;28;7;7;;13;;3;19;5;;4;
Wieringerwaard;G0464;11164;Noord-Holland;P27;710;669;1;12;656;13;234;43;;229;48;52;21;4;2;3;;;;2;4;;1;;
Wijchen;G0296;10723;Gelderland;P25;3211;3159;33;41;3085;2601;21;16;24;5;12;3;;1;;;1;1;228;;1;169;3;;
Wijdenes;G0469;10631;Noord-Holland;P27;546;527;5;9;513;9;150;36;2;208;25;43;4;3;2;;;;;;;;;;
Wijdewormer;G0470;10434;Noord-Holland;P27;394;368;0;1;367;114;26;52;19;88;30;4;13;3;3;8;;;;;3;;5;1;
Wijhe;G0190;10888;Overijssel;P23;2699;2569;28;25;2516;637;498;429;405;234;110;101;4;46;22;10;3;2;4;;3;2;6;;
Wijk bij Duurstede;G0352;10760;Utrecht;P26;1798;1710;8;36;1666;936;159;159;193;41;59;57;9;7;24;1;16;2;;;1;;2;;
Wijk en Aalburg;G0876;11084;Noord-Brabant;P30;1358;1136;25;30;1081;6;60;259;47;39;113;4;2;3;421;4;1;58;;6;36;13;9;;
Wijlre;G0991;10131;Limburg;P31;1094;1060;17;28;1015;968;7;1;;1;30;;;;;;1;;3;;;3;;1;
Wijnandsrade;G0992;10992;Limburg;P31;324;304;2;4;298;287;2;1;;;6;;;;;;1;;;;;;1;;
Wijngaarden;G0634;10263;Zuid-Holland;P28;200;183;3;3;177;;1;86;2;;5;;;;66;;;;;17;;;;;
Wildervank;G1225;10825;Groningen;P20;5787;5212;58;82;5072;167;1848;951;336;485;466;147;77;511;6;28;2;5;;1;26;;16;;
Willemstad;G0872;10827;Noord-Brabant;P30;1055;964;8;15;941;70;110;256;351;31;15;39;1;1;29;;1;26;;1;8;1;;;1
Willeskop;G0349;10758;Utrecht;P26;413;394;4;3;387;196;26;39;56;1;31;6;1;;21;;;5;;4;1;;;;
Willige Langerak;G1226;10368;Utrecht;P26;526;485;1;10;474;163;19;138;28;17;13;12;2;;46;;1;;;33;;1;;1;
Wilnis;G0350;10365;Utrecht;P26;1172;1079;5;8;1066;426;9;337;138;11;30;7;4;3;64;2;11;1;;22;;;1;;
Winkel;G0465;10923;Noord-Holland;P27;1101;1043;7;16;1020;22;439;51;6;310;48;51;32;32;;16;2;;;1;7;;3;;
Winschoten;G0052;10453;Groningen;P20;7816;7416;122;126;7168;232;2613;1194;330;1183;330;249;541;409;8;2;4;12;;9;40;2;4;6;
Winsum;G0053;11135;Groningen;P20;1560;1514;1;7;1506;2;275;702;83;185;21;122;7;100;;1;;1;;;7;;;;
Winterswijk;G0294;11119;Gelderland;P25;10206;9835;122;202;9511;1069;2406;1120;257;1641;1222;1187;113;359;7;17;67;8;8;6;4;2;15;3;
Wisch;G0295;10318;Gelderland;P25;5642;5383;85;100;5198;1549;432;903;523;609;356;234;9;380;9;4;17;69;35;3;1;2;55;8;
Wissenkerke;G1253;10243;Zeeland;P29;1993;1803;14;43;1746;5;56;783;494;147;17;89;3;1;130;1;1;7;;1;4;2;4;1;
Wittem;G0990;11371;Limburg;P31;2215;2126;44;57;2025;1832;13;4;3;3;152;;3;;;;3;1;3;;1;3;4;;
Woensdrecht;G0873;10602;Noord-Brabant;P30;1975;1880;61;71;1748;1546;38;27;8;11;55;5;12;;;1;25;;1;1;8;7;2;;1
Woerden;G0632;10974;Zuid-Holland;P28;4356;4160;32;45;4083;1190;385;756;966;157;148;94;21;35;191;3;6;11;;103;7;2;5;3;
Wognum;G0466;10818;Noord-Holland;P27;1064;1030;6;6;1018;712;57;20;8;163;16;18;3;3;;;;;;;;;;;
Wolphaartsdijk;G0728;10543;Zeeland;P29;1406;1292;24;7;1261;30;41;284;526;41;90;55;1;;175;4;;;;2;9;2;1;;
Wonseradeel;G0099;10454;Fryslân;P21;6972;6588;109;101;6378;538;1050;1748;1768;549;119;275;58;146;23;36;3;29;;2;26;2;6;;
Workum;G0100;10768;Fryslân;P21;2062;1959;19;16;1924;431;95;357;574;120;38;31;10;219;2;2;4;35;;;3;3;;;
Wormer;G0467;10648;Noord-Holland;P27;2473;2378;13;31;2334;668;626;312;45;351;24;23;169;64;6;16;18;2;;;2;;5;1;
Wormerveer;G0468;10361;Noord-Holland;P27;5353;5143;44;104;4995;618;1872;666;42;665;86;116;580;139;3;144;39;1;;2;5;1;2;14;
Woubrugge;G0633;10461;Zuid-Holland;P28;1196;1138;3;11;1124;453;61;248;192;20;48;29;5;2;39;;;5;;20;2;;;;
Woudenberg;G0351;11398;Utrecht;P26;1900;1731;26;37;1668;24;313;586;190;61;137;56;6;10;208;2;;13;;35;26;;;1;
Woudrichem;G0874;10282;Noord-Brabant;P30;1102;952;18;16;918;5;271;320;108;80;21;27;3;1;24;32;2;3;;3;1;17;;;
Wouw;G0875;10808;Noord-Brabant;P30;2453;2349;34;106;2209;1884;81;22;4;16;72;17;8;1;;1;82;2;2;1;2;13;1;;
Wymbritseradeel;G0101;11427;Fryslân;P21;6031;5721;45;38;5638;695;284;1509;2577;168;34;118;9;191;5;3;;33;;2;7;;3;;
Yerseke;G0729;11247;Zeeland;P29;2373;2140;27;56;2057;76;280;470;423;280;64;16;11;8;384;3;1;21;;1;17;;2;;
Zaamslag;G0731;11173;Zeeland;P29;1992;1870;26;37;1807;31;177;723;501;58;40;128;4;19;95;2;1;11;;;12;1;4;;
Zaandam;G0471;11044;Noord-Holland;P27;20094;19220;174;286;18760;2293;6804;3371;535;1935;392;384;1523;496;140;714;97;6;;20;23;11;5;12;
Zaandijk;G0472;11404;Noord-Holland;P27;2060;1973;39;33;1901;97;764;312;47;213;45;85;206;69;2;;;;;;;;;;
Zaltbommel;G0297;10557;Gelderland;P25;2353;2214;38;42;2134;377;719;337;144;262;41;147;7;33;33;4;;1;4;;2;;23;;
Zandvoort;G0473;10910;Noord-Holland;P27;4968;4790;83;72;4635;611;1536;661;412;320;660;165;137;62;4;;;;;;;;;;
Zeeland;G0877;10759;Noord-Brabant;P30;1221;1176;1;0;1175;1128;3;;;2;;;1;;;;;;37;;2;;;2;
Zegveld;G0354;10949;Utrecht;P26;569;533;3;1;529;108;6;188;140;1;16;2;1;2;13;;;;;52;;;;;
Zeist;G0355;10324;Utrecht;P26;16716;16047;193;388;15466;1870;3144;4685;1582;910;891;1035;122;219;542;28;16;76;;271;13;4;7;51;
Zelhem;G0298;11159;Gelderland;P25;3229;3072;29;102;2941;301;196;1013;439;331;321;64;3;54;148;2;2;1;22;1;;3;39;1;
Zevenaar;G0299;10938;Gelderland;P25;3365;3307;34;39;3234;1955;171;90;64;57;55;11;6;1;4;1;1;8;788;1;1;2;18;2;
Zevenbergen;G0878;10046;Noord-Brabant;P30;4262;4066;27;40;3999;2886;116;269;490;27;31;47;5;2;13;2;93;4;3;;6;2;1;;2
Zevenhoven;G0635;11317;Zuid-Holland;P28;514;501;6;2;493;268;17;72;60;4;37;8;;2;20;;;;;;2;1;2;;
Zevenhuizen;G0636;11377;Zuid-Holland;P28;1455;1341;17;19;1305;28;344;226;155;58;79;162;6;5;131;;1;83;;23;3;;1;;
Zierikzee;G0732;10843;Zeeland;P29;3954;3617;68;92;3457;418;618;820;366;524;136;395;9;11;130;7;;1;;6;7;;5;4;
Zijpe;G0476;10004;Noord-Holland;P27;2950;2788;20;25;2743;690;765;105;29;905;60;31;96;30;6;3;4;1;;5;7;;3;3;
Zoelen;G0300;10897;Gelderland;P25;1336;1230;32;48;1150;9;376;226;44;58;47;179;1;100;21;;1;1;11;2;1;2;44;27;
Zoetermeer;G0637;10766;Zuid-Holland;P28;2336;2173;11;18;2144;692;157;349;194;38;56;102;11;3;233;1;2;217;;40;41;4;3;1;
Zoeterwoude;G0638;11074;Zuid-Holland;P28;2058;1945;15;17;1913;1356;31;141;217;43;65;18;9;3;13;3;1;10;;1;;1;1;;
Zonnemaire;G1236;10040;Zeeland;P29;529;497;8;12;477;4;145;143;51;50;15;60;1;;7;;;;;;;;1;;
Zoutelande;G1237;10779;Zeeland;P29;482;440;5;1;434;2;11;136;136;23;24;16;2;;76;;;2;;;4;;1;1;
Zuid- en Noord-Schermer;G0474;11311;Noord-Holland;P27;527;499;6;5;488;38;171;39;9;99;62;19;4;15;12;4;3;2;;;9;;2;;
Zuid-Beijerland;G0639;10917;Zuid-Holland;P28;1365;1286;7;15;1264;2;214;378;253;44;29;94;1;1;224;2;1;;;8;3;2;5;3;
Zuidbroek;G1240;11282;Groningen;P20;1565;1410;24;29;1357;15;614;183;7;239;98;36;70;64;2;4;;2;;;20;;2;1;
Zuiddorpe;G0734;11087;Zeeland;P29;497;477;22;9;446;390;20;4;2;9;16;1;;;2;;;1;;1;;;;;
Zuidhorn;G0056;10021;Groningen;P20;1958;1844;20;21;1803;25;398;651;111;246;64;170;8;86;2;1;2;6;;;30;;2;1;
Zuidland;G0640;10316;Zuid-Holland;P28;1026;984;14;5;965;1;62;577;106;40;64;77;7;1;28;;;;;;;;2;;
Zuidlaren;G0136;10002;Drenthe;P22;2267;2182;24;35;2123;11;474;566;50;542;204;101;27;113;1;2;5;3;1;1;13;;6;;3
Zuid-Scharwoude;G1238;10159;Noord-Holland;P27;940;895;8;10;877;373;159;38;9;194;18;14;32;13;1;8;9;1;;;7;1;;;
Zuidwolde;G0137;10262;Drenthe;P22;2804;2668;48;69;2551;31;373;854;418;489;188;95;6;41;7;;1;5;2;5;4;;31;;1
Zuidzande;G0735;10437;Zeeland;P29;579;531;4;21;506;9;137;133;11;93;24;82;3;2;9;1;1;;;;;;1;;
Zuilen;G1242;10059;Utrecht;P26;8793;8516;138;217;8161;1909;3163;1383;479;201;287;78;218;107;116;29;152;7;;20;3;7;;2;
Zuilichem;G1243;11036;Gelderland;P25;559;493;7;19;467;3;116;158;14;8;2;2;;1;144;;1;1;;;1;1;15;;
Zundert;G0879;11192;Noord-Brabant;P30;3316;3180;72;211;2897;2380;99;69;19;64;199;10;10;3;4;2;13;5;4;;5;5;3;;3
Zutphen;G0301;10254;Gelderland;P25;11737;11130;183;233;10714;1196;4146;1503;826;831;517;880;369;125;31;202;30;5;1;7;14;3;11;16;1
Zwaag;G0475;10218;Noord-Holland;P27;950;874;15;3;856;572;51;22;2;131;30;30;6;5;;;;;;;;;;;
Zwammerdam;G1244;10675;Zuid-Holland;P28;1279;1188;6;20;1162;302;70;287;207;20;64;51;6;8;78;2;1;19;;36;3;2;3;3;
Zwartewaal;G0641;10703;Zuid-Holland;P28;313;318;0;4;314;1;78;90;16;75;7;35;4;;6;;;1;;1;;;;;
Zwartsluis;G0192;10303;Overijssel;P23;1830;1576;7;19;1550;7;78;885;209;24;51;111;10;133;30;;;;;10;2;;;;
Zweeloo;G0138;10872;Drenthe;P22;1072;1024;13;15;996;3;150;244;38;200;122;204;3;22;3;;3;;;;1;;3;;
Zwijndrecht;G0642;10468;Zuid-Holland;P28;5978;5609;74;99;5436;217;1053;1931;1084;94;181;165;30;34;415;89;15;37;;76;6;3;2;4;
Zwolle;G0193;10093;Overijssel;P23;24113;22468;251;480;21737;3701;6533;3780;2229;1814;646;705;538;929;226;108;344;23;2;40;38;3;10;56;12
Zwollerkerspel;G1245;10654;Overijssel;P23;4518;4223;39;79;4105;591;523;1107;1042;223;75;187;20;123;165;8;7;5;;16;3;;3;7;
