RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Vrijzinnig-Democratische Bond (VDB);Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij (LSP);Communistische Partij van Nederland;Christelijk-Democratische Unie;Staatkundig Gereformeerde Partij (SGP);Revolutionair Socialistische Arbeiderspartij;Katholiek Democratische Partij;HGSP;Actie-Bouwman;Christelijk Nationale Actie;Algemeen Belang;Zwart Front;Plattelandersbond;VNH;Nationaal Socialistische Arbeiderspartij
Sluis;G0713;10895;Zeeland;P29;1202;1143;16;50;1077;556;118;131;59;103;37;52;4;;2;7;1;1;;;4;1;1;;
Smallingerland;G0090;10405;Fryslân;P21;8644;8229;131;92;8006;79;2076;2795;548;949;114;79;413;811;13;34;4;2;;5;22;3;59;;
Smilde;G0131;11033;Drenthe;P22;2902;2753;37;52;2664;9;344;849;594;350;137;40;49;258;2;3;2;1;;7;5;;13;1;
Sneek;G0091;11421;Fryslân;P21;8948;8420;122;175;8123;1090;1794;1827;1270;922;156;241;359;379;24;17;4;15;;5;16;;3;1;
Snelrewaard;G0341;10802;Utrecht;P26;275;258;0;4;254;144;2;40;23;3;9;3;;;25;;;;;3;;;2;;
Soest;G0342;11021;Utrecht;P26;9351;8961;185;242;8534;2261;1198;2031;537;531;610;584;117;120;126;20;253;25;;90;11;4;;16;
Someren;G0847;10203;Noord-Brabant;P30;2843;2801;8;9;2784;2607;2;4;43;1;5;3;4;2;;1;2;;105;;4;;;1;
Sommelsdijk;G1184;11097;Zuid-Holland;P28;1936;1737;14;68;1655;24;274;446;16;61;22;220;18;7;399;1;1;8;;133;4;20;1;;
Son en Breugel;G0848;10549;Noord-Brabant;P30;1476;1413;15;6;1392;1303;25;9;;2;11;;2;;;;15;;19;;;5;1;;
Spanbroek;G1186;10063;Noord-Holland;P27;838;817;2;3;812;661;41;7;2;81;7;11;;2;;;;;;;;;;;
Spaubeek;G0970;10552;Limburg;P31;654;642;14;10;618;595;2;1;;4;15;;;;;;1;;;;;;;;
Spijkenisse;G0612;10735;Zuid-Holland;P28;1319;1243;20;30;1193;6;330;329;236;27;19;115;33;27;39;;1;8;;;4;;;;
Sprang;G1187;10659;Noord-Brabant;P30;2771;2521;46;19;2456;106;263;644;433;79;28;35;26;5;179;2;1;5;6;583;34;2;24;1;
Stad aan 't Haringvliet;G1188;11239;Zuid-Holland;P28;649;582;0;13;569;3;64;227;35;8;1;128;5;3;83;;;8;;;1;2;1;;
Stad Delden;G0179;10913;Overijssel;P23;1638;1583;29;28;1526;868;199;138;77;118;39;61;7;4;;;10;1;;;1;;2;1;
Stad Hardenberg;G1191;11169;Overijssel;P23;1459;1408;11;5;1392;8;200;578;239;138;59;105;6;36;;2;;15;;1;2;;1;2;
Stad Vollenhove;G1193;11183;Overijssel;P23;805;767;8;13;746;132;79;105;215;26;7;104;3;60;8;3;1;;;2;;;1;;
Standdaarbuiten;G0850;11212;Noord-Brabant;P30;904;862;8;5;849;781;10;16;32;;2;1;;1;;1;4;;;;1;;;;
Staphorst;G0180;11362;Overijssel;P23;3866;3627;41;45;3541;15;178;1636;190;335;126;82;15;35;744;4;;2;2;163;;;12;;2
Stavenisse;G0714;10619;Zeeland;P29;1044;637;4;40;593;1;38;68;50;24;20;11;3;1;357;3;1;1;;6;2;;6;1;
Staveren;G1257;10240;Fryslân;P21;543;516;7;1;508;6;73;151;190;59;3;6;;18;;;;1;;;;;1;;
Stedum;G0041;10771;Groningen;P20;1235;1202;7;6;1189;1;133;514;221;50;58;47;12;143;1;1;;3;;1;4;;;;
Steenbergen;G1376;10731;Noord-Brabant;P30;4836;4628;78;120;4430;3647;83;136;77;42;151;47;9;4;15;5;59;;5;1;14;130;3;2;
Steenderen;G0280;10497;Gelderland;P25;1945;1874;14;26;1834;758;186;350;261;78;62;93;2;;6;1;2;;26;;2;;7;;
Steenwijk;G0181;10546;Overijssel;P23;4112;3996;62;81;3853;165;1043;675;667;262;148;179;68;478;11;1;;126;1;2;20;2;3;2;
Steenwijkerwold;G0182;11347;Overijssel;P23;3533;3326;39;47;3240;527;668;502;731;253;101;112;14;205;17;9;13;75;1;4;2;;5;;1
Stein;G0971;11319;Limburg;P31;1868;1797;34;88;1675;1519;39;7;21;;59;;21;;1;3;1;1;;;2;;;1;
Stellendam;G1195;10087;Zuid-Holland;P28;955;878;21;42;815;8;77;266;18;19;25;70;17;2;73;1;1;2;;236;2;;;;
Stevensweert;G0972;11203;Limburg;P31;556;541;3;11;527;461;14;5;5;2;22;1;9;;;;;;1;;;1;;;
Stiphout;G1196;11386;Noord-Brabant;P30;520;506;1;11;494;469;3;3;1;4;7;;2;;;;1;;3;;;1;;;
Stolwijk;G0615;11250;Zuid-Holland;P28;1522;1371;33;61;1277;9;229;317;21;240;42;164;18;4;195;1;7;1;;13;6;;10;;
Stompwijk;G1197;10742;Zuid-Holland;P28;2559;2440;16;16;2408;1483;239;220;170;43;92;32;9;5;15;6;31;48;;1;4;3;4;3;
Stoutenburg;G0343;10438;Utrecht;P26;710;667;1;6;660;436;16;63;43;4;7;3;2;8;14;;3;;;61;;;;;
Stramproy;G0973;11186;Limburg;P31;717;692;3;1;688;676;;3;1;;;;;4;;;2;;2;;;;;;
Streefkerk;G0616;11105;Zuid-Holland;P28;977;851;10;13;828;6;115;309;86;53;15;49;1;1;162;;;;;;;;;;
