Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;4080
Alkmaar;KD34;AantalStembriefjes;;2148
Alkmaar;KD34;Opkomst;;2147
Alkmaar;KD34;AantalGeldigeStemmen;;2139
Alkmaar;KD34;AantalBlancoStemmen;;7
Alkmaar;KD34;;mr. W.van der Kaay;1305
Alkmaar;KD34;;W. Bos;630
Alkmaar;KD34;;mr. S.baron van Heemstra 2;192
Almelo;KD15;Kiesgerechtigden;;2408
Almelo;KD15;AantalStembriefjes;;2087
Almelo;KD15;Opkomst;;2086
Almelo;KD15;AantalGeldigeStemmen;;2074
Almelo;KD15;AantalBlancoStemmen;;8
Almelo;KD15;;H.A. Insinger;1018
Almelo;KD15;;mr. A.van Laer;882
Almelo;KD15;;J.van Alphen;173
Amersfoort;KD26;Kiesgerechtigden;;3239
Amersfoort;KD26;AantalStembriefjes;;1467
Amersfoort;KD26;Opkomst;;1466
Amersfoort;KD26;AantalGeldigeStemmen;;1401
Amersfoort;KD26;AantalBlancoStemmen;;62
Amersfoort;KD26;;mr. Æ.baron van Mackay 2;1101
Amersfoort;KD26;;K.W.van Gorkom;232
Amsterdam;KD72;AantalGeldigeStemmen;;8633
Amsterdam;KD72;Kiesgerechtigden;;4993
Amsterdam;KD72;Opkomst;;2261
Amsterdam;KD72;AantalStembriefjes;;2261
Amsterdam;KD72;AantalBlancoStemmen;;403
Amsterdam;KD72;;mr. J.P.R. Tak van Poortvliet;1478
Amsterdam;KD72;;P.H. Holtzman;1355
Amsterdam;KD72;;jhr. H.O. Wichers;1255
Amsterdam;KD72;;mr. H.J. Kist;1173
Amsterdam;KD72;;H.W.van Marle;640
Amsterdam;KD72;;jhr.mr. K.A. Godin de Beaufort;638
Amsterdam;KD72;;mr. I.A. Levy;507
Amsterdam;KD72;;B.R.F.van Vlijmen;400
Amsterdam;KD72;;mr. A.H.M.van Berckel;362
Amsterdam;KD72;;mr. D.P.D. Fabius;245
Amsterdam;KD72;;jhr.mr. J.W.H. Rutgers van Rozenburg;193
Amsterdam;KD72;;B.H. Heldt;183
Amsterdam;KD72;;mr. M.J.van Lennep;120
Appingedam;KD3;Kiesgerechtigden;;3379
Appingedam;KD3;Opkomst;;1301
Appingedam;KD3;AantalStembriefjes;;1301
Appingedam;KD3;AantalGeldigeStemmen;;1284
Appingedam;KD3;AantalBlancoStemmen;;13
Appingedam;KD3;;J. Schepel;764
Appingedam;KD3;;mr. B.J. Gratama;477
Arnhem;KD17;Kiesgerechtigden;;3389
Arnhem;KD17;Opkomst;;2181
Arnhem;KD17;AantalStembriefjes;;2181
Arnhem;KD17;AantalGeldigeStemmen;;2159
Arnhem;KD17;AantalBlancoStemmen;;18
Arnhem;KD17;;P.W.van der Sleyden;1084
Arnhem;KD17;;jhr.mr. G.J.T. Beelaerts van Blokland;1069
Assen;KD5;Kiesgerechtigden;;2671
Assen;KD5;Opkomst;;1269
Assen;KD5;AantalStembriefjes;;1269
Assen;KD5;AantalGeldigeStemmen;;1262
Assen;KD5;AantalBlancoStemmen;;5
Assen;KD5;;mr. L. Oldenhuis Gratama;806
Assen;KD5;;jhr.mr. M.A.de Savornin Lohman;449
Boxmeer;KD75;Kiesgerechtigden;;2575
Boxmeer;KD75;Opkomst;;1295
Boxmeer;KD75;AantalStembriefjes;;1295
Boxmeer;KD75;AantalGeldigeStemmen;;1199
Boxmeer;KD75;AantalBlancoStemmen;;83
Boxmeer;KD75;;mr. J.H.L. Haffmans;1079
Boxmeer;KD75;;mr. A. Verheyen van Estvelt;44
Boxmeer;KD75;;H.C.F. Kerstens;41
Breda;KD61;Kiesgerechtigden;;3955
Breda;KD61;AantalStembriefjes;;1761
Breda;KD61;Opkomst;;1760
Breda;KD61;AantalGeldigeStemmen;;1713
Breda;KD61;AantalBlancoStemmen;;38
Breda;KD61;;dr. H.J.A.M. Schaepman;1657
Delft;KD45;Kiesgerechtigden;;3263
Delft;KD45;AantalStembriefjes;;2576
Delft;KD45;Opkomst;;2575
Delft;KD45;AantalGeldigeStemmen;;2558
Delft;KD45;AantalBlancoStemmen;;12
Delft;KD45;;J.C. Fabius;1675
Delft;KD45;;A.M. Schagen van Leeuwen;871
Deventer;KD14;Kiesgerechtigden;;3173
Deventer;KD14;Opkomst;;2111
Deventer;KD14;AantalStembriefjes;;2111
Deventer;KD14;AantalGeldigeStemmen;;2101
Deventer;KD14;AantalBlancoStemmen;;6
Deventer;KD14;;mr. A.van Delden;1234
Deventer;KD14;;mr. A.P.R.C.baron van Borch van Verwolde;859
Dokkum;KD8;Kiesgerechtigden;;2774
Dokkum;KD8;AantalStembriefjes;;1964
Dokkum;KD8;Opkomst;;1963
Dokkum;KD8;AantalGeldigeStemmen;;1946
Dokkum;KD8;AantalBlancoStemmen;;13
Dokkum;KD8;;jhr.mr. I.F.van Humalda van Eysinga;1008
Dokkum;KD8;;mr. B.J. Gratama;924
Dordrecht;KD42;Kiesgerechtigden;;2411
Dordrecht;KD42;Opkomst;;1324
Dordrecht;KD42;AantalStembriefjes;;1324
Dordrecht;KD42;AantalGeldigeStemmen;;1315
Dordrecht;KD42;AantalBlancoStemmen;;8
Dordrecht;KD42;;mr. G.M.van der Linden;677
Dordrecht;KD42;;I. Esser;622
Eindhoven;KD60;Kiesgerechtigden;;2558
Eindhoven;KD60;Opkomst;;1141
Eindhoven;KD60;AantalStembriefjes;;1141
Eindhoven;KD60;AantalGeldigeStemmen;;1128
Eindhoven;KD60;AantalBlancoStemmen;;12
Eindhoven;KD60;;mr. A.J.H.van Baar;1087
Goes;KD53;Kiesgerechtigden;;2717
Goes;KD53;Opkomst;;2003
Goes;KD53;AantalStembriefjes;;2003
Goes;KD53;AantalGeldigeStemmen;;1967
Goes;KD53;AantalBlancoStemmen;;33
Goes;KD53;;jhr.mr. J.J. Pompe van Meerdervoort;1358
Goes;KD53;;J.P. Bredius Jr.;588
Gorinchem;KD41;Kiesgerechtigden;;3761
Gorinchem;KD41;AantalStembriefjes;;2506
