Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;AantalGeldigeStemmen;;5316
Alkmaar;KD34;Kiesgerechtigden;;4034
Alkmaar;KD34;Opkomst;;2674
Alkmaar;KD34;AantalStembriefjes;;2674
Alkmaar;KD34;AantalBlancoStemmen;;24
Alkmaar;KD34;;mr. W.van der Kaay;1568
Alkmaar;KD34;;mr. J.L.de Bruyn Kops;1167
Alkmaar;KD34;;W. Bos;788
Alkmaar;KD34;;mr. J.A.N. Travaglino;755
Alkmaar;KD34;;mr. W.H.de Beaufort;410
Alkmaar;KD34;;jhr.mr. M.A.de Savornin Lohman;293
Alkmaar;KD34;;mr. B.J.L.baron van Geer van Jutphaas;279
Almelo;KD15;AantalGeldigeStemmen;;4372
Almelo;KD15;Kiesgerechtigden;;2494
Almelo;KD15;Opkomst;;2246
Almelo;KD15;AantalStembriefjes;;2246
Almelo;KD15;AantalBlancoStemmen;;106
Almelo;KD15;;mr. J.R. Corver Hooft;1093
Almelo;KD15;;mr. A.van Laer;1084
Almelo;KD15;;J.E. Stork;1018
Almelo;KD15;;mr. A.H.M.van Berckel;964
Almelo;KD15;;J.van Alphen;200
Amersfoort;KD26;AantalGeldigeStemmen;;4682
Amersfoort;KD26;Kiesgerechtigden;;3460
Amersfoort;KD26;AantalStembriefjes;;2360
Amersfoort;KD26;Opkomst;;2359
Amersfoort;KD26;AantalBlancoStemmen;;36
Amersfoort;KD26;;mr. Æ.baron van Mackay 2;1560
Amersfoort;KD26;;mr. W.K.F.P.graaf van Bylandt;1556
Amersfoort;KD26;;mr. W.H.de Beaufort;794
Amersfoort;KD26;;K.W.van Gorkom;760
Amsterdam;KD72;AantalGeldigeStemmen;;23580
Amsterdam;KD72;Kiesgerechtigden;;5595
Amsterdam;KD72;Opkomst;;3553
Amsterdam;KD72;AantalStembriefjes;;3553
Amsterdam;KD72;AantalBlancoStemmen;;1207
Amsterdam;KD72;;jhr.mr. J.W.H. Rutgers van Rozenburg;2497
Amsterdam;KD72;;J. Dirks;2470
Amsterdam;KD72;;A. Gildemeester;2398
Amsterdam;KD72;;mr. H.J. Kist;2365
Amsterdam;KD72;;J.T. Cremer;2346
Amsterdam;KD72;;mr. W.H.de Beaufort;2316
Amsterdam;KD72;;mr. J.G. Gleichman;1890
Amsterdam;KD72;;mr. J.P.R. Tak van Poortvliet;1085
Amsterdam;KD72;;W. Hovy;834
Amsterdam;KD72;;J.C. Fabius;810
Amsterdam;KD72;;jhr.mr. A.F.de Savornin Lohman;782
Amsterdam;KD72;;mr. A.W.van Beeck Calkoen;777
Amsterdam;KD72;;mr. B.J.L.baron van Geer van Jutphaas;767
Amsterdam;KD72;;mr. J.J.W.van den Biesen;612
