Regio;RegioCode;RegioUitslag;Kandidaat;AantalStemmen
Alkmaar;KD34;Kiesgerechtigden;;10270
Alkmaar;KD34;Opkomst;;8988
Alkmaar;KD34;AantalStembriefjes;;8988
Alkmaar;KD34;AantalGeldigeStemmen;;8867
Alkmaar;KD34;AantalBlancoStemmen;;121
Alkmaar;KD34;;N. Glinderman;3562
Alkmaar;KD34;;jhr.mr. P.van Foreest;2806
Alkmaar;KD34;;F.C.J. Netscher;2245
Alkmaar;KD34;;J.G.van Kuykhof;254
Almelo;KD15;Kiesgerechtigden;;9087
Almelo;KD15;Opkomst;;7196
Almelo;KD15;AantalStembriefjes;;7196
Almelo;KD15;AantalGeldigeStemmen;;6996
Almelo;KD15;AantalBlancoStemmen;;200
Almelo;KD15;;mr. P.J.M. Aalberse;4744
Almelo;KD15;;D.van der Sluis;1614
Almelo;KD15;;J.W. Albarda;638
Amersfoort;KD26;Kiesgerechtigden;;10300
Amersfoort;KD26;Opkomst;;7917
Amersfoort;KD26;AantalStembriefjes;;7917
Amersfoort;KD26;AantalGeldigeStemmen;;7823
Amersfoort;KD26;AantalBlancoStemmen;;94
Amersfoort;KD26;;jhr.mr. H.W.van Asch van Wijck;4725
Amersfoort;KD26;;mr. W.H.de Beaufort;2469
Amersfoort;KD26;;dr. J.van Leeuwen;629
Amsterdam I;KD28;Kiesgerechtigden;;5180
Amsterdam I;KD28;Opkomst;;3675
Amsterdam I;KD28;AantalStembriefjes;;3675
Amsterdam I;KD28;AantalGeldigeStemmen;;3576
Amsterdam I;KD28;AantalBlancoStemmen;;99
Amsterdam I;KD28;;dr. H.F.R. Hubrecht;1862
Amsterdam I;KD28;;J.N. Hendrix;1400
Amsterdam I;KD28;;P.C.F. Frowein;314
Amsterdam II;KD29;Kiesgerechtigden;;4404
Amsterdam II;KD29;Opkomst;;3034
Amsterdam II;KD29;AantalStembriefjes;;3034
Amsterdam II;KD29;AantalGeldigeStemmen;;2968
Amsterdam II;KD29;AantalBlancoStemmen;;66
Amsterdam II;KD29;;J.R. Snoeck Henkemans;1236
Amsterdam II;KD29;;J. Oudegeest;926
Amsterdam II;KD29;;dr. C. Lely;806
Amsterdam III;KD30;Kiesgerechtigden;;13120
Amsterdam III;KD30;Opkomst;;9751
Amsterdam III;KD30;AantalStembriefjes;;9751
Amsterdam III;KD30;AantalGeldigeStemmen;;9518
Amsterdam III;KD30;AantalBlancoStemmen;;233
Amsterdam III;KD30;;mr. P.J. Troelstra;4680
Amsterdam III;KD30;;mr. G.A.van Hamel;2507
Amsterdam III;KD30;;J. Huizinga;2172
Amsterdam III;KD30;;D.J. Wijnkoop;159
Amsterdam IV;KD31;Kiesgerechtigden;;4290
Amsterdam IV;KD31;Opkomst;;3038
Amsterdam IV;KD31;AantalStembriefjes;;3038
Amsterdam IV;KD31;AantalGeldigeStemmen;;2950
Amsterdam IV;KD31;AantalBlancoStemmen;;88
Amsterdam IV;KD31;;J.W. Ijzerman;1603
Amsterdam IV;KD31;;J.E.W. Duijs;961
Amsterdam IV;KD31;;mr. H.W. Hovy;386
Amsterdam IX;KD115;Kiesgerechtigden;;18434
Amsterdam IX;KD115;Opkomst;;13199
Amsterdam IX;KD115;AantalStembriefjes;;13199
Amsterdam IX;KD115;AantalGeldigeStemmen;;12920
Amsterdam IX;KD115;AantalBlancoStemmen;;279
Amsterdam IX;KD115;;mr. T.de Vries;4516
Amsterdam IX;KD115;;W.H. Vliegen;4421
Amsterdam IX;KD115;;mr. C.T.van Deventer;3792
Amsterdam IX;KD115;;L.L.H.de Visser;191
Amsterdam V;KD32;Kiesgerechtigden;;12892
Amsterdam V;KD32;Opkomst;;9243
Amsterdam V;KD32;AantalStembriefjes;;9243
Amsterdam V;KD32;AantalGeldigeStemmen;;9091
Amsterdam V;KD32;AantalBlancoStemmen;;152
Amsterdam V;KD32;;T.M. Ketelaar;3294
Amsterdam V;KD32;;mr. P.J.M. Aalberse;2645
Amsterdam V;KD32;;J.G.van Kuykhof;2145
Amsterdam V;KD32;;N. Bosboom;1007
Amsterdam VI;KD112;Kiesgerechtigden;;5857
Amsterdam VI;KD112;Opkomst;;4285
Amsterdam VI;KD112;AantalStembriefjes;;4285
Amsterdam VI;KD112;AantalGeldigeStemmen;;4246
Amsterdam VI;KD112;AantalBlancoStemmen;;39
Amsterdam VI;KD112;;mr. H. Verkouteren;2077
Amsterdam VI;KD112;;mr. W.H.de Beaufort;1767
Amsterdam VI;KD112;;A.H. Gerhard;402
Amsterdam VII;KD113;Kiesgerechtigden;;4879
Amsterdam VII;KD113;Opkomst;;3814
Amsterdam VII;KD113;AantalStembriefjes;;3814
Amsterdam VII;KD113;AantalGeldigeStemmen;;3767
Amsterdam VII;KD113;AantalBlancoStemmen;;47
Amsterdam VII;KD113;;G.A.A. Middelberg;1953
Amsterdam VII;KD113;;dr. C.F.J. Blooker;1271
Amsterdam VII;KD113;;W.H. Vliegen;322
Amsterdam VII;KD113;;mr. J.D. Veegens;221
